protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PLG.1 PLG.2	-0.87113117261329	18.4617374096628	13.8877991791722	-0.115831645158056	15.5196002619656	11.4917147418868	-0.461850352718046	17.5549183891111	12.9942366715954	-0.399220023839928	17.344576099813	12.949460504073
PLG.1 PLK1	-5.11007957749232	20.7381346959008	16.3606568762861	-3.21662785197553	18.8811923380903	14.6006114918252	-4.91794622709048	20.4169235953563	15.8044454108499	-4.27257188159136	19.9913412952174	15.7097130630173
PLG.1 PLXNB2	-3.98684525557474	19.6741873496602	15.7217071520509	-2.94848186069802	18.3717848392853	14.100239603119	-3.14607607507275	19.0921929141775	15.3132587239572	-3.63160900178068	19.145745992617	15.334122745723
PLG.1 PLXNC1	-8.01809369456976	21.0566609291756	16.1932551473577	-2.75268529568973	19.244594930325	14.1204744884959	-4.52582158980051	20.4137965049268	15.5627609782121	-5.09358913735922	20.2339759308103	15.4678653661563
PLG.1 POMC	-5.28832147853103	20.2731117247738	15.983242887628	-1.74041746319478	18.141624340518	13.9353422931004	-3.12490882703459	19.7196722195952	15.2868574785596	-3.37153653586287	19.3945228446851	15.3013430532286
PLG.1 POMC.1	-2.51913769553281	19.693446185633	15.758992604394	-4.23039607671833	19.3107410254248	14.7914637821575	-3.18423494430984	19.7154536770139	15.5188211051841	-3.32777600687646	19.826863157588	15.6165236604527
PLG.1 POMC.2	-1.64747278442441	18.8503129414136	14.4304144824018	-2.19695879948726	18.7034252223949	13.763258366145	-1.55446026972386	19.2257749432883	14.5078032292124	-1.90702349376337	18.9642449008139	14.3781443611747
PLG.1 PON1	-8.4308231826127	21.0348418144739	16.7552580482541	-2.25044976546859	19.0091270207344	14.1966410487256	-5.16487987513733	20.319211990343	15.9550049364545	-4.84824044483403	20.1814958220015	15.6821741592985
PLG.1 POR	-1.3957151970992	18.7372329175039	13.7574257474034	-1.69263681364225	18.198580178282	13.173982012569	-1.35089505246449	18.7563538233928	13.7858062335388	-1.6686016454043	18.591974531864	13.8589903036415
PLG.1 POSTN	-0.498816328729601	16.6798575531937	12.6914814148325	-1.32162306901584	18.0162696164838	13.5406060010242	-0.859460909901308	17.9369618359508	13.6869511038433	-0.897056764034783	17.4994066658152	13.3735850563171
PLG.1 PPA1	-3.16442788347428	19.4920430717393	14.8300172299517	-1.80463076538763	18.8482014913127	13.9879314683207	-2.56221834339794	19.7870939828064	15.2485214774369	-2.47328367655669	19.3262791794436	14.7393045942282
PLG.1 PPBP	-6.1504570191727	20.9929085834387	16.5989426098707	-1.39282377130548	18.9754131461191	13.5366695752288	-3.11520867570477	20.3036584752457	15.5665272173581	-2.91215150645609	20.1038417972877	15.3486101737503
PLG.1 PPBP.1	-5.81760225010288	20.9759285668089	16.5490826134241	-1.34520984148411	18.8951751329352	13.6107532859506	-2.97369544058585	20.2922777748041	15.5788993692544	-2.77719718960556	20.0832822078375	15.350084540516
PLG.1 PPIA	-7.39472072524123	20.6207047852887	16.2581019753453	-1.608306049713	18.9049443439811	13.6523386077208	-3.54036253813563	20.3825011537561	15.5446594893199	-3.20379827354467	19.8606589011648	15.1637093160252
PLG.1 PPIB	-1.33609351674181	18.9657153119022	14.9282108497601	-3.77067210436008	19.190569359774	14.6032599753447	-2.16917034945254	19.3160583742474	15.1285863503897	-2.61127915326401	19.2821577875684	15.1164271883182
PLG.1 PPID	-3.50115614326848	20.773799590791	16.278113821147	-1.43210510776136	18.1076873195605	12.9534388309592	-2.67984868363805	19.7573830167867	15.043201169968	-2.28056144628191	19.7684650061386	14.9159467221264
PLG.1 PPIE	-3.54567052775712	20.1451813454291	15.5839835400023	-1.24541660652077	18.543448794409	13.3028876177024	-2.14619722564277	19.6354369249576	14.9619301088652	-2.22426107319031	19.5670715740831	14.8004589473215
PLG.1 PPIF	-2.94569236694982	19.7828902766298	15.7780490481882	-2.5142939094656	18.8657630432191	14.0980909830348	-3.02775698018388	19.6683830409184	15.5935238351124	-2.96908129637709	19.5247829746587	15.2597092920923
PLG.1 PPP3CA.PPP3R1	-4.41387027167307	21.1696845239994	16.0001667697619	-1.726969562708	18.3797269986751	13.4808698681323	-2.85180990443362	19.9978563575505	15.3384192113251	-3.05236700854148	19.8754360644077	15.1772809714976
PLG.1 PPP3R1	-8.42423083846614	20.7441190567063	16.1323109528118	-2.15831325507503	18.7023463455109	13.9874531624553	-2.95055026282042	19.5423513362914	15.0656084284892	-4.0948832760012	19.9165612604805	15.3025432454555
PLG.1 PPY	-0.531458616654041	16.3405203045282	12.8819067529813	-0.879247880969789	17.0823676981445	13.1029281021304	-0.572662759639567	17.0200059936362	13.3311124185969	-0.665272052571181	17.0028781434189	13.3701966349162
PLG.1 PRDX1	-4.4521872523174	19.8374562216139	15.8890710362307	-1.30096821974699	18.1755653009894	13.9530012869542	-3.226107185197	19.6084264496297	15.6277217337619	-2.46242932268489	19.1711966394329	15.2027282089913
PLG.1 PRDX5	-5.15582875501715	20.297451459938	16.2692438937298	-2.48405006164463	18.4994196115431	14.1874533700324	-3.14457908626651	19.5040057113903	15.4383570487202	-3.45840829760126	19.5521674697922	15.5758843336992
PLG.1 PRDX6	-4.62060687807788	20.5918180665621	15.8993673236316	-2.52997437390948	18.2464587793621	13.6572095160708	-3.70341631513438	20.1811046248914	15.4104436778862	-4.00762623521575	19.4967216327271	15.0241514807953
PLG.1 PRKAA1.PRKAB1..PRKAG1	-2.15088959551402	20.1633540659371	16.0217566263724	-5.1004882828007	19.7043921009626	15.2693518576777	-3.19846686616348	20.2442344794506	16.0143819904633	-5.49349611846099	20.2658524418349	16.160068058143
PLG.1 PRKAA2.PRKAB2.PRKAG1	-5.31914229637532	20.4543577998452	16.1658053187085	-2.1489869964604	18.7188616497543	13.6421502502663	-4.43470841847996	20.3004692390362	15.8543496252572	-3.83686978252882	19.9255278336391	15.3942891473841
PLG.1 PRKACA	-2.74758832208939	19.3230880901883	15.5841417543057	-2.43265307128356	18.5086064052469	14.1290828671369	-3.21070195659443	19.5457653114199	15.3673498994307	-2.94654099833905	19.1935731490283	15.158836575908
PLG.1 PRKCA	-3.67561243791521	20.7255059446125	16.1045828109948	-1.50929749724255	18.476315288186	13.366381216074	-3.04444926482636	20.1675860059885	15.6263059369311	-2.46206893158713	19.9551450051618	15.1529007542418
PLG.1 PRKCB	-3.43877917806415	20.8311239796499	15.9042277215821	-1.4798242981821	18.2217513110277	13.2753968054385	-2.5373866756183	19.9772774943315	15.3043488331894	-2.35617024725803	19.6858963514534	14.8400982819642
PLG.1 PRKCD	-6.85731975369983	20.3464978334062	15.9432929231687	-1.78576730524704	18.6702597827915	13.6471278496943	-3.89291407947761	19.952154795187	15.475669319327	-4.50461687611053	20.0186623225367	15.4059999745903
PLG.1 PRKCG	-3.88099618807843	19.6485850929894	15.6238816478464	-4.0866271384531	19.1686427689247	14.8170386466369	-4.75124086163328	19.9273827627296	15.8089937226624	-4.08764728255496	19.6902991647703	15.4882026864158
PLG.1 PRKCI	-5.0231836354347	20.1989135552045	16.2954791763685	-2.28455995263827	18.8951761267281	14.2930835699993	-2.50858245428771	19.6338481858857	15.3334204047019	-3.26775090973711	19.7253739878088	15.5313516638686
PLG.1 PRKCQ	-5.65582358521308	21.530297602518	16.5710152308029	-2.17042941047529	18.8138052001883	14.2660065114121	-4.56930005359448	20.3261296976723	15.9124376675501	-3.93277994725531	20.3658336768662	15.7115569625158
PLG.1 PRKCZ	-2.31912958783282	19.1438328775842	14.3722375059473	-2.03911169593603	18.5399987730422	13.5197483723616	-1.87085455352866	19.747745393916	14.6104991793225	-2.39733394346434	19.3507355112292	14.4533647855843
PLG.1 PRL	-3.0523389663598	20.4751372328667	15.8540681979015	-1.430759059263	18.6841334951919	13.4485143211006	-3.80562393013471	20.5788925545893	15.6181834019622	-2.39227924595082	19.7481517225708	15.0716125352054
PLG.1 PRLR	-3.49873659166847	19.681584185659	15.8853114733352	-4.23990520520476	19.2597864143161	14.7843972851796	-4.18316474626056	19.9366656929724	15.7291286810531	-4.16144401507318	19.6741239875015	15.6156418054411
PLG.1 PROC	-1.42110971627639	18.2841505006197	12.8528853299559	-1.72274319612309	19.164683489681	13.7797200714925	-1.38391974020896	18.9848028435079	13.5563937123754	-1.63870868193162	18.885199963237	13.7481593089181
PLG.1 PROC.1	-3.65428148035466	19.8884162287735	15.9884009729952	-2.97160792349228	19.2904897199405	14.5216644793727	-4.45638772549069	19.9939833916913	15.8067796717659	-4.61113497851165	20.0691690582686	15.6613428886011
PLG.1 PROK1	-2.76472192539982	20.0453319503724	15.635400168022	-4.31946820682939	19.5997206779414	14.7590874990671	-5.35160622802004	20.4670980775409	15.8665561752235	-4.94576895429803	20.1358431317963	15.7408988503622
PLG.1 PROS1	-1.47019836507998	18.0635655278601	13.4288285385738	-2.00431201375382	18.1179764919559	13.773692838525	-1.2221908377935	18.5150282221369	13.7477488753224	-1.70105813065273	18.4871575352437	13.8551373602718
PLG.1 PRSS1	-4.23733574018641	20.6886449899349	15.2771226344904	-1.20024350493371	18.1378187224144	13.7406076238598	-2.01010274404923	19.4976214163543	14.517259685202	-2.53999477949847	19.5649112883612	14.7776062697959
PLG.1 PRSS2	-2.51699044431335	18.8819993829855	14.7592438322911	-2.86994504368502	18.9317655890442	14.2809705180333	-1.95855973654729	19.1313002771487	14.7553525150478	-2.79922833343822	19.0955763062399	14.7807301966673
PLG.1 PRSS22	-2.19465365837198	18.9624106120447	14.6459538739141	-1.727526398335	18.7014903705629	13.7275083156835	-1.72968982385452	19.4366866410192	14.7207748996895	-2.00348296849451	19.1099868792326	14.4973621421579
PLG.1 PRSS27	-2.03410371837657	19.7008421809149	14.395723285217	-1.16437316150137	18.0278811950907	13.3922249502485	-2.21168951349924	19.2216126750045	14.6807024066324	-1.74660310365058	19.1702946517857	14.2143188460328
PLG.1 PRSS3	-3.66481325462391	19.7829803666441	15.2140641915495	-1.6899493360977	18.4274377008281	13.9462430581323	-3.98130362884868	20.0640316524387	15.5837026442207	-3.27248371769746	19.4610883532433	15.1094004615726
PLG.1 PRTN3	-9.46056875665009	20.7164746669935	16.2811240998872	-1.80581615434658	18.2523937370818	13.864639129635	-3.42714286014857	19.8290248319794	15.5965954060228	-4.18914257682188	19.6804870250553	15.4387979110973
PLG.1 PSMA1	-3.44549536808124	20.4858347440587	15.4239097700101	-1.73655482222054	18.5642995971592	13.9473914013406	-3.77716518277112	19.7851378189886	15.4682887029536	-3.11637996743208	19.7090489245467	15.0561124851365
PLG.1 PSMA2	-5.44226550575637	20.7142633366922	16.1613255693864	-4.3156160470164	19.2416809602956	14.4434972177433	-4.95304819128622	20.3299710007042	15.7202490406073	-6.0285606044455	20.2695808799232	15.75118861038
