protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PLXNB2 PLXNC1	-6.26466148524807	19.584448829878	15.1684708874406	-4.21719811170791	20.1378452935816	14.8185413397512	-6.35069628649583	20.299762692123	15.7126528543001	-5.75248656365388	20.2742817885991	15.5701345906422
PLXNB2 POMC	-2.78117547657883	19.0503770936582	14.7141700712742	-3.67127176150559	19.2902900364031	14.5829559969178	-3.2405768117737	19.900529042809	15.4951000539535	-3.7649872087628	19.6255757926243	15.1998142311421
PLXNB2 POMC.1	-2.53405873889657	19.1699971743012	15.0166873629153	-9.29185952143163	20.3870432247598	15.9241482853592	-4.15302936887914	19.9324514161717	16.2162282062439	-4.59052073446421	20.1539682149097	15.8595869083252
PLXNB2 POMC.2	-0.601460902841774	17.2141897876219	13.1041469087591	-3.3353665050235	19.7182290195617	14.4494428949185	-1.62232714698631	19.0056574641701	14.5097278706103	-1.75518527968852	18.9048869683966	14.3374086817125
PLXNB2 PON1	-5.37759881598546	20.1625056705119	15.7895018840223	-4.26493378146913	18.9025594011256	14.5229796130639	-5.45610870065575	19.7217798720194	15.6916268096411	-5.78363456719033	20.0387634277253	15.6800726154413
PLXNB2 POR	-0.851981098044184	17.8120553355268	13.3036269150856	-1.79597431684991	19.1750496964103	13.7706456182299	-1.12754866297829	18.5662269798033	13.787745692973	-1.23884342313404	18.7184624104565	13.8411391106274
PLXNB2 POSTN	-0.263903399364862	16.1212028771953	12.4838750740484	-2.52548725811806	19.0898056753927	14.4426841243098	-0.902679364325412	17.8839252976272	13.8289237985979	-0.980931088253995	17.8829949845335	13.7855141902332
PLXNB2 PPA1	-1.57436653883139	17.9732888249796	13.7870148308554	-2.7777715534494	18.9842143320822	14.2780842606951	-1.85412420018358	18.7137655716428	14.5610509079136	-2.5243423663439	18.8657446334913	14.5296375975501
PLXNB2 PPBP	-2.13560591433709	18.867770339455	14.4862295186669	-1.81802633036389	18.1771412310617	14.2450200355635	-1.90749203572363	18.8822156646598	15.3477528823859	-1.94965778488704	18.7940592397067	14.7629282859356
PLXNB2 PPBP.1	-1.82643802824581	18.8001491115065	14.3290462891937	-1.8135119056108	18.0058807013633	14.1873280627077	-1.94590074395476	18.7730246337291	15.2933974939686	-2.05299919452497	18.6230630849647	14.7459557877698
PLXNB2 PPIA	-3.56262791057005	19.1766472628619	15.1347769756657	-5.66931674195959	20.6496903317745	15.6641886877627	-6.58538575492316	20.4810829653706	16.0729280955563	-6.75978230306883	20.4361348590505	16.0416173568025
PLXNB2 PPIB	-1.6105020502617	18.2610376133401	14.658314621044	-6.02879005695563	19.6644565944454	15.1965650532531	-2.64142212185953	19.1109111842	15.3543318381569	-3.28311945293212	19.3927850415416	15.4560119684447
PLXNB2 PPID	-4.38142404144944	19.5649374438297	15.5671330602288	-3.78490853661881	20.1722207460053	14.7510862080368	-4.42045399466396	20.1873549362213	15.4754768520344	-4.688556983629	20.1899232382148	15.5149523211524
PLXNB2 PPIE	-3.81756586960529	19.3959728291219	15.0518938005156	-2.7036260972045	18.8851022845523	14.5643663327834	-2.50117998892764	19.5159542311517	15.2257408100901	-2.96289569989962	19.4491757774371	15.1977368700444
PLXNB2 PPIF	-3.63478402657482	19.304537814368	15.2653213584597	-19.5079715568374	21.1683348387488	16.1907874370137	-5.51603174195097	20.4449933665627	16.1608562202198	-7.68476710916277	20.7255648939474	16.2956360140224
PLXNB2 PPP3CA.PPP3R1	-5.47260690472497	19.794212619425	15.5988657830612	-4.59515131630406	19.8226558100357	14.6958838843063	-4.15510632646056	20.0137537312903	15.5862502796578	-5.84723855890391	20.0428206893415	15.6100557109335
PLXNB2 PPP3R1	-7.16535826021891	20.3139580572487	15.9180632252845	-9.54406944098584	20.2352903925511	15.8326413536164	-8.86449776128218	20.4113418686732	16.1971577168351	-10.295113793877	20.7121859536844	16.3004273864743
PLXNB2 PPY	-0.640073785241238	16.8622458515191	13.0625200723504	-2.13391075438294	18.0750198292161	13.9133848189618	-0.718561703181431	17.5165870846417	13.8287815233485	-1.15885009106432	17.7514597099025	13.8832652617592
PLXNB2 PRDX1	-1.61637831873655	18.5646811819665	14.1332252193791	-2.30190869153527	18.6301878984046	14.7699009513885	-1.36015591343032	18.8960935755905	14.7793610054209	-2.05590360300835	18.7971706825636	14.9044677448174
PLXNB2 PRDX5	-6.11204776741062	19.9113658328299	15.9277531991067	-7.90479476564978	20.2521169868007	15.3725545014082	-6.37137756316376	20.2102328809907	15.9406801535907	-8.21320609368279	20.3423018050993	15.9798545280409
PLXNB2 PRDX6	-3.21172866754998	19.8755718564121	15.2620878284299	-7.76444535466021	19.8785401520555	15.5593538673158	-4.89383874854025	20.2219666917714	16.1151927813683	-6.11398044874354	20.2533589851963	15.9160733415005
PLXNB2 PRKAA1.PRKAB1..PRKAG1	-2.40642560014762	18.9700267971095	14.9921890439348	-10.2332605556751	20.2027909112966	15.6020195573305	-2.97634767022228	19.5483303454982	15.4156733901734	-4.97037444570775	19.9968615837967	15.6675576041616
PLXNB2 PRKAA2.PRKAB2.PRKAG1	-4.60143003867955	19.7000556699552	15.4579571383414	-8.34241757194498	20.165759625539	15.4057746977531	-9.89662084321586	20.4940795470326	16.3099133424462	-8.58963453417896	20.462562214142	16.108160709864
PLXNB2 PRKACA	-2.55546208029339	19.0037465555371	15.1134546536724	-8.36362831030256	20.3141952361202	15.5587270208954	-4.0943774309352	19.9981295551191	15.7086711089552	-5.41110325606123	20.0918406807577	15.8333232550267
PLXNB2 PRKCA	-3.65108592157622	19.5964628379745	15.6046800940708	-11.9365050380522	20.5273324375409	15.8184313763185	-7.20511476868872	20.6407145492847	16.2305462558792	-6.80790678963912	20.536593259649	16.2068399462572
PLXNB2 PRKCB	-2.46729047588353	19.1270374358274	15.0407705644768	-3.9246094056726	19.7593909766957	14.8437057036116	-4.08266554820268	19.8891714507024	15.525566073974	-3.28185773670527	19.77059680808	15.4104625973296
PLXNB2 PRKCD	-4.85904782161694	19.5036331950563	15.6900652709885	-1.56174362831334	17.9624050304713	13.4386958780473	-2.50188611950372	19.3841279124451	15.0621486160509	-3.17377126373984	19.2480562367563	15.048406715653
PLXNB2 PRKCG	-3.08404002675055	19.4034312499918	15.0558193416426	-6.8635648450323	19.8300016234025	15.7667831798381	-3.99268054800591	20.0720493064514	15.9565357495421	-4.60595695739812	20.0577500103011	15.8484797022523
PLXNB2 PRKCI	-2.08325843933023	18.6860672154215	14.601508272782	-2.47286777338029	19.249358181178	15.0189149646158	-1.87071476205767	19.3592326142411	15.0855896838986	-2.76388813056858	19.3447333681274	15.219861403275
PLXNB2 PRKCQ	-8.46610722244118	20.0041042190218	15.7355142223865	-4.91899235200973	19.644926282461	14.8406849345184	-6.0089517004868	20.1553383525533	15.5381490613471	-8.46088938953861	20.2618301310593	15.7815472294052
PLXNB2 PRKCZ	-1.20522224267528	17.1622544366262	13.1173856182681	-1.77465599420903	18.5559235834124	14.329380076639	-1.21537444146404	18.545078980197	14.2084504593485	-1.29958978821129	18.460881712491	14.1178273739025
PLXNB2 PRL	-1.54996066799013	19.0446430119	14.7646828041146	-8.45767073285034	20.6554548705884	15.1444921663987	-3.97625352249697	20.5209462499499	15.7327083296047	-4.87149521441888	20.2571928919687	15.6401767180257
PLXNB2 PRLR	-3.12789062668945	18.7678011900703	15.0733864476822	-9.78257181680885	20.8146499330324	15.7058804287842	-5.2240193280601	20.2824826751625	15.9274063142258	-6.01574151850015	20.1171643696303	15.8260864603109
PLXNB2 PROC	-1.05534230126994	17.744139220979	12.7307517880699	-3.86814856016968	19.4781728946883	14.0970601752661	-2.07167632257269	19.1016479077544	14.1246437168593	-2.33448969759625	19.0433869561653	13.972104793081
PLXNB2 PROC.1	-3.41719140546753	20.0761030893896	15.4541718688859	-4.37922568088196	19.8577280216077	14.5781251343966	-3.33046172216921	20.2849942903224	15.5041314944898	-4.7560599932165	20.2610245526129	15.5025098872387
PLXNB2 PROK1	-2.96316670492225	19.0877335485754	14.459459033572	-5.42295840731487	19.5218342374638	15.2660517009416	-4.4866936904449	19.560612630017	15.8273680468933	-5.04442271503593	19.7384540495276	15.6756912662344
PLXNB2 PROS1	-1.35592916242199	18.4519450610719	13.5754191355647	-9.66228666061611	20.783768610706	15.9417026039192	-3.28121949210889	19.9780098981587	15.2949576659775	-3.67414602476526	20.0863723692152	15.2204708612737
PLXNB2 PRSS1	-4.05282865075076	20.1352291806524	14.9313372223099	-2.39814172731912	19.0733896338795	14.5870047643005	-2.99300267875649	19.7136126576494	14.99525764861	-3.86673625009059	19.9150780481326	15.2547572051133
PLXNB2 PRSS2	-1.60915406485065	19.0336237075528	14.4159495774115	-3.41019091367201	19.4457503817	14.8424306942182	-1.98164317468939	19.3780345041233	14.9104710279961	-2.46984725695777	19.4886993532923	14.8969618259615
PLXNB2 PRSS22	-1.97097765938243	18.3518786976624	14.2841459128364	-3.75220402889896	19.8028245856757	14.7503092665746	-2.13398426540989	19.3722350478385	14.8255017107661	-3.05065468596323	19.5360750843653	15.0306276424691
PLXNB2 PRSS27	-3.01308207148096	19.5929985253089	14.9073441235821	-5.41363807217796	19.1891236376884	14.894601383653	-3.64498792230333	19.5389095402295	15.4251410169236	-4.33552130241777	19.7501341144097	15.3330721433908
PLXNB2 PRSS3	-6.5673982956546	20.1970866681293	15.8951154457582	-7.41721581626064	20.3487564043671	15.3495496361777	-6.93987312066088	20.3781399822723	16.0113458331792	-9.82540584361148	20.7807797417041	16.1411615349262
PLXNB2 PRTN3	-3.32776256779505	18.9834793033995	15.0506876186779	-3.20151720974612	19.2021665016827	14.7006357166996	-4.01109064004297	19.6230523152008	15.457860061975	-3.81502759833212	19.352735513223	15.4882191178266
PLXNB2 PSMA1	-4.4051826666219	19.932071688426	15.2563033959791	-3.80643748799732	18.9658383975314	14.9623051146441	-4.39401397112309	19.7371791348327	15.6957331132535	-4.3856290192469	19.7319335995379	15.516201501613
PLXNB2 PSMA2	-5.06607109756653	19.8367359306137	15.7157751830748	-13.1726353315583	20.4867358917614	15.7970039513661	-8.82276377343128	20.3810971061363	16.0832745473396	-9.00141654881552	20.5737009490318	16.2425689878234
