protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
POMC.1 POMC.2	-1.00829714369131	18.5571101559958	14.2570976072915	-4.94437626989166	20.0911137671163	14.5458724954066	-2.0742203231117	19.4291221985199	14.7183450497972	-2.65714018685485	19.5170757536638	14.7899606500138
POMC.1 PON1	-3.33619999137801	19.9622535957833	15.8647616843932	-5.85297354798358	20.4939887525159	15.3973418075585	-5.3937931426373	20.7675826187586	16.1198073343999	-5.19352355823041	20.4280628836136	15.9778884837176
POMC.1 POR	-0.903520053880881	17.3143722546602	13.5130263669648	-2.10836202368335	19.1877319697909	13.3185397720188	-1.15102633478176	18.4498926516082	13.4704516976842	-1.44394681145289	18.6515488679759	13.821589463634
POMC.1 POSTN	-0.366920467933952	16.3436973244034	12.5111532610803	-2.04633425596794	19.049157584024	14.1678970783914	-1.07105512924853	17.9693328190672	13.6223735958251	-0.957199001637206	17.9797359967308	13.6348589017423
POMC.1 PPA1	-1.47787112993025	18.6214281339068	14.3035352182982	-3.26005668284161	20.3027078527883	14.8162017363407	-3.44300930400221	20.1798500067248	15.6323299376472	-2.78545260090082	19.7350321865814	15.1604746791617
POMC.1 PPBP	-2.5591172434386	19.2730813506714	15.4045000262187	-3.92641504076299	20.2736149638677	15.1293145872445	-4.04845589732168	20.347409327745	16.0630933326571	-4.33181946968786	20.023303973378	15.7322855235795
POMC.1 PPBP.1	-2.30281168039133	19.1074630213231	15.2896912311147	-3.82391624095016	20.261282970075	15.2019201447194	-3.73346059076567	20.198991082545	16.0776636696891	-4.2352868558376	19.9726404945513	15.7394949655779
POMC.1 PPIA	-4.72645631946895	20.2313589447454	16.2345878442351	-6.42293868393906	20.8831919173117	15.3524942712994	-5.29643565124793	20.7622765810449	16.0368814545709	-5.64993090918574	20.8783807336284	16.1642834700699
POMC.1 PPIB	-1.18187867327348	19.1272510783899	15.3543863801685	-3.72215758963498	19.1301205827832	14.4591757562292	-1.94989298420123	19.1791891486511	15.2380505242521	-2.26354923793714	19.7291533285911	15.5554475714202
POMC.1 PPID	-2.79569962144051	19.1675082451194	14.7936455554425	-2.99583703897091	20.4512608817484	14.4680185976951	-3.84766503548206	20.1202419422463	15.3160771579943	-3.11945484281296	20.1911535586584	15.1431562283173
POMC.1 PPIE	-3.46692081765177	19.7378759141114	15.5757971857095	-3.05804760882936	20.1170966527145	14.6813374675396	-3.3727324718079	20.4689656533424	15.7170611362303	-3.51516838732181	20.2814646079265	15.5470959359774
POMC.1 PPIF	-1.53378293562616	19.270169313773	15.0272395359586	-5.10170287423287	21.1298132535143	15.8133632902927	-2.57630739753611	20.3861652596563	15.5705206066588	-3.21849619615852	20.4527564682399	15.8732818470981
POMC.1 PPP3CA.PPP3R1	-3.55947048094493	20.111450424356	15.9867744930101	-4.89563404236935	20.0044255309984	14.854490194252	-5.40599612110821	19.9831270490901	15.6134932773499	-4.8192760699832	20.3123533943863	15.7191618258212
POMC.1 PPP3R1	-2.18615407367666	19.3261260488428	14.9281883112156	-5.63638331390546	21.1510506190683	15.423578478485	-3.50649790727081	20.4618267370967	15.5435081181766	-4.344115679907	20.5205903820324	15.5369999314551
POMC.1 PPY	-0.136036920219687	15.989672002168	12.7090082960958	-2.460535273773	18.7133530387515	14.2817596775933	-0.950288822904019	17.5993702574585	14.2240047147314	-0.94481475674717	17.9290931336556	13.9456320629173
POMC.1 PRDX1	-1.70895177790905	18.5231588116225	14.8697351431778	-3.05856094066546	19.8200278291083	15.1413964388695	-3.08258721568412	19.9273359248912	15.8594045331672	-2.85650653318125	19.6497077266838	15.6305914112652
POMC.1 PRDX5	-3.25275409429645	19.2572106348543	15.7807736309438	-9.33597995586761	20.8795164873224	16.0034210272238	-3.86741635001293	20.4626981893933	15.9285608776196	-5.21250728742411	20.3825213619272	16.1207904397468
POMC.1 PRDX6	-2.06238623985405	19.9692330243805	15.6563721880459	-6.37629822117611	20.5143142771796	15.1841790039904	-5.50041232100038	21.1474341037249	16.3491802762712	-4.70124476992502	20.4880111162425	15.9071961541072
POMC.1 PRKAA1.PRKAB1..PRKAG1	-1.64541287924769	19.0848040354039	15.0725506120532	-6.64506895504285	21.1270933644993	15.9963125059585	-3.09641691962919	20.6182046618681	16.1377263884058	-4.63894397368994	20.6351605406592	16.24606496128
POMC.1 PRKAA2.PRKAB2.PRKAG1	-2.56637396431401	19.9669036571373	15.7734900682541	-4.69201908841922	20.7745834298326	15.1440016532254	-5.51212947175861	20.8713191873107	16.401891230974	-4.14564449677995	20.6631489984076	15.9423938237198
POMC.1 PRKACA	-1.53407206932365	19.1260715687083	14.5456031676454	-3.81997789653876	20.407117397559	15.089837563114	-2.50600901931366	19.9616366654142	15.2489328920106	-3.01925130420764	20.0060781910463	15.2894941535833
POMC.1 PRKCA	-1.47534583914744	19.6693136779959	15.0256094758489	-4.06060766765277	21.1530784727624	15.2518211814011	-3.70092176612503	20.3568940799765	15.6369067959142	-2.79491022503578	20.5128280631973	15.519310449981
POMC.1 PRKCB	-1.50155882558735	19.345441897291	14.573068441485	-4.1231729544553	20.2009819755293	15.104445818283	-3.20470042348047	20.0232363083639	15.3199794452276	-2.69802538738982	20.122499085708	15.3155348073974
POMC.1 PRKCD	-3.24906124741486	19.3819841875384	15.5889066410529	-2.15716361735006	19.6335200935792	14.3255785809092	-4.75760451930535	20.3233670594417	15.871806313512	-2.76242350380122	19.6789050005377	15.1609519379687
