protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PPP3R1 PPY	-0.125797014960952	16.5900587733842	12.4557209664839	-1.71337708293824	18.6270464066621	14.1001999011578	-0.824472644048551	17.5771582460923	13.4429027471792	-0.874385435140793	17.8130203268374	13.6397692029866
PPP3R1 PRDX1	-4.05461923202448	19.7947756602168	15.4185619702527	-2.28619886615969	19.1638643977569	14.4273784846079	-3.79048711651841	20.0668285042692	15.6985731645427	-3.61094348818418	19.9555706556217	15.5290105951135
PPP3R1 PRDX5	-11.2319016974309	20.9876030868943	16.4185830692795	-7.14011656290457	20.7664323128952	15.6111370521659	-7.05912888454015	20.9914065179385	16.264474164744	-8.76879616671799	21.0530552296152	16.3526333213898
PPP3R1 PRDX6	-16.2904706713877	21.8518493275985	16.8243541331603	-8.3626999365801	20.7179774025363	15.7773510071656	-13.9701616773864	21.8210432639423	16.712205978916	-12.2896986557621	21.5455551450876	16.6527495160108
PPP3R1 PRKAA1.PRKAB1..PRKAG1	-3.26726766903102	19.3524304449875	15.7719806011665	-9.58770653006222	21.066957159042	15.7872041565194	-4.53370912056556	20.4643436114402	15.909071030683	-11.2734821059752	20.8856205786287	16.3443161010372
PPP3R1 PRKAA2.PRKAB2.PRKAG1	-7.42035159592793	20.4962201222951	16.0176745541482	-5.68928034836186	20.77488969246	15.2220311708598	-13.2754000679433	21.5618367747546	16.5176156843788	-10.007181413824	21.0281113457966	16.1180215788788
PPP3R1 PRKACA	-1.59379736222165	18.5508062093336	14.219187338823	-7.67654262139847	20.4650580082812	15.7115771167144	-3.22069627681596	20.0032500565515	15.2473607146727	-3.68611374850667	19.9195640324753	15.3843197435443
PPP3R1 PRKCA	-4.09801367804394	20.4127585738626	15.3485685686226	-8.09493467512683	20.33672825203	15.5673179392266	-7.70160662371463	21.1518946297772	16.16762018916	-7.93934439237506	20.9048096485044	15.959244230708
PPP3R1 PRKCB	-5.44828412978792	20.9418171706797	15.8603101464022	-2.81145908923153	19.8545202787993	14.8032134588345	-6.03156599099932	21.1181078953499	16.2013535547437	-4.95865216385057	20.7413167017804	15.8080915504867
PPP3R1 PRKCD	-10.1900854484465	21.2397409189796	16.2186805420766	-2.78306964134701	19.6902243270503	14.088423544361	-6.77551649021513	21.163142969691	15.8931541394523	-5.39195034019661	20.8370164936958	15.5697096453222
PPP3R1 PRKCG	-3.10581971868091	19.6769256528592	14.9000970359805	-12.6934071943286	21.1567306185281	16.0126151744099	-5.58537539039044	20.5854161092462	15.9790393777392	-7.6190196920006	20.7456749383031	15.9020136851949
PPP3R1 PRKCI	-7.49142909802014	20.9959528620446	15.9678686916472	-4.1850254423515	20.2842482491063	15.2856004951055	-5.79279606065822	20.9383844267423	15.8628141457732	-6.52318176479215	20.933066328097	15.9859442957865
