protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRDX1 PRDX5	-1.29249675571571	17.3340279028942	13.522388302899	-3.11353766351566	19.8137032670648	15.0794942524454	-3.62801453129867	19.7083142248604	15.4782311968739	-3.10403285771644	19.0243330933286	14.9546306043437
PRDX1 PRDX6	-3.37331348202199	19.6640217533652	15.7341756149828	-2.70238685611499	19.7448253092891	15.6852258682521	-3.9004033840968	20.1713774114725	16.3087021959058	-3.86990972937108	19.9250357606046	16.077117378249
PRDX1 PRKAA1.PRKAB1..PRKAG1	-1.03556447684678	18.5553111659377	14.6272458204344	-5.43630398386347	20.0678486070214	15.9138073948307	-2.40697240858555	20.0418105970399	15.8467474277853	-3.35096551352571	19.840597850833	15.8666799742978
PRDX1 PRKAA2.PRKAB2.PRKAG1	-1.12411865919171	17.9165915413513	14.2677918152356	-1.9514940225398	19.2827685131135	14.4265071246684	-2.17308737782764	19.3911894063432	15.4289717716684	-2.14275646325265	19.0308934017866	14.921320075232
PRDX1 PRKACA	-0.929033255729184	16.7083647543216	13.010782530001	-1.4179438849725	18.1795443551649	13.6498916815293	-1.13430921622847	18.0057409977655	13.9845610958846	-1.28957343006763	17.8803338630711	13.9303541604016
PRDX1 PRKCA	-0.904714025113959	17.4151333588684	13.850850952588	-1.78376371436965	18.9423265453866	14.6105343243249	-1.29508240416673	18.5678742996099	14.6415086192435	-1.49922379591207	18.5010192203277	14.667424755488
PRDX1 PRKCB	-0.704506373245514	17.4813026725705	13.4266920701729	-2.00948030506291	19.2867199121039	14.8770809284077	-1.85117695988127	18.8870667010801	14.7795747122963	-1.55835964182472	18.6416547087209	14.4987979222447
PRDX1 PRKCD	-3.969755273369	19.3355525096921	15.3793295270744	-2.77147634385761	19.6590173605449	14.5329044247828	-4.33241953770134	20.0851250528617	15.7225138007504	-4.16856946495191	19.8522864182782	15.4500021114009
PRDX1 PRKCG	-3.34833117527991	19.4771436585485	15.3889178574948	-2.00332463061795	19.7490589368247	15.1758090193457	-4.63566169010555	20.1066135097158	16.0422999121845	-2.94336941687619	19.798651636869	15.6422189824482
PRDX1 PRKCI	-1.74294502221143	18.6780866314716	14.8145447471395	-2.22406448707063	20.093413202052	15.5689929013257	-2.80786597717741	19.6627307304791	15.6947641245987	-2.70036490031575	19.5278138044501	15.539341176675
