protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRKAA1.PRKAB1..PRKAG1 PRKAA2.PRKAB2.PRKAG1	-4.37564740723505	19.2860848465585	15.7974231742424	-6.67615438598155	20.8118460579911	15.7978866275646	-7.75273924580909	20.6187772232573	16.6204636070727	-6.3397816311947	20.8998131762532	16.3845071419229
PRKAA1.PRKAB1..PRKAG1 PRKACA	-0.643268150055726	18.9212149196358	14.6437960835727	-6.64002675079637	20.5553551133	15.6237961250273	-2.85656055413837	19.8823316206106	15.4917843080415	-3.49239271787869	20.1053683926326	15.7115693924126
PRKAA1.PRKAB1..PRKAG1 PRKCA	-2.0604338899087	19.8072288792621	15.9309731659676	-8.40158421884301	21.0337025270808	16.2259722419457	-4.76748570444481	20.5256647967626	16.530529419931	-5.67361589250777	20.7721111228228	16.502643992494
PRKAA1.PRKAB1..PRKAG1 PRKCB	-2.18718915697431	19.7051344927087	15.7120376695642	-4.36792692202253	20.6280426844011	15.4327913696981	-4.08079263904872	20.3108282274876	16.1352247304011	-4.84016477990367	20.5832789785338	16.0981427406098
PRKAA1.PRKAB1..PRKAG1 PRKCD	-4.48116086563013	18.7578417517288	15.2588979844261	-3.0752803328616	19.8065522383397	14.5169167795193	-5.53501326652534	20.3880556376909	16.0194739875899	-5.68291204988528	20.2972457883774	15.7412583702764
PRKAA1.PRKAB1..PRKAG1 PRKCG	-1.76507512296845	19.1284717354312	14.8009910502346	-4.44819663703234	20.1390172338102	15.2979297600903	-3.08968963297623	20.0713081594624	15.5760387441017	-3.8856301923801	20.0185863130646	15.5648859756797
PRKAA1.PRKAB1..PRKAG1 PRKCI	-2.64018971551841	18.9783589183776	15.3407824862394	-7.42886871899508	20.689828345548	16.1318320442647	-3.9563612340914	20.2951529345848	15.8208688022105	-7.64559283584394	20.4318832593699	16.3571248931839
PRKAA1.PRKAB1..PRKAG1 PRKCQ	-7.44389852094481	20.4114270963686	16.6095128034907	-8.92700307403833	21.0308686727919	16.15273342282	-10.6613479103065	21.1032017235862	16.7509925411663	-12.5518249809576	21.1535459631043	16.8552219642558
PRKAA1.PRKAB1..PRKAG1 PRKCZ	-1.70918332878591	18.5308819301985	14.4227709971308	-3.66453068407638	20.0067685925035	15.348794738464	-2.04442115944441	20.0096056815938	15.3573015996785	-2.66015220359427	19.8761308107364	15.2454303711141
PRKAA1.PRKAB1..PRKAG1 PRL	-1.83140243631967	19.1973554852893	15.4216835982061	-8.52244282094957	21.0755009057966	15.7301246816269	-9.49421533596349	20.8678140624243	16.3068842682719	-4.64345420867315	20.6112530077301	16.0922350489865
PRKAA1.PRKAB1..PRKAG1 PRLR	-1.01797577890373	18.3529724064214	14.3175845616208	-10.4578054728418	21.1008153525272	15.9985989816212	-3.51941288259936	20.2001246884291	16.0033367154454	-4.20775869027608	20.2260695602527	15.77579501855
PRKAA1.PRKAB1..PRKAG1 PROC	-0.335175264859616	17.1787945618146	11.8240978628327	-7.17319500374742	21.1269975848428	15.7404757691194	-1.64114945997926	19.5219560512299	14.2076339620063	-2.05662170341592	19.4730793364772	14.2818774456139
PRKAA1.PRKAB1..PRKAG1 PROC.1	-5.43313508090165	19.9563462454704	15.9027159227115	-7.62935841253047	20.8495040138734	16.0844952322604	-7.17377318772826	20.818239205219	16.3498535413848	-9.086950136902	20.9151963930487	16.4005578583845
PRKAA1.PRKAB1..PRKAG1 PROK1	-1.77248951278936	18.5170839835327	14.6734360712454	-8.58111355238531	20.642789732952	16.1024159184608	-5.20451942603304	20.5282913052	16.2617388979226	-6.8766927796891	20.2710862127303	16.1680594306747
PRKAA1.PRKAB1..PRKAG1 PROS1	-1.3163542391953	18.2026677640115	13.8876447629833	-9.11577325180623	20.5120378839994	15.8167573788011	-3.23621910199229	19.7566371381526	15.4263196010389	-3.39140983198598	19.9015481119503	15.3557728963042
PRKAA1.PRKAB1..PRKAG1 PRSS1	-1.64313092373636	18.9189008149703	14.5865980414064	-4.3750473114228	19.8140313879971	15.0685609536518	-2.72155410186697	19.5524554528612	15.145446199453	-4.71295878209138	20.1010380422324	15.5667680434871
PRKAA1.PRKAB1..PRKAG1 PRSS2	-1.44008711234131	18.7661524700898	15.0639148364225	-6.66687261911152	20.2704110616651	15.5969257667938	-2.99197378739548	19.8637915232429	15.6851519219968	-3.74330125041954	20.0288982164176	15.8116926656163
PRKAA1.PRKAB1..PRKAG1 PRSS22	-0.553192062600708	17.5246791694879	13.3334159500457	-4.98646193156143	21.0338726171284	15.6893757326959	-1.93148271972	19.5649595868956	15.2312372360586	-1.90521830750085	19.8407556036965	15.0319756089537
PRKAA1.PRKAB1..PRKAG1 PRSS27	-2.53636786355757	19.463409819825	15.045703637622	-4.15495940283713	19.941272878181	14.9734505377417	-2.44393898392365	20.2574831832572	15.547293697052	-3.49391242443981	20.3317186232474	15.4247093117069
PRKAA1.PRKAB1..PRKAG1 PRSS3	-3.94863608933081	20.6598004365441	16.5284877422998	-4.4789320648996	20.019560139906	15.3383856334361	-6.9460047406644	20.7383718032997	16.4419200878221	-7.50110814819806	20.6306495752509	16.3539424352274
PRKAA1.PRKAB1..PRKAG1 PRTN3	-3.60920020776193	19.742816735884	16.0863272289106	-6.34485117818847	20.2699284928577	15.5574794668783	-4.83009642164564	20.2476811430204	16.1684074544916	-5.52151748002748	20.2039703327888	16.1604077581438
PRKAA1.PRKAB1..PRKAG1 PSMA1	-6.18371591723217	19.9035565976435	16.0615668947703	-3.40588332049888	19.917050368867	15.008859784247	-6.49151504686589	20.5599839387325	16.3792561890552	-6.42312188282809	20.4248391398575	15.9303599713646
PRKAA1.PRKAB1..PRKAG1 PSMA2	-3.19789441949567	20.0423762606265	15.929168839815	-8.12314006593723	20.6341205123047	15.4028641780574	-12.3395715047139	20.6897310489644	16.2820014491101	-10.083096072338	20.7484763775323	16.3360439178056
PRKAA1.PRKAB1..PRKAG1 PSMA6	-2.37738083350586	19.5002065553878	15.5458877396032	-2.75860686559393	19.9070271567081	15.1492314362557	-3.09998047150444	20.4006471175075	15.9265662368122	-4.89973242883487	20.3416042313457	15.979393043462
PRKAA1.PRKAB1..PRKAG1 PSMD7	-4.47288302807098	20.444949630465	16.0809272990768	-13.9310609404139	21.013400455012	16.2420016072625	-6.95913338306681	21.1728589544344	16.4548023997194	-13.1888896471167	21.1289439507888	16.7657350176713
PRKAA1.PRKAB1..PRKAG1 PSME1	-0.961857150518904	18.8544490461386	15.0256561194312	-8.26115212459997	20.4721836981523	16.2169946175054	-2.32095757627412	20.3753889885764	16.0268360649794	-3.90271582286924	20.1984874329319	16.2581829997417
PRKAA1.PRKAB1..PRKAG1 PSME3	-0.910385187748467	18.6725459097379	14.6704710610653	-2.46820716431754	18.9497189247424	15.1110055222539	-1.52515643216351	19.150240770975	15.230834720203	-1.99033697704076	19.2329543149267	15.3461909677539
PRKAA1.PRKAB1..PRKAG1 PSPN	-1.31577235856791	18.4506825582297	14.1240262915889	-4.93481356873835	19.5905357511018	15.4805651782924	-4.01402163331727	19.7934772604614	15.5744913304547	-3.97914932032554	19.6249763563643	15.4775361410982
PRKAA1.PRKAB1..PRKAG1 PTEN	-5.11400052388927	19.6788064779813	16.0870600241534	-3.60482541152409	19.9952002010686	15.2087656832408	-5.31265958836751	20.0976081098203	15.9724416948538	-5.19057305907143	20.3173845129402	16.0352894760753
PRKAA1.PRKAB1..PRKAG1 PTGS2	-4.2138097512089	19.8632250093958	16.6082150669148	-7.28579883318834	20.6741494334207	16.1163370509764	-6.80153159617098	20.7157062128117	16.8384785657802	-8.53246618144666	20.677158076294	16.8492133662745
PRKAA1.PRKAB1..PRKAG1 PTH	-3.57876023999322	19.4567716305262	14.8935597589879	-4.4020455025143	19.9428403632774	14.6076535255563	-3.16624968186645	19.6692521693812	14.9046899802354	-3.96678673484612	19.9263759142294	15.1132230787632
PRKAA1.PRKAB1..PRKAG1 PTHLH	-0.469535811504731	16.5961593761083	12.0708475661158	-1.00217747944424	17.5193503264933	13.0004503589245	-0.765315662771021	17.4550269210838	13.0221732282495	-0.722598021983764	17.377928805978	12.8942622536857
PRKAA1.PRKAB1..PRKAG1 PTK2	-2.20392824521933	19.6872936191523	15.5100812663191	-21.11731291971	21.0462167098998	16.3290174450673	-7.6215728012058	20.8353563042451	16.7657698603817	-8.51527731082009	20.8743318537161	16.6205435433866
PRKAA1.PRKAB1..PRKAG1 PTK6	-1.35312926407648	19.1662578101864	15.2192700317397	-3.81425753443643	19.6726683864736	14.5844153927156	-3.14033256877079	19.881092550661	15.7443394006475	-2.86768020508638	20.0556584049718	15.3937347052737
PRKAA1.PRKAB1..PRKAG1 PTN	0.694648584241327	10.3679444972187	7.25515673850273	0.580341082489188	11.274801659652	8.61977342332986	0.621702368647311	11.2710641835712	8.4424610220966	0.633534704996795	10.9761583066608	8.20169407227288
