protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRKACA PRKCA	-0.714658146274335	18.1497441710826	13.891407822312	-3.11960579441421	18.79316787332	14.2047479991414	-1.51187409604251	19.0036830335589	14.7996930049798	-1.72486156004811	18.8813983113026	14.5755305635859
PRKACA PRKCB	-0.726472370590957	18.2841804505318	13.9489601911067	-1.29292879904702	17.8345398667568	13.4841406499892	-1.21722855069765	18.4091565237145	14.4629471048669	-1.15254195976334	18.4522115368731	14.1954544501656
PRKACA PRKCD	-1.95075222275258	18.9792583317069	14.9113761208676	-0.803319898660356	17.4525180106377	12.5308099385001	-1.41036865726944	18.7373445945232	14.4143715184172	-1.63854359740577	18.5462675055901	14.2048339349408
PRKACA PRKCG	-2.00437440411251	19.2276404442885	15.3225773217032	-4.60015542359577	20.1364469976656	14.9292719243541	-3.2394069930046	20.0790186890541	15.2705009437365	-3.5553003012036	19.9874902506373	15.471619657452
PRKACA PRKCI	-1.53402251424059	18.2693274537916	14.6219215586292	-1.54640353596917	18.5767277047885	13.7696433593751	-1.36396077003545	18.7560816474138	14.5225839485981	-1.68159407252794	18.6931952303276	14.5395302036147
PRKACA PRKCQ	-1.07733963761537	18.3596676258046	14.3318290900447	-1.92690022893	18.427254336493	14.0269236227229	-1.48616528606931	18.9007727869774	14.5862204050224	-1.5896954663887	18.7093267411547	14.5003311282792
PRKACA PRKCZ	-1.10955172610505	17.216215462432	12.8583036788095	-1.66110667610165	18.2186151295753	13.5758924383123	-1.62850019810788	19.2630644661178	14.3814061917783	-1.68597231594623	18.6068021027675	14.1467212751335
PRKACA PRL	-1.41610422006605	19.208274898439	15.0891429976094	-3.41206935655078	19.8460866472647	14.7090984652331	-2.41851254450543	19.9873685609513	15.1037672362925	-2.26790710838168	19.8048743033427	15.1314046009955
PRKACA PRLR	-1.55159783978841	18.402522860608	14.3204456130909	-4.4648734436072	20.4505836132015	15.0213878078311	-2.72067134457384	19.8053726872054	14.9850203923398	-3.20521909514669	19.6734367718905	15.0454257488929
PRKACA PROC	-0.254033385187374	16.131890296852	11.519523237579	-3.92867202374491	19.7711431321067	14.9033901599223	-1.50275884789392	19.1257607931313	13.8426703701371	-1.24630271728146	18.578974383072	13.6188302199312
PRKACA PROC.1	-1.53579255536226	19.364092550315	14.7424384921171	-3.79639929793179	19.5825741716417	14.6475494534833	-3.07519172408644	20.0553901530002	15.4448672035288	-3.2154631389053	19.864155264077	15.1274516063106
PRKACA PROK1	-1.48055334165263	18.3507019989317	14.5250261740266	-4.08575238896093	19.8221820493361	15.1532146124155	-3.5003496733864	19.8738371249997	15.4891659903147	-2.71412182500391	19.5958105033883	15.4422128487697
PRKACA PROS1	-0.917652966034901	17.4084697465024	13.3375653886421	-2.37547035516072	18.6750544611647	14.0140935077432	-1.69396471123336	18.8367874952897	14.4007419600127	-1.97111756086392	18.7363761509142	14.3761173255235
PRKACA PRSS1	-1.35423932796891	18.6634967551951	13.8338849892281	-2.15429263627314	18.9389771455122	13.9570888656356	-1.92716558702953	19.5804695088062	14.7198571317773	-1.92525044299914	19.1664467189601	14.3323474786647
PRKACA PRSS2	-0.778390081505568	18.0527865258911	13.6729625723424	-4.50520614073622	20.2498292780342	15.0631580742376	-2.34307420129812	19.5835660608914	15.0872267891519	-2.16125304306738	19.445431302983	14.6115538107631
PRKACA PRSS22	-0.983475177088783	17.4354644632215	13.2401903317115	-4.26626068890545	20.6642772570938	14.9398552539171	-1.86763616322849	19.313661303406	14.3147746673551	-2.2755414171594	19.4478270236816	14.4892488447566
PRKACA PRSS27	-0.782162352336818	17.546534449038	13.0220031380001	-2.75542141934076	19.1931465416639	14.0454049097271	-1.56578596501481	19.0496879524003	14.1217572058516	-1.78817249759112	18.8661045335265	14.0370112002722
PRKACA PRSS3	-1.35752624972136	18.7931874952416	14.2877398145728	-6.09436008181052	20.6453266231563	15.5849401579014	-4.09290223872677	20.4754282100489	15.574410713169	-3.21050722865616	19.921014023456	15.3335654356901
PRKACA PRTN3	-2.86179811692839	18.8743711115035	14.8167060264017	-2.29128415886387	18.7001001052667	13.709489960048	-2.23562979279542	19.5914365858432	15.0752351158742	-2.67857907283049	19.1373918615776	14.8698943135045
PRKACA PSMA1	-1.16716888720271	18.3322057682138	13.9140353538559	-1.50599957605963	18.7033689686866	13.697463965383	-1.81602033055332	19.2089450608321	14.9225104539714	-1.71488485657363	18.777053734061	14.211847270607
PRKACA PSMA2	-1.67926488895978	18.5220271728316	14.40516918705	-4.22856151449998	19.3460610424206	14.4444471838515	-3.65407694630944	20.4388280354962	15.731010382473	-3.2734307873674	19.362623755874	15.0096255561828
PRKACA PSMA6	-2.0542699847803	18.6280846043617	14.3009729244902	-0.919126494692901	17.2951848985956	13.2842909595143	-1.38856166914729	18.4107818388562	14.1744109121032	-1.63886705785294	18.1646695373482	14.2918358519265
PRKACA PSMD7	-2.18699570226729	19.15490481244	14.954132818975	-5.37912969846853	20.0409275149841	14.9796749927924	-3.90803055613998	19.9795332552124	15.6040360910414	-4.44466493160395	19.8960285785208	15.4773847704996
PRKACA PSME1	-0.600931695270069	16.5633559413018	13.219662788267	-1.49956864660229	18.1063506101581	13.8724176892777	-1.1976124287221	17.7667057458817	13.8465562795059	-1.51210523779381	17.7945461449571	14.1142363490677
PRKACA PSME3	-0.693656558317445	17.6956458720573	13.7899361610853	-1.72822924022825	18.7211072045069	14.1638272461536	-1.27277052999734	18.5723291278968	14.4684469252372	-1.35615044410912	18.4392430890328	14.3171519963303
PRKACA PSPN	-2.30185079111306	19.3875134004535	14.9987218648505	-3.8363300371741	19.3287448697014	14.5961128623838	-4.19740270361147	20.1218449566204	15.5656330496013	-3.52822400670576	19.6629823593599	15.2109924195502
PRKACA PTEN	-1.09365690174537	18.0921003724834	14.3100963380409	-1.25121472485601	18.240990776315	13.5087132484998	-1.15990751318641	18.8059623089511	14.4774396842339	-1.36385747330404	18.5144941919435	14.3872964920795
PRKACA PTGS2	-2.26519065535806	19.1362209943777	15.7980122967837	-1.59976374183794	18.402418390408	13.8875981327352	-2.41644107887219	19.3592494494949	15.214352799087	-2.37726851730753	19.2025990874513	15.2425883049226
PRKACA PTH	-0.884512998089856	18.4651739004764	13.6176143710588	-3.03157033887174	19.2955708494664	13.9938645886726	-2.17332402962605	19.6516510397442	14.3905425965753	-1.84532476478677	19.388693141534	14.3209175490962
PRKACA PTHLH	-0.299567687342435	16.6515381350183	11.8309252018594	-0.763260187781604	16.9353204690771	12.3541884179121	-0.573252525984468	17.4621633629324	12.7212189190388	-0.582005866756947	17.0341320759565	12.4091277557176
PRKACA PTK2	-1.20755846256569	18.5117624429149	14.2515771387061	-5.24485981599597	19.7848794344685	15.2240587176211	-2.04222993585987	19.3084462172218	15.0011650943469	-2.77661940195394	19.4311282321805	15.0978401080253
