protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRKCA PRKCB	-4.6644347968089	20.3594582654695	15.9052868651079	-3.98406973172137	20.1727719404159	15.6319615348184	-4.67393242635305	20.409054688451	16.2382487538247	-4.73560300547155	20.3938610680516	16.0345198963525
PRKCA PRKCD	-5.30623786265033	20.619180669745	15.9491117534033	-2.08483302884737	19.2130819680675	14.3967959719011	-3.97514868913677	20.4212268879768	16.0344494421258	-3.80429692843466	20.1587701594473	15.5416128412835
PRKCA PRKCG	-2.39890468101158	19.161918000196	14.8377515647997	-4.82215885318769	20.5498630683344	15.0328875873274	-5.46112892987941	20.824801435141	16.0967976439551	-3.84538594802439	20.1622990445135	15.4036493569652
PRKCA PRKCI	-1.84923021375173	18.9590249098727	14.9982821506891	-2.65640339923533	19.6653444930004	14.8374437730443	-2.2274349811429	19.1619305136764	15.2739141570266	-2.85928356973598	19.6120194049722	15.3675580289314
PRKCA PRKCQ	-4.31603884211471	20.1104949995642	15.7049214490625	-5.64034995299017	20.5417586068908	15.6156057242435	-5.84616146108354	21.2178033397938	16.4047928863258	-5.79788071626256	20.6074346974709	15.9340674811502
PRKCA PRKCZ	-2.04599165844002	18.1831454529383	13.6236764326004	-2.1224538092419	19.298027418397	14.4389843676797	-2.1114451794143	19.763883250748	14.7667264701322	-2.25719394547018	19.3346856286935	14.5665991883316
PRKCA PRL	-2.3859205662689	19.6612203450007	15.2141565606107	-8.93298551353641	20.6551050047599	15.6130447224744	-6.00723724762817	21.3095675441635	16.502386294871	-5.31109065836864	20.6296084065785	16.0042566117401
PRKCA PRLR	-2.14003129902697	19.4849813251841	15.1108697603422	-5.94287507292746	20.973163749584	15.5523843253675	-6.69321334288843	20.6780575730391	16.0070721109451	-4.36355753684481	20.4637930787077	15.8217467588443
PRKCA PROC	-1.25275654850831	17.9205616141081	12.9226887015723	-8.50396709183114	20.7604725129066	15.9928277401738	-3.1077679980699	20.5344448879222	15.0985390674376	-3.19614448672766	19.7413009344369	14.7997390448518
PRKCA PROC.1	-4.30611992103334	21.4708682054114	16.281966044877	-4.1138831639931	20.2417059167824	14.813298115721	-7.25185159383564	21.5062267834323	16.3914850607287	-5.58643618825035	20.9444223741051	15.8816183394853
PRKCA PROK1	-2.10941164127981	19.8013132270073	15.0916150195852	-2.52035392703913	20.2966701227358	14.8115845553697	-4.63416014568411	20.5761013542828	15.9899279726274	-3.10665838298104	20.4214542268778	15.5327470509416
PRKCA PROS1	-0.853312693693778	18.0331524370016	13.392049273399	-4.60918343848813	20.2330968729942	14.9517336168807	-4.35699593184757	20.2339745542786	15.7295736326337	-2.77340258466129	19.4627157880922	14.7466751253223
PRKCA PRSS1	-4.35055701821015	20.0821614617629	14.9762706125435	-2.81496923024348	19.3816854307262	14.4728694052999	-4.3030583243745	20.7719281888697	15.9938243224007	-4.19299286493152	20.0115534518385	15.2411326279445
PRKCA PRSS2	-1.37180234842309	18.9000606284976	14.2167834485007	-4.39000458576796	20.1110040205606	14.97493968685	-3.066061607686	20.1651886773475	15.4636498901984	-2.43888903611045	19.7199577277742	14.8992728768059
PRKCA PRSS22	-1.02729221675184	18.1315802869053	13.7709227738081	-4.63539310770981	20.6869428605846	14.7524407376209	-2.40495092064104	20.1779449031157	14.9754524390892	-2.33293568898846	19.8196422266021	14.6425739168028
PRKCA PRSS27	-2.19933535733754	19.6593683578096	14.9196541573428	-3.20252853910414	19.4913979324951	14.7080704501715	-2.58959440363923	20.0075818270239	15.2771798553872	-2.88477093227142	19.9522085400612	15.1384469411727
PRKCA PRSS3	-3.42820644914325	20.2854908271469	15.2571575132257	-4.96488211638329	20.2675903137623	15.2279494255008	-5.41348367865638	21.147881030248	16.1618719941997	-5.77552653394396	20.4975055344344	15.7499609438548
