protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRKCD PRKCG	-3.55003263639769	19.2960158633672	14.960849882938	-2.23229763365059	19.308199029848	13.9321714712454	-3.77180776920071	20.1586734970146	15.4165748902288	-3.28548509721415	19.7315189918975	14.9790754945116
PRKCD PRKCI	-5.32707654162334	20.4520581530092	16.0771220264306	-2.26144259822213	19.6771840740341	14.080804375531	-4.75915509299848	21.0130947395291	16.1093756364972	-4.34648919057597	20.383621901863	15.4424138127477
PRKCD PRKCQ	-18.0412084654181	21.4673259612932	16.6447467587197	-2.342320505185	19.7006009802391	14.1231110774755	-6.59042990059848	21.2900084528512	16.239471909481	-5.50167704245477	20.9443164481416	15.7081773224386
PRKCD PRKCZ	-3.59521020414703	19.2705413248345	14.5769953924499	-1.6420129421832	19.2952154977916	14.0339629377859	-2.69242171907825	20.3166705179232	15.2451108131963	-2.32086143641133	19.9560127703131	14.7724879231485
PRKCD PRL	-2.28905994631245	19.5460685470714	14.60412817292	-2.17632745335564	18.9157671671542	13.8218700764341	-3.30456180252174	20.4321703841707	15.2557465515633	-2.90357884515102	19.7109803707853	14.8817419548113
PRKCD PRLR	-1.65568823543381	19.526402354405	14.784215050911	-1.96826935992295	18.8347440229292	13.3898850398168	-3.53682058699494	20.1069593124879	15.6166607176124	-2.34557277184471	19.4720320080035	14.7075622326073
PRKCD PROC	-1.96061136223684	19.5011549452672	13.906668845243	-2.26109905934686	19.4687161981418	13.9398516007631	-2.45547126156164	20.5382395084091	14.7465150333731	-2.11670313985969	19.9978119920867	14.2520878260742
PRKCD PROC.1	-7.64442733497289	21.2211667337919	16.4453134215743	-3.09296763235188	19.7547396857943	14.2783636469881	-7.28949442869028	21.5861423675725	16.2606285182586	-5.94361230650472	20.8300768115882	15.7359204414519
PRKCD PROK1	-5.23201806682573	20.1131647447787	15.3925773060446	-1.65135459469282	18.834478335482	13.7135390187166	-3.34342327088684	20.1810429438483	15.565670914802	-3.05030474811799	19.9619707386609	15.0849505755771
PRKCD PROS1	-2.24025743885963	19.6402578072302	14.462029999663	-1.91023976708064	18.5473046388356	13.8307692483115	-4.36343844306137	20.1858810891805	15.4272771920808	-2.2377282616634	19.5097082353275	14.5950027447828
PRKCD PRSS1	-7.9705147382006	21.2294556850617	15.8611403086944	-1.95011272449553	18.6402128831863	13.6063707163261	-3.41557719162718	20.3845247288378	15.3086503899962	-4.11420213908983	20.1981985895513	15.1621838713725
PRKCD PRSS2	-3.12458008297646	19.4031892471918	14.3065380770485	-1.82534870630627	18.8463807547459	13.6999920518848	-2.56643480053866	19.4976845014805	14.679680461502	-2.67296803936739	19.4384514909502	14.4203217790919
PRKCD PRSS22	-2.47494012360807	18.7338347733105	14.1960421807649	-2.20033957797934	19.2147940225603	13.5649684098823	-2.44383838663354	19.6384358849465	14.8143498921561	-2.65687527452379	19.2893598558825	14.299844347224
PRKCD PRSS27	-5.24854949086262	20.6610223078541	15.6071489039767	-1.9699517350611	18.9982067708717	13.5157245323539	-4.74100825102607	20.5219394222142	15.7226802433873	-3.6768142218038	20.2516095570305	15.0224520068943
PRKCD PRSS3	-12.6021692932312	22.0955868170307	16.8482316187606	-2.84054284779827	19.5906574970832	14.423896896266	-9.66903539763353	21.3302965255657	16.4243430359826	-6.46517095790546	21.0497496331107	15.9114605024996
PRKCD PRTN3	-9.61906214881271	20.4945470275987	15.7167973680948	-1.83712683886792	18.9141130448101	13.7200923783309	-5.10564353791723	20.4638734705254	15.6628351321942	-3.86087590490974	19.9832390228345	15.1513903402436
PRKCD PSMA1	-7.41041599764589	20.7704165608405	16.0341190078566	-2.16631832166074	18.8678411768887	13.2781348244034	-3.9563568394555	20.6728251196254	15.357101198491	-4.01364800331036	20.1690581932902	14.9521225738062
PRKCD PSMA2	-21.7384824233607	21.6038048065396	17.0152498335543	-3.37434151535263	19.6172359018046	14.2988513152734	-7.58043495124639	21.4158033354888	16.2887444403962	-7.47640208137891	20.9223433937321	15.918039515637
PRKCD PSMA6	-9.29142128334472	20.7914537624713	16.0308566195509	-1.70923348026012	18.9020550927094	13.5650910235316	-4.28714916799593	20.8152847819005	15.8277707881268	-3.75445617905268	20.1995398091871	15.2273631219075
PRKCD PSMD7	-20.1821351829348	20.9995549559433	16.5208862813023	-2.49239751391561	19.393448800702	13.9473746526865	-6.90805728592674	21.4531160531367	16.3116933579617	-6.15588513790732	20.9700898595058	15.8123921165221
PRKCD PSME1	-1.80078404143434	19.207344679206	14.7697416071461	-1.97700723348038	19.222099040619	14.0704614459519	-2.63261145696272	19.7659710714178	15.2254420775117	-2.0723042253883	19.5255002352349	14.8086905436479
