protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRKCG PRKCI	-3.96745790093495	19.7065984257893	15.3604237535098	-2.78363421816307	20.592649574327	15.4164039294969	-3.14964876879084	20.2849254892781	15.6663811484648	-3.72579816693712	20.1595894950003	15.6232217188484
PRKCG PRKCQ	-4.99719169438959	20.117231996832	15.5366127121214	-4.74816608262688	20.1006634628348	14.8160125689886	-4.29268985796556	21.0070974753074	15.7029133533954	-5.41185629330326	20.4528787440696	15.6580580477201
PRKCG PRKCZ	-2.37306071054869	18.5350688116386	14.3328951664455	-2.45563785890515	19.1890611726014	14.6019694086147	-2.22974757674919	19.5889559804066	15.0748060589126	-2.46175539246849	19.1955103775982	14.8609397297908
PRKCG PRL	-3.05126460990009	19.6048641302944	15.4151961679454	-14.7064943669987	21.1822051194934	15.9284677804612	-8.04628523360499	20.9744848164619	16.3077740297228	-5.39310076295345	20.6392635506148	15.8653013866707
PRKCG PRLR	-1.50774085033104	18.3381198669498	14.4391848369338	-12.1672599531457	21.1295817562916	16.0833811803848	-3.81225508948976	20.0534179683281	15.6701773089465	-3.92222263340009	19.952144712923	15.4857125802016
PRKCG PROC	-1.1549217421776	17.9992504442324	12.7714406493188	-3.38449769713757	20.7509860094825	15.1649042684868	-1.92549350852999	19.9365319640765	14.3459807399088	-2.24866893482948	19.7215115398085	14.3447958473559
PRKCG PROC.1	-2.84726209684802	19.9370920208318	15.0951009558445	-6.35348139062177	20.6415765999185	15.7038652302207	-4.55176804956328	20.7851267589273	15.9117946537529	-4.53825553133486	20.5007344375286	15.659993662975
PRKCG PROK1	-2.1497393881001	18.7720793139975	14.66911822109	-4.12809055222504	19.9049001724413	15.1028745673367	-6.11896671506353	20.5665573600628	16.0761846035949	-4.49428856796482	20.1030174251735	15.7583848168377
PRKCG PROS1	-0.78833921633189	17.6897238188712	13.3694361384098	-5.96487577389198	19.9322418796217	15.0039022163879	-1.72374590710465	19.255133861246	14.7493293240427	-2.50733600342909	19.2623238250971	14.7094708255089
PRKCG PRSS1	-4.30663048377368	19.8869021420682	14.942845868233	-2.70542946715021	18.7771024155067	14.2511281511222	-3.66801839125865	19.9312120173149	15.1073743076852	-3.74611826554784	19.8204295424509	15.052387314542
PRKCG PRSS2	-1.60891011871873	18.7960766081785	14.7591362274621	-2.62396877649436	19.1892793669988	14.3596445416035	-2.6535732384744	19.479017167201	15.1484128301742	-2.44722161219342	19.253049749077	14.905393382628
PRKCG PRSS22	-2.11253057300854	18.1412785500649	14.2176959661588	-4.763610987946	20.3544651688971	15.1895753933325	-2.54502426454363	19.3072186945928	15.0857760970461	-3.30436702693477	19.5022423006378	14.9983131334379
PRKCG PRSS27	-1.86743196257722	19.2108585134892	14.3150871942182	-4.5674537959801	20.3464402519689	15.1249190832735	-2.72253894145711	20.3509983700713	15.5717384810529	-2.67049725467646	20.1645184963561	15.019002691871
PRKCG PRSS3	-2.74356534169202	20.0209701651336	15.3261950334344	-5.97682018683023	20.1850703759585	15.2601176174614	-4.06923034656942	20.2945266432539	15.6375951162471	-4.23341389755701	20.3932733845623	15.5289636010269
PRKCG PRTN3	-2.21217749294232	19.065401810438	14.93839287008	-4.25162292132	20.0724966238502	14.6556672240231	-3.91112812031163	19.9984237915873	15.5620485088859	-2.98603850312434	19.7186735223407	15.1008047161051
PRKCG PSMA1	-2.90344036063356	19.5559075346069	14.6867647304249	-1.52112427757081	19.3480329143862	14.187668410502	-2.60846649645548	19.5761711321162	15.1568956490989	-2.50498370642684	19.5559627846308	14.7809477814561
PRKCG PSMA2	-5.09093883345652	20.1181018339693	15.9577293097383	-5.45079722566791	20.013039407118	15.5210850671129	-7.02471593310664	20.3809268229315	16.0941736009194	-5.92545405014998	20.2790778575944	15.9176655490895
