protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRL PRLR	-1.68820021067065	19.2102657035049	15.3394230349743	-6.4849619072746	20.7802288977917	15.3873193732065	-3.81387936995283	20.6567471071687	15.9678499630775	-3.36946270608218	20.1772333997383	15.5768727295773
PRL PROC	-1.10248625044722	18.103158946978	12.4690416168114	-7.49002808283171	20.9340752470013	15.7125958820289	-2.80117157960136	20.9896926083955	14.6221794087418	-2.76287372515696	19.9213698646267	14.4627219728036
PRL PROC.1	-2.50717398066228	19.7303904817529	14.5513113023103	-3.96149689068115	20.4021472120446	14.9831892814005	-6.77187718243641	21.0768233709378	15.9336673641293	-4.09764576666669	20.4679645005652	15.3559507007385
PRL PROK1	-2.1974911463409	18.9878594649822	14.4647832576869	-2.04171027594122	19.7575934742217	14.236600453359	-3.40684802345623	20.0415710849874	15.5749139709229	-2.8747943854562	19.8420836734227	15.0417515005661
PRL PROS1	-0.738117251724287	18.0659510500916	13.6004670769796	-8.25405351922983	21.0469656969627	15.4298641203889	-3.7454595857132	20.4596862159547	15.3984485842579	-2.24802523699232	19.9226040557655	14.8255545984525
PRL PRSS1	-2.36497388290756	19.9706189888136	15.173815197704	-2.51383340797987	19.2276920739655	14.129578076989	-4.46064163580643	20.7147861981918	15.4331829556142	-3.47969259956215	19.8868814949683	15.1763331047179
PRL PRSS2	-1.65967417850653	19.1972713934649	14.8956672805206	-2.55522044841174	19.4067358507088	14.0909906750484	-2.92718637086991	19.8110996052443	14.9287227049201	-2.21141498332442	19.4371588705222	14.6996007155486
PRL PRSS22	-1.44522839058882	18.4900035990679	14.3341492947517	-5.03112582957033	20.9742999841828	15.5533107372709	-3.14470615871256	20.4609382488665	15.5932440681763	-2.72340667786981	20.0142440246091	15.2267297607446
PRL PRSS27	-1.72541345644153	18.9546434905788	14.0313096077021	-4.90336507546654	20.4727278812187	15.2094339561688	-3.44707227310355	20.6439324497011	15.4612721997206	-2.70746867261051	20.1983779456401	15.0044221563642
PRL PRSS3	-2.5785119814586	20.2425938595135	15.8593297081407	-7.89364101207112	20.551591567885	15.1450988916995	-7.5772590888401	21.5711301624855	16.5528083717263	-5.07620893571279	20.925239334166	16.148706957622
