protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PROK1 PROS1	-1.35564214911238	18.2132308874016	13.6094862428752	-5.13404136596489	19.7945844073444	15.1685940555205	-3.32656780678016	20.0553559993839	15.4422273282619	-3.07795151236832	19.5289755673414	15.0282299527499
PROK1 PRSS1	-4.1116501494007	19.7593040702134	14.8945679855953	-2.41867090729233	19.1494276714922	14.8527456271936	-3.43310738994138	20.1942099385193	15.4962583491225	-3.51800948748671	20.0112788937858	15.3979939798373
PROK1 PRSS2	-1.79492686475542	19.1302489848769	14.4211274328805	-2.27816964332828	19.3897468500534	14.5735880813941	-2.97491511316146	19.8045986737539	15.2953405874215	-2.26874692968711	19.6053484949662	14.9896600821559
PROK1 PRSS22	-0.643153445529931	17.6694019268352	13.1745150611436	-1.57091674451795	19.1279115682391	14.140887074368	-1.43150253939147	18.2685103808799	14.0902935904652	-1.23489506254539	18.8761258001443	14.3205093531733
PROK1 PRSS27	-1.20093551758928	18.339054756568	13.6344420710423	-1.99050416872857	19.0414062660168	13.8686949140921	-2.01251391363364	19.6098031694675	14.8708117003957	-2.12087083017181	19.3266851848403	14.4641874016322
PROK1 PRSS3	-2.07946113467702	19.5159535744464	15.0276957619805	-4.03585245288565	19.8577853372494	15.4860871403732	-8.73607883970803	20.9070935923216	16.5494129196494	-5.69872155578876	20.4090234929549	16.0729745497394
PROK1 PRTN3	-2.16707465239097	19.0962744472123	14.9722676315777	-2.75060846216038	19.0428251864639	14.3719378929046	-3.268665283042	19.3100045296118	15.1443185736191	-2.88649325735399	19.1706161894744	15.0231562152703
PROK1 PSMA1	-2.43434590323791	19.1118779767655	14.9272583127883	-3.16012070496224	19.7236394717036	14.7934443156524	-5.7523334643919	20.7533087419229	16.3974819092373	-3.90605739166729	19.9704625312539	15.4186458197028
PROK1 PSMA2	-3.46000579413001	20.4927094557527	15.9408694158736	-9.55888145785694	20.4597298837471	15.8730101575679	-7.04966763204235	20.7638260765534	16.210733294003	-6.73396880817866	20.7480050858923	16.2796762497994
PROK1 PSMA6	-2.70335474393686	19.6590074070852	14.8122348861683	-1.55881253308327	19.0573873884844	13.9103586343235	-3.01207388657432	20.1272385597281	15.7885566422257	-2.83840732584624	19.7471726581679	15.0354244229994
PROK1 PSMD7	-2.76365323839153	19.6195704650742	15.1272686601062	-6.58865499155451	20.485406562704	16.0226352932817	-7.39309821271346	20.6339862810027	16.5266520753105	-6.74889895726843	20.7859498608097	16.3285478839955
PROK1 PSME1	-1.77224609734489	18.4086063708753	14.9746375920917	-2.18937902744517	19.4162757421341	14.8318968763236	-2.42493623819244	19.3234341441053	15.5237323746683	-2.74706283859703	19.3021965248554	15.6255368145223
PROK1 PSME3	-0.371857299500414	16.7145232249347	13.2115985932247	-2.35648284338737	18.9974189789913	14.9371021116453	-1.54139016795812	18.8983479056239	15.0748641382004	-1.52256340307608	18.5184778351473	14.8172463416147
PROK1 PSPN	-1.74243203118646	19.2257528573412	14.1815511518256	-5.17990066572599	20.3088010119317	15.6411762572716	-4.03408437314901	20.0903988902534	15.7118473373864	-4.91608641562313	20.0049720608532	15.5589074580556
PROK1 PTEN	-1.19954592487713	18.2108199492084	14.3861011869731	-3.22106437610656	19.396010972963	14.7742708134008	-2.95524131031781	19.4842292927278	15.4861170046427	-3.020567366166	19.6395455550859	15.4425633721202
PROK1 PTGS2	-2.03188040572824	19.4476712016145	15.0703816780548	-5.04695475471478	20.123383697408	15.4107935407711	-4.11701998161262	19.9600500531584	15.6503710799084	-4.11361790216624	20.0265017778135	15.7008796314669
PROK1 PTH	-1.90888191749369	19.4939587761615	14.3359448768127	-2.30803967444596	18.5143984748529	13.9531402834489	-2.678796864307	19.1940421389822	14.6992530167885	-2.42426165459552	19.4711717167031	14.6664662089045
PROK1 PTHLH	-0.381558891958078	16.4064002201121	11.8207357867455	-0.778676273232566	16.9968036963357	12.3045353826844	-0.714974372554629	17.2782021891404	12.8483823966058	-0.609770716854896	17.0590638375636	12.4599487952698
PROK1 PTK2	-2.6393493025877	19.2652588264177	15.3210621467188	-4.19451807211375	19.5913132627162	15.2442709731595	-7.50138606147993	20.1722629696193	16.1922706980338	-4.85413311001459	20.2807294693586	15.9911119402594
PROK1 PTK6	-1.71181813956367	19.2601728283917	15.3710116091569	-3.62394820517223	19.6497325886065	14.5080016378359	-3.93588815548282	20.4180972029363	15.8891591795453	-3.23640502043595	19.7858929184326	15.3728054903998
PROK1 PTN	0.71663681992553	10.0448559659861	7.46204388365089	0.565317355262572	11.2489503462118	8.15922260130088	0.63486019221469	11.1207659220234	8.18769177586417	0.641563913255156	10.8074879823736	7.88100942394418
PROK1 PTPN1	-1.78621388185587	19.2917625825437	14.4234083188322	-2.92088622615228	19.9891007053817	15.2295637159566	-4.30817605534664	20.3873108401046	16.0732300731317	-3.69431360653298	19.9682019189845	15.6622941759896
PROK1 PTPN11	-4.07166423375373	20.3842566340492	15.5262187513634	-3.12043863288396	19.7741351531102	14.5323232295669	-6.21540335364606	20.9782665810444	16.1554721605167	-5.03950480765456	20.428350084179	15.7090405180653
PROK1 PTPN2	-2.96001756308849	19.1890871166436	15.1406653013022	-8.00358613211686	20.3619895024472	16.0435923810585	-7.57836414420545	20.3338405627095	16.2587673738598	-5.49305210614457	20.1860863428874	16.0550589112534
PROK1 PTPN6	-5.23594481830301	19.8962246867463	15.8818821599501	-3.5647072426003	20.0096755292573	14.3507313054632	-6.9582308202382	20.6651112357422	16.3876840257843	-5.02922503536803	20.47619882248	15.761109361254
PROK1 PYY	-1.97264102939312	18.9107303594022	14.5254343240898	-4.26863838963925	19.7567728575282	15.0944448031016	-8.67082901097085	20.5000702280586	16.2450668721729	-4.17856289396128	20.0437398645354	15.4701644722528
PROK1 RAC1	-2.37477804141893	19.497702591951	14.6558733069827	-2.13087784836979	20.1823186019479	14.4265621802339	-3.50882877661807	20.4433344025523	15.849690785551	-2.98968707887611	20.2307922180186	15.1998637400781
PROK1 RAC3	-2.58689980853276	19.9102948379661	15.2597584515854	-2.63498299717583	19.2457315566024	14.161574702723	-5.10245594259651	20.4601215687375	16.0716138637455	-3.55553520838299	20.1740308581615	15.3938769499316
PROK1 RAD51	-4.41088594982143	19.9154466962285	15.682732961251	-5.05781299600205	20.2642975088605	15.7156830713686	-8.90556317241671	20.9038444037692	16.5960880922934	-6.34735604146257	20.6205863194127	16.2372013067846
PROK1 RAN	-2.3512923216555	19.4602269130592	14.8938773338759	-2.83987578104144	19.7084930020896	14.261286467563	-4.56422568720886	20.3763723525137	15.5593980440618	-3.37914094852014	19.9907188933266	15.0970645286331
