protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PRSS27 PRSS3	-7.02792505433281	20.9478065231107	15.7569111089592	-5.76455133296576	19.5521844393368	14.9692852008064	-9.78143546984306	20.8359960181435	16.2331084113475	-8.18731679114601	20.7765288802256	15.8196115598625
PRSS27 PRTN3	-3.69872018673254	19.9864014820073	15.458548925736	-4.91268497851724	20.1049772615876	14.9711108622892	-3.55105590996886	20.3370382432947	15.4670817630666	-4.00834142675865	20.2438941060999	15.4929228802818
PRSS27 PSMA1	-4.92665762081416	20.6370299278474	15.366404679737	-2.77645499804346	18.936048803879	14.1985909228842	-4.37562113183989	20.3962106929556	15.7060019968479	-4.0219731140495	20.0263204216806	15.1805797063384
PRSS27 PSMA2	-5.29032989620889	20.7632992160898	15.6383739366485	-6.92158615119633	20.2936599005426	15.3387134282512	-7.94017339353644	20.8822558849218	16.0487507725139	-7.35334715144706	20.842508048912	15.8711077346247
PRSS27 PSMA6	-5.28087082433072	21.1402693845222	15.9362005726605	-1.79678156856484	18.8376396534567	13.7431574179312	-3.35293431618506	20.2177311610733	15.3181055704037	-3.80000843160564	20.3723721885785	15.2442956479147
PRSS27 PSMD7	-6.25079537828555	20.2778270398829	15.3320612657148	-10.4481669463112	20.9063738176607	15.7505886304111	-9.65558629679568	20.9506261534287	16.3272184036895	-8.30733239851964	21.20006921177	16.1705061242566
PRSS27 PSME1	-2.13918697544355	19.7354813319044	14.8454896310609	-2.40980026418493	18.8956687560619	13.9217353945136	-2.81577341344868	19.8577198444701	15.1711769919947	-3.04100810367277	19.8258965841972	15.0232275492784
PRSS27 PSME3	-0.833118551578059	18.3260086017144	14.0279678461958	-1.06957958509054	17.762501540255	13.2740995556413	-0.941844815905912	18.6438223626159	14.0305786429182	-0.935409202349712	18.4595467162791	14.0454166832677
PRSS27 PSPN	-5.10957005006339	20.4470665431613	15.2579305418307	-2.6349754120149	19.1419597753276	14.2617936410469	-3.45466134006973	20.249735786879	15.1783887676605	-3.79364851002034	20.1481700208589	15.1713169425077
PRSS27 PTEN	-3.6961279473584	20.7724390232626	15.4766013008334	-4.00685571913899	19.502224256796	14.7693281311147	-3.99537604354389	20.2959017145967	15.5611012600073	-3.68891583226216	20.4421573030497	15.4689910402984
PRSS27 PTGS2	-1.59672996298711	18.8614759799183	14.3419318276234	-1.81425365370612	18.1066293309964	13.6764225476676	-2.20822982921586	19.383371439462	15.0053913336437	-1.88358227468354	18.9466244000344	14.4856369546026
PRSS27 PTH	-3.88000760985181	19.4009683070647	14.4646577346533	-3.12497512897393	19.5668014913273	14.0499099195088	-3.5889470480738	19.6882027904733	14.6330616188344	-3.7307488419277	19.7711170519347	14.6209349416187
PRSS27 PTHLH	0.103598392613213	15.586674171936	10.8860780817588	-0.249790159325058	15.543937116635	11.3865318522347	-0.529077344130859	16.6857030446747	12.3935210077479	-0.0838005828079638	16.0039710900513	11.543055714638
PRSS27 PTK2	-3.46200456225483	19.9537569144922	15.4970295799491	-3.8156413202206	19.9390662285277	14.7985343395968	-4.9114407327217	20.5760747548524	15.9205791319414	-4.39742036319499	20.4346405809149	15.7564479534058
PRSS27 PTK6	-3.24571943271042	19.3490393913571	15.0858889852912	-1.96477156450343	18.5607884288999	13.4169846412496	-2.988642944839	19.8211535064805	15.0513085313081	-3.81952057414037	19.5720325899469	14.9482407095589
PRSS27 PTN	0.708374493757406	9.97376933189198	7.07216726711953	0.58951310584633	11.1435172445532	7.96642318530635	0.604857115245437	11.2927708228367	8.39181896776435	0.66742114040938	10.5765716056686	7.64522437652108
PRSS27 PTPN1	-2.13071792057301	18.9638699295458	14.3484505244997	-5.92795006423707	19.9742135892007	15.2379584167842	-5.17324956487693	20.2919200582227	15.5267330460578	-4.13528392136233	20.0107752605519	15.2671695606791
PRSS27 PTPN11	-2.95819783189078	18.7010617979729	14.4922965415301	-4.16252836808942	20.4980836518397	15.0888303631596	-3.87367619419133	20.8033694127	15.9693552666854	-3.97188700393747	20.1847797205066	15.3334843165248
PRSS27 PTPN2	-3.70030118846474	20.6018612265704	15.3272378007233	-6.76567218625534	20.525932338719	15.55278765809	-5.49414213436466	20.9545016502644	16.219795536329	-5.27041000305859	20.9245921225587	15.795839201672
PRSS27 PTPN6	-5.0096470143728	19.9810015275906	15.26100804508	-3.26777160098406	20.8678784822778	14.9290361954731	-4.75981438645936	20.8987795430853	16.0386090532654	-4.64802358981152	20.9096172299669	15.6019907833822
PRSS27 PYY	-4.96443170562169	20.5175399683883	15.6624271863495	-4.16936669368171	19.9125357488955	14.7218928428288	-5.14042904713322	20.8732154194196	15.9599907380473	-5.43884503134123	20.5455372489346	15.6305311545319
PRSS27 RAC1	-3.19851650704296	19.7976185852191	14.9631784269019	-2.28105813640599	18.8630861311623	14.1366248626255	-2.85563382828669	19.9747076186985	15.1379635307658	-3.04891884144433	19.7760653643558	14.9490346468852
PRSS27 RAC3	-3.10893366099989	19.5628146348926	15.1144690393354	-2.90055668203168	19.5974263617448	14.6875465713707	-4.89026108251503	20.7809890782975	15.9215734779587	-3.72734628317828	20.1404776800796	15.3789235437056
PRSS27 RAD51	-3.89403532908902	20.4655942568485	15.1188513197148	-8.65379040552891	20.1996909776006	15.4360502590033	-6.38285593723959	20.6048211426374	16.0088274845861	-6.06022787594008	20.7852868479207	15.8300092426069
PRSS27 RAN	-2.42990139753691	19.3412706761122	14.88325023259	-3.51317982453977	19.7710284164148	14.9836058017599	-3.73445089791033	20.2786787433277	15.7124232738531	-3.90584735892805	20.1240699399982	15.4441267943221
PRSS27 RARRES2	-0.453899991064488	17.8059982255636	12.6892363593214	-1.2642681348167	17.5567381215222	13.1372142968048	-1.05118906036718	18.002796905772	13.8202493964038	-0.812613461139392	17.8269792575077	13.1473514448917
PRSS27 RASA1	-3.26487331539891	20.5202716576538	15.0368936328115	-7.4433129963627	19.9316986627189	15.4098485402102	-6.69291523596883	20.5785145752079	16.0150483235688	-5.87220584726202	20.7253616082915	15.6885045175344
PRSS27 RB1	-4.65264353582674	20.3830732784219	15.2553001915856	-5.25581051468755	20.2255173872971	15.1889172212951	-6.86165874453204	20.9130075326436	16.1580830725002	-5.65851894983448	20.8200701080871	15.7499881071033
PRSS27 RBM39	-1.70140299392535	19.7543067008877	14.058198825968	-1.6030807127566	18.2106402523927	13.6245323913355	-1.51082446536471	19.4169312035878	14.5305948285756	-1.88840240743169	19.7056363024098	14.3793103479229
PRSS27 RBP4	-5.20161969902543	20.651186616796	15.5189257012217	-6.67201137770252	20.2096334208052	15.5799150491134	-5.07924817295866	20.8560157707268	16.0833629550286	-6.93110130153011	20.9590938745199	16.150112896309
PRSS27 REG1A	-0.50122657014279	17.427932574287	12.7596636931822	-1.18697288156267	18.4272057981658	13.6903429257138	-0.845685606701928	18.1521660314498	13.8420793633016	-0.933815451050092	18.1694177428834	13.5363933437897
PRSS27 REG4	-0.838137957759832	16.7671568445195	13.303261594336	-1.22800400955407	17.5594853688375	13.0746427017237	-1.41097373695502	17.8852929292921	13.7846869485012	-1.05449550731604	17.4611932842764	13.4792253740266
PRSS27 RELT	-0.142161892387669	15.6211522857309	10.8950222024432	-0.874820652368836	17.3826772599424	12.2614207934322	-0.399405951060648	16.7053089076523	11.9320431804695	-0.457611133950249	16.7490049720944	11.7461503095435
PRSS27 REN	-1.39220819866922	17.7080500937034	13.7381436302838	-2.61893719902952	19.7151544806444	14.5138829665076	-2.03149376976335	19.2675560719523	14.5179869117263	-2.14527936026111	19.2251935511129	14.5217635001541
PRSS27 RET	0.387654432944003	13.6911043464148	10.3352303515583	-0.96655041346833	17.0151705946565	12.1690312662392	-0.362615046959897	16.226575808372	11.7832925737004	-0.0707741479961543	15.6676306600615	11.5129259955147
PRSS27 RETN	-3.0760215796426	19.6923827369018	14.5963630882011	-8.10793180317889	20.2594835077062	15.5792730975131	-5.08706976620063	21.2319046219863	16.0428593350258	-5.41928803054675	20.3390772466196	15.5286612020955
