protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PSMA1 PSMA2	-6.37488695273647	21.4536588076955	16.2817293976146	-3.42801392006026	19.5045857891471	14.1138566142272	-7.38681040494682	21.2868051257392	16.2668746442866	-4.631072256611	20.8726422543	15.6854820621699
PSMA1 PSMA6	-4.94321052311481	20.6468777041719	15.9358376680364	-2.02531283692588	19.5951068551629	14.4530929816955	-3.74748635677183	20.4797994476811	15.5978754149251	-3.10492101087684	20.2552746907312	15.3762233981188
PSMA1 PSMD7	-11.1726815024292	20.9303458116403	16.3272777449414	-1.75893860974689	18.7778671939679	13.7311223420794	-4.63157316732614	21.0861017850288	16.2203861746704	-5.06081924780699	20.4919206493282	15.7425517754164
PSMA1 PSME1	-2.49559758749557	18.6893910090789	14.6723693101421	-2.36664482201218	19.5135572724093	14.780387318865	-3.49315117185779	20.0388969837681	15.8710910793787	-2.69785327134213	19.3016855757187	15.0333313048175
PSMA1 PSME3	-1.08778050001295	18.4242502175146	14.365690222976	-1.30816519198836	18.2263707696327	14.1472917362121	-1.8286944014987	19.0426874484581	15.2000110854858	-1.61253082677996	18.6935527582944	14.6900630454553
PSMA1 PSPN	-3.54819567505682	20.3369304290195	15.1001646836497	-2.55320397585143	19.1469554813725	14.9236392529733	-3.63920932721701	19.9605152169973	15.5361192600902	-3.44488165207048	19.895343818231	15.3865593447353
PSMA1 PTEN	-6.14658612091895	20.7248555819988	15.9175220363205	-3.25012234731604	19.3403105286362	14.5114180710582	-6.38569347636106	20.72724211191	15.8893637281848	-4.51340650522391	20.3072829444361	15.4464930714297
PSMA1 PTGS2	-7.59137319530786	20.5464302762599	16.3827544937272	-1.68062510260095	19.3198137978928	14.3621286108253	-3.65552122003601	20.498961992978	16.2459594009874	-3.93562621889961	20.1898231188539	15.8017089400234
PSMA1 PTH	-5.75791659065089	20.2887890065437	15.2703862774335	-2.14854106109144	18.797853458177	13.7389179804803	-3.46958103982885	19.7838191289464	14.9521177661111	-3.85417243216385	19.8647165274404	14.9008628134662
PSMA1 PTHLH	-0.0299103649407466	15.8453394339239	11.1592334826136	-0.342615328303376	16.7196959588677	12.208159263829	-0.49987733149238	17.2913764317007	12.6564940405138	-0.323585509001544	16.6806241979452	12.0769121659567
PSMA1 PTK2	-5.08700254318619	19.8931580848273	16.0555118593857	-2.74044002851452	19.4713357235416	14.6546563142567	-4.45269121977523	20.8063350812528	16.3348145905069	-4.62510128277207	20.1030732791746	15.7939294476493
PSMA1 PTK6	-2.23195593339071	19.8336721405935	15.2669579961754	-1.74827404586224	18.446310894984	13.4729888465671	-3.1054129548404	19.8216070691336	15.4399619712661	-2.6194444153772	19.3157031880022	14.8094858011402
PSMA1 PTN	0.698785592897535	10.0657845787897	6.83797294990878	0.600748697788366	11.3068182143519	8.22556860625355	0.636992659888846	11.003736975329	7.80276166725532	0.641022784105977	10.7576350514319	7.692667555311
PSMA1 PTPN1	-3.11668408384427	19.9417011523688	15.6146024109422	-1.96448944843946	18.9635327905494	14.3316068813226	-3.93000151284373	20.2759164741246	15.8225299537727	-3.36495874110117	19.8724920402759	15.5010875491571
PSMA1 PTPN11	-5.27087021875337	20.6714601053159	15.9117435451968	-2.04348788364943	18.9996228577214	13.8251793145645	-5.48600638661791	20.7254629422823	15.8834957501383	-3.68403164686034	20.1013118230508	15.2458770880972
PSMA1 PTPN2	-10.8797071694943	20.857302763339	16.6047172283586	-3.5080467832783	20.1756492010664	15.3395682678823	-8.56717638239675	20.716950962827	16.4795046904715	-6.66687161224062	20.6955867712249	16.2891940673803
PSMA1 PTPN6	-5.0519828860146	20.5627195907153	16.027859488117	-2.00490786634374	18.9493665318469	13.8623727401132	-4.12789828633491	20.1330784099552	15.6520381615013	-3.52236788700052	20.0718825086786	15.3195496688128
PSMA1 PYY	-8.65672092405305	21.3672735176763	16.6353716208635	-2.36833695216751	19.6902743953467	14.6845602024297	-8.39444527442803	21.4410371078866	16.8218138586753	-5.21458795492741	20.6566595649313	15.979595755554
PSMA1 RAC1	-6.48346790107121	20.5299849402411	16.029918074635	-2.42595823371315	19.0157406293127	14.2981251875464	-4.09792455858076	20.0953830308282	15.5825678426953	-4.07139650145858	20.0979215502733	15.5183869824236
PSMA1 RAC3	-5.02594751016281	20.1399250065946	15.5558422740896	-2.38903981529322	19.0873011980571	13.9489043474428	-4.64325503394633	20.1745174759372	15.5778559410364	-4.19009250593924	19.9851077646791	15.1743900578286
PSMA1 RAD51	-5.62847735262059	19.8982390043911	15.1171886430067	-2.13093370195897	19.0637718634911	14.3856761987424	-5.64538068325996	20.5040139319804	15.7168064440806	-3.81638081834085	19.9923754753784	15.2719774218143
PSMA1 RAN	-5.49084374098789	20.5566582043871	15.9761422175225	-2.224515270039	19.3907452132345	14.3342290863128	-4.01752531543513	20.5489082393937	16.0606741856048	-3.89884249318267	20.2815684812877	15.3983306690692
