protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PSPN PTEN	-5.42216104628985	20.206355326404	15.8177806216279	-1.1259340346665	17.9165154107939	13.8711362465492	-3.11781103276738	19.4960565233407	15.1437719995342	-2.90545222544183	19.5293710151085	15.2706469067074
PSPN PTGS2	-3.51013377008007	18.8371846811375	14.9074489861477	-3.82530565614717	19.8555208971844	15.0140606720024	-3.74103941517651	20.2403825415967	15.8332612790481	-5.16570880587508	19.7389922129044	15.5531023619777
PSPN PTH	-3.51678465003176	19.4160343496687	14.9048879842026	-2.93765395443796	18.7341270195162	14.2710426726388	-3.71175271779284	19.5643751122256	15.0678642748468	-4.03643347784441	19.7314823600707	15.164481757012
PSPN PTHLH	-0.227148265787668	16.7407927355978	12.1453408080038	-0.532940676680416	16.4350851392627	11.5780958234536	-0.612674380838088	17.2235685046803	12.6496141096431	-0.490176927839603	16.9244100832293	12.3105133823632
PSPN PTK2	-1.97830909545666	19.5755527616298	14.9138798745463	-5.19972125836339	19.4046955497244	15.2615977593758	-4.96542666994623	20.1600054985699	15.8054114116759	-3.40747221021891	19.8217396442713	15.4165743889103
PSPN PTK6	-2.33054294185591	19.1499667063911	14.9554713151339	-3.67589389174368	18.9877412525043	14.3101025839887	-6.18832738763029	20.5064902757384	15.9318963527156	-3.52297969481692	19.3319347360506	14.9923030878294
PSPN PTN	0.703839322930103	10.1375765569456	7.47523616021851	0.647771567353831	10.4986351169092	7.70694710217739	0.648668472912811	10.6638437748127	7.99891409667164	0.678343545234075	10.4262184146925	7.73054151039891
PSPN PTPN1	-1.45492882578249	18.9556529424084	14.004139819128	-2.65258756470396	18.6894207093171	14.4599940531269	-3.6947765467259	19.8310504175062	15.5217404009567	-2.34561557750805	19.2205511888036	14.771391927015
PSPN PTPN11	-2.42814468514146	20.4711616037963	15.4352685179944	-3.45346616670373	19.0597909767322	14.3106260764738	-7.56207251026565	20.8319403846318	16.1942535373842	-4.09147671631164	20.0082884317094	15.3118422442699
PSPN PTPN2	-6.26522623652848	20.2588753718944	15.8432987744876	-8.33950656859118	20.5082157111998	15.9922843869651	-7.88393193462925	20.8328352464144	16.4285598745273	-9.834964985092	20.7416371265333	16.3215263141788
PSPN PTPN6	-3.7706019733968	20.6576291745798	15.5172971137105	-3.31001605037092	18.9323891828336	14.4339428993642	-10.1084818951503	21.1218440287255	16.5165408739202	-6.36377559303117	20.3123359294302	15.755937244833
PSPN PYY	-3.28194037662703	20.183540922845	15.1776431796246	-7.90136331164923	20.0766705674955	15.3752915235203	-9.99633484041765	21.0327544661442	16.4353765726967	-6.22387010236496	20.475103346341	15.971352963741
PSPN RAC1	-2.90762759095473	20.3632249902859	15.044461986728	-2.64148585592563	19.5034756842817	14.6195113742243	-4.58271258981572	20.3432453973497	15.8222159376563	-3.31090474874654	20.0121318359314	15.3493957904863
PSPN RAC3	-2.80844595589528	19.7112608740015	15.1401417211769	-2.32448409984573	19.129805888968	14.1475491403426	-8.96767202471662	21.394664908444	16.5232066721291	-3.54801435229264	19.8361827072717	15.2051562912644
PSPN RAD51	-4.11976432776762	20.4752859839236	15.550067135776	-8.50738811766186	20.5177918941431	15.9885987578773	-7.91044149440406	20.9151191405539	16.2941876992627	-7.91202649431456	20.853830519892	16.315491854283
PSPN RAN	-3.05300568120489	20.3268781148406	15.7550125874852	-3.02705892433345	19.3654894849574	15.0288060435438	-7.24397989885433	20.7948869307139	16.3443331280235	-4.79300594794412	20.0975317181119	15.9431133708197
PSPN RARRES2	-1.37741062539353	17.7791510991583	14.199399351847	-0.85426673122783	17.2470519860073	12.9423882885072	-1.17133207530099	17.9111378246685	13.9039360824261	-1.19687270549591	17.8200361670394	13.9038458353983
PSPN RASA1	-4.07387685782958	20.1427654669536	15.2708039415947	-4.59067719551542	19.9638377596325	15.1992688173394	-5.04090795221768	20.516166542575	15.8285288336881	-5.74029061700844	20.4730874326873	15.7072815138714
PSPN RB1	-5.47376630786603	20.5040530399713	15.7966361539452	-3.88726529131157	19.4749790170707	15.3264320321771	-8.19642028101353	21.1407242923088	16.4543348571739	-6.04840758128189	20.3619444595416	16.0103678696347
PSPN RBM39	-1.75905307210652	19.0857942370108	13.9476836443681	-5.30280668066823	19.1911830948947	14.9176688642191	-2.00308427315117	19.9684710778517	15.2001418171884	-2.67165483375565	19.4353994038486	14.9341832689761
PSPN RBP4	-11.4841881040548	21.1547361841411	16.5524374441477	-8.76692605660755	20.0585002987047	15.913892587157	-13.28780785183	21.1301448614513	16.8112009702743	-11.9635716463434	20.9713809933629	16.6423516847486
PSPN REG1A	-0.462525396851035	16.902096626233	13.0432252937154	-1.06676196183971	17.4642906547845	13.6484707961252	-0.698306164364169	17.6713234738342	13.9899147944827	-0.629482600635769	17.2956929389947	13.5706383637795
PSPN REG4	-0.294391840243032	16.3352661319561	12.617650843504	-1.13180017667814	17.4044141672289	13.7832745320748	-0.546270645471726	17.2231234399734	13.6496011398056	-0.564398385765764	17.0609014293261	13.5028728756476
PSPN RELT	-0.16300586073446	15.5741575733945	11.6254693981134	-0.367030346187845	16.7712909496479	12.0248654582943	-0.251428029633149	16.6989836583042	12.0864117636381	-0.240109773956245	16.2764004920851	12.002317408863
PSPN REN	-0.871576638897356	18.057149426593	14.0669023016259	-2.77697853938607	19.1463906676302	14.3210547589965	-1.64703910643598	19.0598163784981	14.7147046032157	-1.72584837160026	18.8270991662292	14.5331871784467
PSPN RET	0.440096048742496	13.1252374871112	9.66287018876401	-0.166693871721932	15.5822676868386	11.9537387761791	0.0261290833459175	15.3695832237216	11.4738656607689	0.160845041375341	14.6996226119384	11.1724514407459
PSPN RETN	-2.32083697208204	20.0282204975889	15.3752179111173	-6.54329317434709	20.4460409924269	15.1383752647469	-4.89950540502544	20.6123483772042	16.0012445114388	-4.39534967803301	20.4186757044386	15.6322918258124
PSPN RGMA	-0.743704867048909	17.590845608557	13.3388889166993	-2.79434498604613	19.120138320406	14.5930119984344	-1.62668323811846	18.713183437373	14.397086325661	-1.76369435878944	18.5549819735331	14.3054519552054
PSPN RGMB	-1.64500780258123	19.3735045922435	14.3451047105411	-2.48421407581608	18.9383710077002	13.8413880864541	-2.97169778986598	20.0771812657195	15.4518716102642	-2.32636440057651	19.4717434653959	14.7744146631279
PSPN RNASEH1	-3.86207253043936	20.5585850711584	15.8957198245937	-4.74027651540345	19.6060517147743	15.1498863599839	-7.41787145817014	20.5790271023605	16.0818558299864	-5.12880097383308	20.3756905520745	15.8212237685478
PSPN RNF43	-6.71425744781615	20.2422437041064	16.2698616554655	-9.5793127825053	20.700869171241	15.8761409717765	-10.1738428161319	21.0523930858127	16.5636457041757	-9.16748403717549	20.6445496070318	16.3468710205498
PSPN ROBO2	-6.01882411252353	20.2620216007499	15.5842524936263	-1.04281263439014	17.6284310408612	12.8110007285357	-3.53632463162566	19.8327616694443	15.2129935656644	-2.56420927832155	19.2336554828693	14.5967599385176
PSPN ROBO3	-4.30929586187611	20.2357507946746	16.1578691196337	-4.69588241767808	19.8550705124572	15.519173489472	-7.03174702076324	20.6879233635862	16.3104800551261	-6.54796392944406	20.3865426108979	16.2641720228173
PSPN ROR1	-0.119357740765616	16.3468780590805	12.2564368555824	-4.08880423903752	19.3825102420469	14.7521616278836	-1.34330697967255	18.3633951046287	14.0699284702114	-1.06208870716364	18.3601882773817	14.0125723394752
PSPN RPS27A	-0.922721286244319	17.5800825568207	13.6749204828417	-1.39283897271138	17.9003605088937	14.5117158067144	-1.21390724986661	18.3781476196267	14.5487640125185	-1.30198465017182	17.9010766980203	14.3694393526634
PSPN RPS27A.1	-1.91106269278769	18.8210041940207	14.5732954574578	-1.14776784796103	17.0598018944682	13.7890760819158	-1.23497070993066	18.0940879939349	14.3956316983652	-1.42766627969937	18.2957147058377	14.4764812182095
PSPN RPS3	-5.82917055564715	20.9579420496466	15.9329100307815	-2.84829425943446	19.1311441294996	14.1957604417051	-4.64496013920693	20.2914278743754	15.5323086007061	-4.9391315194049	20.2610501718893	15.4046490118942
PSPN RPS3A	-2.47059382363279	18.9965782440702	15.2981657610515	-8.01087180328082	20.0455975680972	15.7303453694872	-11.5593252234826	20.6608319233098	16.3235268881113	-9.04810739599111	20.4894995798021	16.3226827324956
PSPN RPS6KA3	-1.83704670681011	18.0278301439754	14.2541575456875	-2.19784882518786	18.4285920549547	13.8696920855349	-7.61291884772203	20.4862698923876	16.3220790665715	-3.26639200578109	18.8955565980984	14.7182198392162
PSPN RPS6KA5	-2.77544787230311	19.2781629961176	15.0318240730148	-1.00356018475934	18.5955857934056	14.2703546721001	-1.86628435421085	19.054149047765	15.1071914175122	-2.2152127027321	19.2312520358181	15.1387066198896
