protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PTEN PTGS2	-4.27467076693548	19.552944778211	15.9526541887925	-1.92947536854484	18.7643960298356	13.6240610262446	-2.68907971094998	19.6790497467623	15.1335215868212	-3.17549546720488	19.4732135525363	15.1728555881095
PTEN PTH	-3.84467180575205	19.6867677275074	14.7544948650558	-2.03432190442061	18.6985730405022	14.013676052887	-3.09039405161077	19.4779968762388	14.706908773277	-2.94479110222688	19.5993936751911	14.7997608194917
PTEN PTHLH	-0.413729860793872	16.6525037406582	12.160503570773	-0.668508255944676	16.4110708040577	12.4216935865518	-0.710168078947281	17.1619479744129	12.929640231327	-0.57886436831074	16.8474837985192	12.59663247565
PTEN PTK2	-7.60565096340767	20.633487199606	16.3813468779559	-2.74499503219673	19.1226395698804	14.2028701891739	-5.9497542915714	20.5284975031279	16.0408524054551	-4.66604833120712	20.2264736176535	15.8142205880294
PTEN PTK6	-4.8013710413082	19.5512963300197	15.9683884638378	-2.81993098374867	18.8422832271752	13.8217240408843	-3.44384859864099	19.7744520897604	15.4282759421327	-4.21880401037663	19.5185717547309	15.200214463584
PTEN PTN	0.691087806579013	10.2718836169493	7.27131826396176	0.570217485368534	10.9709931247109	8.12628552196209	0.620284451320285	11.1440578355409	8.21973666519958	0.616425939160437	10.8448669430581	7.86573430248169
PTEN PTPN1	-3.48042983498555	19.1165342048994	15.4129914709144	-6.26618064501154	20.1375552151515	15.4817527728469	-4.80533390332198	20.6253774602984	16.3259949134919	-4.96811878192246	20.1606985564593	15.9311909472381
PTEN PTPN11	-1.82699219083963	19.427079472895	15.7532358594289	-3.38246933682136	19.0549061244739	14.5270409828922	-3.45735467337331	19.7872265235511	15.6760395392371	-2.57125892393762	19.5670412220551	15.5036023639048
PTEN PTPN2	-6.62006335344053	19.992746986248	16.4398907476997	-3.58498766861294	19.5637005035987	14.8276528342406	-5.18432564354497	20.2898731561861	16.005111200701	-5.57932827472061	20.1574658445553	16.0204259809318
PTEN PTPN6	-4.64119207751588	20.2490511989488	16.1810115554992	-2.00459304095221	19.0652054257979	14.2590730376471	-5.15689093965	20.2700057525193	15.9415628176321	-3.52812060536488	19.9789563004652	15.5937905305682
PTEN PYY	-4.77494168292651	19.4908074743195	15.401012668305	-4.14641356020845	19.8522718741535	14.842882416535	-5.80225021156614	20.69789593656	16.2484093112244	-5.22206070823885	20.073322904061	15.7341256105774
PTEN RAC1	-3.14177204425902	19.497724887341	15.2655197142004	-3.80610202909221	19.7082314802052	14.5408407793507	-3.35292057708618	19.7605162368287	15.2936894031181	-3.27001887919594	19.855048096768	15.2729147860702
PTEN RAC3	-1.04551058235707	18.750221104759	15.0106337140617	-3.11303291602032	19.543050191367	14.4502389964659	-3.81583390454634	20.1692640205356	15.7842779407425	-1.95402364720816	19.4968608937034	15.0622200904765
PTEN RAD51	-7.40762105952881	20.2739038409624	16.0774194322679	-2.62049397667977	18.6909895816502	14.0833102930566	-4.19326113372106	20.2158559972879	15.7731667425662	-4.19840944150761	19.7831448456198	15.4683627218858
PTEN RAN	-5.77567828218578	20.3881519371834	16.2128409163721	-3.77287309919213	20.0885197224921	14.6820754604003	-4.70672815631511	20.7745278475616	16.0236592326229	-4.41480469182203	20.3701179905872	15.8276435187741
PTEN RARRES2	-1.58629057583029	18.1367488481548	14.5063837211434	-0.902938664456761	16.923126439799	12.3012443237846	-1.12668642499549	18.2067678822361	13.9302391873663	-1.14614913920736	17.9088675527234	13.8087617010036
PTEN RASA1	-1.73466685096547	18.8634095853869	14.2403121141115	-2.07586079207129	18.3281100463623	14.349669116545	-1.89522145401425	19.2687538185108	14.7670925541791	-2.14420031487481	18.9194099298885	14.5363899995822
