protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PTHLH PTK2	-0.210717378628301	15.9416508986609	11.5846275344973	-0.290998791883922	16.3521074002512	12.0599448062636	-0.487817249905171	16.6778224776717	12.4514895921544	-0.37280969763789	16.5664283280296	12.2406655505561
PTHLH PTK6	-0.181983024391485	16.1712451917611	11.7811954469437	-0.477251639921844	15.89749584228	11.6622681634246	-0.516375981484847	16.9536805219549	12.6012229583198	-0.390276079407986	16.5126773584632	12.181610506969
PTHLH PTN	0.722896462968425	9.83298146948193	7.4207102396188	0.590671543961838	11.1021060824309	8.52624572982733	0.630593359961262	10.9803532647363	8.28982424229404	0.658422029823024	10.6758375316959	8.26881996855281
PTHLH PTPN1	-0.0258990943982771	15.7536664308142	11.38373343594	-0.307618099903002	16.3385433363302	11.5716171245172	-0.394565663486817	16.6855759275668	12.3558939990017	-0.251186816817205	16.3568636755316	11.8804229332063
PTHLH PTPN11	-0.189715718011212	16.5756387109679	12.0820538071387	-0.59516611802562	17.014074630569	12.0286297419384	-0.483381551863233	17.1643301300309	12.6344713583333	-0.421221721750772	17.0765829585229	12.3415145373159
PTHLH PTPN2	-0.405735999177389	16.3803017155719	12.1275128382246	-1.17058355881237	17.1639209277852	12.5368452167676	-0.724347249750664	17.331448768947	13.0245117766991	-0.736528912706723	17.0544905732389	12.6284463404905
PTHLH PTPN6	-0.305201055014303	16.6965856482394	12.1178527592467	-0.698217197673233	16.8833596392459	12.5152466133243	-0.573588440130761	17.2517689261977	12.8450844233422	-0.579855634588575	17.1984688776146	12.6207240999503
PTHLH PYY	-0.432936975175086	16.513180495661	12.2311342473533	-0.738605129154965	16.5449684844878	12.3155157669783	-0.835783553263839	17.6223754486526	13.2402662918482	-0.691412637231482	16.9463298688287	12.7017670747044
PTHLH RAC1	-0.210863053474437	16.6389341896214	11.9454848049899	-0.4855156674713	16.6774743570912	12.0155681085561	-0.553700274788104	17.3157998664504	12.7738731896835	-0.524090361160181	17.0189381700715	12.3618032956545
PTHLH RAC3	-0.0974852305078022	15.8374154289109	11.5390328933952	-0.655585339415865	17.0124776994358	11.9823030937564	-0.807289735594625	17.7527276802245	13.178286333696	-0.560847246023607	16.9508815657517	12.2346137611953
PTHLH RAD51	-0.0557436636392141	15.6198751377677	11.4498371863197	-0.940342707863253	17.1876886679131	12.167738445416	-0.527680015469575	17.0534702577451	12.5426960790188	-0.513085132614512	16.977310813736	12.2044019486463
PTHLH RAN	-0.240829706222087	16.3138585510037	11.8368869307604	-0.348834885425825	17.0187671299766	12.1691813836748	-0.53117940542995	17.3278137743339	12.7122333044052	-0.428986370925237	16.9596661046006	12.355309572183
PTHLH RARRES2	0.0799500003908633	14.5118672979478	11.1795991859911	-0.199835555545747	15.5702869926491	11.6119761550611	-0.183928641909997	15.8570297854242	12.3356161774333	-0.0393447000653286	15.2610354541912	11.6607275757367
PTHLH RASA1	-0.239312953069415	16.2085033043894	11.8420867001164	-1.4079953631463	17.3875329797094	12.8991608150536	-0.689514316305402	17.4419598327023	12.977864639572	-0.638200954663506	17.2662631055174	12.7240216481636
PTHLH RB1	-0.135278048108816	15.6638860617292	11.7314965868249	-0.567336830636598	16.7073491173134	11.9464434043909	-0.673711498888115	17.0806645420307	12.638861644882	-0.409894818403893	16.5376983689394	12.2130208805872
PTHLH RBM39	-0.175231709330588	16.2071036576285	11.6125515024035	-0.725514444702458	16.2806752056167	11.9910369122889	-0.36970450785067	16.3841612974034	12.184819610077	-0.481056126485235	16.7599540275094	12.3790689060484
PTHLH RBP4	-0.338609890208355	16.5741173066857	11.6702102077633	-0.590932179784584	16.3179292117394	12.3955853146252	-0.717188173635948	17.44113429489	12.7919681261646	-0.702977762241536	16.905367418465	12.5869894622825
PTHLH REG1A	0.0484194719477078	14.5460773735874	11.196442581678	-0.364772023233845	16.2615180495495	11.7166334004693	-0.000572536320249561	15.5826654262228	11.6831080496337	-0.079757942733184	15.7482000097886	11.8075373645408
PTHLH REG4	0.196073388554802	14.1031048154409	10.3469090316495	-0.507044574811738	16.3077910171548	12.0293942223261	-0.0700899109439768	15.6342492407929	12.0865769205639	-0.118806182259698	15.6292908778828	11.6596884864908
PTHLH RELT	0.224176384723296	13.6547299136616	9.98799988512966	-0.107540243402277	15.2262423781173	11.1398251772292	-0.0794854086729713	15.5025387600308	11.41606858793	-0.0506528806562858	15.0456331812077	11.0684711508565
