protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PTPN1 PTPN11	-1.05617292640778	18.4482862309031	14.2921973038146	-6.10187131911408	20.8225331331846	15.3403624029571	-6.15449305814553	20.9792774779538	16.3473312405633	-3.71423460793697	20.2206589050631	15.6141730600704
PTPN1 PTPN2	-3.26495471557474	19.7225177498884	15.1804942624729	-10.1544298681606	20.9725698171858	15.6276658332363	-14.8255468650141	21.2770077528676	16.7976589022023	-6.68489880658695	20.6753562812406	15.8605757263973
PTPN1 PTPN6	-1.90944678544878	18.667138829936	14.4943520935917	-6.97238832722419	21.0402637440887	15.4273081661362	-7.88779459721016	20.9933781450614	16.3915326925183	-4.59647837845254	20.3205864947125	15.6015903234481
PTPN1 PYY	-2.85205066848609	19.6753461470648	15.3304817927243	-8.69678610338301	20.5959400618346	15.8913357062344	-12.8358158296263	21.4536326960433	16.6931229812648	-6.82905878974444	20.6097591037331	16.1633744436285
PTPN1 RAC1	-2.05784172697436	18.5640167636747	14.3011827569032	-5.45453292256542	20.2258893841569	15.0453213920641	-9.04719195422914	20.7048946778305	16.1596483682959	-4.6230972513462	20.0942620803504	15.4594109943689
PTPN1 RAC3	-2.27726508291225	18.8444040956192	14.7572113403521	-5.67110128931471	20.5262785042388	14.9591492323216	-9.26689947476776	21.2463860862572	16.7221155254647	-5.49220531153381	20.3776612601348	15.6490609202296
PTPN1 RAD51	-1.82353538509853	19.5100300627792	14.4155859398323	-6.9003280363893	20.1171287595873	15.6281667795052	-10.3273169696724	21.1991732162212	16.6106508738009	-5.52259454082723	20.2782266513191	15.7383601553732
PTPN1 RAN	-2.0778836687561	18.8825903373849	14.4207860527831	-9.06965508537181	20.7638428263455	15.7114196989179	-16.1393966740001	21.4168541828892	16.7881633728796	-5.57507179728699	20.1776342760543	15.6807934088045
PTPN1 RARRES2	-0.678523882975601	17.4569664419815	13.1871237127586	-1.01170689366351	17.7170198227406	13.1985241331885	-0.967261871837555	18.1182692598025	13.6479892434517	-0.770412991543406	17.8770515503367	13.460583909011
PTPN1 RASA1	-1.93142161093787	18.9692063458293	14.1312754815201	-7.79554760444199	20.0783256481357	15.5618420980202	-5.74902983331872	20.520022044843	15.8770053852401	-4.53328335047958	20.2057861948981	15.4251737639483
