protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
RAC3 RAD51	-5.05161918831594	19.9416014105203	15.7094112305381	-4.7740967460415	19.8210752114457	14.7204508998848	-10.0191043617674	21.1629440034774	16.4690285167777	-7.58902339653672	20.399588449562	15.890759679756
RAC3 RAN	-8.62979208611432	20.2363251977291	16.0202875219355	-5.21914476622337	20.3700154100178	15.5267909944024	-35.2287797621307	21.7254048962265	17.2811383574345	-9.51267890152651	20.702556053079	16.4549764902427
RAC3 RARRES2	-1.28066154947555	18.8348329638199	14.7484467388578	-1.01294391713622	17.2212450468135	12.8212366491659	-1.28760894976483	18.2644711410767	14.1821979588573	-1.02401038439958	18.2446865319253	14.0416489743492
RAC3 RASA1	-3.72362152682501	20.4225843440204	15.387409310411	-3.67814981809126	20.2615903541837	14.864778008981	-5.91235432203646	21.3365512225797	16.0628418115524	-4.55276968362373	20.5450715247355	15.5549789765301
RAC3 RB1	-3.90639835681982	19.7251130426309	15.3129841747143	-6.63754709313056	20.3991271885788	15.4673707508005	-12.3740913843321	21.2988286578478	16.7233802390945	-5.78908993932509	20.6481775756104	15.8693844185436
RAC3 RBM39	-1.49644768172098	19.2557443499901	14.4582253598626	-1.71672631790667	19.2595834452652	14.2851210117023	-2.81417827360614	19.9389142066578	15.594798983874	-1.88788415958017	19.6978958355231	14.8611142705913
RAC3 RBP4	-8.18114839222034	20.3019322315436	16.3246870725567	-2.31025414721338	18.5078424137617	14.3123502339293	-11.5925588242585	21.1021654648764	16.8563406721936	-4.30759138845768	20.0980114526479	15.9195070607907
RAC3 REG1A	-0.594088445538062	17.66222536883	13.6763417144801	-1.03873859212315	17.9033674135028	13.2804667751046	-1.08749541451325	18.5393240263064	14.2991782780953	-0.882164607556267	18.1557390681197	13.8066692141279
RAC3 REG4	-0.567433384472617	17.0034119807534	13.2461157283934	-0.782851524929537	16.9531651594755	12.0385824873795	-0.73264600098025	17.6095025697763	13.5526868412217	-0.733440356661625	17.242275198952	12.9240581682694
RAC3 RELT	-0.289923075276393	16.3737615046484	11.8634197456959	-0.422167130470867	16.1264350158165	11.3094712671339	-0.764714069940884	17.4755180505056	12.7129150827821	-0.452084490315303	16.6650727726046	11.9550110241878
