protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
RBM39 RBP4	-2.63658735533925	19.8922393200655	15.0569890834236	-2.43437769452134	18.259469007395	14.4878307215396	-3.82223456618108	19.5376713213646	15.3586500522866	-3.1034699513193	19.9253488769665	15.5572832463504
RBM39 REG1A	-0.556049367795353	17.0487316513387	13.0169618048549	-0.95970981195502	17.4943964248841	12.9486050851257	-0.614124096675855	17.5731822082391	13.3802846509789	-0.844919703816888	17.4773408630302	13.2157636669518
RBM39 REG4	-0.0488390128347362	15.6252365839273	12.2844886184098	-0.76996568476058	17.1790633044887	12.8103248046602	-0.364346039543313	16.3342232569231	12.7390498917818	-0.475838446438458	16.629772871332	12.796847445626
RBM39 RELT	-0.23161472154344	15.8641971100068	11.7068809465852	-0.662431565333118	16.9148322082696	11.7418928242641	-0.410972675302762	16.6622260116471	11.9902011937199	-0.419592508217506	16.6994223826708	11.963077027595
RBM39 REN	-0.656030372569728	17.9317051526996	13.9526602042774	-1.6737284083313	18.8179328732809	14.0444724461784	-0.987852561723564	18.9344306497199	14.3860331637543	-1.09830319669042	19.1408483482937	14.4258435135881
RBM39 RET	0.440908437567725	13.1713391811472	9.6392836041794	-0.228751910124131	15.6999277114412	11.2796133964951	0.0349757670517894	14.9744427190019	10.9397402995959	0.070728290013514	14.9614878402259	10.8502709025053
RBM39 RETN	-1.33110573948524	17.6574967856383	13.7139238513433	-4.0030542538736	19.5661505717549	14.9731476491215	-2.06644577955572	19.7013482751919	14.5883255556837	-2.31718008577085	19.2253627068189	14.6501012582748
RBM39 RGMA	-0.861069062865193	17.8447273627509	13.6374544479282	-1.86411697232911	18.7851326988542	13.9266595838136	-1.55679202731084	18.761301629476	14.4986909371868	-1.6070700060064	18.7802079383452	14.3373767331036
RBM39 RGMB	-1.169428139841	17.6045688999193	13.6931731167893	-2.80787398936836	19.8120653130284	14.6335605318601	-2.19157791648442	19.201664722085	14.8249181558969	-2.05220880576795	19.2839280421457	14.5296257946547
RBM39 RNASEH1	-1.76671126520868	19.5604636914982	14.7684589808218	-0.842603412681942	17.4972772037694	13.0979231763828	-1.42898266617001	19.3352488244184	14.5387042821138	-1.36325221177873	18.8612753790774	14.2221838100085
RBM39 RNF43	-0.945539617111188	18.6852333339401	14.4156141248182	-3.89482183536187	19.2575779968975	15.0049884254373	-1.9402469457139	19.4675422716627	15.2765979989208	-2.14264035593164	19.720277965587	15.2418827885102
RBM39 ROBO2	-2.11843288456844	19.4613624531153	14.9079042481728	-1.24246677740543	18.7009620605298	13.1853006749381	-1.77802000697937	19.493476094295	14.7165921563973	-1.68580434302852	19.3511142353408	14.3236041883998
RBM39 ROBO3	-1.90243478070996	19.2986923356599	15.0546414540319	-4.71041520623836	19.7602498586249	15.1517871674789	-2.38366023320321	19.995920572186	15.4571534725961	-3.33982583692082	19.7652906479235	15.4764473848888
RBM39 ROR1	-0.259472517711925	15.6532083978006	12.1155673473335	-2.1639490651488	18.7381788419404	14.2571546280892	-1.18118517101129	18.2599213649389	13.7137715483816	-1.2278871245387	18.0013558385325	13.5511603528045
