protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
RGMA RGMB	-0.134916653410874	15.5183396029258	11.4213115585495	-1.94560855376057	18.6215585757197	13.6808892631807	-0.899276135027793	17.6124689521897	13.1260588083093	-0.900264883988696	17.4938919131592	12.9278422550353
RGMA RNASEH1	-0.726895415771996	17.4382674094813	13.3447761122258	-2.02048446579902	19.6257864125342	13.9555017196246	-1.55491043559616	19.1859379763422	14.5276233158319	-1.4887338621982	18.6609023857303	13.9928656612143
RGMA RNF43	-0.554067512190068	17.1304635559212	13.1154197286333	-3.8711592876229	20.6703939861952	15.2156313625461	-2.54399352507846	19.4000022056918	14.8913192424867	-1.76463798386731	19.1524447879969	14.448792983989
RGMA ROBO2	-0.770686914569423	17.3766643779021	13.3755572476921	-1.93829746268569	19.7578267192436	14.0103331548477	-2.28512403362624	19.3785300229354	14.8286210297317	-1.4092113312169	18.8923168354342	14.0397382318383
RGMA ROBO3	-1.1427427143542	17.6660759178669	13.6377705443356	-2.76289828126785	19.8384524677597	14.8901604084399	-2.22750861509143	19.2863896483778	14.8691717858911	-2.3153565866168	19.0438230948606	14.6907958841288
RGMA ROR1	0.528398058010297	12.5086847998167	9.79575064576384	-0.9400297324971	17.7629687804037	12.4005205957713	-0.0309194093497158	15.5839575678864	11.6441618451857	-0.00620031849597846	15.5776488030736	11.3088221427964
RGMA RPS27A	-0.304496487533093	15.857099977489	12.4766119586789	-2.03994443335355	18.9069721818948	14.1546144047589	-1.45558532789766	18.2908973936809	14.2222755855481	-1.17503952250317	17.7547251260053	13.757071209495
RGMA RPS27A.1	-0.924816794216802	17.3575067238099	13.4773264351339	-2.04650869672459	18.7041611382191	14.0956384262165	-1.43903089602589	18.2553954663011	14.1309706334637	-1.69132806865889	18.293017161995	14.1687117996691
RGMA RPS3	-1.33849730675329	18.1223694315276	13.9705974019308	-2.39371049307264	18.7264892817149	13.6802573202423	-1.76852282140687	19.3829418027	14.5888584360246	-1.67322892169927	18.6793206225792	14.0620496516237
RGMA RPS3A	-0.457940668261216	16.684202891825	12.39047466709	-2.74441448456297	19.1986680797076	13.9562434171897	-1.63125932028531	18.7509345664338	14.4075500502492	-1.80754587449954	18.4251208557101	14.0513954734605
RGMA RPS6KA3	-0.158278611420783	15.6846299544	11.8308430149788	-2.37950321929924	19.5005211977367	14.2854128209656	-1.49337977393155	18.5954491218329	14.1217434282906	-1.29667400028308	18.099461815498	13.5905227822413
RGMA RPS6KA5	-1.04678518062535	17.7392965505127	13.8123108974576	-2.14479628567393	18.9162981541804	14.3007736896064	-2.26179545749652	19.0145674482705	14.6757971688187	-2.14512111052053	18.680619469253	14.5009662731282
RGMA RPS7	-0.790507486815212	17.6350212688131	13.8205409344959	-2.46555131527185	19.3987760300782	14.0525990154381	-1.89180558812395	19.1139105043623	14.6975635447859	-1.56495441738896	18.6500475550462	14.2004134858341
RGMA RPSA	-1.06545413746094	17.5813180614889	13.223241790808	-3.36226245525169	20.5352999077733	14.8364715947879	-2.82885269956015	19.7127433527988	15.0770485105415	-1.8125602332142	19.3618214514621	14.2689730534228
RGMA RSPO2	-0.7866613054378	17.1544507295338	13.2346940196817	-0.981650067793731	17.4690117112333	12.7420678905639	-1.20580902573685	17.8514407914417	13.8056583219261	-1.18628676369885	17.6437883284586	13.4532616170157
RGMA RSPO3	0.551583188637878	12.1119863744169	8.55673861044744	0.102046603571039	14.2679352062579	9.96448329159289	0.408716567885293	13.1929098123984	9.63166054582898	0.328212904987362	13.4801214573954	9.57574163831011
RGMA RSPO4	0.4616228766954	13.1719147562345	9.29743787740971	0.338504917158744	13.7606745887077	10.3148734766732	0.370551876239873	14.093652740286	10.5659824400125	0.387112083210682	13.5893654997395	10.0476289080537
RGMA RTN4R	-0.563407073077563	16.9743137067181	13.1653669051253	-1.9795131000677	18.7759145456043	13.697745945359	-1.49391549117849	18.144282035066	13.9949308451815	-1.34667797236399	18.1343940099121	13.8668136298298
RGMA RXFP1	-0.559617664224983	17.0855894302071	13.0566304161424	-1.38492757861929	18.8501984157951	13.3352765800554	-0.859995280729706	18.2248243462725	13.5770161782816	-1.03132286143828	18.3336213325222	13.6036501992106
RGMA S100A12	-0.670474054674723	17.467984421469	13.361172331431	-1.47610227275511	18.7721243664775	13.6646378510754	-1.36818682840751	18.4877087749706	14.3079174692843	-1.22021828401733	18.454156405389	14.0194930450798
RGMA S100A4	-0.805068689981104	17.2285094495962	13.5513000547141	-2.31937067578051	19.2295459962233	14.2346315523896	-1.42591987574728	18.2585723752384	14.0939606814954	-1.53838704152985	18.3963437366416	14.0941894041457
RGMA S100A6	-0.400593829814711	17.0885096306848	12.9964692690153	-2.8052350297615	19.7782511050737	14.7379906678943	-1.93283500673797	19.3033966514749	14.8747380090506	-1.34287861231788	18.5506080537186	14.1288872883065
RGMA S100A7	-0.801733846842249	17.6525124019027	13.6719652314386	-3.23900509880596	20.2655010475587	15.0696178073613	-2.1463571739259	19.3447523679774	14.9334140264463	-1.81027244350701	19.182858714086	14.6717321159772
