protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ROBO2 ROBO3	-8.05907570380926	20.1268404743252	16.3393214831088	-2.33549721155623	19.3990774893071	14.1492447147678	-5.0095347717377	20.7287954313042	16.1999730426026	-4.73158996770623	20.1102053352948	15.5908499195362
ROBO2 ROR1	-0.572918668752988	16.3665675718515	12.6882029479007	-1.08618595376461	17.8327192143162	12.7315662299514	-0.699495598782764	17.3340515584511	12.8622073681354	-0.846419411116384	17.3769236017774	12.9499955184052
ROBO2 RPS27A	-1.48134157185301	17.8307793447997	14.5520727730752	-0.925876703882641	17.9048523405394	13.0221097545434	-1.64707331620856	18.9433615322598	14.8420474797632	-1.58371208955476	18.2656751214846	14.2164148438917
ROBO2 RPS27A.1	-1.95135815721104	18.4558379297197	14.8361513873524	-0.88294052656039	17.417368327761	12.5763954305638	-1.43632818130941	19.1854065987876	14.5684227293685	-1.51116272053906	18.199958592064	14.1640127076791
ROBO2 RPS3	-8.85082107185598	20.7689965562947	16.0756328816702	-2.22615779053965	19.2511331661858	13.7899891375287	-6.55661233273984	21.1118242007387	16.1436827866302	-4.74436432156491	20.3842743755812	15.3323844154412
ROBO2 RPS3A	-5.66181486711865	20.1961383030731	15.7992639983206	-2.42585260895595	19.4347673756074	13.9706325690863	-4.31729924574648	20.6348777494013	15.5868579849377	-4.75068744829547	20.1995521508883	15.3396330417318
ROBO2 RPS6KA3	-1.53343926722453	17.943627535723	13.7430205040738	-1.8371469592782	19.2025985009569	13.9272453614096	-3.30446274254355	19.7730065391792	14.9155900554368	-2.11904815503986	18.9631956069614	14.3463842384633
ROBO2 RPS6KA5	-3.63023127793868	19.900365491617	15.8707556766507	-1.54348896363657	18.7283544850255	13.738934166182	-3.09349675282214	19.7311885269678	15.5791055728474	-2.54388007081183	19.5712804181941	15.1213209629651
ROBO2 RPS7	-4.33758044072211	19.8011424503972	15.4141723003916	-1.78121631289936	18.7684968499066	13.8559165485282	-4.28585570016692	20.2558349778208	15.7031309935518	-3.74063678432605	19.5803694156396	15.0589528834787
ROBO2 RPSA	-3.36819959134897	19.6610666770288	14.9216030244188	-2.81643858969006	19.9827159135232	14.4408059574595	-5.99013659291918	20.7985259648689	15.8679674496259	-3.49354162045193	20.0006274174691	14.8596662940966
ROBO2 RSPO2	-3.11994159509105	19.1843014250579	15.4866226907224	-1.11237892418038	17.7614444837786	12.7192448463121	-1.98150662785058	19.4796851680839	15.014259049402	-1.88894378640334	18.7295615511238	14.4344358586658
ROBO2 RSPO3	0.361198659401885	13.3832199623052	9.72284212592402	0.163555103614142	13.7816799546355	9.87076904173409	0.300662206849121	13.6201573136882	10.04251424894	0.248402608302813	13.6761192519778	10.0146175455537
