protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
RPS7 RPSA	-3.68914627676943	19.165597309249	14.7771939259571	-3.38135524081864	19.9949710004581	15.1514766698747	-3.52283853767067	19.9884227619374	15.6627051385562	-3.81573198757814	19.6237562058366	15.2394380034111
RPS7 RSPO2	-3.23206536610065	18.8062163935204	14.7411640450751	-1.87707068933811	17.6109052975742	14.1043411227505	-3.12456913486467	18.7890397960037	15.2277420075619	-2.98239296859475	18.6267700907102	14.9802235262024
RPS7 RSPO3	0.581871162666165	12.2351539004221	9.04220538446836	-0.0243820308805627	14.3738152890206	10.4725407939058	0.367419008622322	13.5483523005231	10.0130069466506	0.307561107885658	13.6187498139991	10.0308747862898
RPS7 RSPO4	0.234393703048645	14.4500030921948	10.4298980925529	0.251197678393687	14.538091705364	11.0313004273703	0.263407058412797	14.6714856381619	10.8439409523345	0.231823025776715	14.7045260010376	10.9299000964471
RPS7 RTN4R	-5.03002167093793	20.5433401416216	16.4344158004767	-1.21848418531344	18.4114414497763	14.0310796741239	-3.24539665603438	19.8702903013101	16.0744827668878	-3.44675371919435	19.5907304647488	15.7838170217537
RPS7 RXFP1	-2.37806373295204	19.6793319738069	15.0585726266363	-4.9715758621728	19.3993422743787	15.1365121579315	-3.23474845953976	19.6228414536627	15.5394824808556	-4.66400912614592	19.6947388578988	15.5582709306753
RPS7 S100A12	-4.13519109018068	19.8400808227983	15.5680312417642	-3.78846241608506	19.4290356991969	15.3305746662199	-3.02522493216096	19.9227758259727	15.7171817492832	-3.8559530103951	20.1313550687591	15.9472874970692
RPS7 S100A4	-16.8956929133161	21.0504038188017	16.6779666076162	-2.18915261970413	18.024186011338	14.0981761771786	-5.35369266265442	20.0489990015598	16.0046597656581	-7.69210219750454	19.9332202278987	15.9294435663195
RPS7 S100A6	-8.00638420463518	20.5442237882447	16.1280791896579	-2.21071945402637	18.7962178464826	14.1897199244627	-3.72606183764501	20.1775310858143	15.8635475492682	-4.98717250418499	19.8326738954217	15.5713648331777
RPS7 S100A7	-5.39445272640091	19.6927488251619	15.5839171898487	-3.20058576240981	19.1107774993306	14.7957678260325	-6.86038409663192	20.6030065046628	16.3590086183889	-6.64255532240288	19.8415538324607	15.8860015575062
RPS7 S100A9	-0.766138949897938	17.2763630541383	13.2174561884073	-2.65659513025278	18.9713509788018	14.2856470339459	-2.02086262159725	19.039019708278	14.9308392604324	-1.4304781911246	18.4437173691933	14.226301702126
RPS7 SAA1	-4.0763739568518	19.7322910946873	15.3728812900069	-2.86889139426943	19.3427612080507	14.9047027632361	-3.70467983969115	19.7823793057262	15.6329346673674	-3.48053890202798	19.7210544638984	15.5702306522007
RPS7 SBDS	-5.12761794787937	20.7276445064987	15.69799340456	-2.5377233383175	18.6220291029351	14.2412470321906	-3.84342146519053	20.4330101184936	15.8710318004602	-4.41665573284102	20.032470281108	15.4985210159437
RPS7 SCARB2	-6.88545100454068	20.0613632600281	16.1123902287647	-4.90195786171369	19.0039267334459	14.8456531331484	-7.13975471434442	20.4335170432667	16.3983105875578	-7.16373370940019	20.1212485353276	16.0331387427105
RPS7 SCARF1	-0.984917313539377	17.9859822632902	13.2289781748801	-0.963352881579599	17.7500364221763	13.1398523008555	-1.00522180108903	18.2320539482014	13.7805465383037	-1.12167313161445	18.1632843592248	13.6163322469692
RPS7 SCARF2	-3.57316656114309	19.9968596431386	15.8673928176735	-4.45918430730954	19.3759773833203	15.2356362278299	-3.5269765292939	19.8851700623054	15.9621094966004	-5.69382196859557	19.9754462064073	16.0423340838514
RPS7 SCGB2A1	-6.06761630381641	20.7015733536681	15.9343895960968	-3.25474328181343	18.7654610733202	14.2782516175386	-3.35416783399806	19.9076683255018	15.4881518612738	-4.97686176228882	20.1215679143761	15.602278250441
RPS7 SCT	-3.36405131232521	19.926962774133	15.4052165198223	-2.00919192807661	19.0198628171308	15.0459994381682	-2.71146325882189	19.9440595187621	15.5177094197488	-3.46820514757762	19.595910753106	15.6133299005137
RPS7 SECTM1	-1.91346220508489	18.9468470812577	14.1540046834436	-0.504884612808239	16.9260051044677	12.8101904186862	-1.12362512507152	18.289010297169	13.9878597805872	-1.00033248683652	18.2058456668855	13.8651636542845
RPS7 SELE	-4.7528927641976	20.7130475032007	15.8899202468679	-2.55661006451765	19.5067878060349	13.9764487936058	-4.10662613328941	20.6365534898486	15.9610951507204	-3.65068692092129	20.4523916485941	15.2957815266669
