protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
RSPO2 RSPO3	0.42749752473875	13.0936749017603	9.70653949467602	0.154887810581002	13.6557542117805	9.74023739582161	0.33471459534663	13.549660391245	10.2517317725348	0.307586167982474	13.440269534661	10.0670137672459
RSPO2 RSPO4	0.32623302845307	13.8638457858008	10.426871571091	0.28384168745572	14.0920076877862	11.0948849735863	0.377100892083992	14.5129716881624	10.8857909492441	0.31290900581258	14.2767718742716	11.0713113485666
RSPO2 RTN4R	-2.35840930684248	18.8529250956267	15.1430152145845	-2.27238763759407	18.4149589091991	13.978128649816	-3.30343514816411	19.3102043743685	15.694440869688	-2.68147836085993	18.9769721044416	14.9676568464347
RSPO2 RXFP1	-1.91492754717566	19.0997688349896	14.7971574426455	-1.78225079393371	18.5075674030328	14.2584223531635	-1.99806951787548	19.0159979940161	15.1819701686811	-1.98520439309848	18.8578533365031	14.7349758808032
RSPO2 S100A12	-2.3446339124931	19.0955398567574	15.0751780857749	-2.84367362823878	18.6815532951614	14.5143926298214	-2.34955020943092	19.2314512983046	15.5983816897355	-2.77157141959538	19.1968920951779	15.3313983996396
RSPO2 S100A4	-2.07701680445378	19.6346254969119	15.2223018412538	-1.55207402826207	18.0055614228019	13.7966454560921	-1.87459403843937	19.0037471560814	14.9876750573876	-1.72755156530223	18.8392037684023	14.706570139633
RSPO2 S100A6	-2.44082674885261	18.9753130207192	14.9216579387884	-1.30034467403647	17.8777451261241	13.1350746883197	-2.70305082596939	18.7890707020788	14.6703470479433	-2.58970028176817	18.7877540426051	14.6435681756262
RSPO2 S100A7	-3.22782059410006	19.4021682561793	15.6181519069061	-1.79447255521577	17.7096168798202	13.7910651325039	-3.54589594130487	19.120748319769	15.0692650576285	-2.42618111396091	18.7762258134227	14.9741332625341
RSPO2 S100A9	-0.918632901549922	17.734472153454	14.0933171898276	-1.37302754256118	18.1860122592615	14.1222122455187	-1.46157371016593	18.3757808542359	14.8595325795153	-1.29146409136626	18.2345481659778	14.5834501973391
RSPO2 SAA1	-1.5121056771068	18.5273178289181	14.4790832182931	-1.94582997303564	18.6424510575879	14.4389282851727	-2.37871226170871	18.9280720959917	15.0357554211638	-1.73283956058348	18.7738692955736	14.7753652220181
RSPO2 SBDS	-1.48382755075743	19.0441539016731	14.4421677219832	-1.27957251103776	18.2260771717887	13.0965296538818	-1.81986070424631	19.1243363586417	14.5770299253887	-1.58983153777855	18.7686006841551	14.1568408052506
RSPO2 SCARB2	-2.65688639201996	19.5080584239123	15.2567994363926	-1.35484789457786	17.9760141106137	13.2530196590639	-3.1704605447905	19.6344211713799	15.5063563072309	-2.27051062597398	19.2192470816416	14.8178537914824
RSPO2 SCARF1	-0.396468702250818	16.8345389604436	12.9169414864662	-0.623004941617269	16.7959281171356	12.5479562411171	-0.439897321960244	17.1519396028452	13.1303557504508	-0.500852448345863	17.1050114317204	12.9129254273565
RSPO2 SCARF2	-0.931975362736313	18.1359860372757	14.5841653589438	-0.883043367816494	17.6293408825809	13.2503323659787	-1.24616058922798	18.6973780583338	14.7788605618011	-1.27512905782839	18.4465265197123	14.6247176381992
RSPO2 SCGB2A1	-1.84611165347561	19.7731953685738	14.3880612752419	-2.98566803113727	18.3767999010378	14.1883512264004	-2.32096768240626	19.5773868500669	15.1443826077661	-2.24544517024389	19.3941320822303	14.6585665464828
RSPO2 SCT	-1.87575642378563	19.0765089231	14.9871534302235	-1.67301461664947	18.6008240341679	14.2002853831267	-2.110837354708	19.1400130118062	15.3144009088428	-1.8863378380956	19.0237111275685	14.9519485193859
RSPO2 SECTM1	-0.7666290130303	18.4359045132425	13.8746639293985	-0.53691500216231	17.5041442283815	12.9758584377292	-0.596599532223993	18.1490418388295	13.6073612681777	-0.64390700146783	18.1249140096994	13.6782848964849
RSPO2 SELE	-1.30829996633183	18.3019195727502	13.7641197104765	-0.610541385529174	16.5767467750304	12.0511758140453	-1.21589130073728	17.95419753189	14.1439811887384	-1.06408838057184	17.8370513940882	13.4488207655581
RSPO2 SELL	-1.50138874569546	18.4854283030081	14.7962868682753	-1.21336177025838	17.3007995499602	13.2957436098647	-1.91041004457252	18.5450961493679	14.7293021894199	-1.19718186955306	18.1228409840698	14.292368672469
