protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
RXFP1 S100A12	-2.11219105395024	19.051250550805	15.2927954954448	-2.63962301715586	19.410315682916	14.8970688507	-2.06276342007465	19.3116974019583	15.2793412423855	-2.64416183872171	19.5926738889118	15.5458740689849
RXFP1 S100A4	-2.8283731526126	20.0772234358636	15.5146133143108	-4.76442230876606	19.0600805189839	14.7030348887647	-3.43788298819947	19.6887586426846	15.6206423972301	-6.3413613071244	19.9554995628146	15.8345581902915
RXFP1 S100A6	-1.92663635995959	19.3510403483985	14.730303805656	-4.8618020701229	20.2519478752286	15.0828263309473	-3.23661329315308	20.2529701456473	15.3858084316145	-4.31317496889061	19.9539078493593	15.2932124222575
RXFP1 S100A7	-3.85659110508557	19.6705886204588	15.6988791309341	-7.06086651509938	20.1186110818795	15.7586149040475	-5.43238651697053	20.0460481590233	15.7957465922658	-5.78571986212235	20.122200911349	15.941532512248
RXFP1 S100A9	-0.519694509924198	16.6555725432221	13.1850902747443	-1.86029258891957	19.0106831046722	14.249324735222	-1.2512377679708	18.6025137861207	14.5583772380624	-1.11882215792317	18.0820095648122	14.0355289023697
RXFP1 SAA1	-1.48049743578623	19.0290711035693	14.7353579248965	-4.11276329164244	19.6329160107038	15.4247508445912	-2.13349256138126	19.3859394963885	15.1131371406351	-2.30047103136139	19.4082221296124	15.3524283955026
RXFP1 SBDS	-1.92309263504947	20.0505984966029	15.5594906139852	-2.52444579931666	18.911634513895	14.2583269748598	-1.7976433147967	19.7257933754975	14.8303710682836	-2.64377257125094	19.7131222837582	15.302548791837
RXFP1 SCARB2	-1.93224334373765	19.2323604587898	15.2317362740563	-5.70225052717732	19.9067006463904	14.9920102459432	-3.37211659320338	20.1230058589067	15.5833812245283	-4.07943877621483	19.9277521016127	15.7499989491134
RXFP1 SCARF1	-0.0414428724389007	16.3003535854375	12.2388862254105	-0.859878758396144	17.5912649978447	13.1337820673795	-0.245113540809018	16.8837603747712	12.9263395145798	-0.404501187618111	17.0608150695202	13.0073438048041
RXFP1 SCARF2	-2.53006658876687	18.9623759250546	15.2162904524806	-8.58565666788149	19.9955709321199	15.7594917467318	-3.59426307591369	19.8429019600311	15.7551742432925	-6.17245463066269	19.9604051805197	15.9783178934835
RXFP1 SCGB2A1	-2.04063674549895	19.244851152246	14.8553196003532	-5.22996883454606	19.4723042067699	15.222337384362	-3.26104372897059	19.7812382468601	15.5447682865599	-6.26102919272824	20.0590908369833	15.9273677636308
RXFP1 SCT	-2.3820091695576	20.1961274323625	15.3060354825407	-5.86956799813739	20.6546626823926	15.8060129775815	-2.93778180827798	20.2346221005585	15.489765959212	-4.25249400231622	20.4834009813978	15.7847910200387
RXFP1 SECTM1	-0.509680254581454	18.657532105549	13.3162849171327	-1.0448058226223	17.3860615563335	13.4126385116876	-0.595325961578353	18.3037056677267	13.8565188006962	-0.769141569115908	18.2224540271766	13.7812038538834
RXFP1 SELE	-1.20001306596867	18.5143871885666	13.897771889867	-2.92091521161894	19.2006366511861	14.3626778653378	-2.13094345861689	19.0476909738605	14.8565915481357	-2.55498426083393	19.2796676566205	14.7987231933482
RXFP1 SELL	-1.68346147987165	18.8808127637028	14.4676122085601	-1.48602045139018	18.5508865164445	13.5671969310892	-2.10569021498804	19.0427947541879	14.4932843252693	-1.72518094100992	18.8346615620931	14.3511743427895
RXFP1 SELP	-3.62408027819978	20.0268886010293	15.4148448789488	-3.45698500594469	19.8463859008224	14.8067864287101	-4.22595359539589	20.2088497976598	15.5765257306732	-4.951640691756	20.1611203832551	15.5744110899325
