protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
S100A7 S100A9	-1.14983267581934	17.4738325872161	13.6014925345379	-1.31706892308137	18.4460664279665	13.767959702934	-1.07687029695292	18.6605568262046	14.6515955017308	-1.31146423693093	18.2905643942821	14.1625783796471
S100A7 SAA1	-3.15975362926636	19.194724046733	15.1651851770487	-6.09527362722344	20.1325864160719	15.7985162866786	-4.41092725101111	19.9409293620207	15.8071752565172	-5.32571552831392	19.8915650031258	15.9283664791266
S100A7 SBDS	-7.07265658957847	20.4622259094704	16.1281885825944	-3.80223934124736	20.2227264925615	14.6450801440062	-8.15267126495242	21.5162157248791	16.4693366547483	-6.78428402728452	20.8316928567288	15.9864300346728
S100A7 SCARB2	-9.73870056446283	20.5130639339276	16.6006856885128	-4.36501763347871	19.6650870063754	14.6016736425417	-14.7847859676942	21.1083709836791	16.7673129486774	-8.81774316636586	20.4531992150205	16.2261144159582
S100A7 SCARF1	-0.606097766223417	17.0487434383837	12.9200214997562	-1.03767002157628	17.9169362676922	13.155568402748	-1.13184853491283	18.1193962178594	13.681500436503	-0.907179206398212	17.7854364862738	13.3177954872384
S100A7 SCARF2	-3.86183313223862	19.6780053478938	16.1434556528565	-5.31081504279566	19.6059235938136	15.3041393665697	-8.44645666401237	20.344982996209	16.4727811630102	-6.0737083372174	20.0448048328742	16.1440531251543
S100A7 SCGB2A1	-15.0877770982006	21.1540346826083	17.2015125770515	-8.02359951858123	19.6407472730246	15.1947263378255	-13.7990446810891	21.4121793730307	16.918298717699	-21.4054255432355	21.1117095847312	16.8711634678964
S100A7 SCT	-5.38095273490273	20.2228841000483	15.976731155907	-5.69401016179056	20.0250726154219	15.4952266046404	-5.82987676546307	20.8072370456531	16.3403129969547	-5.68335195964691	20.3074946830927	16.0641861685648
S100A7 SECTM1	-1.38092989921316	18.4885876491556	14.4073432978489	-1.22887919568252	17.7028717623993	13.5381594868209	-1.87912779378213	18.6866247214851	14.6186335471977	-1.45102851134435	18.295160953783	14.2944147806221
S100A7 SELE	-3.36889367143994	20.4317204161763	15.8938450320704	-7.44604132527364	20.506798878932	15.1768198698757	-6.14989228442437	21.0685359850475	16.2486875089823	-5.38896441962738	20.6846399668824	15.8229419070917
S100A7 SELL	-2.72715656270106	19.3387237058903	15.2129688910897	-1.05445774434227	17.4118249238469	13.3763522118654	-3.24251751539298	19.486789606404	14.9517707355833	-1.95246867503087	18.7590196603403	14.7265109862468
S100A7 SELP	-8.19864266678333	21.0863170700393	16.4439861990273	-2.00381264965096	18.9947577672799	13.4411076358317	-8.4769041324465	20.9065904300979	16.1861614365017	-4.38266026803533	20.3853218401849	15.3975807401337
S100A7 SEMA3A	-7.61095341232969	20.4615628829665	16.3662139019414	-7.4475489896606	20.3797207386493	15.6464169988896	-10.6652034624105	21.0214818945191	16.5716609247606	-10.1747337669843	20.6741139330306	16.3224492022095
S100A7 SEMA3E	-1.36689025480787	18.2111839824985	13.8865739794113	-4.97786314507372	20.0679361517566	15.0358074916892	-2.36447005808648	19.457471771711	14.9884987810526	-3.25755636492486	19.5374463251704	15.0990278918428
S100A7 SEMA5A	-2.63434520764752	19.4927238959799	14.5499853225013	-5.39627790492404	20.4386383948283	15.1913180416436	-5.3718626244072	21.1653788163412	16.0900617310889	-5.55128425202323	20.3177209337707	15.4598703276326
S100A7 SEMA6A	-1.75069810287729	18.8242221345288	14.9733708610109	-2.45173985763975	18.5807724826246	14.5459550757046	-3.27871313621857	19.3330899372164	15.536658147447	-2.63007995762655	18.9741005997853	15.0037442794862
S100A7 SEMA6B	-6.19728911850994	20.8181860577543	16.1303132278295	-8.61329632109121	20.7440070909027	15.630378441426	-7.42470046546137	21.785946272525	16.5725197451473	-9.38872991791351	21.0659962477432	16.2464611495107
S100A7 SERPINA1	-0.723479072060289	17.6528100806787	14.2604203184074	-0.856009341441824	17.40203128954	13.1938893211777	-0.846659025428377	18.057043697185	14.3067765262742	-0.847136073068607	17.616471984431	14.1381376959232
S100A7 SERPINA10	-3.60607243457291	20.0041632304914	14.6101145828692	-5.18307387160794	21.2477007920759	15.8390708369906	-6.51568554355968	21.2956344785118	16.1349648201194	-4.33056806259821	20.9494209179117	15.5392033863451
S100A7 SERPINA3	-2.77773134402756	20.4680694625185	15.5876778330856	-17.760774276424	21.6209798114294	16.6659556931546	-14.1278599513114	21.5426652912338	16.9718127149333	-7.6854566517977	21.3142508248406	16.6584862060069
S100A7 SERPINA3.1	-1.50136741813433	18.8396991525851	13.7790563259029	-1.79193146120666	19.1350370483633	14.0670462419464	-1.76011664279402	19.8621502349587	14.721735051126	-1.77656072573285	19.2395768072224	14.2355843523444
S100A7 SERPINA4	-3.06700942460324	19.9713928924437	15.3244236680066	-8.87820479857184	21.6428292112729	15.9724000006734	-4.95294642366902	21.7371898096338	16.0110771248202	-5.49894423918166	20.9966624745632	15.853006459805
S100A7 SERPINA5	-5.58321555007356	20.4162746394994	16.048390895178	-20.3927472903401	21.1941354724727	16.5430971819543	-16.8671911817326	21.2606873759996	16.9063042701928	-12.8646015606354	21.0949486850656	16.6219081345642
S100A7 SERPINA6	-3.49202074877847	19.6814668892322	15.8216755764657	-4.23712108888202	19.244493105507	14.7616892015544	-3.67804099588619	19.8320733388395	15.4365878777627	-4.31627194088725	19.7588702383508	15.7508642323838
S100A7 SERPINA7	-4.54006813597669	20.1263273006688	15.7118836828866	-5.80956483785813	20.1146099212591	14.7858644085281	-6.76590951455996	21.026344171564	16.1206503939813	-6.47656490768124	20.6463214943493	15.797233028166
S100A7 SERPINC1	-1.34431557296588	17.6217303087866	13.8350468176558	-2.96087192677231	18.8021836851775	14.6008310725142	-2.00637273190474	18.8332922894623	14.59112044519	-2.07131277172094	18.6600405889778	14.5896667987165
S100A7 SERPIND1	-3.251590612449	20.2908312669711	15.4187712726495	-3.41301522044366	21.236368739062	15.406583919888	-6.20608786894691	21.6566857963566	16.3484376268635	-4.2663820146283	21.112161901027	15.8142473938294
S100A7 SERPINE1	-7.26192468506768	20.8049590016975	16.1881700935857	-5.11703781390111	20.2124932110881	15.4262512844262	-9.62036326910583	21.59949487563	16.6233436961095	-8.31076269306851	20.8199654151528	16.2160926054967
S100A7 SERPINE2	-3.57791334956607	20.3453880664316	16.3591608432018	-1.65677618472054	19.259637216824	14.6408564360545	-8.64860503659924	20.9610190790996	16.7905614828616	-3.28634756173086	20.0214212605751	15.9186012836872
S100A7 SERPINF1	-6.30776613110224	21.0652878546925	16.7069772885504	-5.1637886070049	20.5891165151407	15.4376391190107	-22.7154773136415	21.7434215058167	17.0470363026221	-7.91903483883595	21.0639767725087	16.4173101065331
