protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SBDS SCARB2	-3.43003954925176	19.8284636717112	15.9896165662753	-2.91495405577491	19.5872204160717	14.2685759309246	-5.24388492803172	20.5617730882885	16.2696727990404	-3.77054964749835	20.1494905944123	15.6930635857887
SBDS SCARF1	-0.902061178575179	17.5844915874428	13.194013038914	-1.19322408167053	18.3764591146609	13.6156597434724	-1.12754782364781	18.0703475389305	13.6272132292739	-1.11038896619904	18.2124002370909	13.7172885672446
SBDS SCARF2	-2.95734509548141	20.3948660598821	15.8536903155273	-2.76500557971766	19.1305088970426	14.4508799953994	-3.35071890742008	19.9044683667774	15.8153809711221	-3.39184732357529	20.118815156651	15.6460453103121
SBDS SCGB2A1	-3.1159132712562	20.1005000002123	15.983980188092	-3.44654491466183	19.6981279760903	14.7814275045962	-3.41103055981354	20.3134094518744	15.8705769330547	-3.92888364528427	20.0710741761638	15.7877713402164
SBDS SCT	-2.2727525257979	19.8844418488372	15.0029492251445	-2.94836592013139	20.1104953168011	14.9331606764304	-3.26128422562284	20.180662294854	15.4800844946302	-3.31694583706878	20.1035587443887	15.3683722224377
SBDS SECTM1	-1.44875460547153	18.7748663668822	13.8549737387353	-0.861516609115971	16.748953567565	12.3714332057047	-1.33032574097678	18.2718484326338	13.6875995264231	-1.34827430691617	18.0127453988001	13.5679408806408
SBDS SELE	-4.96155085636421	20.2987206001884	15.7601711252286	-2.41409012928509	19.097741711327	13.87958524329	-5.37270502681003	20.279669338258	15.8650559781749	-4.0611703508646	20.0569362712214	15.2982940715385
SBDS SELL	-1.22581163948137	18.5306183624265	14.6663133106844	-2.29302339509706	18.4194479995259	13.9477080185901	-2.03371580513798	18.9921273019574	14.9115887388103	-1.89484640173877	18.8074590928422	14.6450294674895
SBDS SELP	-4.30090711606442	21.0421983814014	15.8761025351623	-3.18025834825004	19.9763663852191	14.4998360022569	-5.05530440125175	21.150682649167	16.100440287997	-4.84906343082879	20.8208520925355	15.7440303374935
SBDS SEMA3A	-2.9711724855268	19.6200994302297	15.3040425141757	-3.52087441828936	19.9216939375122	14.7813770917797	-3.77272237262315	20.2064228960198	15.7611140034276	-4.28541238714272	19.8943675117485	15.352558159119
SBDS SEMA3E	-1.39305134867755	18.2833168155582	14.1115183505452	-2.37168371111293	18.8360879114169	13.9544776193585	-1.99291928202149	18.9736008554126	14.5923092807833	-2.0334996493593	18.8094217302189	14.3949894674492
SBDS SEMA5A	-6.25258440604759	20.7863161346528	16.0513895793357	-3.35003532661167	19.6077945194016	14.4919686812107	-6.05737309629938	20.8697525653931	16.2074048529075	-5.06523082131874	20.639083107688	15.7814075524659
SBDS SEMA6A	-1.51914278198303	18.9084041858562	14.5546919331992	-1.95423146846833	19.302605580543	14.398939538682	-1.92907212859768	19.7145134958503	15.2459206386635	-1.94591769937462	19.33612753175	14.794235850684
SBDS SEMA6B	-4.94072443711789	21.4152253569088	16.0970550947256	-4.22045814974663	20.7000541008702	15.2968401651379	-5.69240048720152	21.5635723991681	16.23472494936	-5.5704449744455	21.2521718424306	16.0592247775677
SBDS SERPINA1	-0.639727804342973	17.8316620984326	13.5626764150682	-0.846315842154293	17.2268290740244	12.4041327126551	-0.805490223076802	18.0727546764968	13.8713750592026	-0.738025412048501	17.6472523416377	13.4853127245867
SBDS SERPINA10	-1.64056259021505	18.639356740892	14.1369253225419	-3.7324288847788	19.936991578569	14.4552189829851	-3.38709671399364	20.6732931763269	15.4502604049694	-2.96063706745307	19.7889651833264	14.812834363623
SBDS SERPINA3	-5.04054778368519	20.3057028972762	15.4783801358485	-3.97685768684095	20.0927659666657	14.9056185139343	-4.7727862660214	20.7284785264843	15.8536723227374	-5.86692494875149	20.6623534497896	15.8038581119616
SBDS SERPINA3.1	-1.50910997307201	19.0399341027139	13.9955305195946	-1.00653719439481	17.7291207589141	12.3302079980577	-1.51100765586172	18.9585803634922	13.9086398920164	-1.49674579757912	18.8979676319934	13.683206145895
SBDS SERPINA4	-3.89138411603374	20.1842205935087	15.245657713913	-5.0369570796051	20.8311007483948	15.1346207781605	-3.90314531325165	21.582766493908	15.8730571597291	-4.53484188317391	20.8252198693407	15.5503288482959
SBDS SERPINA5	-3.36072501404479	20.6808195100191	16.0639973424645	-3.79599058827029	20.4545692029617	15.3980398214411	-5.04035429153407	20.8168722693188	16.3518260652217	-4.65099688908198	20.7104978405643	16.0642193837174
SBDS SERPINA6	-1.17956640010333	19.1722265499036	15.1004421997425	-2.65389523597535	19.2376023392503	14.2217564849109	-2.44301158983829	19.484332264377	15.1961631030611	-2.10453503903229	19.3812566123337	14.9289086700766
SBDS SERPINA7	-3.99830956088672	20.5161106248001	15.5383670773657	-2.60579510980403	19.8010472946007	13.9893406193154	-5.62174973364078	20.6416217409017	15.7037336906734	-4.53290879275048	20.5147865865773	15.3361300213845
SBDS SERPINC1	-0.675741389048912	17.6039880030149	13.138289759348	-1.42096759697082	18.4131213276929	13.9083434785865	-1.62907667707548	18.814087776413	14.4062009567079	-1.19893438621402	18.2562700601587	13.8169415013532
SBDS SERPIND1	-4.53019617522302	20.7923478239344	15.5747621613332	-2.82193946228431	20.3766245818437	14.6182654694592	-4.26196700560284	21.1540391627263	15.8906732331844	-4.31926786863537	20.6704079545931	15.5879407602103
SBDS SERPINE1	-3.43087453264049	20.5410895335713	15.0849431064609	-3.07381680478535	20.0683124741024	14.6837265924226	-5.26658785208431	21.0643051072808	15.8503220273887	-4.035130784975	20.4538490572744	15.2090093493679
SBDS SERPINE2	-4.22348999685152	20.5590982967572	15.6642448663432	-2.65785932673745	19.473679543271	14.2326100713099	-3.18275107600411	20.4704143558653	15.5047747974961	-3.35747133826191	20.2330231889893	15.3273440735686
SBDS SERPINF1	-3.73592290389553	20.2651844589917	15.8665375711821	-2.63305103325651	19.2823345211331	13.9574131425006	-8.12823188979958	21.052539676112	16.3792123432957	-4.44596287958262	20.2078950546961	15.4255514239916
SBDS SERPINF2	0.115397222785741	14.4872024463801	11.0209785293729	-0.295871466444617	16.0329041588034	11.4222672355062	-0.259773020263491	15.9026481779815	11.8568083414388	-0.162574163117493	15.6115975889677	11.4490007046309
SBDS SERPING1	-3.63934924045629	20.3824529341022	15.8772980366824	-3.41474652379823	19.0882966174106	14.729544060577	-5.75134771948255	20.3774047244767	16.0556229630004	-5.36141799361323	20.0081360822423	15.7884064212451
SBDS SET	-4.88888663087888	19.8916441059616	15.115120280068	-3.98323580632393	19.7361188326031	14.6522031954807	-4.6744369165101	20.4346433018753	15.6272013351367	-5.10628676349095	20.1447913206732	15.3468089317766
SBDS SEZ6L2	-2.85686788276893	19.1196465185089	15.0278174393955	-1.63902021990754	18.5753247700391	14.0921902982815	-2.16214717473621	19.1455989581198	14.8049007067985	-2.88794627393436	19.2613159275502	15.1000141505006
SBDS SFN	-2.45781540508972	19.1026408432863	14.225140718954	-1.07087189631173	18.4969328285869	13.3244913595335	-1.94120697273089	19.4188724934545	14.4326161021493	-1.75211361934171	19.0553363432004	14.0849798161886
SBDS SFRP1	-0.821443322772847	17.4997230513203	13.1990775632333	-0.474912013041615	16.7564712287152	12.103032139529	-0.836960369152886	18.0185435235822	13.5799688603868	-0.782291430570893	17.4782383258674	13.1451643079539
