protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SCARB2 SCARF1	-0.923611116504589	18.0278207703407	13.7098929419617	-0.855709360998615	17.6688089514411	13.0284167137604	-1.23244900859098	18.5009965442171	14.1578381612489	-1.05468856218985	18.2377732612429	13.755150807774
SCARB2 SCARF2	-2.53327422408636	18.8707676272235	15.6827309387247	-4.81792352027381	19.9544474156746	15.222819732322	-4.33753536644541	20.2842015475168	16.4763975846341	-5.59527215505547	19.9056686585962	16.1062349138957
SCARB2 SCGB2A1	-7.6103244622622	19.9553658225778	16.267452172132	-2.83142290105762	18.4569273660536	13.9456752186193	-13.6577797918836	20.7222642709859	16.6584585811669	-13.3291588587872	20.5216720696068	16.4047557358613
SCARB2 SCT	-3.78516038764466	19.9759075723622	16.0466151564772	-6.47480704234549	20.0976101335544	15.1841629278659	-5.6702034779365	20.1391177439242	16.1193164960664	-5.197376994589	20.1556846400135	16.0722247758992
SCARB2 SECTM1	-1.50002608875173	19.7896856495636	15.0396916134388	-2.05832554312546	18.0991250820315	13.5607733096998	-1.99450770988197	19.0100252793226	15.0325203241919	-1.54026047462289	19.3206374004837	14.8607282046536
SCARB2 SELE	-3.506015293961	18.6858594432227	14.815894132906	-3.87380993710298	19.8953220538724	14.8723396032203	-5.57026289046622	20.3610121850311	15.9153858498679	-4.62660159546286	19.7436546436464	15.2553183807125
SCARB2 SELL	-1.34536526859862	19.0929902429021	15.1407061916309	-3.16092978717973	19.5683165804257	14.3356552590592	-3.11217460606006	19.8528184319586	15.4998488319732	-2.37545444243385	19.5398932946079	15.0704490422357
SCARB2 SELP	-5.92295117682258	20.3949686247143	16.404011147499	-2.66840740105398	19.2402182861614	14.1949807185114	-9.01730959186947	20.7608942504947	16.6539190911075	-5.15711696436649	20.4239144724559	16.0723927849608
SCARB2 SEMA3A	-6.22704053262125	20.0294778610873	16.2361155847237	-4.0678409435308	18.5984334331299	14.0352964054686	-10.2700013521396	20.5083031015966	16.2941140122088	-9.0582150248715	20.2670239488968	16.1750416555387
SCARB2 SEMA3E	-0.987611456541544	18.1188446371075	13.8560529659352	-2.7271795639928	19.1328173963599	14.789773717638	-1.66882927943901	19.3701600467633	15.0608636555379	-1.67147022031147	19.1865683334058	14.7156630989167
SCARB2 SEMA5A	-5.34858464503754	20.0832479120621	15.8016604654275	-10.76598146829	20.5184101005331	15.7296927919088	-8.60766060310664	20.910843725994	16.5743842793229	-10.2576361360358	20.7426804861246	16.4385922731254
SCARB2 SEMA6A	-2.71326693224336	19.1677448161606	15.2270133810916	-6.43548369329679	19.7204901354889	14.8164441070829	-4.9981831211998	20.0601018791466	15.9253384998442	-3.9816472307854	19.8418634446203	15.5992163039284
SCARB2 SEMA6B	-7.31776688837363	19.809115225469	15.6659720646899	-8.9430751582011	20.6294795322862	15.3179013042445	-8.62327240240773	21.2570215953332	16.7821241996298	-9.71020021308791	20.6176541073156	16.1362769234366
SCARB2 SERPINA1	-0.84646418085144	18.207735570834	14.6054604712399	-1.16043449625565	17.7237868956639	13.0924861994719	-1.22000799256933	18.550125871693	14.4659669912377	-1.11261661470879	18.3334542914663	14.3738547378938
SCARB2 SERPINA10	-1.94934096980717	18.0441131587253	13.837984281105	-4.26427298832365	20.0637577676243	14.8363568363818	-3.33994749373656	19.9163466942515	15.1091631135521	-2.95626779011598	19.6955717558842	14.9330168913416
SCARB2 SERPINA3	-3.68136889248761	19.9631740254893	16.1339660423854	-11.1122485195065	21.1974730320584	16.1622230178208	-7.33506623320691	21.1955897931358	16.8797065243745	-6.55866770011127	20.9414205684216	16.5137195233736
SCARB2 SERPINA3.1	-1.10997403112085	18.4594149022111	13.9709327099024	-1.52648364133613	18.8488097401406	13.2970675418511	-1.72892602281322	19.3448913675362	14.6046440012419	-1.57831349237818	19.1838422395683	14.2671616980434
SCARB2 SERPINA4	-1.88345282088928	18.6242129017157	13.7450459913956	-9.78097145015727	21.0737154150326	15.6957798269013	-3.7994189639896	20.7318068292644	15.6142285965898	-4.39080113266851	20.1103057661451	15.2144639923416
SCARB2 SERPINA5	-6.9041599177207	20.2473566994342	16.6205963708155	-14.8454389000318	20.7822129776358	15.8915233137594	-16.0654184715395	20.9102035001861	16.9607580075439	-12.9910350224431	21.0389310468061	16.8418148629439
SCARB2 SERPINA6	-2.30738747802108	19.1257264864802	16.1465763828179	-2.85128541282377	18.5827930876219	14.1053366733627	-2.88835912549133	19.414364611066	15.4407560358472	-3.46266214282475	19.3268380101871	15.5609447877805
SCARB2 SERPINA7	-4.40786288620267	20.6083120610781	16.289127935635	-5.38651340339705	20.2234947731517	15.0126621272868	-5.53364094121229	20.916961524269	16.3154490761174	-5.19034497253628	20.7629700197664	16.0678767773039
SCARB2 SERPINC1	-0.838950850116477	17.527952049893	13.5476613340351	-1.75881881207818	18.6795857654188	14.1862615061892	-1.72516572022441	18.7714188588251	14.6027831094322	-1.52776024868304	18.5837067564411	14.4864501120585
SCARB2 SERPIND1	-3.36039354134094	19.1746981982924	15.2651801734904	-3.12670558365177	20.6267447945135	14.8646030994295	-2.79689729755766	20.5995901885668	15.4919840791833	-2.99469023664175	20.5377531708157	15.5264300997521
SCARB2 SERPINE1	-1.63044573347489	18.4898543566181	14.7838815806691	-5.61790599648926	20.1866390385103	15.4908072391169	-11.502446989285	21.2392196958457	16.9364290107591	-5.14432769416253	20.1447707397086	15.8691847761497
SCARB2 SERPINE2	-3.86506700365983	19.0491286934062	15.1536804713656	-3.58601516836472	19.693596639587	15.1896544304262	-8.42721680697467	20.6618084195285	16.6383062008501	-4.37422078418047	20.1728232386548	16.0059717135798
SCARB2 SERPINF1	-5.38146123444961	19.7276730669718	15.8410544788946	-4.13521438919293	19.9161962331834	14.7252493916019	-5.87364939334704	20.2884244769421	16.0766548134736	-4.99141754224609	20.079837785273	15.6426186134765
SCARB2 SERPINF2	0.407975997108217	12.6559136485616	10.0010343759275	-0.75370656639767	17.0400625086903	12.3320682954638	0.0860523627587939	15.1043741070109	11.2788707570083	-0.0132191580876817	15.2981304598028	11.3942213058689
SCARB2 SERPING1	-5.94094585278527	20.2083720374563	16.155089440493	-10.3665307587753	20.2737989022499	15.7645400577186	-11.4070798923421	20.8377967187694	16.7729889577443	-8.94774140232474	20.6036749159138	16.5647530761685
SCARB2 SET	-2.38899407874014	19.3822986453623	15.1973345493179	-4.05954344780987	20.0856811175989	15.0583446939403	-7.7658584051242	20.4512292359738	16.191672548519	-4.54788432352738	20.0667556671103	15.793418732745
SCARB2 SEZ6L2	-4.96413563590414	19.8478100548578	16.0734606572614	-2.0457806971184	19.0133311872625	14.0961238297324	-4.62842184324962	20.6256373223382	16.2141222797329	-3.70484279394142	20.1218808165488	15.6941397497898
SCARB2 SFN	-1.91800358052752	19.3604539947037	14.913509070783	-1.79890516186493	19.234381005367	14.1893167653716	-2.43180067405459	19.9868286750697	15.2457144853389	-2.06617388984478	19.7229437073968	14.9432740494353
SCARB2 SFRP1	-1.7494485743752	17.9990892486694	14.1392097848939	-1.84867902526582	18.2531609074443	13.7481382076445	-1.38760804522692	18.7735531146409	14.5025890179616	-1.82847414286958	18.4972841210789	14.5104089006659
SCARB2 SFTPD	-2.04731151593373	19.3460569110863	15.5161058291009	-2.17734503166361	18.1178291331499	14.4716285400959	-2.37581976942817	19.3951445256686	15.6312647452418	-2.38505441455104	19.0726406058291	15.4352002322268
SCARB2 SGTA	-2.9218015435238	19.0474208699374	15.164877158511	-3.49312915965031	20.2242232697448	14.6458151440693	-4.98248020186224	20.3164813670193	15.8775449838525	-3.72632310631325	19.9767232613299	15.412673008704
SCARB2 SH2D1A	-3.68523095443218	19.6524257277006	16.1326836895502	-5.01494033104948	19.8727455810562	15.0804353090576	-5.38748102439076	20.2338618342065	16.3035411248611	-4.77805256744688	20.1282134048139	16.1261240537551
SCARB2 SHBG	-0.384703225142979	16.7760826401985	13.5507676662348	-6.46318786068657	20.4728350839552	15.1801952113319	-2.94133996480881	19.7206053511951	15.350143679798	-1.85172432509957	19.1100235694965	14.7547967468828
SCARB2 SHC1	-5.33272604069675	20.6109389012741	16.4606884993635	-2.07092021284009	18.9669465925034	13.5802998521902	-5.02177953796195	20.7402376560953	16.2016435882765	-4.00128461420058	20.3590870967296	15.644655727638
SCARB2 SHH	-1.20294813307061	18.3279424454789	14.4753797119739	-0.966808096566337	17.89028103866	13.6926176896427	-1.26981311693131	18.8307666976387	15.0235500630954	-1.41421841426122	18.6581381663193	14.777047587202
SCARB2 SIGLEC1	-3.47056560262823	20.2592879046804	16.2393450449961	-9.18020231267854	20.4176478273765	15.495427469016	-8.44329710716912	21.0181038565923	16.6774181741045	-7.10995047654488	20.7382981693685	16.4539258269733
SCARB2 SIGLEC14	-4.85768474959396	19.9562170029615	15.9866925337688	-1.99598677451572	18.9292627649258	14.0346925080228	-2.28273801232505	19.9755796335423	15.1263423129006	-3.12743491897748	19.8110659389499	15.3551429241578
SCARB2 SIGLEC6	-8.91432272378117	20.3441351665006	16.4623210162824	-9.76980394724643	20.0523711408834	15.5625172847044	-13.177898727858	21.1090631608035	16.6416965248434	-13.6760225708102	20.9170899268774	16.6149281087063
SCARB2 SIGLEC7	-6.53633289734253	20.2884284827709	16.0882551000135	-5.40805382582747	20.0571000400773	14.876482271634	-10.6559314581429	20.9624115121462	16.5131171587232	-7.54703766907998	20.5798707276384	16.2589719159685
SCARB2 SIGLEC9	-4.76253423896578	20.0504525344519	16.0965547726362	-6.03473892968158	19.955868050468	15.5115419937019	-19.3312917791297	21.4127504294513	17.0251082698957	-9.59046361131577	20.664673371627	16.6847544004053
SCARB2 SIRPA	-2.10934415234441	19.0267416657707	15.188488945663	-5.61014241404312	20.3831983600255	15.271360075156	-5.13289944176995	20.3191140053634	16.1400977848442	-4.26478274329836	20.0872002653105	15.8972985952601
SCARB2 SIRT2	-6.36666222205135	19.6831751254782	16.1573608119417	-3.40535820489823	19.6636626275813	15.2169716702264	-6.02408816717779	20.5612765988689	16.3038541612949	-6.38742323436554	20.3907378050153	16.2900688947818
SCARB2 SKP1	-1.81537368864292	19.7356659104255	15.4233280634197	-1.12020405404582	17.4957976846389	13.1487038806552	-2.6694265960769	19.6840429456488	15.652680305225	-2.29362886634972	19.2997595386261	15.1653669995286
SCARB2 SLAMF6	-6.39031840909585	20.0735293265481	15.7187623915232	-4.64751747031153	20.432422076325	15.0460605315941	-8.74398323808525	21.7447173331807	16.729676883395	-7.21561100760542	20.8691560417717	16.1064060950164
SCARB2 SLAMF7	-2.90518623774719	19.0753196255843	15.2785628524684	-10.9331032965824	20.6067983814113	15.661960406807	-6.8919105615175	20.8631168870278	16.4150929327094	-5.70841105501693	20.3408488624981	16.0544373712478
SCARB2 SLC25A18	-4.0894865171405	19.6817360220659	15.9855704997728	-5.50988900310517	20.5378440317065	15.242561451621	-4.5153332817012	20.5245402313884	16.1280438230959	-5.89755030983559	20.5733374057237	16.2633670135275
SCARB2 SLITRK1	-4.3540868358586	19.5090042984507	16.151415674556	-4.10045684629018	19.9529254054446	15.0649829005103	-5.50218001456114	20.0147541908086	15.9720610131882	-5.350435033128	20.1289117991914	16.1247131294768
SCARB2 SLITRK5	-1.26533033151022	18.2259527679215	14.7003321789148	-10.8406309008766	20.7895758121226	15.808257836568	-9.6662631669346	20.8346528857681	16.5072439607021	-3.30359007385637	19.7503085816454	15.5158818130666
SCARB2 SLPI	0.185872785226415	14.6429203803735	11.2304105674927	-2.68826707734854	19.1707505867809	14.0623530571148	-0.605543002177598	17.3868754160704	12.9725937810936	-0.699862914640677	17.4213317322865	12.9512961291757
SCARB2 SMAD2	-4.53183472553107	19.9353220855757	16.0343996284296	-2.682591379369	19.3321029754049	14.1613782617733	-4.31249389225469	20.4940324001929	16.2844812305655	-3.93311251938809	20.0285500238223	15.5564819994893
SCARB2 SMAD3	-4.14634118543883	20.0617764864	16.0925033068146	-3.380133655125	19.6673510506259	14.3223351508818	-5.87257640703352	20.7692224583908	16.1605330039	-4.11311472276637	20.3986406008229	15.783774758277
SCARB2 SMOC1	0.311364130006473	13.8273783381298	9.74067166401698	0.105264800865187	14.9166737331215	10.2044623465403	0.1688166159211	14.5960652610528	10.3530820259695	0.209762351027059	14.5380792667507	10.2251662256776
SCARB2 SMPDL3A	-3.15712711264617	19.3250615512271	16.3158793159744	-4.34142423707254	19.0557874392668	14.9451658348365	-4.76859336659268	19.7156407296719	16.0221010087418	-5.20827515927388	19.6248712955843	16.1617015274062
SCARB2 SNAP25	-6.36198144273967	20.3272232537075	16.5786923293568	-14.7191617389307	21.1401886159299	15.6233627466625	-26.8990292817363	21.5139021546496	17.0657881485614	-13.1009178427163	21.193321236751	16.7071185964092
SCARB2 SNCA	-2.02307426622539	19.3556671650318	15.0664805621993	-5.72578438907135	19.5638105640981	14.8079872915561	-4.38736778662732	20.7301903269528	16.0744517817537	-3.66678453034039	20.2175991691409	15.6800552802899
SCARB2 SNRPF	-1.98380764673747	17.827848251359	14.5818095794369	-3.98196597354078	18.2761794127498	14.5033308253692	-2.75844648182114	19.3330084576175	15.623996094807	-3.59130220311756	18.7331217217955	15.2114875848338
SCARB2 SNX4	-2.90586657236592	19.6002341295034	15.9950903943185	-3.3342073281982	19.93893335853	14.5712998261537	-6.90728458928423	20.6302735794132	16.6108782205773	-3.74269207651975	20.2613664737736	16.0120086887596
SCARB2 SOD1	-2.43303619405816	19.7937403919663	15.8679235505962	-1.09889861651037	17.7698633998764	13.7046139428909	-1.70742770851535	19.4846445940921	15.2915445405915	-1.61532620872616	19.1541881501848	15.1326276852703
SCARB2 SOD2	-1.33277846568389	18.5847305011732	14.5558153558009	-0.918546867622391	17.1138331165874	12.5829936430553	-1.20616345049095	18.657690763065	14.426084796108	-1.33885365459319	18.4584867113462	14.385306940484
SCARB2 SOD3	-0.933674209146971	17.4294335927851	13.8555903503786	-2.29238605079914	18.6011254894253	13.2502170423493	-1.81346066873015	18.4419559649805	14.386670492264	-1.61724264372349	18.538431182457	14.1084753216175
SCARB2 SORCS2	-6.20842886906179	19.7607236167428	16.40201255585	-3.68258823708983	19.6553097469754	14.462038686419	-7.09874048488362	20.7574114449526	16.3972191669916	-6.63037616974622	20.1754398897844	15.9792328312534
SCARB2 SOST	0.46717044695945	13.1446639931352	10.0801835752547	-0.411683360159468	17.061347478876	12.6411549338291	-0.157770350238683	16.8254484364259	12.5826921577293	0.0602264393339531	15.7601926896074	11.7819123826537
