protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SCT SECTM1	-1.06023769918561	18.5260074546018	14.2274096984493	-1.17535569768241	18.3141186395919	13.5248400513042	-0.959725351389017	18.6001700782244	14.1884873612984	-1.12808412222983	18.6790305026263	14.1923477204145
SCT SELE	-2.01474619255685	18.9983033071456	14.3916813042126	-4.20135149599208	19.8090036232281	14.755936471426	-3.00887897700988	19.788554956318	15.1944112292128	-2.7599327650093	19.5969548947846	14.8600933964074
SCT SELL	-2.25178550682867	18.9317460439213	14.9377873788199	-1.92759421252435	19.0981754901132	14.4617092953105	-2.26615816557059	19.2098610140658	14.9310529987695	-2.26001296272916	19.3372936585719	15.0641540829481
SCT SELP	-3.44790630794484	20.80260306508	15.4290769229016	-2.78971709040339	20.1127074084656	14.9786641953604	-5.41953225805068	20.9631144077388	16.2033274608243	-2.96407912771593	20.6295519808158	15.4747022512503
SCT SEMA3A	-3.45925461943181	19.5217898365301	15.3211813624802	-2.09492315036448	18.9946962177907	15.170889301252	-3.36757996008807	19.9539585951226	15.9363555332288	-3.549861246732	19.7127766537578	15.7165518164321
SCT SEMA3E	-0.360156381207166	16.4881715967711	12.4755108622174	-1.49386529589846	19.5297379306351	14.597961876873	-0.858885289774797	18.6657083795295	14.0568755453942	-1.00994702771151	18.3884140681056	13.8676313576019
SCT SEMA5A	-4.02413618740622	21.0000584815925	15.7432225394886	-6.60397631273855	20.2994562966876	15.7748538399561	-3.74962347174382	21.0410057745309	16.0301623576914	-4.64312020909609	20.9433592222548	16.0835532148418
SCT SEMA6A	-1.79225517464572	19.4790610641269	15.2625892838473	-1.67764749445475	19.3751040858245	14.1833821728634	-1.96946065936314	19.7599647944149	15.3587275154362	-1.82971137777192	19.6723695452963	15.2661137266679
SCT SEMA6B	-3.52164175433895	20.2705111569499	15.5359269094042	-8.1980906337663	21.0326309277164	16.2828416322364	-4.91412285900866	20.8977773137786	16.1403617485126	-6.43610695530084	20.8317818759345	16.1741606937756
SCT SERPINA1	-0.459836629883214	16.9974897285166	13.7720744772592	-0.851732979027733	18.3363933234669	13.611303392267	-0.779145079819965	17.8422770082188	13.9525605032092	-0.668108608693946	17.8638626787423	13.9657060378854
SCT SERPINA10	-2.05936667272452	19.3006753842764	14.1708178740924	-2.29478171208711	20.2248000769047	14.0791322443833	-2.40145184854377	19.6747130113553	14.8308853750161	-2.2580472512128	19.9249532440295	14.4597576634296
SCT SERPINA3	-1.39191252924987	19.7511945781533	14.7877548362348	-4.46111246418316	20.6521381155738	15.4930185725351	-2.31344173366959	20.4353470781484	15.6071037198508	-2.78104858479712	20.4619770632319	15.5078943227969
SCT SERPINA3.1	-0.557061400799047	17.228029818993	12.6828749673733	-1.35516905895325	18.5556944506874	13.5010174840614	-0.926033956940874	18.0396099819821	13.3685810875488	-0.961291729154946	18.1077848445707	13.3836993829415
SCT SERPINA4	-1.74402133829927	18.9383858328309	14.0197216977219	-8.77777604401972	20.6683741917411	15.9204293569607	-2.97186690775071	20.5656620330719	15.3930699304352	-3.62781591687875	20.1362402168708	15.4027265775351
SCT SERPINA5	-4.41226994746923	20.5025273710521	15.8560117320933	-8.97666693640875	20.8203454208509	16.3797271028475	-7.54043258557192	20.7950336229842	16.6089959939254	-6.76744333144069	20.7995704640692	16.4970575872125
