protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SELE SELL	-0.463991093062061	17.8775750886265	13.1395811551216	-1.20680926407116	17.6752457767912	12.9903490488374	-1.13874528441823	18.3522905725527	13.8593533284974	-1.18878531012266	18.0263281297034	13.5882763768368
SELE SELP	-7.19905635357458	21.1659748555898	16.26794692134	-3.41487167563263	19.5328972245413	14.2216944804527	-5.527606456243	20.7489956548163	16.0090442603306	-5.09033094200955	20.5385652783366	15.5668719040807
SELE SEMA3A	-5.60927958850457	20.1829599657962	16.2252493980545	-5.06672596129336	19.9909596899681	14.8802368866176	-4.85438894279386	20.3056188728951	15.9663880656233	-5.98455820486644	20.2657012474369	15.8060290816289
SELE SEMA3E	-0.48005622883668	17.8287339372581	13.386539691117	-2.46356805979038	19.0839253980624	13.9917272401086	-1.86058583960668	19.125819726552	14.7529783291428	-1.36536220337822	18.7899910104346	14.0641457636606
SELE SEMA5A	-4.42791533916486	21.8273820952594	16.044254530049	-4.21755495594933	20.428966297857	14.9178638381056	-5.7723015564594	21.1290077317859	16.0148093042385	-4.83517608411751	21.3167807641979	15.7525861379909
SELE SEMA6A	-1.25666485926517	19.0169722209733	14.2918457140446	-1.60232228485813	18.7191886203473	13.0746167852939	-2.44541430801224	19.5220723144994	15.1489855267733	-1.5052298698369	19.2437555815978	14.1574327501066
SELE SEMA6B	-5.71792957504246	21.0889136540679	15.8619467068129	-8.06623514937779	20.8087316825978	15.2713972865047	-8.59192987034199	21.466928167283	16.6725684347155	-7.446736719052	21.0907296223644	15.9274297050535
SELE SERPINA1	-0.260757971478666	17.3826929969874	13.6992814389872	-0.752562187844762	17.3730312649758	12.3275251797595	-1.02292666128469	18.7185014791922	14.0203342276743	-0.537090321774651	17.8306192940411	13.4882505421939
SELE SERPINA10	-3.8358354659467	21.0156214719404	14.4501382115387	-2.74498833972921	19.6407874144067	13.6903694609349	-4.0381731119004	20.4955422772642	15.1710685085913	-4.08579364617646	20.4212107706752	14.6356974052013
SELE SERPINA3	-4.31341136137862	20.0601987007729	15.1158238651506	-6.91868051285812	20.759091242024	15.4785779905341	-4.37145280711523	20.9121644288011	15.7425203369158	-5.49645802528521	20.6588982122582	15.751329945224
SELE SERPINA3.1	-1.01537503061191	18.455268398452	13.5877987770485	-1.32217682909056	18.4052617170495	13.1524716274201	-1.37043981659355	19.135011665767	14.1264716745347	-1.39535374949057	18.6885656353264	13.7120121847532
