protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SELL SELP	-1.71401982176069	19.2194978407938	14.5348410593274	-1.6824918257701	18.5777076154893	13.4816367883813	-2.93707974470403	19.4146675206634	14.8043852948981	-1.96138712926114	19.1596643252629	14.4667474252308
SELL SEMA3A	-1.37981144263686	19.1734231230331	14.9219472683448	-3.56093369079218	19.2363743830554	15.0645468822288	-2.6504357346118	19.6089646281525	15.5365106573237	-2.07207770616943	19.545968818648	15.3279033362863
SELL SEMA3E	-0.691271964027626	17.0009822425305	13.1373446776087	-3.56380808200936	19.2619461549715	14.7300170782181	-1.6654734666229	18.8639432494166	14.4452421140315	-1.40636935132522	18.3426077735345	14.2430226198976
SELL SEMA5A	-3.1953578063378	19.5861739647077	15.3290831526994	-4.76857581854917	19.6465493756726	14.9812182463853	-4.60467661045748	19.8788221023266	15.5508375541703	-4.41111068760279	19.9089180323487	15.4643729200978
SELL SEMA6A	-1.38225101842137	19.1746772661301	15.281105435375	-2.26889032929816	19.0808929806937	14.1661737362502	-2.5654936428987	19.2758069747705	15.3695337877767	-1.96252111719012	19.2457721453651	15.0336797290656
SELL SEMA6B	-2.85042155204038	19.9755375038315	15.5511366744361	-4.68110866590725	19.7314766708499	15.1217666067803	-3.7013109876355	20.0757088274877	15.6112623067622	-3.82796789690619	20.0992966847735	15.5899032770034
SELL SERPINA1	-0.461170309055107	17.2522890477859	14.3161768185614	-0.733156244389036	17.473649762822	13.4592718838862	-0.759418436164895	17.7658992916984	14.1846818584098	-0.597396819782514	17.59021120139	14.053428248404
SELL SERPINA10	-1.04934598176016	18.476169333259	13.7742888920745	-1.96818202977212	19.2755081371494	14.1576400362766	-1.89518527628319	19.505659707426	14.7114946410787	-1.64461243947707	19.0158668730858	14.2719904390103
SELL SERPINA3	-1.81594545935744	18.8825229892815	15.1670024179449	-2.84124703828399	19.7724215370567	14.6308017139289	-3.69795248726553	19.9599000797295	15.7466150220952	-2.73906520693955	19.5315298543652	15.2903488952461
SELL SERPINA3.1	-0.330978386098814	16.3591084748822	12.7956134873122	-0.273095396648976	16.7606909942915	11.5676294616575	-0.709823819188652	17.6929340455802	13.131915873697	-0.40088991445816	16.8878998655214	12.5209789505009
SELL SERPINA4	-1.4314315948556	18.5438263937559	14.4341283654964	-1.7435665001058	19.8233487453847	14.3212682123758	-2.40644322501981	19.3481175356051	14.9534804603116	-2.00274415601631	19.4745545281509	14.8628673936433
SELL SERPINA5	-3.87119863813268	19.356814685117	15.5704576628522	-3.57628022457817	19.9075579055436	15.3021497718805	-4.14284842736308	19.9927261440388	15.7865151283361	-3.7000680622369	19.7994019812592	15.6508728549421
SELL SERPINA6	-0.899637132425276	17.7649151997396	14.1851926218302	-1.60172053368759	18.4250128331209	14.0660011397303	-1.33027554622426	18.4747478232345	14.80143650955	-1.33548681571443	18.5477022046451	14.7962245401838
SELL SERPINA7	-3.43082653829414	19.9794416738751	15.2789806840053	-2.40882268827262	18.6981878406047	13.9935027736822	-3.46782350986784	19.602611744668	15.3608311573032	-3.1157462953702	19.596156777139	15.0960817173389
SELL SERPINC1	-0.97759157001844	17.8929273360653	13.4368401193363	-1.23664269012454	18.5369595738043	14.0699536222937	-1.77221594215216	18.5325761684366	14.2641924448263	-1.19781173991891	18.4469167774044	14.1018227558587
SELL SERPIND1	-2.24420289740793	19.2519264642109	14.7225817662097	-1.40913525975252	18.8808505923814	13.6090088089125	-1.87376950974124	19.467311126645	14.6088589991637	-1.80574552167952	19.4044628318371	14.5328938579872
SELL SERPINE1	-2.19945185739992	18.5665230872644	14.5234743335153	-1.99435423262036	20.0133040709201	14.9453951381133	-4.28861639404959	20.4135951528788	15.8081300270664	-2.87137657459329	19.6062077393625	15.1958113800704
SELL SERPINE2	-3.60737408271984	19.575881521403	15.6574957950921	-1.61807212687391	19.0723284086277	14.0544184248509	-3.77602951071639	19.5886637713641	15.4383498564838	-2.64415399430942	19.5845314116762	15.1850688500265
SELL SERPINF1	-3.2189797967308	19.5060800851876	15.1797275435166	-1.4362443248373	17.7373446238784	13.2040334529761	-4.29948629798431	19.4517603428675	15.3497554899592	-2.61648056616661	19.0771830504805	14.6774001613409
SELL SERPINF2	0.28938441258083	13.491573667305	10.4108761271934	-0.458441111759069	17.1048057360979	12.2452801067348	-0.145756565816779	15.7314345365727	11.7984658660888	-0.0344989182235051	15.5811966164695	11.5170993547965
SELL SERPING1	-1.64777861697929	18.6062507416446	14.706320645192	-2.05532383106768	19.3828448607699	14.5264600206215	-2.21968635301245	19.1294853073288	15.141025408712	-1.98153052540122	19.3404559238177	14.9997895616566
SELL SET	-1.5946177060621	18.0557546581381	14.8362834062358	-3.37169700092296	18.8496437402302	14.603841045391	-2.99444622766485	18.8587471014896	14.9411962557119	-2.7243389380879	19.0351743729961	15.252018457866
SELL SEZ6L2	-1.76005522331665	19.3133873037057	14.5505920670818	-0.753482284216276	17.4812441560841	12.7639029585794	-2.48048819877635	19.2030973126203	14.8702179103299	-1.6398413918901	18.7600793258702	14.2027560399859
SELL SFN	-1.30811749946622	18.1190164278919	14.3688044529296	-0.753596175632961	18.2039352302421	13.6604565313825	-1.87182835597758	18.6049456648019	14.6286138043746	-1.50200003450546	18.482619518292	14.3978871302035
SELL SFRP1	-0.497950701470398	17.3238213515334	13.0847088253922	-0.829977821722062	16.9329345493495	13.014120927255	-0.454270273847591	17.5906749178203	13.4754059231192	-0.882307091613047	17.545709401916	13.5190657913164
SELL SFTPD	-0.86919582037982	18.4303081363348	14.6033501597173	-0.577853261974484	16.4727181885828	13.3793084626946	-0.670532058213939	17.3151610293591	14.0280064724423	-1.02547331710999	17.7008901224828	14.3672411504317
SELL SGTA	-1.67594232600666	18.3810542566325	14.5462661118387	-2.19421433353159	19.0712830282998	13.927466370143	-3.30083448360769	20.0081250276056	15.5227149592388	-2.56274759981693	19.2992812035322	14.8412908495349
SELL SH2D1A	-1.01852853936383	18.2195265489372	14.8167042441353	-1.56894240141507	18.3056129692292	14.3002034987445	-1.68411818924629	18.8856048174466	15.0913629155989	-1.61772862865525	18.755045187743	14.9475651427568
SELL SHBG	-0.416553391848495	16.0717142617887	12.6856567552767	-1.80480170248071	18.4432941232867	13.9232000949254	-1.67221227777419	18.2987565475153	13.957098738873	-1.08097559094332	17.6982401398382	13.6850823213436
SELL SHC1	-3.48770800550416	19.9622693056409	15.565725083602	-1.45758515420923	18.9351010711648	13.8339556750459	-3.955123205167	20.1953039494171	15.7391478612893	-2.53461958047595	19.6907841287833	15.0279360530935
SELL SHH	-0.638758526751404	17.9432192973529	14.0317571892373	-0.0774572429686724	16.8563379177357	12.812281999113	-0.228892889834234	17.3998525836245	13.9261893914104	-0.377256442251887	17.4928811036085	13.734224496867
SELL SIGLEC1	-1.23352464808534	19.1237652662046	14.953993602728	-3.83663541762004	19.2228292345669	14.5942959094208	-2.55044682958624	19.3813681939339	15.2563144715232	-2.18534079768665	19.3077910228319	15.0387895877524
SELL SIGLEC14	-1.79772000623246	18.9134550918113	14.9728424668308	-0.778712088190529	16.6887800188791	12.7350765731537	-1.11849601161874	18.1365340930588	14.0410952673702	-1.26642537090183	18.0039895719273	13.9769124197525
SELL SIGLEC6	-1.89498194155591	18.8060845838473	15.1354049270076	-2.73296998240749	18.9312154406483	14.1998900173896	-2.71592635513207	19.5333214819177	15.1300758372665	-2.53689761737756	19.2502399262145	15.1727921031387
SELL SIGLEC7	-2.79543841486003	18.8928548521904	14.7398394774363	-1.46262923821087	18.8323626308405	13.7188184065255	-2.91171460613382	19.308790123179	14.9628237514362	-2.05027491742219	19.1709969119839	14.5614036106254
