protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SERPINA3 SERPINA3.1	-1.18480957941807	18.6528572432554	13.6575236951951	-1.88497995867218	19.5273969232472	13.5281274337663	-1.65361712079175	19.6216073355455	14.5529376191327	-1.49982344427154	19.2953772559039	14.0072797006864
SERPINA3 SERPINA4	-4.23118155226146	20.31583048908	15.1877722122443	-6.01771137659259	21.9449999317017	15.8740486599545	-5.19471214411306	21.219921729123	15.8501549958104	-6.75562322319378	21.2303721467266	16.0024301786087
SERPINA3 SERPINA5	-4.51732283662598	20.2733421264113	15.8436985571339	-37.8686197223341	21.7279743127491	16.8524527647296	-8.40122696057732	21.435808130829	16.9000068481807	-9.88980585612183	21.1736085935146	16.6545549797145
SERPINA3 SERPINA6	-2.0415463176364	18.8880796822515	15.3417463504386	-5.09964805087175	19.7687137526362	15.4748136557822	-3.41339845697808	19.8472657327415	15.8946225234764	-4.16174057120777	20.0279231573468	16.1365547779933
SERPINA3 SERPINA7	-4.65705699253171	21.0179587856803	15.9895110782006	-5.35513459155887	20.3233700682232	15.3694962992749	-5.89690527646674	21.140128855403	16.2664059651093	-5.80438891747286	21.0367075203713	16.1577068540963
SERPINA3 SERPINC1	-0.312227853711509	16.1936513239195	11.7827685171973	-1.2088187094594	18.0831686401647	13.3287013403334	-0.846527790042312	17.5281560789011	13.0982311970211	-0.74781238420613	17.535201859651	12.9477320774557
SERPINA3 SERPIND1	-3.02622254548733	19.8696319737263	14.9618873689511	-4.21506061199816	21.6417328090983	15.2924759953739	-4.70330475132193	21.4854266622833	15.9506285675857	-3.6801526787669	21.0575002575143	15.4820678387929
SERPINA3 SERPINE1	-4.25407483061406	20.8735500558515	15.8730326186977	-7.9992428494869	20.8438102432875	15.8361137611002	-6.56025186849028	21.761084454694	16.6903572159452	-7.58848667291494	21.0834535449856	16.3616340694974
SERPINA3 SERPINE2	-3.3529527842739	21.0264379403643	15.9393907144386	-3.15644643375056	19.4845996843779	14.781753030602	-3.66799566922953	20.5792215138124	16.0068904805509	-3.74203866002982	20.5593783901927	15.7636694299988
SERPINA3 SERPINF1	-8.26603085990694	20.968370200417	15.9054480627523	-3.64130160379931	19.0242876791478	14.2309900008644	-6.61096689723199	20.7276893798481	15.9285003595608	-5.80822963561205	20.4228454536066	15.516268889121
SERPINA3 SERPINF2	-0.165438718374692	14.8880045859464	11.2779447698915	-0.888336956583242	17.34103721621	12.2764948275294	-0.445992599554955	16.3746690950898	12.1396090077593	-0.484970729271784	16.3735525437241	12.076646212209
SERPINA3 SERPING1	-3.55140591885077	20.5946929045293	16.2110940254223	-9.94739509545864	20.7344755974261	15.9710234655153	-4.94658288116309	21.2544731058161	16.4230429773876	-5.94499789684465	20.923711522053	16.4309790320173
SERPINA3 SET	-2.50180805820511	19.6411872782189	15.436179427938	-4.29506612818878	20.0269614380135	15.1248118024689	-5.51059143690191	20.388344450577	16.0031524628009	-4.38998152921295	20.2384915738101	15.9414391893851
SERPINA3 SEZ6L2	-2.29335252768346	19.6983265838858	15.0043397228193	-1.59841543168692	18.9272800209479	14.4690651171315	-2.89850704110611	19.8814684791758	15.3619259831218	-2.44054049749604	19.9218284225667	15.445774922342
SERPINA3 SFN	-2.25762345259869	18.8406013415634	14.508671175169	-1.15818977445462	19.1360065944079	13.8455187532147	-1.81685922078268	19.2927930590281	15.0056207121642	-1.68509562813837	19.3053251665182	14.7211967073542
SERPINA3 SFRP1	-1.67841950435645	18.5502060507444	14.5396544844146	-2.3544129926158	19.3740858613272	14.1383898093561	-2.13549442201915	19.1445483189609	14.8237295924116	-2.17149626703683	19.0883705176352	14.6515522343009
SERPINA3 SFTPD	-1.92723321217807	19.6957615827937	15.0280524666598	-1.72608921872216	18.0398440813624	13.9328182192582	-1.60204051735461	19.4001437026496	15.2679145725007	-2.12932653076706	19.1724758527516	14.7935817391725
SERPINA3 SGTA	-4.67169143556157	19.7407017268043	15.0937421049393	-3.63977202333489	20.7956901143353	15.0129301966065	-7.96436000430987	21.6038756487301	16.2921686940922	-4.78547104338543	20.6316292878549	15.5265891482703
SERPINA3 SH2D1A	-3.68324649195982	20.2026182557329	15.9250634488649	-4.95350467182741	19.8072016796983	15.4038666471531	-4.72176253397538	20.3247392617847	16.2024633039023	-4.79741622938256	20.2766259389705	15.9360952550356
SERPINA3 SHBG	-0.396761497609462	16.2230167501745	12.9044502315396	-4.57224898160356	20.713354753266	15.4599807028461	-2.40975136429699	19.5153377769276	14.8693771810024	-1.81925442340929	19.0020955762197	14.4976076746736
SERPINA3 SHC1	-6.31297837922869	20.9792935782365	16.3817058464098	-4.28415639710618	20.5440737925241	15.320903892169	-7.11811797221769	21.7119105333432	16.6022420028036	-5.42929347765063	21.0881733549453	16.1137217965949
SERPINA3 SHH	-0.865136726398316	17.8857458990953	13.828520054462	-1.25988838888561	18.3539136518967	13.9990841850894	-1.2646740135027	18.4995127440859	14.5772654980986	-1.25408208243087	18.4496122773512	14.4699054874695
SERPINA3 SIGLEC1	-2.18863350344268	19.9193167345447	15.5002460428531	-4.17039926523185	20.549823749131	15.3044473361301	-3.1972223886074	20.3582115030306	15.96997998739	-3.13925283459213	20.360567700467	15.6653967109892
SERPINA3 SIGLEC14	-3.46662309961366	21.0352264537425	16.0142301924574	-2.47952244546367	19.5374323565606	14.4052500179801	-2.80618893612309	20.4288691014483	15.4550277658271	-3.0648523610552	20.3903915721796	15.459497067657
SERPINA3 SIGLEC6	-5.38591595935256	20.2216848684119	16.136659538985	-7.37239359364752	20.6917211519477	15.5592136378572	-8.81792601140935	20.7359856885462	16.379476767335	-8.60304045720504	20.6488093084655	16.2238662705023
