protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SERPIND1 SERPINE1	-5.99589284510311	20.4934212907036	15.6415336414397	-3.31796816405003	20.8491622556167	14.8585623326041	-5.9509905591544	21.5494252857312	16.0336493380576	-4.58948824278888	21.0399687102966	15.5503985631377
SERPIND1 SERPINE2	-4.58650640781849	21.8795394300077	16.0706966924044	-2.5675002771618	19.4398913876702	14.4588297244802	-3.55299248956748	20.9558746931806	15.8858649054163	-3.73390606717004	20.8728481487355	15.6343871117965
SERPIND1 SERPINF1	-7.91303350234301	20.7394552723293	16.1408280474592	-2.50951063743767	20.0906708568122	14.1790330320399	-6.49849361854161	20.6783583755144	16.0072920019888	-5.29084054787566	20.8240874564941	15.6635339731004
SERPIND1 SERPINF2	0.351164851374351	12.9743546310604	9.64000496517492	-0.822728342248279	17.7848592841786	12.6492909335492	-0.202887773640142	15.6781493023961	11.5860910227017	-0.165255970551909	15.7069657192166	11.422087901042
SERPIND1 SERPING1	-3.02071686362824	19.8988895965051	15.0632463108993	-4.71247314188613	20.0251710125026	15.0038816307604	-4.14563299394358	20.2608145702748	15.4158913431155	-4.74011556885221	20.2420552269652	15.5244379125792
SERPIND1 SET	-3.58559523866873	19.7143016794265	14.9536822257424	-3.71906507969019	20.8819623301381	15.1356831872167	-4.61332304285775	20.560512466639	15.6269893415622	-3.95601487403248	20.7053121111433	15.5384045876266
SERPIND1 SEZ6L2	-4.59016269849635	20.7851969837405	16.0947981568077	-1.88432151462075	19.9984529442347	14.0726758585895	-3.28889332307579	20.5049359560335	15.4078005559461	-3.19376902406992	20.6674890353723	15.4355559192951
SERPIND1 SFN	-2.32369798165556	19.3963936960694	14.9510177948819	-1.5861380928058	19.7142233781454	13.8753355937044	-1.85234213502475	19.4727131734282	14.780620833849	-1.88829873655756	19.6923722606244	14.6700142575019
SERPIND1 SFRP1	-2.31639446822315	19.1113648636043	14.2688608230907	-0.510666307669996	17.6301820158567	12.9347992715545	-1.81733324848567	19.012458651134	14.2396203807687	-1.44408958955787	18.7538122108466	14.0301873663457
SERPIND1 SFTPD	-2.99338658974012	20.2284389076992	15.2474814452988	-0.946199603465974	17.6648339916105	12.7127545678652	-1.24436370345643	18.8206236748001	14.0826521733268	-1.64128789309695	18.8918970625206	14.3021972092865
SERPIND1 SGTA	-4.75884197718724	20.0203977315189	15.3798511917707	-3.24980620527344	20.8087612040135	14.6681916719812	-7.26626692200014	21.1934418908058	16.1054512363608	-4.2684416011581	20.6824976378564	15.3198703683647
SERPIND1 SH2D1A	-2.46399480722084	19.8092826744061	14.929372387165	-2.15103431487744	19.7617716453149	14.3441257327448	-2.52552876777955	20.0044341614933	15.0057198530746	-2.75884269195052	20.0553392699484	14.9515714852103
SERPIND1 SHBG	-0.755207444283327	16.9469976736932	13.2063019909738	-4.9032983157928	20.900809956303	15.3855748186954	-3.48334120277978	19.7194906675648	14.9397085429793	-2.5047804416212	19.3808462288052	14.7025922521512
SERPIND1 SHC1	-6.04317541003579	22.1300095270331	16.1985974607628	-3.09619080795755	20.001241114584	14.4828013965116	-6.55960780144915	21.5211156447623	15.9979782583203	-4.8610546186951	21.4882026970914	15.8292213820535
SERPIND1 SHH	-0.834510012846194	18.1034538451357	13.754994508328	-0.821603468560564	18.3764522184383	13.5061627740507	-1.00587072803109	18.16891993728	13.9936609926423	-0.945520472368317	18.3358197050946	13.9114136023492
SERPIND1 SIGLEC1	-1.44716561439459	19.310332519295	14.1391932075091	-2.71546453692101	20.7754783922182	14.7136113465605	-2.5346258357163	20.3139869967412	15.3013516516094	-2.16828127234139	20.31059679549	14.8190513479066
SERPIND1 SIGLEC14	-4.71796744691282	21.0193351157278	16.1260618038066	-1.62541498235826	19.4812287262704	13.9894631538433	-3.11891664899721	20.6051154436031	15.3008854286385	-2.93564581656092	20.580861782445	15.1805717698441
SERPIND1 SIGLEC6	-3.07349085142505	19.4231384426283	14.8355092603015	-3.28658640211458	20.9674441989122	15.1874295938509	-5.85419896514822	20.5522012730007	15.7100108512839	-3.84317791248321	20.3984067499205	15.3160804447863
SERPIND1 SIGLEC7	-5.89065439765584	19.8776644271239	15.2355810772445	-4.44454412465349	21.5275465965875	15.4648609337338	-5.83923427955424	21.047359489508	15.8796744504898	-6.08641535184742	20.9388985272661	15.7480727547267
SERPIND1 SIGLEC9	-18.3922153934812	21.6091968400059	16.7008736924943	-5.55881402719546	20.9716380317307	15.3114734530361	-11.4296038981479	21.7945065737819	16.7646944896563	-10.1331662671937	21.3513139928334	16.3867011075603
SERPIND1 SIRPA	-3.95068398322241	20.6423928586028	15.3750129901296	-3.2958140629179	20.8697163274589	14.8898548665055	-3.72364699421275	21.1227376957108	15.8255990060993	-4.24453807375129	20.9922453676775	15.607936053185
SERPIND1 SIRT2	-6.17627995310961	19.9331686890572	15.7281887754684	-2.33481961030854	20.8586092649713	14.6713774825297	-3.43253177257201	21.4595585245376	15.770305560403	-4.83264506569284	20.9261334905372	15.7762966819955
SERPIND1 SKP1	-2.9787014814854	20.4079587653356	15.721251329743	-0.770973015347266	17.1785121605625	12.485516575624	-1.75331152399326	19.263253209178	14.4979768045116	-1.7478745134231	19.1754732931182	14.4889712044272
SERPIND1 SLAMF6	-4.23426491365207	20.3444614823505	15.0903607918843	-3.28993854626144	21.5094348499992	14.9273656601035	-6.19698340909833	21.364157904043	15.8648120257654	-4.94839024076168	21.1148165334717	15.4934844602656
SERPIND1 SLAMF7	-2.63595110035043	19.2849732155019	14.8607671844691	-4.73434532685179	21.4060968369124	15.3891741449572	-4.49704633236859	21.0221322426232	15.8931748184141	-3.71473424438662	20.8646372733997	15.5414257952054
SERPIND1 SLC25A18	-8.52604905642293	20.9223049279191	16.2502093911553	-3.53875477627061	21.5187676895456	15.3520289713619	-10.3072653435796	21.7601536336401	16.809671469427	-6.77081233106195	21.3130864775615	16.1024556936368
SERPIND1 SLITRK1	-3.8326291881226	20.5394980308696	15.854153671694	-3.40213731987245	20.0371856130376	14.4354113241755	-3.46943644469564	21.1624068639994	15.7548007945781	-3.55575978844193	20.6842619083541	15.5485735860419
SERPIND1 SLITRK5	-6.20567324464949	20.2997410063054	15.652420660242	-3.53080805618052	19.6785532700124	14.0830445234943	-6.93723562579931	21.2590831641218	16.1095187191347	-4.8698848723702	20.4490497723128	15.3233443002702
SERPIND1 SLPI	0.358696332074142	12.9951930213907	9.17883995520664	-1.65499263483494	18.6485248510463	12.5540552674858	-0.444287257759652	16.3785205915884	11.6778234805364	-0.309706397453925	16.1594148092766	11.2003772444603
SERPIND1 SMAD2	-5.74507106167261	21.3198505195967	16.2035684851375	-2.12691653102938	20.0525693847383	14.1954024319581	-5.10345967826079	21.3136710600966	16.1261131438679	-4.04107733728971	20.7376225876821	15.5291358922066
SERPIND1 SMAD3	-5.03669420387135	20.1009290633014	15.4659955147991	-3.37068835443046	20.3993661112769	14.6901202984347	-6.1357482405195	21.4002444254569	16.2791984623983	-4.25683144351391	20.4024382372074	15.4069750214708
SERPIND1 SMOC1	0.308578136019539	13.5375709045831	9.02639037580119	0.175939319532209	14.9554909457711	10.2509785543943	0.2190737583507	14.2526799298292	10.0620795139162	0.226109359289051	14.3514851674192	9.85310301903344
SERPIND1 SMPDL3A	-2.88476080602153	20.4196636135372	15.387676911753	-1.74258857496826	19.1144666788937	13.6084041700018	-1.83685249301833	19.7724195879807	14.8498874532562	-2.42612297394892	20.0560726916269	14.9586110269935
SERPIND1 SNAP25	-5.6648897623536	19.5451311330322	15.5230461939363	-4.54612578412905	21.6087306307773	15.4926511757081	-9.34684588327743	20.6367471208974	16.1351073436676	-6.20803862786732	21.1382510270342	16.0731519246465
SERPIND1 SNCA	-5.22506391165634	21.005416911307	15.7443635724733	-3.06486323381187	20.3474922032306	14.4867666902891	-3.77369830330031	20.8528071395079	15.5811890715636	-4.19481991148114	20.9454259449592	15.5321254665347
SERPIND1 SNRPF	-4.25841590788466	19.7635126414161	15.2286812629931	-1.11901376945814	18.2489068969581	13.182482280103	-2.52610177708838	19.261796180737	14.7999076370568	-2.4847750261035	19.3451624104869	14.5298754929765
SERPIND1 SNX4	-3.79242534825165	19.6860828078722	15.2135090370543	-4.34700428630882	21.0174405153429	15.2499132668317	-6.55434052710612	21.422113958731	16.3433266680838	-5.06477822905084	20.6746179548591	15.7153927433104
SERPIND1 SOD1	-1.87988506244212	20.0356338796623	14.7250692007956	-0.563798153910416	16.9210307320373	12.2063630007846	-1.22631099126607	18.9242223830281	13.9598515784211	-1.12145935646362	18.8773640966801	13.9241843375874
SERPIND1 SOD2	-1.55174909687106	19.0662446623917	13.9648620361917	-0.532823817628723	17.3852412319379	12.6769285238803	-0.980564645491843	18.3128906748716	13.4859483595298	-1.27716706175181	18.6323955228964	13.8822091420966
SERPIND1 SOD3	-1.10516412749149	17.5164276670699	13.2227513466514	-1.65354783339488	19.2183844517756	13.4651693561844	-1.3940396730909	18.5254834804282	13.7641668111723	-1.59587408588307	18.6311995539603	13.6934725487259
SERPIND1 SORCS2	-9.81982112789827	20.5026503531994	16.2598755568054	-3.60662006355374	20.4878008698998	14.5341112668405	-5.92164463839788	21.2275160537938	16.0980157263394	-6.00780951893367	20.8649362112017	15.6742381646206
SERPIND1 SOST	0.496515001086979	12.3605410830713	9.3122060750808	-0.1126175076522	16.1441790950777	12.2548005400776	-0.18075340496106	16.7721786837753	12.8070784548862	0.205802831568932	14.8367135993682	11.0486447249577
SERPIND1 SPARC	-3.72172572100988	20.2672624163266	15.3034266388283	-2.87254167453237	20.4453033054694	14.8278573432311	-4.49677854407793	20.9230826340796	16.0800854763378	-4.14772593186503	20.6470865502707	15.5827428328846
