protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SFN SFRP1	-0.325067019636131	16.936830849418	13.0796564215036	-0.563408251274483	17.5964846277865	12.8879381213071	-0.478006841752274	17.7782245120296	13.4463545036658	-0.501033456325303	17.4377761276141	13.2137745838237
SFN SFTPD	-1.07276008517258	18.574563046107	14.6201079876111	-0.517688351646618	17.7787635196786	12.8668306527733	-1.27200717557437	18.423885653302	14.5999980716816	-0.768083071462554	18.2813121304463	13.9533993069674
SFN SGTA	-1.86177701192963	18.3742539905711	13.4821870709524	-1.31380273870123	18.1778211062543	13.0074757054278	-1.98086270696939	19.5594539254485	14.4711292647091	-1.79549364066484	18.5893163977433	13.7610912690551
SFN SH2D1A	-2.66390953530006	19.0484047577768	14.8605558976384	-2.06665851107285	18.4908018854026	14.2861713929963	-2.54543797676756	18.9246092636694	14.8799480478672	-2.4298626737636	19.1682395486745	15.0350456542756
SFN SHBG	-0.331732574773779	16.4248920808384	12.1756670306477	-1.3153647591799	19.1057527282033	13.3343733403461	-1.09917036661799	18.2921564121379	13.6092791220296	-0.870624389509565	18.1344344747339	13.251411790647
SFN SHC1	-2.81641093242956	19.3923465919075	14.518701373434	-1.25046028577853	19.1910575964134	13.2688026203582	-2.2699255590917	20.1011384794277	14.8913544666403	-1.80837151019671	19.4940918869885	14.3692068888156
SFN SHH	-0.924234694861903	17.406682877773	13.9109928527899	-0.828934631337663	18.8230237189047	13.9872907427571	-1.50893479954935	18.3246396163508	14.7322873138412	-1.15302840170835	18.4437618036022	14.483881525125
SFN SIGLEC1	-1.2974494828661	19.0200220460543	14.4394101742141	-1.6368090121363	19.5311860359504	14.4595875605975	-2.04946227664733	19.2382673966777	14.8983055722982	-1.75679244603675	19.3353286919277	14.6975475309688
SFN SIGLEC14	-2.17057516884385	19.0056353412225	14.5993549262402	-1.54048871830396	18.3935594488647	13.6484725926046	-1.93556196409504	19.0392547391547	14.5698729466735	-1.79450887315399	18.8851148309481	14.3671108736324
SFN SIGLEC6	-2.52928351402589	19.1274119861192	14.572300265815	-1.7674202883384	19.100376445812	14.1628151114552	-2.32899332168661	19.2474454515786	14.7909861257652	-2.20849146066252	19.3790505170111	14.8032455355514
SFN SIGLEC7	-1.97769326864041	19.2226260294872	14.6115028740945	-1.81713368258464	19.3566633101316	14.0840778600789	-2.11562998234746	19.8624281555724	14.9727854431941	-2.03746557425228	19.6551745870692	14.7573897141332
SFN SIGLEC9	-1.44790237675991	18.6163330615632	14.6063147317123	-1.34567039164528	18.2843968243812	13.77068311331	-1.89425578111199	19.3398333982279	14.9809809316521	-1.58685089984493	18.7125099089371	14.5136740507481
SFN SIRPA	-2.37566748267008	18.8250625748549	14.6634243130156	-1.79531717706373	18.9572462674778	14.0894629573368	-1.88896742112253	19.1595264943549	14.6320457244034	-2.16478099961502	19.1301748447778	14.6668059152064
SFN SIRT2	-1.93355488178235	17.841272149385	13.9991017674988	-0.797737343012735	19.7125906571707	13.5102292034486	-1.71659814147316	18.9253773466448	14.4602821037953	-1.39026448347036	19.2370336730539	14.1933367415719
SFN SKP1	-1.58857637117934	18.2276400421602	14.2040077001717	-0.519816786092403	16.5938085105199	12.5414741766336	-1.25246702316208	18.2492557874563	14.1912173002345	-1.1793166435563	17.6600493878494	13.7712892594125
SFN SLAMF6	-2.24470626904508	18.6814255801968	14.3683774109541	-1.34840450997084	18.877192795309	13.6219936900288	-1.94315019768623	19.4234448653288	14.4228616744397	-1.77376185638956	19.2387556496288	14.2923977122512
SFN SLAMF7	-0.785205200680853	17.6829916208143	13.4858506278279	-2.30511486123426	19.4361502196516	14.7382938093659	-2.99002635549468	19.4442319553819	15.1380243015171	-1.68359918811346	18.982084298782	14.6147703804795
SFN SLC25A18	-1.69630287813768	18.6005893036411	14.7032304542631	-1.20465849843795	19.3030893989135	13.5551836865415	-2.23107402771469	19.5729139442453	15.0609802243087	-1.57499831618636	19.179459211459	14.5672596575146
SFN SLITRK1	-2.49086943466457	18.2668785964859	14.538564059188	-1.85347639675532	19.1558037768556	14.3056632173966	-2.08941659622309	19.8813442778655	15.3374813050227	-2.04934031247561	19.346019628588	14.8978670534328
SFN SLITRK5	-2.11163627209039	18.7266338569571	14.2242946742701	-1.60927003815085	19.5631126788254	13.9885534370524	-2.01268293854668	19.5904468703899	14.6593567308791	-1.75354368834062	19.2482523040074	14.2649485547124
SFN SLPI	0.159243695999857	15.0958929726373	11.3679495918953	-0.947431961093449	17.8785906525759	12.9843836728972	-0.395773404057908	16.897232380301	12.7938667049052	-0.257668723072888	16.6336093009342	12.3958050173682
SFN SMAD2	-2.3724403989762	19.3068415150727	14.374553579904	-1.1157995654693	18.2103821744383	13.0551005178402	-1.80128309722434	19.3631122464155	14.3889548980584	-1.90812964638749	18.9733154215238	14.1036278100075
SFN SMAD3	-2.52113541157778	19.1099661890355	14.3507832948388	-1.05426567395952	18.2378376974167	12.6057734906532	-2.02767022824279	19.4327927295169	14.3317419816163	-1.6481598901787	19.0570382273387	13.8813529366263
SFN SMOC1	0.304627009312567	13.697437201111	10.118245513805	0.213338259972865	14.4447997270509	9.46328337416586	0.16171994094609	14.44704291329	10.4255507355982	0.276936274318063	14.1123652155188	9.85578759741943
SFN SMPDL3A	-1.80899743895926	18.8504083865786	14.3808320359988	-1.34004001205432	18.5171027770329	13.825899225488	-1.56351697986347	19.0115087736648	14.7013707590992	-1.88239955119026	18.9781570248472	14.4952571333487
