protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SFTPD SGTA	-2.12400508568144	18.2520949616485	13.93522039128	-1.29374114350067	18.080379286044	13.6566959113295	-1.47961420727873	18.6999192903406	14.4915588693388	-1.83498230598014	18.5397567020829	14.3360245030674
SFTPD SH2D1A	-1.649414367237	19.3845614411246	15.1871465042645	-1.63419929282967	17.7351538078996	13.9515723499927	-1.47769200813562	18.735512076676	14.7852192076481	-1.7143253716665	18.7368941832738	14.8275243283833
SFTPD SHBG	-0.489573082577208	16.6756643936172	13.3263657482522	-1.04256037695402	17.9765697816244	13.0568887430688	-0.873761959250571	17.8107676520842	13.5372061279153	-0.765886307449573	17.6944072645909	13.555635295534
SFTPD SHC1	-2.34064482857093	19.33749196882	14.7684124331859	-1.199121594726	18.4158451437296	13.8532038905836	-1.96335724158346	19.1617751541118	14.8220345598829	-1.93246745143687	19.0878600289142	14.7245695778125
SFTPD SHH	-0.861350253284583	17.6279899286448	14.3519333702208	-0.620661554342163	17.5983228418984	13.6879294269634	-0.888941858440981	18.200613349113	14.5355436208361	-0.871510518455407	18.05035537738	14.5694492519506
SFTPD SIGLEC1	-1.22673750739418	19.4118686874099	14.9381620773995	-1.16114045997023	17.7484109240347	14.3497647526674	-1.16194524053179	18.8885431757327	15.1229090224699	-1.39288749027307	18.7397203671245	15.0386867070595
SFTPD SIGLEC14	-1.78577127203393	19.4440823811898	15.3289721958836	-0.644921717001702	17.1451134106232	12.7729714087657	-0.961994951087531	18.457772115889	14.2536020639411	-1.11681894103458	18.3632707250552	14.1682472464507
SFTPD SIGLEC6	-2.01917397754957	19.6003368831914	15.7142599889195	-1.1359809153357	17.7130888610038	14.1926310646386	-2.21226804207323	18.9480796668876	15.3417897133126	-1.77088762537342	18.9241338830158	15.2625264374621
SFTPD SIGLEC7	-1.67824267773763	18.6311446617447	14.4923986266647	-0.78199867280841	17.1613855947879	12.8058895731119	-1.60260378674554	18.3625084117121	14.4304267802757	-1.36234402348444	18.210902181379	14.1699627106473
SFTPD SIGLEC9	-3.35618362182201	20.0140624121626	16.0674934581651	-1.11525091162428	18.2683549614791	14.7657053515271	-1.92040972812246	19.3717641223265	15.4572626306198	-2.38305210685622	19.3043078348661	15.6609327374237
SFTPD SIRPA	-1.68079285595621	19.0464803096933	14.8831216184401	-1.14592211504682	18.2885187986492	13.4338238406349	-1.72050078042719	18.8226897308723	14.6460927269055	-1.65978662613104	18.7762399889189	14.4175826732135
SFTPD SIRT2	-2.80354431475627	19.5754350742674	15.5151092934854	-1.19151872448698	18.447212784205	14.1367271689366	-2.36164951435843	19.6515335981671	15.425184471246	-2.51478327963957	19.2856842273055	15.3507333477326
SFTPD SKP1	-3.47496735200463	19.80502367335	15.4734921417895	-1.32184192917705	18.1407931384432	14.3365744521596	-2.22456585716843	19.1678193909598	15.0236798095388	-2.26030142986258	19.1278472026193	15.2263314025754
SFTPD SLAMF6	-1.28119984727046	18.6096672147392	14.4455494919329	-0.93169345100467	17.7703036200867	13.7674322434558	-1.18060996844242	18.5374169834456	14.4240749376286	-1.14551502553729	18.5344436119167	14.296932976639
SFTPD SLAMF7	-0.7009201923747	17.4903633406414	13.5200083909993	-2.00086390452154	18.2417536772588	14.3337397904954	-1.64336548623196	18.5097383295656	14.6463830160587	-1.47871520621194	18.1734450822315	14.3278857106651
SFTPD SLC25A18	-2.30868056965662	18.8870778193709	14.3290739897766	-1.34890727767691	17.6233355562832	13.549946834874	-1.66409688846947	18.5781963973727	14.2426611434724	-1.95259373690641	18.4959295883106	14.3860800709238
SFTPD SLITRK1	-2.01969282499668	18.8652614607552	15.2500430540109	-1.50046724185547	18.3135141696682	14.3167683403061	-2.2881125817554	19.2792252053454	15.4324403169081	-1.96953454752259	18.8212783960425	15.0380164305973
SFTPD SLITRK5	-0.610434488812868	18.4422817167493	14.2491929924366	-0.993946296906626	17.8067660354627	13.4742148612484	-1.26275950870275	18.8852133207512	14.5610801787617	-0.855869241976289	18.2445273520099	14.1006475100463
SFTPD SLPI	0.311809497693956	14.1383663538307	10.5791368107595	-1.05798906208711	17.1285521078176	12.8811606204074	-0.196304900670452	16.411545629603	12.4059593725271	-0.132938923701725	15.9973663754182	12.0028880301936
SFTPD SMAD2	-2.23895209657044	18.8341490855892	14.6658912926137	-1.06712713732061	18.2010126981148	13.3576921483725	-1.39126038985345	18.7665474957231	14.4689097298966	-1.62736878824635	18.6499620232002	14.4570062199907
SFTPD SMAD3	-2.4815101841985	18.8822491056237	14.563191866058	-1.23006309011896	18.2725215047535	13.2751915313671	-1.62387119817503	18.7555364966823	14.1119333790105	-1.95738416271392	18.7854961634556	14.405678310557
SFTPD SMOC1	0.434024148768407	12.8958232215552	9.21325797474465	0.365368162348955	13.331720048335	8.98752640567317	0.337357105136871	13.5620587283631	9.40238861433622	0.391511146553513	13.2542253286042	9.32109788921156
