protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SHH SIGLEC1	-0.648199458242524	18.5438891509727	14.7938068328289	-1.79432489702803	19.1214669472091	15.0732606155143	-0.928636675217023	18.8394400337006	14.9138227148383	-1.49565300245505	18.7979725805563	15.1632081959691
SHH SIGLEC14	-0.846620715974228	18.5834333647317	14.7039397120626	-0.391424194848863	16.848220772176	13.4477929396917	-0.692779687236232	18.028036234631	14.4288483911277	-0.779829340622692	18.0368649672936	14.3329636928559
SHH SIGLEC6	-1.04967212892877	18.4422109164457	15.0727987662164	-1.78653420842233	18.3831348921923	14.6548372614881	-1.2424995155439	18.4085121430361	15.1191114991073	-1.65440789122352	18.7919687703653	15.2000367194175
SHH SIGLEC7	-1.53693612974589	18.3937063176764	14.7862405005976	-1.48868989089687	18.3122095061874	13.9072447585554	-1.11772864813613	18.6856575977083	14.7537874955822	-1.62058642942801	18.6042163288037	14.6803576490378
SHH SIGLEC9	-1.25154589341754	18.6793766080792	14.9587544996621	-1.78337548007465	18.8190762181866	14.6528536104113	-1.98360060717097	19.0986121648483	15.1490408602903	-1.928018638805	18.9384185261349	15.1630107080747
SHH SIRPA	-1.0984464876957	18.1381027638747	14.4712981229839	-1.07925534301747	18.2941971679273	14.1768258201239	-1.12996176780888	18.4041428994586	14.7798544397717	-0.987533714880701	18.3445516047572	14.4901263029293
SHH SIRT2	-0.718324472625135	16.9466806646273	13.5131055756957	-1.5195333453888	18.9599238337964	14.6007751498952	-1.15610591208028	18.4235341317565	14.7178482333645	-1.29955122573687	18.3257715526858	14.5657957205448
SHH SKP1	-0.600703813602162	16.8663100281993	14.0914736435166	-0.843124385432553	17.2055241036234	13.7251009507095	-0.877485681349011	17.3125534287103	14.1167630887346	-0.916226970254946	17.6078000676692	14.4235296736616
SHH SLAMF6	-0.860362856790007	18.0529377912601	14.0305941726161	-0.754192226529749	17.4829985330043	13.2041421100308	-0.808863883290521	17.6675272038554	13.9142232553946	-0.848309282026243	17.8139916519684	13.8837011692166
SHH SLAMF7	-0.703089770470734	17.5909625321949	13.8235230584642	-1.58423653256878	19.0157936344142	14.8835778450182	-1.07103024433903	18.7104307267031	14.6859265170086	-1.56272641983971	18.6303060211554	14.7801734986644
SHH SLC25A18	-0.482205333663864	17.5338543227336	13.7484353805185	-1.29435164416376	18.2341746779517	14.1691872523655	-0.764185180872127	18.1602456907562	14.3737800120766	-0.98357322580876	18.2247715344622	14.4501979552063
SHH SLITRK1	-1.12738921302073	18.1731504224344	15.1388771799307	-1.69569472286441	18.6184701813784	14.679715427514	-1.57730030859368	18.7625648694769	15.2744104936256	-1.54746588049625	18.6626881314981	15.2663834056615
SHH SLITRK5	-0.230092211797811	17.2272061752038	13.4421023639792	-1.2534519813539	18.6428415139464	14.1251016542328	-1.19644398480136	18.4209442032956	14.4122176198716	-0.800492275630282	18.1328120136356	14.1420218273705
SHH SLPI	0.14752310730627	15.2129131828801	11.3351962726995	-0.750492380887708	17.1428861828866	12.9359042087278	-0.29306939661768	16.6677517071554	12.6093781965026	-0.273503317677947	16.3927758021451	12.341238341731
SHH SMAD2	-1.35261206711297	18.6976386322433	14.5138013742577	-1.53370558183804	18.7981972273687	14.0729786931144	-1.37870233510755	18.9206339654588	14.8821883388664	-1.49623885447262	18.9457531253163	14.7418989833829
SHH SMAD3	-1.27356909778071	18.377029196338	14.5578020781696	-1.56870103324146	18.8223830446078	13.7607243444045	-1.72930362675669	18.8543484161183	14.5917876959521	-1.75529143069931	18.7712567875825	14.5499838039864
SHH SMOC1	0.346539388812099	13.689215989226	9.38923912728792	0.196275675615354	14.2399111664799	9.58351388558078	0.311287205159049	14.0494870382871	9.69125479484445	0.298327264839721	14.0191346246931	9.70027222347849
