protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SIGLEC6 SIGLEC7	-3.90828306922967	20.3718230356963	15.6856831430725	-9.73073506347083	21.2199600295567	15.9710390190744	-8.95728530491791	21.3333648572039	16.5497274640611	-7.67416750414998	21.0748273232787	16.2419580067912
SIGLEC6 SIGLEC9	-10.2741097803763	20.6175972148335	16.3690144976314	-9.91175893184943	20.4642539124696	15.8955704203514	-12.829748929273	21.0094418122466	16.5735253076868	-12.0482621714543	20.8874056769446	16.5118757811528
SIGLEC6 SIRPA	-2.14298538685002	19.7070345007738	15.1017434782174	-6.28389572710046	19.8590854851427	15.0998542463199	-4.93120004397873	20.9613361963308	16.2020117245595	-5.43067680251736	20.5504653600087	15.8848286063242
SIGLEC6 SIRT2	-2.22843756007263	19.2716262526482	14.7995359296756	-3.26597974758314	19.3562699368558	15.0032933064316	-6.7477190096063	19.9774306838381	15.6525024229316	-5.2486580884418	19.8601361278135	15.4704954812953
SIGLEC6 SKP1	-3.77582263030438	19.5129614141294	15.7524995093527	-1.77175539675225	18.5083373130198	14.4372865935336	-3.28195903285063	19.3548830325959	15.4904531165826	-2.90809267822273	19.214316059978	15.4607947244805
SIGLEC6 SLAMF6	-4.01064189427667	20.3732512743256	15.9495503837131	-6.87607569784017	21.1473378248923	15.4529929655259	-5.61570559521885	20.9673165604796	16.0326963717429	-5.84943121995846	20.9978294769399	16.1522001105173
SIGLEC6 SLAMF7	-1.38880230766837	18.1371275550304	14.5958821245607	-10.5494115150835	20.4468106574522	15.6315409755196	-4.07522309670511	20.1828777553322	15.729944562496	-4.22203873893098	19.6535698519143	15.5596972820903
SIGLEC6 SLC25A18	-2.95054757942389	19.6085988103375	15.41600470508	-4.64448334563355	20.4062639394142	15.6278248604243	-8.91822384927093	20.8762304165535	16.446682463041	-5.83226225947074	20.4204713213954	16.0483381390918
SIGLEC6 SLITRK1	-5.25474300247035	19.8031339140596	16.1634739618513	-5.46803052291536	19.8076492632237	15.4041944107262	-5.36955262209206	20.6026087981327	16.0397635739094	-6.60817732767006	20.2002614228647	16.1219349965499
SIGLEC6 SLITRK5	-2.30758107581653	19.3133956498726	15.1268394715806	-10.7718485706433	20.6530474707139	15.6748584645741	-10.6672411696145	20.9272327931165	16.3469938268668	-5.20139785203318	20.1897681460624	15.6730298406884
SIGLEC6 SLPI	0.147842436343611	15.2923475718884	11.4830212836037	-3.45142168633847	19.1388967912119	14.3808136992302	-0.765575354648745	17.8839791882414	13.3749400765708	-0.734524065829974	17.522404528564	13.0434446999794
SIGLEC6 SMAD2	-4.25828037773687	20.5095847227043	15.1803650848182	-1.92614059464012	18.5831982178387	13.4579740889732	-3.18825853885938	20.5106253411348	15.465932898306	-3.1496223198849	19.9767957165399	15.0102832784299
SIGLEC6 SMAD3	-4.24208617500076	20.4972986915784	15.4281533564118	-2.37712356219965	18.6886528590594	13.8036875962874	-4.69924719709678	20.9116256474946	15.9389455787562	-3.83782174840255	20.2224796056928	15.3180522862695
SIGLEC6 SMOC1	0.255812824008489	13.96458378916	9.96095710454269	0.0834121088637924	14.3495775741841	9.74049854597881	0.165941259713751	14.4146567653625	10.2130229853243	0.214291481330192	14.2891625132307	10.091676289564
SIGLEC6 SMPDL3A	-2.76948213316689	19.6817686977178	15.6017546890302	-3.26415027449428	19.0296023909008	15.1227839412326	-5.03003634156548	19.6618977712098	16.1559553665296	-4.53685168429461	19.66483267041	15.7334809865041
SIGLEC6 SNAP25	-7.26512962249087	20.1799282738094	16.2570525512413	-10.7922843931873	20.6442324744427	15.715344801681	-12.0609952650184	21.0601352024516	16.5378210417985	-11.7369305739728	20.8178237442436	16.451655838856
SIGLEC6 SNCA	-4.053504685294	20.1021068963325	15.4279100847035	-2.52055056619677	18.8595944084111	14.4315903838504	-3.52943699915521	19.9920225104269	15.6029307041416	-4.4334397544604	19.8938880532485	15.5668295965788
SIGLEC6 SNRPF	-3.86498690731182	19.6791972920627	15.5255317621746	-4.31653983671476	18.9464090916667	15.177953944235	-4.18229235881303	19.5427144971666	15.7761908339668	-4.85580148929653	19.5714451090426	15.6223669488443
SIGLEC6 SNX4	-3.94064093208917	20.422363550515	15.4574544063501	-3.33878633460447	19.5571787849942	14.9298441999354	-5.94796575000467	20.8362279694805	16.1652774251623	-5.08235652145783	20.5143057145844	15.843874537072
SIGLEC6 SOD1	-3.29231387934356	19.1181906799031	15.3382815728904	-0.828681847495026	17.4244381780387	13.8264774907803	-1.35401516221049	18.8430529553746	14.9503425700745	-1.52487077896136	18.5755570989177	14.8779905579313
SIGLEC6 SOD2	-2.12269544808408	18.5414440102569	13.8834751324551	-0.489014299430116	16.9814138858592	12.7740696309432	-1.17583009388121	18.2175379047945	13.7842165529187	-1.21934792950959	18.1571688527743	13.7231838354548
SIGLEC6 SOD3	-1.00819334265791	17.781929867724	14.0243387684842	-1.77508980102495	18.5562795019832	13.7658342035351	-1.13315629854625	18.8233011180882	14.557764686192	-1.29363863844901	18.3565548336505	14.1048232473694
SIGLEC6 SORCS2	-3.30043535700902	19.9294932230842	15.672208959742	-5.78223906392152	19.4238447269348	14.6749711539057	-5.20134095718586	20.4909313486136	15.8610999592247	-5.54035777321903	20.111400917404	15.6160558500089
SIGLEC6 SOST	0.377071222173884	13.8921718259842	10.7362213906302	-0.732864590834537	18.327606010865	13.856083867146	-0.265632714648521	17.5556153472093	13.4377606709834	-0.0923584149062242	16.4957796882738	12.6126144439047
SIGLEC6 SPARC	-6.05932519894625	20.5076505583015	16.3198004905466	-2.21305077920763	18.9512664540044	14.5616879184673	-5.49310277578956	20.4157135207692	16.4607400861307	-4.02077535837724	20.2893013690525	15.8925048854527
SIGLEC6 SPARCL1	-2.49215157418043	19.4618275825418	15.0944759421147	-6.57825873045124	19.9900589181177	14.9857079682226	-12.6966319459274	20.6830483822688	16.4399551447783	-4.72024951460003	20.1202779416689	15.6504135166279
SIGLEC6 SPHK1	-2.93216311786186	20.3754018683524	15.0777897070676	-2.40404486854512	18.8278595129313	13.7703325286178	-3.96497222904172	20.4501363789577	15.5616112635164	-3.6609737675428	20.0477774074193	15.1172557656524
SIGLEC6 SPHK2	-8.50985477814807	20.6558265174981	16.6152478106918	-14.9939140775043	20.6517433566973	16.1143836374575	-12.5365493611572	20.9690533650509	16.7006348118018	-14.5232399250672	20.9641023293919	16.7379816602751
SIGLEC6 SPINT1	-2.09946155880795	18.6914372807277	14.8599114310198	-1.38517235107392	17.8791109597422	13.978007190197	-1.68071258447633	18.4949621669053	14.7134172226153	-1.7461247776235	18.5372133417797	14.7756336126975
SIGLEC6 SPINT2	-5.80696463433013	20.3568665040732	15.8304593465584	-2.61832979330395	18.9888699851442	14.3071293722477	-7.08247859849872	20.5439769249835	16.2715922708147	-4.84613336689147	19.9896838779919	15.5148236238475
SIGLEC6 SPOCK1	-8.82977357339087	20.2253699047978	16.3277554554312	-4.04693224684249	19.5142985871096	15.2313597394874	-7.33786894122516	20.6637462979964	16.2876759333859	-10.0295593643566	20.500505941805	16.3358065708767
SIGLEC6 SPOCK2	-3.43200322371007	20.5830101213285	14.7497526900117	-1.90484237506862	20.3581099311525	14.6887978840875	-3.31286436335286	20.9990344725294	15.1147755638572	-2.81044643290315	20.853317928308	15.0004846385106
SIGLEC6 SPON1	0.0936350031799057	15.3315965977348	12.1716719751592	-1.34706704646176	17.3925798588543	13.0561499195199	-0.493806225404425	17.1271541804198	13.0608586004093	-0.447685361611282	16.8281481880143	12.9979292789287
SIGLEC6 SPP1	-2.66556453760359	19.0634477790748	14.701996856501	-7.46312612651416	20.1594856998419	15.4073553285203	-3.88339051572074	20.1549467803935	15.6555601648027	-5.27220121769943	20.1643833075889	15.6470400840089
SIGLEC6 SPTAN1	-5.17526103983662	20.4748035015954	16.5492641388201	-5.88801525512076	20.1078994629316	15.8227893907892	-9.53597946043736	20.9566379207351	16.6280418552389	-9.80524010375149	20.6797737321874	16.6399194016963
SIGLEC6 SRC	-3.53296999471455	20.2277804486592	15.3570406655545	-2.96920251122191	19.194550566797	14.1505607556019	-6.01435480560735	20.9304002236826	16.0594302827535	-5.0853203359796	20.4727198749714	15.5318822642037
SIGLEC6 SSRP1	-1.5445256980468	18.1124175292334	14.7224659593081	-10.3202506583249	20.0773382933253	15.8764760011412	-3.06689119093764	19.4539520694655	15.5093975324493	-4.42992594940655	19.4845110744983	15.7849309258476
SIGLEC6 SST	-0.282604358166914	16.9093010822531	13.3339829783363	-2.42434188911855	18.7898156064203	14.6783254562823	-2.44889072453136	19.0224460489176	14.9182624954136	-1.35486987810435	18.5359338991846	14.4776537711339
SIGLEC6 STAB2	-5.98605478088258	20.1198252752538	16.0457756259888	-3.9887213301259	19.8493154859731	14.6155025321358	-5.58554530813889	20.6892554029201	16.0327887959371	-6.03217324687446	20.2915883585754	15.8027197498144
SIGLEC6 STAT1	-3.08454730607835	19.4745866685413	14.737797223368	-0.536490199833907	16.6709847743624	12.2048439072482	-1.572061753736	18.6965912936305	13.9925016175955	-1.4603510918959	18.6515181309932	13.8893095417962
SIGLEC6 STAT3	-4.96263564394716	20.7653711289576	15.4557615152656	-1.97300949708204	18.7652307886989	14.0569936556358	-3.92329184553	20.5165155622243	15.4853962612031	-3.68941427193793	20.308772386333	15.2658532670122
SIGLEC6 STAT6	-12.6628810094188	20.7695302290213	16.8485975024454	-5.98674208998489	20.1640569294631	15.7256510888044	-12.7340815570432	21.0481621824125	16.7485364823449	-14.6266180038652	20.8939337328978	16.7609468037501
SIGLEC6 STC1	-0.346291512475158	16.0962946878467	12.5713845175269	-2.06238594385434	18.6766189340031	13.9883806683283	-1.85981486397308	18.4719556751163	14.1210194249126	-1.31261413063068	17.9072331864209	13.70888839133
SIGLEC6 STIP1	-4.3059128389545	20.1470197576993	15.5626474857487	-2.4949903213231	19.1855248907222	14.5712850137846	-6.6049865514296	20.4476540699387	16.1423807894132	-5.30516770009506	20.2280907626392	15.7658305305065
SIGLEC6 STK16	-6.18121006902748	20.5801533003922	15.8277472567601	-11.2316039591708	21.0868676431984	16.2058832352481	-13.3912641071289	21.3170719542881	16.5040950661016	-11.2074884647295	21.1732157369399	16.4011491342231
SIGLEC6 STK17B	-6.9492591117755	20.6310366219525	16.2708116963672	-10.4512676420652	20.7330826464905	15.7218782557544	-10.5898223049414	20.8857371329579	16.474382565548	-9.52215327645479	20.8929943956347	16.2759554279317
SIGLEC6 STUB1	-4.25922583220788	19.8129644272887	15.9056718798934	-9.2302236930941	20.5832465434966	15.6893424552314	-8.24148712254648	20.7363091473603	16.4335207503312	-7.03051392238121	20.6185295692189	16.3295256854353
SIGLEC6 STX1A	-6.39708187943612	20.8565960011761	16.0882376490803	-7.26448925567557	20.2426288733443	15.3053982283839	-9.60092605402554	20.9711779497807	16.3297260518643	-9.84299509957883	21.0000875101587	16.2603249182618
SIGLEC6 SUMO3	-3.87133228445095	20.2843736291645	15.5507792842963	-0.996506093602707	18.2476725572988	13.3740084658206	-2.14270874108825	19.7807866621653	15.0675812246302	-2.01042425633772	19.6872030245524	14.8714493142868
SIGLEC6 SYNCRIP	-5.93285368454533	20.4221220163404	16.2996202797504	-2.9167087282689	19.6092299858642	14.7090071083012	-7.57447254639858	20.5230813822167	16.4136895180765	-4.4923723954279	20.3512751846245	15.9494945197841
SIGLEC6 TACSTD2	-6.38283951004623	19.9607600920791	16.0754075820876	-3.60274575704459	19.7053374601764	15.3682989211821	-4.69969444977934	20.1867857120097	16.0880296981406	-5.86790472476623	20.2989587052446	16.0734508112455
SIGLEC6 TAGLN2	-8.15152948404563	20.6227029425505	16.5819544599203	-6.10050956294271	20.1760641839302	15.8476871516071	-12.0639451890612	20.7449246336307	16.599959815581	-8.16114832242251	20.7870373025898	16.5453652565392
SIGLEC6 TBK1	-4.51735285225474	20.272379026552	16.1011213988723	-2.57401232058959	19.1853168338381	14.5936839269009	-5.2296784250721	20.1349601196662	15.938601873683	-3.69972349714914	20.1720487249816	15.7689381594586
SIGLEC6 TBP	-8.25776145729305	20.2444270891654	16.268263902099	-10.9199428208148	20.5288252496177	15.8549293431731	-13.2843130346229	20.7730833814393	16.6243040706464	-12.7165316554474	20.6108056670985	16.4105295678573
SIGLEC6 TDGF1	-8.86622576340962	20.6083939684216	15.9518966622521	-5.46428657768664	19.8772917745368	15.4674060600054	-7.57804155715211	20.9892248508446	16.4251015404861	-9.70929809104168	20.6884309536612	16.2943882263778
SIGLEC6 TEC	-4.25020532181854	20.1010241664558	15.1393499907357	-2.87887226057649	19.3582701058796	14.345897386335	-6.24308004628692	20.7190094785693	15.9108832043991	-4.75934381671547	20.3885581221052	15.4866375646414
SIGLEC6 TEK	-3.60082651646642	19.1991777347871	14.591409490664	-4.50388916303767	20.2827916862205	15.1526863361419	-3.77705921891109	20.4140332562143	15.2909282190484	-4.5839011423635	20.2024411809282	15.2508742595001
SIGLEC6 TF	-2.38798219229089	19.2178136295293	14.5832392080063	-3.10475184768555	18.8947004060604	14.355012451748	-2.75640961104572	19.5139533631954	15.3793246787577	-2.96965604429362	19.204340244824	14.9097533224319
SIGLEC6 TFF1	-4.92343002055461	19.8879590753657	15.905944719219	-3.70667710070238	20.0151791935432	14.5192140295353	-4.32426302410497	20.1645532558157	15.6010807587697	-4.29453162807393	20.256850120537	15.5969127657199
SIGLEC6 TFF2	-1.35162071349144	18.205435972864	14.0959908181933	-2.6866074108542	19.1734787615508	14.2243020384947	-3.54410541913873	19.6368869288899	15.2068993906165	-2.49184993040031	19.0165461699959	14.5628228098963
