protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SIRPA SIRT2	-2.31638704129508	19.2056310361657	14.5328804875143	-7.85475285696904	21.1039835070226	16.1437516180931	-4.20843096141186	20.6021300270768	15.4848416921178	-5.14422207853205	20.4750570167919	15.7837967591742
SIRPA SKP1	-2.28660239193962	19.4396053585711	15.3079747782798	-1.10409150324481	17.8051907873877	13.8476156197755	-2.24374433252592	19.1039919537949	15.1735282743623	-1.66984182647436	18.8874727313591	14.9153340031731
SIRPA SLAMF6	-4.37852324657882	20.273383699101	15.7474510172301	-5.95577112551067	20.1510051236215	14.9959456963991	-4.97262089257431	20.3344162722614	15.6727432840191	-5.64107031880771	20.3995316444354	15.6618031915355
SIRPA SLAMF7	-2.25771035842466	19.4189364982712	14.9325865752814	-9.32460524388227	21.0092087703394	16.0612747253944	-5.23627414361117	20.6713243682874	16.1766126529625	-5.15182191680882	20.4584187312267	16.0026519404326
SIRPA SLC25A18	-6.47114096742736	20.8037220093897	16.5317259021904	-8.67926942881218	21.085834492187	16.1499961642633	-6.71695208034594	21.0115561552958	16.504436618719	-10.2401962883726	21.092999846131	16.5817216436252
SIRPA SLITRK1	-2.15449660939239	19.6526607864053	15.5379275929136	-6.85110317031706	20.3926488346092	15.6206620507474	-4.71355664625258	20.5282720312556	16.1181472557327	-5.19337306291126	20.2316065151039	16.0100210195733
SIRPA SLITRK5	-3.49013631334975	20.6090660746513	15.9880946536243	-7.255101165149	20.2688827386886	15.5936223226277	-5.22492274721858	20.8847553449552	16.2498593940832	-4.62682876207102	20.6406334352858	15.9887230908291
SIRPA SLPI	0.23637709458116	14.9993945932525	11.0426983510861	-2.7024321865718	19.2655485352727	14.0422024382096	-0.854118496538125	17.8212032513924	13.3362413388007	-0.621893688765564	17.5699051445402	12.7808479219776
SIRPA SMAD2	-5.85177408793855	20.1846462651382	15.8473430965381	-3.3081263311131	19.6250737107528	14.3243227774702	-5.61291099593532	20.4130223552629	15.8010876306222	-4.48616742688645	20.0933594447342	15.2924376202769
SIRPA SMAD3	-3.38399136238001	19.1494994233122	15.0028196723114	-4.10777331585274	19.9240539785368	14.8341082553563	-4.61069563116064	20.5358744536826	15.6733821970024	-4.6883887848404	19.8963610353242	15.2951024191573
SIRPA SMOC1	0.192930938680819	14.1431262577889	9.97354357753708	0.119564466466631	14.2871588491614	10.0683318574956	0.107634762198957	14.620149890418	10.5973814570935	0.174980591591556	14.3148540832291	10.2753145566421
SIRPA SMPDL3A	-1.61709548698864	19.4297023819727	15.3090027641304	-4.44040408181627	19.8290835523779	15.6472494864129	-2.60303655829034	19.6177445608185	15.5901778783297	-3.17684215364471	19.8945612635332	15.7662008389708
SIRPA SNAP25	-2.39104489222878	18.9871202742881	15.0606154549854	-6.85711579631704	21.2884631847512	15.9825407811428	-5.57819045103105	20.768293229892	16.2363074153538	-5.8310698806872	20.6117233387344	16.1068454047059
SIRPA SNCA	-4.24379522706765	19.5498976093546	15.0288496742813	-3.09121013921282	20.0427558940636	14.8343134419085	-3.17425923421874	20.1509848793729	15.3395316144453	-3.41138642156213	20.1056497920412	15.2158598167103
SIRPA SNRPF	-3.72724536199677	19.2726557003139	15.4369213021352	-3.23578181228522	19.2752352971163	14.9950074501078	-2.98903715166178	19.6224008928371	15.6300602441727	-3.86108431819518	19.4815571647515	15.4371677883406
SIRPA SNX4	-3.73308926165372	19.8444676535962	15.5694399283271	-5.4326554829707	20.5815491487371	15.8205072631887	-6.28244228406748	20.9763978312211	16.3227470427108	-6.19639347553526	20.4157486265026	16.1407923099397
SIRPA SOD1	-1.88687122670675	19.2747490651823	14.6029098903564	-0.735698331018975	17.6546661470841	13.4412898201225	-1.43449753722993	18.6441189783666	14.6031112572692	-1.16859619713195	18.632375924381	14.2256690088679
