protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SLITRK1 SLITRK5	-1.42956266724075	18.8308487808956	15.0796738850182	-4.03396986378557	19.8997187884697	15.3813492378582	-5.47710400981571	20.5863013933833	16.2839754208407	-2.70259754338106	19.6472285495476	15.529096450952
SLITRK1 SLPI	0.1573940871093	14.8405783600974	11.2291750103505	-2.13668754672802	18.4580376570284	13.4620713143578	-0.745277634891166	17.3031876487569	13.1052122169827	-0.446280604556524	16.9672507851953	12.5504447167959
SLITRK1 SMAD2	-2.48215581209112	19.5678424940341	15.4444223864605	-2.01672855017098	19.3290315395013	14.1724518256587	-3.07341918144901	20.6776823016564	15.7482136199818	-2.89680535493728	19.6464272717197	15.1848717662447
SLITRK1 SMAD3	-2.50241128534219	19.4111377698342	15.0941280436916	-2.52895088497172	19.690083656412	14.1673128103878	-3.56384891614362	20.6309819790069	15.6105967606354	-2.76827592283132	19.7559598946845	14.905687158158
SLITRK1 SMOC1	0.296828786365997	13.9313236704959	9.83713844565492	0.232116924834194	13.7176547127608	9.88780484292846	0.218124610524727	14.2224734090679	10.3418580913444	0.265882663732859	13.9439325131946	10.0675320186672
SLITRK1 SMPDL3A	-2.3877793247516	20.0334316451524	16.437000185352	-4.22065525218338	19.8453378079684	15.4567281012365	-3.48555945962819	20.0665892018041	16.2678438106135	-4.06469816623055	20.3965026568775	16.2804643145616
SLITRK1 SNAP25	-3.21245181838817	19.7388151699951	15.9271667292075	-3.54051874718525	20.2253812591186	15.1481232776776	-5.05242038263709	20.6683260793847	16.0806493014673	-4.51313399479236	20.4089192968352	15.9146278762196
SLITRK1 SNCA	-2.24132480930518	19.3693873002881	14.6240077967055	-2.53394289460259	19.6412061723933	14.4662610288754	-2.59804341143339	20.3198730985027	15.2823828086898	-2.46175091454248	19.8078485760898	14.8158938247958
SLITRK1 SNRPF	-1.87503121014453	19.3513060909395	15.3721238804623	-2.85860000380986	18.7029407439101	14.845535395868	-4.9026423913924	19.8782236477205	16.0095798805956	-2.80711711486797	19.3129376119552	15.4199925388729
SLITRK1 SNX4	-1.99183320375346	20.0127189240554	15.9667022885878	-3.01854391147387	19.9495350589748	14.6764137311218	-4.84427138062557	20.9888477479913	16.4292828714187	-3.25746130430661	20.2076640691132	15.6614952221571
SLITRK1 SOD1	-2.05406658070127	19.1290391987498	14.6731120681747	-0.978397434696569	17.9165041878334	13.8799840371504	-1.6777513437344	19.2283834716317	14.8546783498929	-1.48818131225529	18.8774902590705	14.6313407533895
SLITRK1 SOD2	-1.58857811868081	19.032996619001	14.5085882824689	-0.751138253125933	18.151746784181	13.2827250078463	-1.22944647221147	19.0107631027473	14.2829630307123	-1.08195966520724	18.9504372662122	14.1581040531788
SLITRK1 SOD3	-0.886424355505516	17.9975705668546	13.9523931502464	-1.4426147662054	18.6798957531747	13.9096144025504	-1.44647130039401	19.0840513118653	14.7326177663277	-1.30453497755299	18.7116632360655	14.4141788017551
SLITRK1 SORCS2	-2.38014539554469	19.8232531322211	15.534633223831	-2.0305198901299	19.789542835937	14.0775863629244	-2.50343483772698	20.1620257113841	15.3458045116669	-2.70575635650607	19.9530283329561	15.1856474676598
SLITRK1 SOST	0.404536213588549	13.8155260203724	10.1453845920732	0.00748421374055919	16.5546300354806	12.2058120679772	-0.0498409139224425	16.4399890199505	12.4462878582222	0.208106591138534	15.3850077170936	11.4566330291367
SLITRK1 SPARC	-1.47399094195752	19.1751241018227	14.1090081123042	-2.44010081499054	19.7891956809308	14.7819504013803	-5.12223231487718	20.7541235066092	16.4355640217539	-2.78405981786903	19.7749743559076	15.1172463832766
SLITRK1 SPARCL1	-2.04725020353008	19.2188102861471	15.0850377148314	-5.37957444167452	20.0928627334033	15.4186237885563	-4.40646837289776	20.1770063638715	15.947179271672	-3.44407784296645	19.9330621616745	15.594659069832
SLITRK1 SPHK1	-2.00273209130983	19.465771311839	15.2283906897108	-2.61165818984187	19.49180365918	14.3626009561522	-3.36701578122688	20.7338782053229	15.9309194835721	-2.77449168864096	19.7845310096394	15.2731325454669
SLITRK1 SPHK2	-5.58231438570168	20.4164606018629	16.6082337854807	-9.11521370037503	20.9112078740697	16.2113296157356	-7.44184564555962	21.1086769682573	16.5858314679216	-8.34390850410034	20.866411601556	16.639188354569
SLITRK1 SPINT1	-1.38955726789622	18.6641083447805	14.4905878969974	-1.01046593265437	17.9344167196234	13.9265813645953	-1.63117638741786	18.891284606086	14.7436709457642	-1.43649670681005	18.5524574446177	14.5167034837513
SLITRK1 SPINT2	-4.63057033426073	20.4970965667649	15.8061683540582	-2.62932009802717	19.2159634225157	14.4506033490691	-4.24661613279685	20.5382206813862	15.7582453520036	-4.34416870691549	20.3587627577731	15.6241240989633
SLITRK1 SPOCK1	-1.96630133388799	19.3472594083007	15.0789134909443	-4.33028803353969	19.9129594749257	14.9916443983375	-6.05932277663399	20.7133091686342	16.1773668036709	-4.31198593278791	20.0153577898022	15.6414021864874
SLITRK1 SPOCK2	-2.2936660373777	19.672201791362	14.549395465414	-2.09091288790051	20.0728300177327	13.6417576997133	-2.75993630573144	20.6434611606053	14.7269953400797	-2.49883850102152	20.2843580737441	14.4772742063551
SLITRK1 SPON1	0.151867474684298	14.6588138037501	11.1935170975774	-0.819538606671896	16.557192230928	12.9212800238961	-0.191682566505948	16.1476108172973	12.425904777016	-0.296687870070893	16.1640293893269	12.5473661426265
SLITRK1 SPP1	-1.15119026306119	18.2308194253521	13.160158762559	-3.08941275419301	20.8333402175287	14.6094214603968	-1.89031879069755	20.2152554760757	14.8069202189056	-2.60204922469761	19.9039158313928	14.5211675374068
SLITRK1 SPTAN1	-2.61312344768277	20.4297749628005	16.1233077459178	-4.7369933764216	20.0810941926204	15.2753332585467	-5.02310052182002	20.6155746536218	16.2840575428898	-4.6688475157764	20.4951820019001	16.0992518917736
SLITRK1 SRC	-2.45495671499785	19.7927228138291	15.7148617834552	-2.17801246486265	19.6349932584181	14.0291565457769	-2.67057663951467	20.905370183615	15.83167535455	-2.62441201021162	20.0109093539651	15.282681162547
SLITRK1 SSRP1	-0.91193320774363	18.0047820051681	14.4221933280854	-5.01727341716791	19.890809741768	15.3848851377646	-3.1579871911728	19.3056056534106	15.5805866440117	-3.71483672372685	19.429469375297	15.6430914332392
SLITRK1 SST	-0.000488345090233544	16.1277248423946	12.4145950965148	-1.79092060650541	18.7162441986283	14.3241420973792	-1.00178934444462	19.1494112261132	14.9399010678384	-0.732283885035333	17.8764902392254	13.8850534544877
SLITRK1 STAB2	-4.68558449911165	20.2975752347186	16.3178320317155	-3.70317104140196	20.242180343439	15.0984107842012	-5.82091467064782	20.7023026527763	16.1608803713136	-4.76854021146415	20.4569111449724	15.9773799563844
SLITRK1 STAT1	-1.93235146631988	19.4180952983076	14.9156518320839	-1.18092864753699	17.7024363200754	12.7520245663181	-1.79250736828169	19.3428266650062	14.3518723691092	-1.80837661102878	18.9872392019826	14.323255335095
SLITRK1 STAT3	-3.07055556972355	20.6589215080839	16.284245443679	-1.98808927550789	19.6979494678722	14.2763517907482	-3.39759967233084	20.9707800882864	15.9990798390888	-3.25633873130193	20.3821379902701	15.5965688620413
SLITRK1 STAT6	-2.89195249203356	19.6635428222216	15.894717630727	-3.568788247951	20.2294759730475	15.2677737025484	-6.06380386325988	20.6129565551486	16.3524699607306	-4.1254626804846	20.2520222622347	15.9352634742932
SLITRK1 STC1	0.0171890125730849	15.5568001764778	11.9821724578795	-2.82685211753002	18.8462636711561	14.5258496278654	-0.841798747220313	17.8471998603852	13.6584563603313	-0.929164352405545	17.7115679727321	13.709467325343
