protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SMAD3 SMOC1	0.245403025342033	13.6187651232425	9.40540715862124	0.155226172129825	14.1923422216537	9.29990000119581	0.214351381832243	14.1880032794284	9.8633570810647	0.230330132741782	13.9403747921939	9.43121335157711
SMAD3 SMPDL3A	-2.32302367808495	20.0422709337783	15.3858168172601	-2.62741824312811	19.2251796958633	14.5521796174538	-3.21446974310146	20.3162770807969	15.6149573991754	-2.84115286000677	19.8333259023098	15.253755063091
SMAD3 SNAP25	-3.22902589931873	20.069967499127	15.5930546028735	-4.7247247768484	20.7890967672515	15.291676475907	-10.2278329286478	21.4021517123503	16.7098716858456	-5.56207055123174	20.7130586667355	15.8275839812561
SMAD3 SNCA	-2.31472567841785	19.2092439640457	14.7539040345575	-3.54709439365623	20.0239140189986	14.8594407497251	-3.0933146675181	20.2133649465544	15.5849412959563	-2.89510048034916	19.8194852583779	15.1294878714343
SMAD3 SNRPF	-1.58911786495313	19.3652741211562	14.4462416323737	-1.58840521866834	17.8922996810958	12.9603076100253	-1.97612107754605	19.0710870315357	14.5206126552655	-1.91859415949745	18.8770252090746	14.1446961025274
SMAD3 SNX4	-10.5655364741948	21.1147745586586	16.850348373155	-4.8393111970257	20.66378730383	15.4062266236757	-8.24728113572615	21.7450829258947	16.899720479774	-7.14243923105729	20.9975282568626	16.2869946514423
SMAD3 SOD1	-1.39954397457344	18.7413618794328	14.1423979882836	-0.948824875739017	17.3601308474896	12.3988276450637	-1.22059783248455	18.3219908807518	13.6719904029325	-1.37770675290743	18.2272044786402	13.6302738681112
SMAD3 SOD2	-1.17847040113437	18.4592905953195	14.0033964367507	-1.7113659795486	17.7885327729299	13.0165055833419	-1.47554941424884	18.7702489522314	14.3102914540457	-1.56535659671957	18.3196435057593	13.8796419224367
SMAD3 SOD3	-0.995561718341738	18.0598323162204	14.3943002558751	-1.79923727748969	18.4221877594967	13.3382845610987	-2.15113799158261	18.9055441299385	14.6983425841406	-1.64491206743802	18.3563824105993	14.0305666985738
SMAD3 SORCS2	-4.05094384877281	19.9503874199339	15.8530559413078	-2.47887326244153	19.4329299692949	14.05480586148	-7.30457433252136	20.992411814827	16.2025816558582	-3.48417255309436	19.9351136107802	15.1413797614812
