protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SOD1 SOD2	-1.057146648805	18.8574663670336	13.8512669174324	-0.29195830745153	16.8064498093405	12.4115506902207	-0.545600510421449	18.066165957015	13.3797606546609	-0.705556802170527	17.9910672926232	13.2975932443423
SOD1 SOD3	-0.652959621267125	17.2491749405469	13.3818422865059	-0.382768006485939	16.8382824392219	12.6086320287525	-0.519406088135407	17.2644512002787	13.5294521778045	-0.592473361340117	17.3114276870083	13.3657365614617
SOD1 SORCS2	-2.75734542805368	19.763273708566	15.3106900221717	-0.781431388805969	17.1378883336985	12.8061556344241	-1.56998900092577	19.0995078062002	14.4601301332013	-1.8713688384478	18.7483629447082	14.4367572947239
SOD1 SOST	0.51861094083915	12.6169280023014	9.13391656270379	0.283271834422981	14.1903018615023	11.1691757403699	0.210561683363089	15.122184002084	11.9711655481168	0.358650944651172	14.0663249223545	10.7122057774
SOD1 SPARC	-1.61148468193956	20.1827037238394	14.6025048005143	-1.7293484750035	18.2867367682767	13.9901863551486	-1.28616719655868	19.6616020699911	14.9138884845111	-1.70658889900375	19.3959381151416	14.5245902685175
SOD1 SPARCL1	-0.926857630349358	18.2302438682821	13.6801005721168	-0.876255806139043	17.1830607873676	12.9987751952547	-0.902070185563443	18.1365978731852	14.1057393755498	-0.911001232857461	17.9051532901375	13.784392328168
SOD1 SPHK1	-1.14272557252371	18.8957959456126	14.224954336099	-1.36738718395441	17.6677577110112	13.2029114324847	-0.906416163196742	18.8308725083918	14.2441346267523	-1.19106962099537	18.4262696540978	14.0201884918019
SOD1 SPHK2	-2.67222265135091	20.1527106764124	15.3355593614215	-0.96593560184473	17.7368904885547	13.733256102195	-1.62685339315292	19.3603203140075	14.8915170522208	-1.54648211537657	19.3341122703475	14.7984287743206
SOD1 SPINT1	-1.62714324819035	18.2364337110229	14.3916127388548	-0.395465520843539	16.9797870984727	13.5304773358144	-0.912926145108769	17.9979847140834	14.2861415624128	-0.859612136475439	17.804336375419	14.2885802588529
SOD1 SPINT2	-1.87460701628883	19.7270030486765	14.8444541705659	-0.743232063911509	17.6446237732587	13.4290218343712	-1.82798395569909	19.0260664224402	14.8525554028796	-1.48336559656279	19.1067610798481	14.5705548849582
SOD1 SPOCK1	-0.715949014400986	18.4505376725711	13.3057899920578	-1.35260156117791	17.8977598671863	13.7797897493765	-1.31384446680533	18.5148396230804	14.2119624981206	-0.985717866148382	18.2588314355446	13.7824292015339
SOD1 SPOCK2	-2.12495469626945	20.1568687322788	14.8711897971193	-0.572274265383035	16.9762365548683	11.9749785726176	-1.05904699567095	19.0545965647549	13.8388785446301	-1.24726888737904	18.7387205146198	13.6040756015082
SOD1 SPON1	0.326508941176796	13.7600489847239	10.3629183215561	0.00195143448677626	14.7018212441579	11.5491608716506	0.131220935857855	14.5160414367551	11.3961562507379	0.158161764793225	14.6235662112511	11.4081604802653
SOD1 SPP1	-0.826138001067167	19.0762662870232	13.3309601463067	-0.352485426458031	16.5346719266713	11.2851977549505	-0.633456405172331	18.2193542121714	12.7392757897356	-0.652190290337985	18.1368221687713	12.5156457129937
SOD1 SPTAN1	-2.3537247616778	20.2593311459186	15.7988759905411	-0.667284407755666	17.81872198638	13.5056203585585	-1.67083176838664	19.5807998666431	15.1323081678927	-1.30612837005661	19.2406175970179	14.8552569744627
SOD1 SRC	-1.29193043921425	18.84237393601	14.3448247198661	-1.04155889330415	17.5302036876727	13.1838751958195	-0.820297497867143	18.7393388689294	14.1655183740935	-1.11888476388203	18.3426090165109	14.1434710735234
SOD1 SSRP1	-0.669803757453721	17.5425491137646	13.981581147344	-0.731615848293862	17.6920330385985	13.5673600774153	-1.08949158692	17.9889874051082	14.3549505605735	-1.08383454913824	18.391769772208	14.336989690329
SOD1 SST	-0.212857804982863	16.8663098566305	13.0763713549342	-0.657868531884914	17.3152917860572	13.5939110393432	-0.772598596743429	17.9610758511985	14.2140168449683	-0.522341580500368	17.3845803935209	13.5790381147527
