protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SOST SPARC	0.465509641676333	13.1472347321315	9.36856652699678	-0.187729340733203	15.8529616819198	11.9962862851453	-0.0344828378671065	16.0048374436314	12.3429030615556	0.157517213534955	15.0691588366453	11.1362364121674
SOST SPARCL1	0.452079040359327	13.2101307350209	9.97962214501971	-0.784826412393389	17.3729512922596	13.452460626792	-0.147586635962176	17.0147715766069	12.9172762393677	-0.0236608003754337	15.8843844739952	12.1033897356398
SOST SPHK1	0.434983845243433	13.5202144470068	9.77142598348408	-0.251328626694553	16.3206060032362	12.2216216074045	-0.0665186729978793	16.4543446904317	12.6166983988909	0.140723189902361	15.0838896759027	11.3513135834329
SOST SPHK2	0.414134547413731	13.2683042692083	9.8720395299376	-0.698032321909953	17.1579029389217	13.5732645387582	-0.264490514482037	16.786018994783	13.0314336494349	-0.0627735249091612	15.8596618746971	12.159947678364
SOST SPINT1	0.61251492103317	12.2271212214265	8.99087583208491	0.0753119305251154	15.0858997981905	11.5561721855724	0.289691841323908	14.5323207827807	11.194248238169	0.376394854740078	13.9007233408579	10.5370652473212
SOST SPINT2	0.288833028797829	13.9712626038306	9.89049794688151	-0.0396735280427709	15.2667508114408	12.0147244949833	-0.152764911132512	16.2629830936989	12.2999390826203	0.0568277001143183	15.183809765584	11.5703601775438
SOST SPOCK1	0.451330290536236	13.3495621249416	9.95858531843765	-0.190726055516476	15.7039342841481	12.4022601471587	-0.0334940203766925	16.2682962371633	12.3516124103981	0.125465031911626	15.0168244112717	11.5464360278783
SOST SPOCK2	0.522385277267449	12.6105479129551	8.74958692103337	-0.0623977882917577	16.3424290414161	12.1798621201377	0.134018351651505	15.8180439244692	11.3633677288034	0.21989215175158	14.8743471083385	10.7858956210719
SOST SPON1	0.726198826245478	10.3213768677617	8.16795686783271	0.239084728177632	14.6096741826744	10.829734685915	0.390144098863202	13.7140219288176	10.2292913010436	0.461892878144357	13.1965946504545	9.88212049271187
SOST SPP1	0.613658586960228	11.569841309034	8.19228190108261	-0.268760574220226	17.7565742690815	12.5340639634223	0.0368239770331638	16.4137027999039	11.7212395498239	0.189740626314337	15.1917309904529	10.9075872783504
SOST SPTAN1	0.41225172840016	13.8506732741356	9.99360716776647	-0.627311087202386	18.4036874180477	13.5107164477408	-0.365832356059868	17.8457245109175	13.1595050232238	-0.0622346032441428	16.498329720024	12.1290832262982
SOST SRC	0.447297142922183	13.2907791489027	9.26318712428572	-0.256809441620768	16.9939066783334	12.2702554507469	-0.202871332707639	17.096120214177	12.7508637574774	0.0799405525065494	15.5016611233034	11.1980814649763
SOST SSRP1	0.420144912511908	13.6857716436712	10.1031244058632	-0.475696910269338	17.5090223475613	13.4689839824484	-0.168288545343731	16.7068203371835	12.7982470560987	0.0526261947818879	15.9741513228072	12.0028100376149
SOST SST	0.474299791372115	13.396250485903	9.84857852725333	0.00290666396865447	15.457007383967	12.1097941084862	0.120460857369467	15.3558001697612	12.0987361340559	0.248433859464122	14.6454764425013	11.3061919076304
SOST STAB2	0.407126677493519	13.4991505849162	9.90457963543697	-0.124762759082674	15.9776780195719	12.3391851698748	0.0597100860809208	16.0262938748631	12.4130706873733	0.156640949857596	15.3524126582302	11.5906365617106
SOST STAT1	0.411324211217131	13.6510844469802	9.86849901463562	0.260116928357929	14.1284134081748	10.5355997519661	0.248889641008705	15.2985752593515	11.2665369400705	0.318370900265358	14.260756762136	10.4520811160273
SOST STAT3	0.336918380735206	13.7614692795161	9.74722020734086	-0.0702146344207952	15.6962025246723	11.7282159451503	-0.0818152020241092	16.2674004214352	12.1522904932946	0.141643496774997	14.9566527819817	11.0057062146935
