protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SPARC SPARCL1	-2.62434337958392	18.9994487230954	14.5925640738593	-2.96830160063657	19.6582938648219	15.358781178613	-4.58160519679321	20.1460390511726	16.0972091528217	-3.34635757988769	19.7254373578482	15.4231914680138
SPARC SPHK1	-3.78937408433635	20.415961592884	16.140047180658	-2.074978462898	19.3133842498927	14.2825759874966	-4.10415972990184	20.6910501984602	16.2988851979354	-3.36013497796622	20.1358871219646	15.5703139154727
SPARC SPHK2	-11.5273826946875	21.2737861129969	16.1617285007571	-3.32822409072617	19.9191172277013	15.0330453260584	-20.1049959761605	21.4503692741103	16.8873981739684	-6.63481833600916	21.069187104301	16.163359643181
SPARC SPINT1	-1.37705743425581	18.1570867768625	13.655564737524	-1.54659538488052	18.2940470321871	14.1074393056349	-1.78775663113001	18.7952492389327	15.1408514711947	-1.51622174977983	18.5897455940161	14.2783367251316
SPARC SPINT2	-7.01460897020839	20.7578061340072	15.9725057737988	-2.44733284152571	19.3757142564716	14.8204503796457	-4.20035456432474	20.2279306117106	15.7881538109611	-4.64068743843594	20.4802035385871	15.7698225190696
SPARC SPOCK1	-5.79878024156462	20.3314430726398	15.6078824716705	-4.47217107381998	20.5176426229225	15.3083397798698	-10.6353917914753	21.0323758219282	16.4653568470008	-6.15115185642759	20.7727135847338	15.8168375510598
SPARC SPOCK2	-4.61467434673724	21.9619816994058	15.4807615572074	-2.4521618618291	19.8902996690669	14.2403821802483	-4.50980774825145	21.4565122284383	15.8900667321825	-3.78513008297528	21.0306816895842	15.1520364753865
SPARC SPON1	0.312094288490317	13.9757559831899	10.7360447092895	-0.256539961583041	16.2699404536268	12.1936540787516	-0.0654936502125973	15.7811212227924	12.0158026445309	0.0363876714116551	15.5120635105373	11.7113194807811
SPARC SPP1	-4.59056006452922	19.773149174813	15.3856776828858	-2.16331517154441	19.0612658122143	13.9722637395082	-3.43185216989735	20.5239925209802	15.5571758337988	-4.33853460927435	20.1485796365032	15.1998874110011
SPARC SPTAN1	-4.03199045888014	20.9484447687459	15.6588970076416	-5.5523181084331	20.1647107047712	15.2892395846578	-10.6005701629966	21.0017193791494	16.8345144731113	-4.78692289916814	20.890943815379	15.8417201120867
SPARC SRC	-4.18289173679565	19.7793367468606	15.4028796628187	-2.476968555484	19.1447948851231	14.2706053372949	-3.5368948694914	20.2462693193885	15.8686968887929	-3.30661799918111	19.7794921527056	15.2477025749478
SPARC SSRP1	-1.49161182200141	18.5911170830195	14.7093885214777	-3.15734315026906	19.151713353228	14.7779446127772	-2.09113761755578	19.1048954981966	15.2435589297852	-2.86196713054876	19.4805667930213	15.3232567902376
SPARC SST	-0.336105798296407	16.5371491739857	12.6624610713317	-1.66230806868057	18.4906524201977	14.2011239166643	-1.59999431277068	19.2661124014632	14.9590825563788	-1.13442876359931	18.0589257295798	14.0013703939473
SPARC STAB2	-8.5676567995419	21.4864349492504	16.1710463456125	-2.5288577616679	19.3084075751601	14.5544599921837	-7.24557350077733	20.6862331662582	16.3302570260905	-5.73086352935965	20.6212457192964	15.7656969944184
SPARC STAT1	-4.80628644825412	20.7921984068009	16.0569437988749	-2.0069815393488	18.8545692229392	13.5890914075504	-3.09205746485893	20.1777049127852	15.4079103729093	-3.61487017292312	20.2813202191536	15.2180123278861
SPARC STAT3	-11.9351594481802	21.1863788433726	16.7565828566264	-1.94098991788226	18.9940155992381	14.0679308744729	-3.89683280023114	20.9946475180542	16.2905445358678	-4.83955755318816	20.4562675874289	15.8441116450793
SPARC STAT6	-5.09910760696706	20.7087001658092	16.2999998783234	-3.20758867744817	19.7837472628201	15.0356166748865	-7.44243430422665	20.9619924004316	16.5872869904522	-4.39791435109883	20.4989703600041	16.0034339524482
SPARC STC1	-0.193403628616618	15.8817221454872	11.9688003511688	-1.93573071793669	18.7179459084448	13.9745079993196	-1.28973453060985	18.074908878514	14.0648795616895	-0.896594141815394	17.6561363057231	13.4219230650417
SPARC STIP1	-5.52850249982498	20.0215383119369	15.1251200777675	-3.08017050821931	20.5220583178557	15.1006919913716	-13.8730908201708	21.3731016723553	16.7610127142191	-5.31233159890493	20.9195202922349	15.8351973387526
SPARC STK16	-11.4976371098552	21.4263528434632	16.3775489966245	-4.47994813220731	20.2895457111569	15.2479210797246	-18.5587328535865	21.5385595645842	16.9460715741914	-7.48398016756674	21.1690280856316	16.2581495581255
