protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SPARCL1 SPHK1	-2.48402393901532	20.0627084962176	15.4125362855173	-3.53808483838784	19.8275278571693	14.6315571621314	-6.23009266457438	20.3893065097626	15.956620367644	-3.29748807780707	20.038383212275	15.2605897692263
SPARCL1 SPHK2	-2.03846190862151	19.9168014936861	15.1180075587331	-11.5909254007309	20.6973903318978	15.9598192838804	-9.24730968158993	20.7827406221786	16.5848422575359	-4.02855131213534	20.5045585961718	15.8243478011734
SPARCL1 SPINT1	-0.935465049573611	18.3663357048927	13.887041008202	-1.20371114329681	18.0581622965806	14.4456809835745	-1.13849319289038	18.6565175075059	14.9012729907315	-1.08682588794936	18.4759812347738	14.5784698885
SPARCL1 SPINT2	-1.53137621960033	19.0903015936924	14.3421317178808	-4.26086146223597	19.5850015353716	15.0932610897231	-4.59482173420238	19.9126810769962	15.8540362810421	-2.88834489569942	19.6318755158257	15.1830751406195
SPARCL1 SPOCK1	-2.21270502182026	20.0127552610834	15.0537769089441	-5.03905175930067	20.2333100280871	15.3544934303867	-5.55810803882995	20.5365549408319	15.8795033532579	-3.38026613431709	20.2817097913285	15.5008119255451
SPARCL1 SPOCK2	-1.12011091586834	17.8632549912546	13.1050607351362	-4.12358252239839	19.6543770608982	14.6056463633868	-2.61501092375324	19.8892540923571	14.6424624596715	-2.70875692990954	19.264275544733	14.3521829415349
SPARCL1 SPON1	0.165598168275056	14.3475713320618	11.480092772633	-0.524997933204598	17.1251422780537	12.3293267286942	-0.348519624870852	16.8292796995885	12.8185810497261	-0.226559170723767	16.3345130456732	12.385293853763
SPARCL1 SPP1	-0.835668261558618	17.2202002147624	12.3805254814347	-12.4887781171033	20.4729309356418	15.9137143555877	-2.28521609401384	20.226507084984	15.2994319857077	-2.8914793485037	19.3252764667587	14.6325972520213
SPARCL1 SPTAN1	-1.78911046161546	19.7579964603769	14.8634817769398	-18.5665188772104	20.8511508878202	16.4253727575675	-5.68807240797888	20.961443959683	16.6636875641724	-4.56852820823557	20.5942585283884	15.9514060767536
SPARCL1 SRC	-2.62913305006664	19.9977792953286	15.3620330190452	-7.18238177505677	20.8282399808471	15.3074858243614	-8.74889651207829	21.0991076706593	16.422992802743	-5.69028978936044	20.5518566362329	15.7423805038011
SPARCL1 SSRP1	-1.0959200182431	18.3578849597847	14.0775902547728	-7.01170294601081	19.8040019070927	15.6776807636742	-2.6172326367278	19.0945869253751	15.4930260257425	-2.63411753287696	19.3886367821992	15.2138254006256
SPARCL1 SST	0.233606551831151	14.647972717338	11.4543332265544	-2.52129593956605	18.9143430272315	14.5784542192685	-1.02880853902314	18.5172021669985	14.4815484968316	-0.55279025537558	17.2390388745636	13.4093461803384
