protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SPHK2 SPINT1	-2.09857159881078	19.4841886743793	15.0450423090146	-2.05117288305167	18.5484886010365	14.6318737101402	-1.92818558579898	19.2412740175683	15.2833985108237	-1.89321756796712	19.1634024508837	15.1321176129106
SPHK2 SPINT2	-12.7561920593587	20.9180760152955	16.2860317025607	-4.89382818209522	20.3019959669227	15.3772730369202	-8.74639523821136	21.2477076588385	16.6275847834434	-7.99574189102398	20.8682482779441	16.2468740873899
SPHK2 SPOCK1	-10.6429210147177	21.3025688878116	16.4922782995117	-6.28629238030567	20.3057948451647	15.2906076599193	-15.8662847673546	21.359356703278	16.734447262531	-12.788741120555	21.192874115888	16.4509182188306
SPHK2 SPOCK2	-4.45906124011375	21.8708734732264	15.8678710790832	-3.42940116683548	20.0938031349248	14.5517380717222	-4.83249790503188	21.2218433333738	15.8579454573482	-4.40322170524445	21.1967289322968	15.560505740697
SPHK2 SPON1	0.176175167846683	14.9691795238963	11.6351620987919	-0.788485618988195	17.5303665947718	13.2245765038665	-0.277155061695508	16.4889549214177	12.5846226868607	-0.242519781537121	16.5548735030916	12.6945554231457
SPHK2 SPP1	-3.21298331342823	19.355967862076	14.8337577026193	-6.67827388292161	20.7862370998762	15.7628037590157	-4.68290973178204	20.2464997536219	15.8421477192012	-5.74890330388465	20.3635938520814	15.7973490625288
SPHK2 SPTAN1	-15.0921531873837	21.1571502047264	16.9946834674873	-37.6398682268123	21.3700911372388	16.8170584754263	-25.8267310801701	21.5078074938057	17.081004051046	-30.3576486509573	21.5481211477808	17.2462989304486
SPHK2 SRC	-6.12253979717276	20.7083455464052	16.5315038160272	-2.65393672135916	18.7022636795685	13.8504109964024	-7.61422800031882	20.6697872699725	16.5603159362884	-5.99688942826802	20.1631931630246	15.8847599461495
SPHK2 SSRP1	-2.68009005022658	18.6638023432459	15.2240729534248	-6.48863019049036	19.9535285863678	15.958692200657	-2.93795011004349	19.3504933422645	15.7272974451359	-5.20471217739233	19.5429922318108	15.9267214342856
SPHK2 SST	-0.190167275043013	17.0330867693857	13.1716202488599	-3.26143402763039	20.3098278858036	15.6290813971645	-1.59964065584191	19.4740976744662	15.2472001441249	-1.38066146460338	18.9426766492774	14.6926816542508
SPHK2 STAB2	-15.7631175261854	21.2214436569227	16.824368466893	-3.68871778354908	19.6806211545309	14.686595312499	-6.61401373233967	20.7022114544409	16.1068120434204	-9.22179197017404	20.9068817133448	16.2608068802322
SPHK2 STAT1	-4.64416381176402	20.8298291714871	16.3601526887036	-2.37395390562475	18.9468720224008	13.8322742714094	-3.10250402720722	20.1320172984914	15.5576829817069	-3.64981412690946	20.1427300350968	15.4781513165239
SPHK2 STAT3	-20.7398148655019	21.5823193781953	17.3130712555808	-2.76019197537096	18.8098516733475	13.8162810918009	-6.93316382307019	20.6268094434285	16.019089310344	-6.89121741507947	20.4806886769796	15.8569003153338
SPHK2 STAT6	-3.09971810964357	20.5871917866297	15.6787671475873	-3.55858465711857	19.1168282477735	14.4457006843054	-5.77805906266512	20.2794937420577	15.9487642019869	-5.16394606288423	20.226537426821	15.6657743599057
SPHK2 STC1	-0.0555088040734237	15.3510456425568	11.8689207440511	-3.51732592490899	19.7574640764489	14.6708742107503	-1.01936124138722	18.093881674031	13.8502679641016	-0.987201960106961	17.8907530232973	13.5821836656141
SPHK2 STIP1	-11.2540141233233	21.3003478732113	16.1506106775999	-4.24018806976811	19.7236219373934	15.0112658288289	-12.0977514146545	21.2057667572677	16.4798128175339	-9.96157843976394	20.8083637894007	16.0280949382099
SPHK2 STK16	-12.6556630333536	21.3453317669784	16.833307292199	-5.74240001885148	20.9311237173637	15.3488769541072	-11.063368881973	21.5997636929011	16.80076533558	-9.95841687176633	21.4054240582688	16.5366493879487
SPHK2 STK17B	-24.0833594669765	21.7242437465124	17.0949416171355	-9.1759796970313	20.6054977710123	16.0572206980363	-30.1332007438477	21.6299564412684	17.1240670397955	-16.829189480742	21.4605229097191	16.8452075242254
SPHK2 STUB1	-6.88881382735832	20.2752451468544	16.3389699275811	-5.06699614671322	20.1656082122001	14.5847072857006	-5.1461009281689	20.1194599037587	15.7252113885876	-7.28853911531117	20.4789146134566	15.9070351743856
SPHK2 STX1A	-19.284814944842	21.8470145426645	17.1028701240418	-9.35769794625568	20.9805000510761	15.8339156478489	-19.2454677819201	21.5955342660064	16.9107051504869	-16.951298237235	21.6930264611009	16.8644874533774
SPHK2 SUMO3	-13.1582321447193	21.9874080163691	16.84201591666	-1.72688300069374	18.9437323814433	13.899867892089	-4.03538368335692	20.8445085913171	16.0208386839432	-5.37618350851977	20.6561575883754	15.7233831977626
SPHK2 SYNCRIP	-15.359393977129	21.9358386225804	17.172450618493	-4.33690519071705	20.2654694062104	15.0369927882317	-17.7547072185528	21.4514197905614	16.955296136859	-10.101654961938	21.2448098366448	16.5244866204085
SPHK2 TACSTD2	-6.23316412205956	20.3130220442816	16.0549202884288	-6.51917477385497	20.9321275812426	16.3716491419314	-6.32988699377665	20.6929106093635	16.4461175679148	-6.38046859820187	20.7377095654171	16.4474446263943
SPHK2 TAGLN2	-12.2479886328245	21.8075322665567	16.7445921366342	-4.68808429660553	20.3145666697281	14.8348165826422	-18.4095220277494	21.4606003251549	16.8089256775749	-9.96927712679056	21.2039557601556	16.2493507388138
SPHK2 TBK1	-9.42560026430098	21.1940032924883	16.7221155082462	-2.64464543545943	19.9669149643779	15.270441953678	-6.96749021690198	20.8706774888103	16.3830234843563	-4.66092348854636	20.8410934164242	16.2993470887189
SPHK2 TBP	-11.3289861591373	20.7176843187922	16.8121084972932	-5.98619573654537	20.489058007948	15.4117808381791	-8.56523122942068	20.7631128817615	16.444033663203	-13.9464991012959	20.8328397703786	16.6759118608049
