protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SPON1 SPP1	0.491027547098764	12.8739323202143	9.15407153566972	-0.661654223688217	16.9209687531078	12.4030052917546	0.0361479822169946	15.633978609835	11.4227446966388	0.0438101117392382	15.364261008938	11.0868640068424
SPON1 SPTAN1	0.0706344334189616	15.3371447928324	11.2905779274083	-0.932344300721514	17.3860405256271	12.8911995150106	-0.429360652076753	16.8289159510503	12.4796556235416	-0.368801434692807	16.659322877612	12.2584220084801
SPON1 SRC	0.27389374263514	14.5099782173057	10.7599143347489	-0.572786265794241	16.589635133135	11.7727164314064	-0.0774513411799118	15.894184085168	11.7678222482583	-0.0810011510189081	15.787496706174	11.4690596599385
SPON1 SSRP1	0.218090194583308	14.2275357587344	10.9340797769924	-1.18394190314205	17.9340564662059	13.6060066614688	-0.31632644015928	16.3167842403178	12.4487598339914	-0.300466265497337	16.3168339124969	12.4457623592948
SPON1 SST	0.421944344056599	12.8568156479145	9.70955684607338	-0.283963982237308	16.1766593585063	12.2471863805913	0.0413283612573857	15.7071534470224	11.8420797700665	0.053296228767615	14.9584740251707	11.427492361138
SPON1 STAB2	0.170174425135303	14.7699170050886	11.8217083707189	-0.54403730967683	16.2142819025119	12.3346022957826	-0.207288546341017	16.2178973413479	12.6102630767347	-0.192360893031803	15.855464235056	12.5350246482059
SPON1 STAT1	0.35216813079287	13.948117629322	10.3412618529472	0.248453846390251	13.7615750358326	9.96944446256947	0.276183461990319	14.3932227058098	10.5983891515816	0.333983678098138	13.9549302661697	10.3210363321569
SPON1 STAT3	0.330925081641177	14.0414359416087	10.0859690631336	-0.234613086010092	15.4131560732002	11.4458200069746	0.0843344395749297	15.2775570488327	11.0151972421364	0.124036107704616	14.7918125478428	10.8984325279589
SPON1 STAT6	0.258494513474143	14.3351810972237	11.1880255288744	-0.0296306140610592	15.4405315525035	11.604646356987	0.0439692627422265	15.6475333014087	11.9333108384494	-0.0162225045620226	15.370558251988	11.8851776607286
SPON1 STC1	0.334527651640983	13.5682352238616	10.6015584534944	-1.31283652122014	18.0008579820528	13.4018749999158	-0.0846563020806592	16.0066159086765	12.0652707435295	-0.19897930789567	16.0529063642125	12.2101464001605
