protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SPP1 SPTAN1	-1.56551847721941	20.0589937739087	14.212819915352	-7.95838611545899	20.1359401872444	15.6581419421721	-4.11443383907013	20.3038037330882	15.7726264249527	-3.99633240455893	20.4246822849632	15.3377785668146
SPP1 SRC	-1.01952133017603	18.1442618556032	13.5445858033228	-6.36586344962762	21.0416426207472	15.1602469518575	-3.71108986791866	20.5382588270326	15.8508200478525	-3.34349835404447	19.9173434719643	15.0135594381019
SPP1 SSRP1	-0.852055151015371	17.6115165982241	13.1918632196701	-4.00168156274416	19.5321656072516	15.0744329605135	-1.12967267643608	18.686151942948	14.1382323051352	-2.10921246767567	18.7726676334916	14.4193588032088
SPP1 SST	0.2714612403279	14.6118285487342	10.5707826364754	-1.78468131691493	19.1384626661723	14.0807903158569	-0.618852165842045	18.139871736829	13.6291011018274	-0.608492093024273	17.2776898298654	12.7866419749916
SPP1 STAB2	-4.48703851051538	20.1092746661267	15.1411193158253	-2.4761312279048	20.1704908928729	14.5620019222814	-3.0759549954957	20.4102735026753	15.2502562587478	-3.954604621601	20.385101190965	15.2782939082115
SPP1 STAT1	-1.38729014572734	17.8163619852842	13.4105627233329	-1.20170328462699	17.6918210501607	12.5236772722006	-1.5347370715437	19.1034783779761	13.9460138654747	-2.04836901725864	18.631467236916	13.7360532111995
SPP1 STAT3	-3.35398729001229	18.7063768235603	14.6151348332601	-3.07591026972163	19.3662573048862	14.1933133734874	-3.40148983723442	20.5832419319117	15.4302430199254	-4.22011266497511	19.61954322382	15.0283359921631
SPP1 STAT6	-1.40263782013137	18.6664402447082	14.1534065065539	-7.63289329024625	20.6532915229548	15.6479929106952	-2.77672377937413	20.3215902282147	15.4554407196079	-4.15090519351971	20.0688761278143	15.4657395696877
SPP1 STC1	0.283605974999001	14.8855955383988	10.6468291577808	-1.65113357988039	20.1595725464551	13.7833730449589	-0.726460631825761	18.3904389232645	13.3915897748807	-0.46459438520307	17.9353196990106	12.6256712057368
SPP1 STIP1	-2.78383306929966	19.2663015516069	14.2349851528448	-1.91333382043377	19.114143580804	13.3429160476766	-2.89362460400937	20.7942502624119	15.1838284113905	-3.2375910155613	19.8885004475889	14.4777825459876
SPP1 STK16	-3.2160352582022	19.7023111315756	15.1020777895929	-12.2023678118176	21.7810916634436	16.1813040675358	-6.49835068715016	21.0963578899459	16.2133975192182	-8.02192320310087	21.0590445585743	16.122100652742
SPP1 STK17B	-4.12568894989881	19.4338657929947	14.9466845522088	-2.94553311300709	21.2536857120586	14.8247571657806	-3.89568167749493	20.7617609117921	15.5432321450981	-3.82620284255518	20.8129586942597	15.3273120059184
SPP1 STUB1	-0.700347043383599	18.4495528100363	13.5075930005623	-9.58444098309641	20.9588397883299	15.7868507921006	-2.66297942509823	19.9816857550782	15.3126298334795	-2.74769128149596	19.891046257984	15.0638809355483
SPP1 STX1A	-3.48226137623996	18.8143783881966	14.5441041736228	-9.06240607107677	20.8361461802143	15.6844646744032	-5.84298642129681	20.6167780231504	15.7295888127503	-6.57603923017023	20.4178549751489	15.6031728915066
SPP1 SUMO3	-3.16712661839496	19.5931762344912	14.7983925610527	-1.31690335643449	17.713808351491	12.7002537182397	-1.82386651341728	19.9424306418407	14.3200473818387	-2.54663740824707	19.2945168459463	14.2028919405222
SPP1 SYNCRIP	-3.12944247222488	19.7333347209291	15.0990348804827	-2.66976685612457	19.3825439803156	13.9671925020168	-3.09569374921955	20.2443896385024	15.2364507602319	-3.6894353002487	20.0111680335978	15.0606995903708
SPP1 TACSTD2	-2.63727588840432	19.5804132169919	14.9125921377186	-1.51136310433699	18.7861165374999	13.7019080611313	-1.79695068680961	19.805561688818	14.8364962841436	-2.17072077921213	19.4689647608839	14.5730001490805
SPP1 TAGLN2	-2.92111125255006	19.4473686641424	14.7266965977814	-4.24110943734884	20.9350572056988	14.9843356125012	-5.21858049449384	20.5131671869579	15.7052722497337	-4.59253044292426	20.6377251220454	15.4568156026197
SPP1 TBK1	-2.40828542209075	20.1007219067562	14.5334081732133	-1.51327369503445	19.117910325298	13.1105865068969	-1.55992102951307	19.9191141355871	14.1022260021256	-2.35482310650696	20.0105968380813	14.2414883359854
SPP1 TBP	-0.845150573111494	18.1108490257882	13.3706246188737	-8.25825495646829	20.9605333496033	16.0476316929529	-3.2872482166162	20.093012431657	15.7524858474277	-3.66926097780119	19.775711129061	15.1775071118308
SPP1 TDGF1	-4.39454364510964	19.5716102344394	15.1462162256884	-7.56956833699816	20.7327072224822	15.7072447778833	-6.29567138861525	20.8566264525808	16.1250767501759	-7.13479310236326	20.7637756865883	15.9877372552709
SPP1 TEC	-2.01570421343795	18.6604214115211	14.3897809238393	-2.99989193265463	19.6862225874339	13.9771550471946	-4.78837569472836	20.4885015315228	15.7808175539455	-3.33174388827285	19.7134589236788	14.7852910809105
SPP1 TEK	-2.4639027314989	18.223305312435	13.9327473258567	-10.441543909521	20.5290760484008	15.5914683640632	-4.4159405249078	19.8286506931905	15.5077476521745	-6.25146559669652	19.9672780608126	15.3829251151709
SPP1 TF	-1.4022417170488	19.0763793019437	13.9376512841772	-1.38231819418308	18.3240123810849	13.8071137190761	-1.45636621764023	18.9353042142722	14.2335182695367	-1.48495614726414	18.9431210506195	14.1355115746565
SPP1 TFF1	-1.53977519346725	18.4704987536446	13.7939729087092	-3.02410989503523	18.9376666305843	14.2728810124072	-1.91690578238229	19.1415432127344	14.43220593879	-3.02864724123892	19.2642384975998	14.7321285210389
