protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
STAB2 STAT1	-4.73466329780448	20.4452081502107	15.7623244955083	-1.07347869433972	18.0303370400048	13.0240360652354	-2.49729636425523	19.8015221180217	15.0705306618893	-2.55055613945917	19.6227518175975	14.9154004539676
STAB2 STAT3	-14.749961174454	21.0909332776453	16.6480607596932	-2.69387083321994	19.6064096541328	14.474399344423	-6.90861351316966	20.9646584856392	16.04766860605	-6.73746394418796	20.6273985317911	15.9645695485398
STAB2 STAT6	-3.43766090586522	20.6783647510973	15.9434440714562	-5.24426795831908	20.2663334139842	15.2854432154999	-9.20868945588223	20.7923391380726	16.221647480108	-5.59634002178392	20.5867248308628	15.9212794712405
STAB2 STC1	-0.359842186156773	15.9170297470263	12.2130454145875	-2.35177130517055	19.0862664546004	14.3283027133776	-1.18789949291156	17.9718971184018	13.8129912514969	-1.29246140283114	17.8623137893244	13.7345946372246
STAB2 STIP1	-9.18395104092978	21.3383681759901	15.9591799710158	-2.84222352643367	20.0565553848553	14.6584500670821	-5.87592138435406	20.8837835441561	15.6579532888278	-6.24961242143889	20.856762983332	15.7040194503219
STAB2 STK16	-15.3933575870321	21.318917386807	16.7513434714808	-4.28495474195455	20.0938420446196	14.7949893885019	-7.36353797814246	20.867612099023	16.0329445331547	-7.54159194689834	20.8263354444591	15.9341211526501
STAB2 STK17B	-17.314945247688	21.8899994908027	16.9089558375609	-3.93435691352999	20.3401069509762	14.89680352831	-9.61294741612864	21.1569499989577	16.4905898204129	-7.42420932709675	21.2639784558469	16.2900714406445
STAB2 STUB1	-6.24002640861394	19.9287648388553	16.2184332483969	-3.15197841639099	19.5460554807739	14.1948672376833	-5.25498239995911	20.0829667575558	15.7319328145439	-4.61130326945437	19.9223870694668	15.5730162062687
STAB2 STX1A	-17.0045045490184	21.2503013919285	16.5880558582512	-3.07894912083444	19.5567729308225	15.0182123895326	-9.26895358723548	20.6177151675628	16.3315740054888	-7.33812560603871	20.8328061607475	16.3061264721151
STAB2 SUMO3	-13.5826215349529	21.5946956248464	16.8421765662451	-1.10609992477646	18.3585062033316	13.6028992222473	-3.62014500978093	20.6564972907725	15.913493187708	-3.63701500603107	20.2107050760217	15.5436853557623
STAB2 SYNCRIP	-15.2211470794258	21.508735581943	17.0117269232875	-2.52607545743748	19.2674497104986	14.5964115285608	-7.12275492772928	20.6846088224823	16.5648232195496	-5.98833318725061	20.7216471667184	16.1172179050444
STAB2 TACSTD2	-9.5453358384217	20.3993538681273	16.5097603267972	-2.6685911564592	19.0692541541037	14.6911900911422	-6.68984253706384	20.2920572671384	16.0149792066626	-5.7347400821945	20.1508766805178	15.9875669872689
