protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
STAT6 STC1	-0.362337033622875	15.9666003337545	12.7138429038838	-2.65085409723384	19.4303899411409	14.4501350606098	-1.23439349516898	18.1218530744645	13.7998458091649	-1.45909170307082	18.0572062086614	13.936987007036
STAT6 STIP1	-4.25027187587402	19.5294711649449	14.8981135065526	-5.13552171679034	20.0992020112099	15.2194820492693	-6.88039810551561	20.3913813020212	15.7796274286261	-5.41283039307202	20.103359956484	15.468034575404
STAT6 STK16	-6.22070897466404	20.8071020726038	16.1034259113449	-16.3584992136126	21.2551086090794	16.0440648415292	-16.4734933561751	21.5191593204051	16.6505130290722	-12.378551738014	21.2920399119997	16.5403325770187
STAT6 STK17B	-12.3123933744024	21.1676520713781	16.8356908390287	-4.73194181681978	19.7320215744541	14.6646626353248	-9.19111105231198	20.9169177676748	16.4182922007682	-8.71956173202892	20.7406651850674	16.1878734041985
STAT6 STUB1	-3.7629749159897	19.9331470490475	15.5463387088669	-10.615305489437	21.4247962656218	16.0687258196244	-8.60835708170836	20.9139144156265	16.4355525779113	-7.4093797622887	20.9026238939276	16.1475530635134
STAT6 STX1A	-8.36361970026511	20.8774814941544	16.5002936038672	-2.80241680756838	19.183028727543	14.5415605969688	-6.47384349041151	20.9576059016636	16.2924786097633	-7.07808968529589	20.5423127862609	16.0854186303997
STAT6 SUMO3	-1.89701540841422	18.676376410737	14.0813491488808	-0.998418134919778	18.075184754338	13.188046004243	-1.55144790415444	18.6597019105631	14.0985757034221	-1.36650750406846	18.5746060972861	13.945650939421
STAT6 SYNCRIP	-3.93298773270278	20.4676021841918	15.7663671745552	-5.40967197216765	20.093563229822	15.0460408378948	-8.12885983787501	20.8076729379467	16.4220724948912	-4.50139908838879	20.5937998860117	15.8192668475592
STAT6 TACSTD2	-2.98594698914373	19.4422091055913	15.3452248610107	-2.38882157678163	19.1534760365618	14.7964949246014	-2.48920202444235	19.44060631053	15.37406035533	-2.92131899381451	19.4470825752121	15.3614037173783
STAT6 TAGLN2	-7.67470513795745	20.8843506488617	16.5104449335347	-9.03166594671105	21.0237411923081	16.2088590690047	-15.3941257021232	21.3355942445126	16.9407275025187	-8.62279824645561	21.1213056120854	16.6136020548988
STAT6 TBK1	-2.53785688367269	20.3687100960412	15.6183823237034	-2.97946375197907	19.6585778171885	14.9252164308111	-4.89128832708413	20.4048726230153	15.9112899073885	-2.92836870755103	20.2066145605033	15.5167632802444
STAT6 TBP	-7.92688417904107	20.67894059485	16.7602417393692	-14.4680337490949	21.0564099032905	16.3845410041428	-18.8140131137616	21.3281755447954	17.0772215198215	-15.5876123635719	21.1434176936748	16.9246188432361
STAT6 TDGF1	-7.03830400129586	20.2176111578492	16.079536558054	-6.77227969718723	20.6305837894847	15.4006945379902	-13.8400758483947	21.493176480508	16.8376691966276	-8.86375946405731	20.7990352576551	16.1515269113625
STAT6 TEC	-7.90003944121275	21.0455824159874	16.4989119464055	-4.88154909423568	20.1687951763321	15.1331176754659	-8.27012008550772	21.7167291224549	16.5388315402237	-6.70944391646304	20.969076295683	16.1080671255293
STAT6 TEK	-3.39612322878559	21.0906175968692	15.9128252309558	-6.14264779484621	21.0633148007362	15.754736264915	-10.8284011825429	21.4602827821487	16.6376202654926	-4.58958245152226	21.4768318602452	16.1408899903865
STAT6 TF	-1.15404350369112	18.4324500138301	13.371695968309	-2.08176191869025	18.9943939039263	14.4858823943174	-2.4741661108695	19.2996960526832	14.9171769196818	-1.72192066974913	18.8734917184007	14.2358646288573
STAT6 TFF1	-2.69400105516575	19.8444363793065	15.3273364511909	-5.22005650253955	20.4412502368223	15.404846834844	-7.3623470130374	20.5747560669244	16.0722499631261	-5.053300741268	20.3811068264453	15.7766073954062
STAT6 TFF2	-1.9736475924777	19.1133707415924	14.775609005908	-2.93569657712686	19.3640423331745	14.7372779889813	-3.67061058829661	19.8299859181928	15.263642909966	-2.69090462624765	19.5774410958814	15.0571992926649
STAT6 TFF3	0.280224842261319	14.1939811799211	10.2954739455021	-0.866933186428404	16.9741036989745	12.793858998431	-0.0183443069159988	15.6721354850276	11.8235791606937	-0.0732210968579072	15.8947507645976	11.7787023027229
STAT6 TFPI	-4.72198345682885	20.4863852503674	16.3343781896852	-1.14609713355889	17.1951698975734	13.2650879949924	-3.28828661549046	19.3537976881393	15.3274584216499	-3.19201833690785	19.2854103010471	15.1988155942282
STAT6 TG	-2.99236098351062	19.9502633777723	16.2362827432795	-9.73823186300075	21.604279553723	16.4299939606641	-11.4974331382554	21.1486836175539	17.0059523550112	-5.95134115382593	20.9448900359512	16.5499952543501
STAT6 TGFB1	-1.13588274883617	19.0043368113732	14.6317451964973	-2.84894205547708	19.368944409753	14.8584212142862	-2.46516198204818	19.7363250824813	15.5174669828392	-1.84935701145294	19.4105901181259	15.1131653057368
STAT6 TGFB2	-0.898128313024988	18.9320167656537	14.6499217533945	-6.69941755720317	20.8002006516088	16.083272757999	-4.87265025720213	20.0497054220262	16.0230936752892	-2.40899302667933	20.0485109689981	15.6168404058263
STAT6 TGFB3	-1.85399966808183	19.2035391447589	15.2697552623039	-1.02507290988171	17.7137624490021	13.7112096735035	-1.81243855958242	18.7928513713433	15.072389070328	-1.84743160475257	18.7367201953618	14.8952306915437
