protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
STIP1 STK16	-5.52509900090568	20.4866853551089	15.1979147820934	-8.51509422017251	20.7058179852278	15.715981656953	-11.6611857780925	21.5447901594166	16.4870863105173	-8.46668906981435	20.9835392392765	16.021845116071
STIP1 STK17B	-9.66967111465014	21.7961124126587	16.397213079678	-4.46310572960164	19.969583393888	15.0419255714418	-11.1590496897895	21.2840130157803	16.4823232791799	-9.43438759315877	21.224497000835	16.1866082189464
STIP1 STUB1	-1.35379693854778	18.0774906819583	14.0981096824097	-4.37715176168684	20.0612349304269	15.0927529902914	-2.07808711533021	19.4351081546399	14.9462572842651	-3.06975588231569	19.4618161463108	15.0859319986228
STIP1 STX1A	-6.60287960488698	21.0664072257456	15.8712015656627	-1.62150723874398	18.8796080822391	13.9955843536343	-4.53704595133461	20.9480963926734	15.7249351652768	-3.88875633419319	20.2766676961397	15.3536235615601
STIP1 SUMO3	-6.29630566836318	21.4992413667085	16.1628003158216	-2.23421912060298	19.2644189047515	14.408038095299	-4.79506061311143	21.0079055991874	15.8652550351111	-3.87996734526862	20.6242319131625	15.5014881863804
STIP1 SYNCRIP	-6.52268512358565	21.266702694027	16.0622430998564	-4.54938495540163	20.1914926451181	15.2623110639967	-8.99430825232814	21.4933380406016	16.5432144762845	-6.82154879171495	20.9731399560228	16.0429109917019
STIP1 TACSTD2	-5.51750374211924	20.0354374005537	15.3343633350057	-4.61281248980786	20.2885133122075	15.4485683314154	-5.39409350913196	20.6382431183567	15.99462152945	-5.97480854543213	20.4368454299517	15.8509628035785
STIP1 TAGLN2	-4.19072199831357	20.4516248506653	15.3657668405343	-6.09746750434075	20.6953146114744	15.6445086470426	-10.0183378163851	21.3237550525102	16.3933073478117	-6.93404282561959	20.9571578969221	16.033586886856
STIP1 TBK1	-5.42414205656646	20.8018957631946	15.3398871294209	-3.31145546760443	19.5279445446054	14.554910182319	-6.21025651926427	20.8069616014097	16.0271993502251	-5.14992574449927	20.4165814380876	15.3998790371663
STIP1 TBP	-4.48029170047514	20.0560338656039	15.746122539325	-3.89850423433998	20.0143648253099	14.6382145102847	-4.23952460915337	20.6570760223008	15.9790626521722	-4.94986615074864	20.1939830136193	15.6534614627005
STIP1 TDGF1	-13.872739870968	21.4515425895266	16.388689445515	-4.60803050765847	20.6040158786023	14.7458721346137	-7.94382623434767	21.5720180630826	16.0767303788252	-8.51211629461777	21.335777046891	16.0188175738362
STIP1 TEC	-2.02535024019898	18.8922202129896	14.5080438089857	-4.79864894480612	20.8571637556742	15.7035422906542	-7.21647297885926	20.9209351523418	16.5583525525253	-4.98199224112087	20.3768388783702	15.7552568521219
STIP1 TEK	-5.26240941380306	21.3743825378869	15.9865387244547	-3.60619411963723	20.2079632270544	14.808875446064	-6.0660229714684	21.1398671470399	16.0824461501416	-4.15553209395854	21.0879753310646	15.6586622936506
STIP1 TF	-1.81541086077042	18.6850885944747	14.0308989704176	-3.06898719907634	18.926999889271	14.2497415681072	-3.29758406547505	19.4722205309217	15.2057658636113	-2.43212093691232	18.9926504935075	14.6080366090255
