protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
STK16 STK17B	-19.8685562632343	22.0050965551732	17.0294370792406	-7.50685118007995	20.5639562922718	15.55458807329	-13.5474192158858	21.5706382710074	16.8422228449814	-13.5605432990324	21.5768655926488	16.6983023983267
STK16 STUB1	-6.58419585187703	19.8676808460568	15.7639276568322	-12.6773907755395	21.0321933868641	15.9655927834682	-9.50307066702697	20.8596235818943	16.1307957986127	-12.3516612592116	20.8079017632104	16.4423526722275
STK16 STX1A	-8.23385993403246	21.2936243666806	16.1666870344138	-12.6192354057373	20.8895403495843	15.5400771417399	-12.3150763364479	21.5033111272034	16.4449004187562	-10.9420376971066	21.4063619739132	16.2163886905469
STK16 SUMO3	-6.2649846865115	21.0363156570949	16.0549243659695	-1.70616861304738	19.205838450222	14.4623223317374	-4.13671741058829	20.6785949273412	15.9652891513798	-3.37904070244139	20.4714786677355	15.704286275684
STK16 SYNCRIP	-15.6873104736925	21.5065983216011	16.9916839400686	-4.64338905824964	19.900048625861	15.2281383802453	-10.8318781430729	21.2928298127264	16.7545626937337	-7.00715297725582	20.9620262321238	16.2819132939405
STK16 TACSTD2	-5.97010951296715	20.2409526414323	16.2193237736414	-5.38540688731209	20.4874849266294	15.7878864591856	-8.04465163238658	20.6954931361358	16.5122679665057	-5.52340960019424	20.7107566562224	16.3332251232278
STK16 TAGLN2	-9.84572091829802	21.0710491583484	16.159717472224	-9.21721572792679	20.5711648116049	15.9736261368726	-17.5379351718038	21.6383171010545	16.7371445910155	-11.9488485787566	21.2713290061418	16.4537563400057
STK16 TBK1	-8.05315313796127	21.1094431412165	16.5060504711672	-2.40903201728056	19.8752248834888	14.8414122087871	-5.77658635957021	20.7208472820672	16.1144671282813	-3.91649358752386	20.7543872527577	15.9628680609021
STK16 TBP	-8.6941559509882	20.6047891971456	16.450103301949	-16.955500428758	21.7609066527635	16.4722330120057	-18.8410803581672	21.6222232297217	16.9937321022493	-17.2772581118033	21.3336120201103	16.7807388597394
STK16 TDGF1	-11.7631976790104	21.0614081028609	16.2811982499639	-13.5908873370755	21.6038285110889	16.0591621206435	-15.2574494458974	21.6905766072012	16.7193494132731	-16.1716589453354	21.5154681373018	16.5025496753648
STK16 TEC	-9.8495336354863	20.7323600677642	15.9608322664911	-3.8466113596779	20.801718996251	15.3580837312843	-10.1706975330738	21.552964469325	16.7810573942205	-7.16967831501825	21.0223516342191	16.1363232573064
STK16 TEK	-9.52734376433918	20.824558743574	16.4931991730305	-12.3406121472743	21.3796300569657	16.0670817681163	-11.4042129850415	21.1291994288702	16.3377568563056	-12.6078243631481	21.3265255565188	16.5346147109908
STK16 TF	-2.05709390145611	19.0865247792009	14.5948540694877	-2.24597886081152	19.1241378564685	14.504486277654	-2.92060642991999	19.4082344714991	15.4081296342513	-2.48230366330927	19.2870237621836	14.8663197408248
STK16 TFF1	-5.13356681348803	20.6069199521741	16.3177664388112	-3.29200905095037	19.7274072242522	14.9607148915579	-5.68683420296249	20.5086384110815	16.128117956486	-4.67923638980936	20.4526356670934	16.101473638447
STK16 TFF2	-2.51971827974021	19.5176751771469	14.6383375074647	-3.56528320901385	19.998774228651	14.843702888472	-3.16059538218749	20.2664375143053	15.3301311835432	-3.51096027233076	19.9789716984737	15.0420785296699
STK16 TFF3	0.147108864127941	14.6431789330068	10.242555565459	-1.34816064891932	18.2360827640582	13.5107513543684	-0.169320472335975	16.8024915864991	12.322532150983	-0.326847475465304	16.6630105098797	12.1832209466022
STK16 TFPI	-5.08493006477654	20.1474145081721	15.6433114541836	-3.17566903155859	18.5752807259572	14.5366789997695	-4.36898245464828	19.4814450325421	15.3079339662237	-4.22074066486581	19.4971368904554	15.3064369882151
STK16 TG	-4.86838182368991	20.4242324968288	16.0817210413762	-34.3233959904986	22.0551822890728	16.9132815483469	-20.0455700349361	21.3989324339925	17.0442736705879	-13.9875675321112	21.4547018683129	16.7544750095265
STK16 TGFB1	-1.94634870422734	19.5307486447541	15.2551712010494	-4.7360727620903	20.0153848195804	15.6317026856269	-3.43496440754298	19.9245087098283	15.7618868626281	-3.92384343253963	20.053699529142	15.8775302797981
STK16 TGFB2	-3.44170917129076	19.3632854562596	15.3297772406862	-21.0802192464108	21.5122354746164	16.5158344495779	-7.34908773922008	20.8694767863882	16.4012257665336	-7.71555100422891	20.7771323581275	16.2842024304929
STK16 TGFB3	-2.6438995490015	19.0273709156999	14.8312097261348	-2.51075354463028	18.8467688955404	14.9552601562655	-2.6152555407354	19.4587856496543	15.5673874378003	-2.85073700045433	19.2760460791314	15.2641821893636
STK16 TGFBI	-7.30454929857337	20.8231364845539	16.2811683781914	-5.05939469180262	20.0297373332078	15.0596630550076	-7.19954177939502	21.020187712603	16.3056560592596	-7.96438627111253	21.067256733078	16.3131989990599
STK16 TGFBR2	-2.5429145491353	19.5483861280678	15.5368262756723	-23.4273109784487	21.5749573251466	16.5423267557387	-21.0960253016439	21.7019812395714	16.9342773151002	-5.82469076987404	20.7433756519595	16.2637751396768
STK16 TGFBR3	-5.76145481589894	20.8138939971288	15.8319074561327	-9.14206885890889	21.7446389839804	15.855409549141	-4.95700801524152	22.1921508883652	16.1175490273234	-7.75252099744104	21.5562826380503	16.161516604567
STK16 TGM3	-3.62189882244889	19.7989791052152	15.1240163485165	-7.94010256361359	20.7528616382968	15.5593754902902	-6.678014259818	21.1188684710792	16.3812655043894	-6.42918450401464	20.6606793758912	15.8447682017759
STK16 THBS1	-12.5583624066884	21.3073000455452	16.8715889673982	-1.73983864341246	18.9106386184193	14.2300585490598	-5.34554982580376	20.3433076555308	16.2824570443915	-3.96129186042853	20.4051574716075	15.9104866317007
STK16 THBS2	-3.18533615400024	18.7218615088127	14.5590009758681	-1.6034462256081	18.9316075529749	13.3211317489757	-1.99013331663006	19.4777953058067	14.5956273062364	-2.18756031120738	19.1281522182577	14.3486458687379
STK16 THBS4	-0.473765178707802	15.6636588367454	12.2947797832678	-0.875645569391499	17.7488501391065	13.1065849762502	-0.711313238698617	17.1939257387652	13.0641034611944	-0.751208494778889	17.1193771483611	13.0255996996796
STK16 THPO	-5.86254786208668	20.4987995931563	16.2708064330035	-18.5977426634241	20.9050598923243	16.0489984901908	-13.9210001082501	21.1119571730825	16.6287877237649	-11.7401346514846	20.9892994785418	16.5389161467215
STK16 TIE1	-9.44227105116709	21.5492027160262	16.7039752135953	-6.83574130659504	20.9254912074395	15.3690459762224	-12.2479098680596	21.4404038555977	16.6299306385462	-10.3418777837701	21.5328167307782	16.3687484942598
STK16 TIMP1	0.0351786889838617	15.5594262625047	12.5190759174481	-0.700550615037047	18.082333990896	12.4021093862189	-0.286241085784871	17.021354992995	12.6407030999304	-0.333620169466858	17.1712264860932	12.6909187456366
STK16 TIMP2	-1.36399259763739	17.8912861775112	14.1904340452416	-1.47746305622446	19.1274911292412	14.0987036287315	-1.62376878193219	18.923804667274	14.3985478082284	-1.43869990137255	18.7062102580622	14.2997622171603
STK16 TIMP3	-14.569909539427	21.2705307884383	16.7818986757963	-3.52300299971215	20.3374164525602	14.8671323040094	-8.64699811996637	21.3736834567347	16.5842140051034	-7.46918340767327	21.0388293848119	16.245838809614
STK16 TK1	-11.971276502807	21.4619008064981	16.8533517721785	-23.107493540997	21.1137733428629	16.1442292180907	-19.4911914402594	21.7380591984739	16.8590793688441	-18.8751425160855	21.580052658572	16.7853812795693
STK16 TKT	-5.35825911000748	20.3241910131336	15.2973833198967	-3.3636882378865	20.5885702742789	15.364492472529	-9.35521735956983	21.314838514127	16.4050920550541	-5.14551074570397	20.8455328009111	15.8889821988913
STK16 TLR2	-8.47385099044331	20.8057054724498	16.6987147282502	-14.749929898638	21.2095775546345	15.8749644740079	-14.4480121923406	21.1856240900486	16.5295327732759	-17.7888062180853	21.2703285636238	16.6908543219478
STK16 TLR4	-11.3832754381454	21.2479821709534	16.6489433216246	-13.5861087811875	21.0552463892517	15.9111557115346	-17.3865929338246	21.8357363374117	16.9886095181773	-20.7000460369404	21.5912821518533	16.8049990831649
STK16 TLR4.LY96	-10.8619304777906	21.2865276339839	16.4616395748617	-6.18185630818893	20.0936387586158	15.4769099314373	-10.6179639227835	21.258749487322	16.6333606785199	-10.4919677709443	20.9833597450379	16.3117545459399
STK16 TMPRSS15	-3.97081035969049	19.6736413429719	15.8075735438002	-1.23640378421673	18.4312299701949	13.5811035170856	-2.79615837730263	19.6464744419404	15.4261656219546	-3.31607169119895	19.3680051144564	15.3266799997926
STK16 TNC	-8.81337243838374	21.6990115534274	16.5512335128693	-4.78759100524969	20.0937047411993	15.2224203552397	-10.5400638409304	21.1247038281027	16.5913451615912	-7.80569077221005	21.1910108563484	16.2888969202422
STK16 TNF	0.0418450079454254	15.5349604697322	12.2634972207202	-2.00934815014556	18.7660462147884	13.9854322509754	-1.02784895267313	18.508037593051	14.3525154313694	-0.676332826688569	17.6583448414288	13.6213875466194
STK16 TNFAIP6	-0.669917347404447	17.6395233229145	13.3929556037542	-4.67139143377415	20.7305785052986	14.6884496747054	-3.31443297428465	19.8808258304224	14.9299925081962	-2.17505857635773	19.5222786466347	14.3423776629262
STK16 TNFRSF10A	-5.56546749329878	20.7844338217655	16.1356208672386	-8.73275415846611	21.2589188757294	15.7562577005963	-12.6388958572539	21.1528946705057	16.5568537186201	-11.2808689559157	21.3046041808603	16.5465715935494
STK16 TNFRSF10B	-2.19780624216046	19.2171751043952	14.9263538651518	-4.38391246999828	19.7902347223021	15.2614145162507	-2.97865501520261	19.6719770237948	15.4325239951975	-4.33175375968879	19.7680244029927	15.564528436629
