protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
SYNCRIP TACSTD2	-5.65529615011339	20.4453896970837	16.3176831256271	-2.80151622922775	19.3536122799969	14.6232329650683	-3.57286664401517	19.846711358167	15.7866027924326	-3.95883270194423	20.2087464095299	15.7532898348492
SYNCRIP TAGLN2	-8.27529477450584	21.1089199836329	16.1022820505662	-2.80578966218874	19.0076768321482	14.0485581408671	-9.03573281095184	20.9656329360577	16.4226845609145	-5.57346200816544	20.7391915378029	15.7073102322214
SYNCRIP TBK1	-7.70872219937646	21.2219074279365	16.5419472749512	-1.70381544223148	18.6942653806391	14.0530808335793	-3.46628443646093	20.3140586527447	15.6291211302624	-3.62393890078822	20.2485646754889	15.5567133473924
SYNCRIP TBP	-8.3622183154116	20.6628372507481	16.9362404300283	-3.72499232988463	19.7139892390624	14.6697588973624	-10.8066724706774	20.7963640538836	16.7662845434178	-6.13348943850502	20.3804817709156	16.0815754488755
SYNCRIP TDGF1	-15.1182654399061	20.9942715280289	16.3080831353929	-7.21254691483991	20.608943220677	15.8120057072368	-11.1263209148318	21.2142117138148	16.7414315754891	-9.38909187385411	21.1456117699241	16.436662833777
SYNCRIP TEC	-4.68149716156156	20.2454882260502	15.7962964636007	-3.2197016500401	19.9556698449268	14.6091328636414	-9.23967218144501	21.0093862394505	16.8152523264869	-5.57249442179896	20.5892528498226	15.9018440257374
SYNCRIP TEK	-10.0724426954231	20.7295534086522	16.208514407724	-3.63678886376156	19.8617354205535	14.8362118771033	-6.43527187793068	20.688622284062	16.0157514532157	-5.94449734475043	20.6685230838939	15.8102605774161
SYNCRIP TF	-1.92047392981619	19.8390120789385	14.6920358424808	-1.95927038564675	18.0287333660802	14.2079729079005	-3.21142411020602	19.6093356176697	15.6953293074202	-2.31283717401698	19.2048700269105	14.8645299210479
SYNCRIP TFF1	-4.42365855580398	20.5235800860883	15.998637540477	-3.32504240870398	19.6881270408124	14.2629550050313	-3.91811733897819	19.9854409932971	15.7012702839044	-3.79687587242676	20.2417208469752	15.4881142579824
SYNCRIP TFF2	-1.84059809583228	18.9693338334862	13.8515507689605	-1.3685831181193	18.9536351389963	13.5226805964532	-1.44821732844564	19.5275075169557	14.4829482938835	-1.53019874874639	18.9913230923949	13.7848173015707
SYNCRIP TFF3	0.392345440313288	13.182273434144	9.54807722978263	-0.437031098122198	16.6205376561083	12.1362155981309	0.154371365742337	15.2549281083022	11.0918861710812	0.0676226423909908	15.2018706338395	11.1447273214777
SYNCRIP TFPI	-5.88389823029627	20.506269014171	16.2503938583589	-0.939542291115194	17.1260827324838	13.2987223069342	-2.17401787739291	19.2302440025618	15.0536560572569	-2.959669932596	19.2361805132189	15.1502671710539
SYNCRIP TG	-4.86230096777975	20.3094717213266	16.4562933508525	-3.32874330316287	20.275173999101	15.0525043204345	-5.09727965058658	20.6657850636058	16.2877924488896	-5.04807013467304	20.5992674499572	16.0533229745412
SYNCRIP TGFB1	-2.63537238736963	19.876149036953	15.8607180504946	-2.01848067711919	18.9876133396377	14.3237523841981	-3.22116837721738	19.8439983254613	15.8172576637614	-3.10383569900744	19.6682391418114	15.5220601770164
SYNCRIP TGFB2	-3.98430309019014	19.8356143397991	15.8998130965543	-5.72043715873262	20.0417342565892	15.2214933311168	-4.63319993604555	20.2982932062432	16.1928687743738	-4.69477342480329	20.2080177982958	15.8996409831807
SYNCRIP TGFB3	-1.66855487054511	18.5086935840957	14.6304424219966	-0.922960412901685	17.423092976736	13.319115411069	-1.20617986390353	18.3877949959162	14.7431958617349	-1.525780609105	18.2386100645287	14.3949909245168
SYNCRIP TGFBI	-7.25794762449038	21.1482588600391	16.4951928045494	-3.72608768729671	19.8574230261981	14.7387646184312	-6.80333938342286	20.9508024129036	16.4647454448883	-5.57266646075225	20.7331484682779	15.9391173194557
SYNCRIP TGFBR2	-2.70713971584237	19.573209249987	15.6616310686589	-4.62936063881392	20.1081703546019	15.1212776197776	-10.337505882383	21.1814201315798	16.8023639509294	-3.30735916884862	20.0485620706595	15.5914358583421
SYNCRIP TGFBR3	-6.07278353159993	20.4999832212172	16.2531097369151	-3.18330334639975	19.6629806104715	14.6404534519326	-4.53240043481387	20.7807737151098	16.2523042300699	-4.97001530863311	20.4824855674452	15.9234037696739
