protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TACSTD2 TAGLN2	-5.72414004114747	19.8333893258151	15.8297261719334	-5.14356429974064	20.4487477280139	15.4984407323715	-7.03118567317854	20.4471696447453	16.3552889573082	-5.28309634066967	20.363044862451	15.9731621924442
TACSTD2 TBK1	-5.15761824428798	20.0597690105405	15.9599030643299	-3.42043939009131	20.2233434763544	15.8434980101137	-5.5747900902039	20.1884118389975	16.0871037624435	-4.44916045191504	20.2845995338933	16.0989438950212
TACSTD2 TBP	-4.01864525011535	19.6704813248273	16.014010368998	-4.92197156594521	20.6479902786861	15.9357573105111	-9.99523443097324	20.5843993478313	16.5068612240585	-4.69429591726244	20.5174559578038	16.2763757936309
TACSTD2 TDGF1	-10.957831955231	20.2335166529753	16.1263193161264	-4.85044015075941	20.5718243304058	15.8629696889278	-10.1607324947958	20.8089935290679	16.5221344171025	-7.23308549702351	20.6662956937313	16.3910684229859
TACSTD2 TEC	-2.68698222173422	19.0428271993287	14.8070286936693	-3.87713508217671	20.1227141850057	15.1162740996089	-4.28534565627011	20.0391684557683	15.8304841062624	-4.90614864470529	19.9201729902707	15.5754540803128
TACSTD2 TEK	-4.50414371455114	19.8737393331179	15.8351097285337	-2.75682237014767	20.0628023363635	14.9884956818008	-3.3412609665041	20.1323766197697	15.4792411395825	-3.66617527319596	20.1386530179823	15.6408457424486
TACSTD2 TF	-1.71500694844933	18.8637978162038	14.546961349251	-2.64134417447274	18.8671279133352	14.658954074839	-2.37903417090949	19.297980049384	15.1725158199379	-2.14714422259304	19.0227150319844	14.9416947784187
TACSTD2 TFF1	-4.43327605658354	19.8457673407379	15.7426177167072	-2.10349678848651	18.8321576109792	13.7737039076088	-2.43206834732092	19.5590652819314	14.9724558972419	-3.16745804741658	19.5432503876024	15.0371129112098
TACSTD2 TFF2	-1.42260743228227	18.6579355281459	14.4727546614613	-1.24615018466128	18.4031103060182	13.7693617276181	-1.09975992288741	18.7014582800342	14.5518412548404	-1.3164552279909	18.5275918013725	14.2714955466898
TACSTD2 TFF3	0.319389666572391	14.1631745732698	10.3337142934557	-0.212530466865239	16.9105530750431	12.649845419183	0.105481213519067	15.7130178994048	11.6488611332321	0.0519667304347324	15.708848149474	11.7584225563937
TACSTD2 TFPI	-3.79211455488492	19.8901237320536	15.8759097693399	-0.94177094652261	17.1959644459708	13.5353598664513	-2.23023663297504	19.0503228351926	15.3984208357912	-2.30748809102903	18.8485295848263	15.2136208090011
TACSTD2 TG	-3.32471189289255	19.265026509944	15.7844437135317	-4.76059292850498	20.5046314665281	15.710921515794	-5.47268964810167	20.2112076432396	16.3323605890936	-5.03034237564971	20.2937933718861	16.1015622263784
TACSTD2 TGFB1	-1.69181936662503	18.9154577814734	14.9250339934643	-3.25784730691355	19.8537747910682	15.3724035979127	-3.02147522779668	19.7219953448005	15.6643885583597	-3.17049043276852	19.7125802969455	15.7151347329597
TACSTD2 TGFB2	-2.1310484349896	18.7498172400879	15.149581195823	-6.0375411538163	20.6553718110123	15.9273945095576	-5.22319590881476	20.4555630075113	16.3028374379813	-3.57345933153857	19.9435156000916	15.7851323856449
TACSTD2 TGFB3	-1.73327813292322	18.3199888526678	14.9451889047425	-0.925488186894552	18.4614245428301	14.231537607292	-1.6473745603901	18.8630177780691	15.2600196140539	-1.89523442597112	18.8098083944259	15.1575957569254
TACSTD2 TGFBI	-4.82366384620624	20.5791388556894	16.0745346363782	-3.73714943488969	19.9919724959422	15.1957934212925	-3.67768725926189	20.2372915458571	15.9761598130851	-4.66968776383796	20.3508681764639	15.9541909610329
