protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TFF2 TFF3	0.258455938673528	14.0099763959585	9.75343017976424	-0.980535589873865	17.1687933911042	12.4221865733391	-0.17736760540782	16.4073252161533	11.9862147317967	-0.27960790830062	15.9254071583323	11.4693883216295
TFF2 TFPI	-2.75150952361168	19.4802172235914	15.0596294401438	-1.41440686730879	17.3836453946682	13.6356982916612	-2.09220229321705	18.9310945321505	14.9286654203577	-2.190326508118	18.5141624122773	14.6056457706385
TFF2 TG	-1.91066270450591	18.8723915626052	14.5465372374313	-3.79951970674743	19.9010725326163	15.003120015612	-3.43286141026413	19.9274938300876	15.4688320274213	-2.97554604813323	19.6652999279905	15.0089744508643
TFF2 TGFB1	-0.422630648657665	17.5217004601299	13.4365825827501	-1.11462443407377	17.6882004450898	13.1394623702547	-0.95609369081843	17.8945682577542	13.8538045456846	-0.795442817461822	17.758082466836	13.4999430883229
TFF2 TGFB2	-1.01109444205605	17.8378573643001	13.9840556564502	-2.54059456234556	19.5098519203629	14.1785314969831	-2.31464436597853	19.0888038653565	14.9614633285102	-2.07252253432605	18.9331942347622	14.4294939398052
TFF2 TGFB3	-0.871080436546426	17.5310423675052	13.3938722471915	-1.24227775885733	17.6842156429049	13.2644661770448	-1.29015751256352	18.3690689562704	14.4490174923695	-1.11977930331894	18.0068760737981	13.6770101767884
TFF2 TGFBI	-1.9222860100618	18.7267401555705	14.2681458712244	-1.72618077945343	18.4368931925099	13.6092944877004	-2.58255131682264	19.38729654628	14.9516780593933	-2.12152187743903	18.9013671048264	14.3715172872318
TFF2 TGFBR2	-0.164257581092433	15.8417988514073	12.7657337614977	-2.70824498445943	19.1835850434797	14.6506576311437	-3.34751080333589	19.8320355390786	15.4683230263892	-1.35010454309331	18.2199658487586	14.1000365088613
TFF2 TGFBR3	-2.49097436434716	19.3435586510018	14.8582004932401	-2.35979821448629	19.2522639617797	13.8847320566499	-3.65265021000664	20.3997093014822	15.3492207979706	-2.63771731980741	19.7028883886439	14.7404641265328
TFF2 TGM3	-2.307990400524	19.1497541134695	14.6472567379006	-2.62053049844517	19.327478426596	14.452079636726	-3.5693296803626	19.712659579061	15.2156934114805	-2.81071466646007	19.401383708274	14.7519642651193
TFF2 THBS1	-1.59074292965035	19.1376059591832	14.4715525709866	-0.81979587824936	16.8491178458646	12.3998829545367	-1.11596537373844	18.2976399720707	13.8686293569789	-1.31302987727513	18.3397605086625	13.8568409399177
TFF2 THBS2	-0.924098851036002	17.0902471789913	13.3467517473897	-1.26905733963823	18.1536637732315	12.7191222073879	-1.65390965391168	18.7809827291228	14.0172728306116	-1.29786191429358	18.054860122429	13.4375293677054
TFF2 THBS4	0.145828554212497	14.4695401828013	11.1778175476001	-0.511126264244281	16.3655352104356	11.8701968339917	-0.267329948559352	16.3655278289547	12.2161585925979	-0.25358452812308	15.9533700639735	11.8692672840551
TFF2 THPO	-1.06210013914234	17.9707803176235	13.9767228459777	-3.43841565350716	19.3864954476985	14.330205245001	-2.38534998649057	19.495500393874	14.9725661307673	-2.00632672667245	19.0080857971796	14.5533673214153
TFF2 TIE1	-1.72984388327995	18.8716915827459	14.1906124435564	-1.81291547335603	18.8452711489397	13.4666684562258	-2.13473270113158	19.2588878761574	14.51172712247	-2.32446255809471	19.2629641962696	14.2645492993251
TFF2 TIMP1	0.402185189622603	13.6301847999397	10.8403831570067	-0.523894904163867	17.7529383699559	11.7632809743695	-0.0439309160853047	16.5500108413284	12.0614654640148	-0.0806858493018914	16.1804215104161	11.5878889079035
TFF2 TIMP2	-0.21367206859688	15.4221008578978	12.4714289078979	-1.05789394733903	17.6632029791719	12.4941306132491	-0.798933015845747	17.5046055712115	13.3331294191828	-0.666498452692329	16.958303095252	12.900312894604
TFF2 TIMP3	-2.06083532834549	19.5377544657251	15.0934206711019	-1.42714819684115	18.1145860484763	12.9300464197849	-2.30167255404587	19.3732236947094	14.7663871635798	-2.12774463002146	19.0193732295422	14.2879516793809
TFF2 TK1	-1.96072738937322	19.0749944271871	14.3474176544243	-3.28100182683078	19.3165398272934	14.4389738232521	-3.41106435628887	20.1848387314143	15.333528908064	-3.05953289483026	19.5707086349896	14.9096794417254
TFF2 TKT	-2.06899042344193	19.1235111604657	14.3503420895812	-1.1424402163723	17.8882219950605	12.8784847465362	-2.25842290345671	19.5622073250392	14.3465590534311	-1.88127867755987	18.8863653687401	14.017187519135
TFF2 TLR2	-1.19652146932803	18.758260593237	13.7501285204233	-1.92649100763063	18.8266720407738	13.6104084351571	-1.51743532186825	19.5234747915838	14.1188148204039	-1.72442829252475	19.1371486911458	14.0329824059611
TFF2 TLR4	-3.03848696023742	19.864148351799	14.8140202379123	-2.67355678745984	19.3848114803635	13.9534916538575	-3.44135083363076	20.0741473012881	15.0960777322846	-3.27204852230918	20.0035286893261	14.7964941364171
TFF2 TLR4.LY96	-2.92938013558316	19.5840941006818	14.9683096962909	-1.59521596394127	18.3294030684291	13.4180221409747	-2.51441903574367	19.4422989922247	14.6438646813012	-2.25377738967469	19.0873099677684	14.4854768190985
TFF2 TMPRSS15	-0.560417743473111	17.2872079272157	13.9381293953908	-1.4221039657358	17.9159197571028	13.4272653927559	-0.999923315155733	18.3052479227795	14.1734825354398	-0.858693572711057	17.818697910108	14.0456889021384
TFF2 TNC	-2.70119386180753	19.7088788116234	14.6998247627343	-1.39051859276751	18.2527368888735	12.8961846428792	-2.87765072750553	19.9175231961006	14.9447036991785	-2.1533457295489	19.3611306607869	14.2625084913556
TFF2 TNF	0.393039082887048	13.7029157195434	10.3849029489118	-1.37198367728324	18.1423687243673	13.6189815331231	-0.573129853688574	17.10938117931	13.1953007593696	-0.267615599464435	16.3513867088999	12.5069272677449
TFF2 TNFAIP6	0.0483239934839663	16.123386457422	12.4038097365586	-2.0279174718817	18.6448054462016	13.5918030128497	-1.34089430965473	18.6807587154772	14.093765390749	-0.993629371489175	17.7679766940924	13.4439624281169
TFF2 TNFRSF10A	-1.57406904979318	18.3461915454788	13.7960111280958	-1.63788475943308	18.1206797493481	13.2073774908459	-2.2715807029638	19.1851259838897	14.732564205499	-2.38920295586428	18.7857327188468	14.2513979983012
TFF2 TNFRSF10B	-0.57144716538292	17.1910211792983	12.7743722300542	-1.17018473441014	18.4050087457843	13.4520201917329	-0.827452979578889	18.0121344112739	13.7435710322266	-0.846141562858038	17.959561269186	13.5490337045735
TFF2 TNFRSF10D	-0.408808832358575	16.6768873875568	12.3799082389886	-1.44300357761615	18.0313492117126	13.6298185309783	-1.43293160119046	18.5211261682021	14.2759069366963	-1.24347157987921	17.8591042310749	13.6276258934482
