protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TFPI TG	-3.71710248177172	19.3742265232517	15.4394162555992	-3.25704296945325	18.5916618185787	14.755850289418	-6.19636080779981	20.0829023276817	16.1238258821639	-4.5421032276505	19.5514475164785	15.6945381073817
TFPI TGFB1	-2.56061133851478	19.805048426177	15.6439132965748	-0.684833281121497	17.7498141421345	14.2794996180099	-2.15344560934875	18.9391720872892	15.3169683316563	-1.44523864605233	19.0092886054991	15.2838269654163
TFPI TGFB2	-2.83700059878715	19.5312610646129	15.4832494048635	-3.13777164213034	18.5873706161194	14.7439928466286	-3.34130530108161	19.6129244894006	15.7884988920712	-3.28919958093422	19.2290951636345	15.4243590477656
TFPI TGFB3	-4.28005678273048	19.493227271582	15.610562980435	-1.0455843355335	17.6977111911783	14.0814005569771	-2.75973247423157	18.968229284888	15.3565202556323	-3.56767483833412	19.0568834817152	15.389848573931
TFPI TGFBI	-2.62456129673715	20.470366272428	15.1914977142804	-2.41705207246871	18.2612960464149	13.9152493475129	-2.79484228657103	19.3252235499863	15.083716569601	-3.08398142292798	19.4693428752149	14.8614753902119
TFPI TGFBR2	-2.7826885774859	19.5963976209194	15.6488039487101	-1.6638485746218	17.6077086621922	14.0384617969538	-5.41064384478009	20.1435616503976	16.0459538543803	-2.54617912161205	18.97988887248	15.1142508901005
TFPI TGFBR3	-5.93501556754787	20.14984939191	15.9119071666795	-2.49699445994378	18.2917904191326	14.3290743692282	-2.43508251500814	19.429270720905	15.2377592447806	-4.23756323979247	19.488166008987	15.4702977513785
TFPI TGM3	-1.82463092356383	19.3973399898616	15.6531374586191	-2.9928327811533	18.5475681034189	14.5008715567907	-2.80805187023786	19.5098819497764	15.4702419617459	-2.21772057471886	19.1074118986376	15.2188195587095
TFPI THBS1	-2.17975354891444	19.9683089109874	15.8689259226575	-0.612685007038704	16.5790611684985	13.4621789417592	-1.39238068298625	18.6366648747753	15.2099336705214	-1.64460547514356	18.5564553469781	15.0672218735996
TFPI THBS2	-2.00186169923385	18.3790710648323	14.6637482418985	-1.12263360614928	17.2222874942879	13.1646613278988	-1.37168141421204	18.5532549071843	14.4242545441225	-1.45636113910844	18.2242565204745	14.2752738098563
TFPI THBS4	-0.0857309376968887	15.5252743559904	12.086274829848	-0.0967724114272885	15.5808634953995	12.0629254902734	-0.185313603449873	16.2436599004926	12.4161849609886	-0.132790704706897	15.8682562331628	12.2950947147237
TFPI THPO	-4.29534439280258	20.1647299409024	16.0895571838929	-2.3753518887904	18.7415032071647	14.6552854833587	-3.20195540645881	19.9452212822495	15.7436655126619	-3.6155677007942	19.5815823566367	15.6432391189962
TFPI TIE1	-4.91143682755912	20.1566801464498	15.6333013916411	-1.37603908954638	17.9400440194701	13.398866723429	-3.03757706848524	19.5546280509946	15.3962789641745	-2.81033222171705	19.4759626317201	15.0343233198575
TFPI TIMP1	-0.0542124811335725	15.6275141266168	12.1799694382361	-0.101525883453049	15.8596754946545	11.6733867370452	-0.119291536147935	16.4584196349821	12.3994490238662	-0.18281328937413	16.3281094393263	12.3295248037115
TFPI TIMP2	-0.609487102176058	17.2110147641211	13.4708770849443	-0.981548704891382	17.4110441024077	13.3818305889876	-0.783791543238334	17.6591452661351	13.6899705071122	-0.782391596634622	17.5230189379771	13.6178776385626
TFPI TIMP3	-3.84451052000398	20.6623592518676	16.3990237259101	-2.38906851630085	17.9742879424228	13.847414261833	-3.36087947350227	19.5965369582173	15.6214356923735	-4.09065090895777	19.5737421193604	15.5809728900904
TFPI TK1	-3.88413478621177	19.9324643060335	15.4789526955792	-2.43544708824266	18.2015957102222	14.2947957717027	-3.45626696131202	19.5698685767445	15.238395833793	-3.44939496495874	19.3480355102403	15.258788625392
TFPI TKT	-3.69648139725818	20.1314059534278	15.4817373472991	-1.07848892410531	16.8859913203146	13.1513278966708	-2.06748208546453	19.1754517575377	14.8620696000976	-2.76695782085338	18.8215149043923	14.8144030884718
TFPI TLR2	-2.39614882370891	19.8614263518925	15.5837203750347	-1.53761501413825	17.428280377193	13.8915055470711	-1.86494399524497	18.9497236757356	15.0070220172263	-2.19230960138828	19.0712693727512	15.2178991495214
TFPI TLR4	-5.3015635238923	20.9651289520449	16.637214269855	-1.80490583703651	18.4288287324654	14.1450393927576	-4.04967142171904	20.1577189605956	15.8980263251317	-3.95032664401061	19.9957159889904	15.746890044488
TFPI TLR4.LY96	-5.50445010631063	20.4404849638154	16.37143828972	-0.841994631849516	16.8671974045185	13.1388171889333	-2.40006527960446	19.6278188730555	15.4871970726549	-2.35644128330388	19.0560828564375	15.0330914576599
TFPI TMPRSS15	-4.20644568046135	19.9297894836597	16.1937584115591	-0.916231177824972	17.7193941871512	14.0719164658565	-2.03061075248027	19.2915734947561	15.5804350674398	-2.08056505593181	18.901782402867	15.2871659845687
TFPI TNC	-4.39236093756422	20.5062783119914	16.0219087939037	-1.37939372885226	17.4776896989368	13.4039214115441	-2.42188551469768	19.151921989529	15.4537742915188	-2.89453604607715	19.2352529402638	15.1383228434312
TFPI TNF	-0.151263101330533	15.6141739983054	12.8777896494169	-0.912509097209519	17.0668770122709	13.7827388783392	-1.03530639761854	17.2123499118023	14.0930274986199	-0.537659288615265	16.7602218933412	13.7149153803868
TFPI TNFAIP6	-0.751621273247861	17.543409176853	13.5253588012929	-1.0408534208141	17.1360586561789	13.5068926028385	-1.48450330804559	18.7634417671617	14.4686419403543	-0.77502666492019	17.4428852784146	13.7352220396155
TFPI TNFRSF10A	-6.73297510451921	20.5486153349086	16.0715572257495	-2.22987031549938	17.5613434495047	13.9461186497741	-3.21852420228881	18.9950205477151	14.8676455207965	-4.70084046569677	19.5407081363764	15.5386956189551
TFPI TNFRSF10B	-1.19924464587719	19.0423582692856	14.6893352131897	-1.89735763702409	17.9107507223949	14.4146494799701	-2.47835747058619	19.0150249153167	15.4363446588911	-2.10646007928941	18.6471227716141	15.0261640133335
TFPI TNFRSF10D	-1.01862213624243	18.6384106796199	14.3480525781119	-2.00904510088064	18.2439518730831	14.4859589102408	-1.28702153307257	18.957803122009	14.8866894512864	-1.30977011832423	18.5326180598841	14.6182664543987
TFPI TNFRSF11A	-1.25504758998852	18.9128055632005	15.0842837627426	-0.653558796161157	17.4352598621264	14.0234791582325	-1.22335884843206	18.4216555591978	15.1485596672964	-1.08225484439151	18.4184816247596	14.8069925203409
TFPI TNFRSF11B	-5.92182892578608	20.2658263616743	15.7426208866249	-2.03111237327521	18.2729392783481	14.1177206318229	-3.49098237374206	19.5010393673053	15.2318544444504	-3.94091537166708	19.5249972060621	15.2884404649058
TFPI TNFRSF12A	-3.32662557600119	20.3929375933751	16.1500486537315	-2.82125311379894	18.6907401033867	14.785179590985	-3.43424423988796	19.9109923252987	15.7085216540003	-3.39502256249486	19.8386662864291	15.7328667776049
TFPI TNFRSF13B	-0.631660673537529	17.3180452669023	13.8272949243645	-0.986794940741565	17.4195153009927	14.0941547966062	-1.38774697335125	17.8521393288023	14.3649510853098	-1.10980391374486	17.7999588883509	14.4043296150415
TFPI TNFRSF13C	-2.22288560207579	18.899825734963	14.1602234682032	-0.700398217820676	17.422903587545	13.0599603210227	-1.89308348425631	18.9715279763897	14.6307665784501	-1.45437236677355	18.4016574522819	14.198139452967
TFPI TNFRSF14	-2.93939521403185	19.9482207996393	15.801094620251	-1.73583127189166	18.3004659601587	14.5363532237915	-3.39690719046485	19.7355513419048	15.8143840986606	-2.56868681678796	19.255174443385	15.3573497062891
TFPI TNFRSF17	-2.2540284100616	19.3531835534712	15.4666479417124	-2.87168232296475	18.4706121921623	14.3208380668647	-2.65587979944301	19.379999868667	15.4154847181737	-2.50850692486723	19.1800688406843	15.2128751742456
TFPI TNFRSF18	-2.22209317025804	19.2837143324091	15.3964460121059	-1.94342628263621	17.9098912777364	14.0802214156626	-2.60340848106838	19.2424774619847	15.4084595307475	-2.66601240763072	19.0322036019654	15.0931440520369
TFPI TNFRSF19	0.0201323549352113	14.7175760051537	11.104299273905	-0.272263675567024	15.8083239653343	12.308419982709	-0.143062657323653	15.8759289058312	12.1255679231231	-0.0674500031353436	15.4377017875906	11.858207953745
TFPI TNFRSF1A	0.468204493764688	12.8799973180774	9.70846161209012	0.293946289297037	13.1799657887023	10.2190317773851	0.317124587532297	13.9136439651853	10.4690653774644	0.367318881042752	13.4250590786679	10.3117198283242
TFPI TNFRSF1B	-0.035665052712905	15.1997707027925	11.278264613264	0.0715101094469511	14.5434072811078	11.2080882024494	-0.0176156027455117	15.4962681370807	11.4640916639417	-0.005001370690213	15.183109168784	11.4814004426122
TFPI TNFRSF21	-1.18370412433441	18.0983507025514	14.2939676775748	-3.77528765491647	18.3546672210809	14.6380377866013	-1.7425872820728	19.0569707920267	15.2848210764347	-2.09807259935659	18.5596792838727	14.8538644284976
TFPI TNFRSF4	-0.148939082075136	16.0811268471659	12.5190650494652	0.0659814323686756	15.9252424195183	12.3885174547563	-0.0627903054268582	16.3081416754836	12.8289601577132	-0.087002218898838	16.2953878347418	12.7666118197921
TFPI TNFRSF6B	-0.966888390513508	18.8018381502798	14.3063851430264	-1.94313084563234	17.8397147721939	14.2690446374441	-1.95860663151373	19.2791905407365	15.3285958372409	-1.64106677034121	18.666083445037	14.6755240619346
TFPI TNFRSF8	-3.21439773840793	20.7537117529875	15.4288050573332	-0.584180050161194	16.6986676825674	13.1666819645669	-1.51542027177582	19.3903713109754	14.6453710266837	-1.63581623978313	19.0675461391716	14.5245246837822
TFPI TNFRSF9	-0.879730764503289	17.6677900935519	13.7682076400385	-0.158948247178671	16.1384169873885	12.6590443169576	-0.425634292566836	17.372493702227	13.5194408121043	-0.483330517459908	17.3010341943946	13.5063957199357
TFPI TNFSF11	-5.86430243359677	20.054297187439	15.640321619376	-1.70373815625033	18.0161156016212	14.4028891259488	-2.71378420551362	19.1851477333884	15.3044371844189	-3.57752495617046	19.2759684534201	15.328316879057
TFPI TNFSF12	-3.4537991933661	20.2456282076821	15.4968645055605	-1.07419967239503	17.4647299483997	13.7744889959773	-2.99897325131529	19.4681878389821	15.1050652576785	-2.59576270400073	19.2077945267533	15.0770377391505
TFPI TNFSF13B	-4.31045518069454	20.6799451576588	16.0717408704904	-2.74050788991048	18.221194109436	14.3294110085954	-3.3254922882027	20.1014995085758	15.8084629225632	-4.32786331886195	19.8103413711182	15.6166239271305
TFPI TNFSF14	-2.6212681329434	20.0133864305202	15.6107654684144	-3.36426157612048	18.4834041901563	14.5887176709931	-4.54777592289222	19.6982842057324	15.9022653119845	-4.04538675213478	19.5026851196558	15.5543202340552
TFPI TNFSF15	-0.712009860727148	18.2885623217818	13.446384873502	-0.481559179411784	17.1638278095054	12.8798793496793	-0.619560305332624	18.2545464397846	13.6234880664529	-0.793126642308044	17.9517694438567	13.5696522010388
TFPI TNFSF18	-0.796904549572075	16.7039369029711	12.5483403860935	-1.48377756141792	17.7257600630123	13.6771341019357	-1.84388098936152	18.8992549277562	14.7222637302717	-2.27333965693901	18.1431113575727	14.1480278748688
TFPI TNFSF4	-4.68707272507226	20.3592595709562	15.7989894568634	-2.07043680900769	18.3425048393083	13.80956979856	-4.16357643106972	19.6651554625636	15.4392822389504	-3.8567885533964	19.6148382429229	15.3430332305113
TFPI TNFSF8	-3.44291513069878	19.9615408915055	15.7833894804659	-1.92466096277446	18.0148050988338	13.9942637224538	-2.82785633071903	19.6895574496299	15.4177989569803	-2.96339084895377	19.3706953522383	15.3274773986075
TFPI TNFSF9	-3.30720967717807	19.826342886585	15.4907348470473	-1.07480376167286	16.7628159233078	13.1017752252497	-1.96104274752812	18.6162691475227	14.6917786428035	-2.84851576471219	18.956536131708	14.9741006115345
TFPI TNNI2	-3.59568166747002	20.4059398468352	15.6926440950083	-2.17658193779148	17.6306417329199	13.8148914586516	-5.02989650075399	20.1229133365824	15.7661181425841	-3.78688856943085	19.524158155704	15.3323854225066
TFPI TNNI3	-1.16977810082161	18.0060893581131	14.2071501345469	-1.26259144689526	17.5960707610078	13.8101318838829	-1.33622582008202	18.3689343670493	14.5118196684159	-1.24609846298934	18.113046811542	14.2575926753489
TFPI TNNT2	-0.116727268709659	16.6550474975261	11.7223877570639	-0.167635456263362	15.1336212545298	11.214353641719	-0.194805171703333	16.4228768886504	12.1203692926595	-0.156651238944184	16.1465247156	11.7691501620935
TFPI TOP1	-3.67568066604604	20.0240753282272	15.1016240921771	-3.48228126275833	18.8709071720317	14.6868059479015	-3.82236816197373	19.8669448993892	15.4756764182916	-4.07673672347981	19.682036846978	15.2045499938623
TFPI TP53	-2.19545239976083	19.4009753108489	14.8382868688316	-2.74469133715494	18.4724411375907	14.3543373373113	-5.42046218260445	20.1740360751908	15.8345848917932	-4.19499508730146	19.405584514966	15.2286665708576
TFPI TPI1	-4.04334387770654	20.280643307501	15.7599768590827	-0.864154391592188	16.5154023234119	12.8261607555689	-1.63106577834057	18.8163544854424	14.6999381040014	-2.24533554863326	18.6818786040709	14.7540203041461
TFPI TPM1	-7.19119388839056	20.8440336319078	16.31793062386	-1.99630882952988	17.9790163832276	14.2871671576908	-5.21638535501672	20.0082942327489	15.8287832362728	-4.44151420487287	19.7286616543281	15.5323006605467
TFPI TPM2	-4.50200724670714	20.3082742477604	15.9822990351772	-2.39758322917488	18.3474439201087	14.2726749464461	-3.35926495699161	19.6141679089595	15.5110881691802	-4.23487371500743	19.5786037365297	15.518186556392
TFPI TPM4	-4.82421311173023	20.4226129241331	16.0955324392218	-1.31994540733525	17.3252735398695	13.4595907710029	-2.73601069501553	19.9419211068586	15.6112744686156	-2.65833122355036	19.3399078674757	15.2259021483606
TFPI TPO	-7.11767491971193	20.8435839572304	16.6463018474313	-3.62176135020329	19.1786232482289	15.2425954497733	-5.97570252953003	20.3335900448789	16.3405965955271	-5.50782958933278	20.2384772892035	16.25088671482
TFPI TPSB2	-3.73284024376401	19.6257350610305	15.4895910674743	-1.79200821469643	18.1607654857526	14.1350282442606	-4.5454571111592	20.2152574462439	15.7780063633849	-3.83382769550273	19.5158404240544	15.3565448732537
TFPI TPSG1	-2.41190793143568	19.4526737088161	15.2302392826006	-1.93875401510292	18.0186192676854	13.8239203653486	-2.20430014802882	19.2120108102159	15.143509201126	-2.56619047790284	19.1251285320862	15.0167865571315
TFPI TPT1	-6.22344762807702	20.6493738966996	16.3057972373907	-0.299963862616015	15.6214865978269	12.1610311811978	-2.44356931182622	19.0149470178651	15.0550265464882	-2.06251756704738	18.6199794449317	14.7214289729838
TFPI TSLP	-4.37130799273132	20.5839811431486	16.1784845419141	-0.692270574792877	16.5177179161693	12.7948291656316	-1.72204763613121	18.5940428157766	14.7066682794506	-2.05560962334794	18.848188494717	14.7848976011094
TFPI TXNDC12	-6.51548354419755	20.4457284716247	16.0968770268848	-1.6585155264062	17.0230946589168	13.4362996607051	-3.91078968263815	19.4297975139855	15.2668066765987	-3.62974295277018	19.1472336070676	15.1391739078787
TFPI TYK2	-3.04428249742897	19.725062099158	15.2981147943081	-2.70633935978839	17.6374973024858	13.7951327141436	-3.76611800471922	19.6078648122443	15.3906177663633	-3.58354864112858	19.2142100166072	15.1314444911393
TFPI TYMS	-7.13943947734204	20.8720013198531	16.3415305906434	-2.67754070203249	18.4911288032252	14.3594517012433	-4.80554367927618	20.2445895941859	15.863144597971	-4.5023283889725	20.0124767656747	15.6235250131056
TFPI TYRO3	-4.01901522475134	19.7914968503281	15.395032484936	-0.903660996737891	16.8779287474946	13.6430263594502	-1.80149372487023	19.1162395532072	15.0208722159448	-2.5169475048494	18.9313384241462	15.2268236477748
TFPI UBB	-2.109702176975	19.1755743023909	14.4707892629927	-2.23904203904869	18.6367312991031	14.9014865071669	-2.81264187142815	19.1774040524164	15.1946090333952	-3.10681166584238	19.2387893477581	15.071053930062
TFPI UBC	-1.24331778549938	18.8712952946028	14.2458087040824	-0.10106249379051	14.7333551599599	11.2828618898953	-0.586454601568897	17.5198986779617	13.0962279040696	-0.780630797305801	17.4462388624129	13.3348786466507
TFPI UBE2G2	-2.9487491219419	19.8994909216212	15.3846771340575	-2.08980409815236	17.6608598543942	13.704737751459	-2.91528480258913	19.2518317455494	15.3971481036432	-3.17118868105285	19.1920460200339	15.0199967864995
TFPI UBE2I	-4.34620655022612	20.1926395848436	15.9230550947982	-0.381027973300682	15.7986135438672	12.4220905504645	-1.2369451043262	18.4270091778499	14.5555316439482	-1.50683585452668	18.3965210521799	14.6726593485594
TFPI UBE2L3	-3.86235031350525	20.3122333373324	16.0019695414608	0.0559555452603212	15.5165077824967	11.9953957476392	-1.0452698983694	18.2988359554138	14.3899465120241	-1.36347565614683	18.2486720261148	14.5642052350153
TFPI UBE2N	-2.91660373510777	19.687270012259	15.1081438423483	-0.523433626032454	16.4710718759071	13.1996372856742	-1.57207253716861	18.9231534481971	14.7917774633889	-1.5822956313832	18.4456120214305	14.6910605208977
