protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TGFB1 TGFB2	-2.76944823285524	19.7267113868006	15.8872550385849	-2.76637528004488	19.5563764436811	15.266401229772	-3.5081730386792	19.9148256093535	16.0072147479206	-3.29104556653576	19.6914319552212	15.802618920284
TGFB1 TGFB3	-1.17086882309001	19.0349344447783	15.0543540586178	-2.16336934179432	18.5843320632773	14.9960370248089	-1.4960157818119	18.8981696472663	15.1436606987553	-1.72930343450994	18.9054769970723	15.2248470799072
TGFB1 TGFBI	-2.52910065996037	19.1991321288798	15.4135499649827	-2.05047381424787	19.4879033311984	14.8098027137282	-2.37658681263512	19.5072686659185	15.4298767163608	-2.36754832064464	19.6191937079227	15.3902888740148
TGFB1 TGFBR2	-1.4887209473263	18.9466060708681	15.4717015204919	-2.4332722891539	19.8684915269801	15.0231851815863	-4.67486191801468	20.1967936842531	16.0385544314507	-2.20424130395385	19.5869068400695	15.4817687065515
TGFB1 TGFBR3	-1.62333618675982	19.5190839620692	14.6613398505845	-2.78278408799769	20.104248434983	15.3948161013269	-2.07626369261331	20.2265221853233	15.3718277903194	-2.15131518624027	20.0901384438839	15.461782132199
TGFB1 TGM3	-1.41524273454265	18.8341573074723	14.9387465157628	-3.64328252803117	19.669418982908	14.9717829420344	-3.05132142527062	19.8799711121314	15.7044317169082	-2.88080730481625	19.5096377126373	15.3434840658799
TGFB1 THBS1	-2.07695643867398	19.7765945499348	15.1700834192573	-1.96418172618756	19.395030943418	14.7407196528553	-2.78702053082939	19.7403251490929	15.7300154108053	-2.13637392706566	19.7251373178572	15.2046478356122
TGFB1 THBS2	-0.37335617486713	17.0635668631292	12.9119353976855	-1.63273984365391	18.896367757161	13.8754881241383	-1.09928936535278	18.4943516908514	14.3115599608092	-0.943963307130828	18.2836010111962	13.8693639563035
TGFB1 THBS4	0.0849979187213887	15.3839972468401	11.8341761068303	-1.14950478395685	17.5430143475754	13.3509152477862	-0.387615561124449	16.7959886090124	12.9675942001293	-0.410169226108167	16.6962317987517	12.8667765866264
TGFB1 THPO	-1.7565425851623	20.3449881171556	15.5518683281067	-2.66795507732571	19.070828519324	14.5430516987893	-3.19245321162555	19.4753775785182	15.6165491707329	-2.52043432605782	19.7237616746715	15.514323263586
TGFB1 TIE1	-3.61671376113848	20.0520556015982	16.2342728354482	-2.92165816545378	20.0779512871337	14.9552419723742	-2.96030771790584	20.1908348726205	15.87732363692	-3.62310807618183	20.2786807864393	15.864929874901
TGFB1 TIMP1	0.110943099102932	15.3108640105557	12.0432849890209	-0.565368647375253	18.7340173342929	12.6474885856863	-0.0738360993250153	16.7032716350353	12.3879636367664	-0.215688330337129	17.3388902716777	12.6179955630297
