protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TGFBR3 TGM3	-2.00784128366756	19.2350174875256	14.327973897659	-8.25668000750069	20.4576063848518	15.3339110173169	-3.13497129095858	20.2520868196278	15.2015607629903	-3.81487536809372	20.1703965416426	15.1909569385895
TGFBR3 THBS1	-1.59054633163594	19.2158346407618	14.5830013154907	-2.65922278950781	19.666435431017	14.3780774728313	-2.53189561049396	20.0894323894072	15.6932209819829	-2.1889894591118	19.7220068754815	14.9856493119098
TGFBR3 THBS2	-1.36456525319237	18.0979594942382	13.8743315554689	-1.92556619347134	19.3757928169042	13.6656907252198	-1.50773356229441	19.5770166557712	14.1383809232107	-1.57108200006226	19.155035832056	14.0921953021992
TGFBR3 THBS4	-0.152299059351124	15.4284622442083	12.0077200961962	-0.702528383672796	16.6725839001234	12.4246937994935	-0.304470216267391	16.6742420276167	12.4780471146657	-0.535199007923898	16.7134594967895	12.6532512522795
TGFBR3 THPO	-2.17243372768633	19.5356776190441	15.0714258354172	-5.96752897857787	20.3256220600316	15.4459210338429	-4.08955055437303	20.440537523221	15.5851486419559	-3.83843037967674	20.3633026457311	15.7466935597174
TGFBR3 TIE1	-4.15375635578208	19.8139060948605	15.2363717017921	-5.63526538346255	20.7074766985389	14.7781534885446	-5.54133037859365	20.5778000019073	15.7958520261714	-5.61791095176276	20.7444640844045	15.5848605277413
TGFBR3 TIMP1	-0.0631633337744844	15.8552551611893	12.3406525064973	-0.635146756055907	18.7501422654861	12.2258644155596	-0.266983141386309	17.2956973922203	12.3824439268592	-0.374844951337789	17.5940382990257	12.5198143151208
TGFBR3 TIMP2	-0.960542115971306	18.1894239299886	13.8482212696911	-1.64365731942857	19.3578397288625	14.0278664329356	-1.58621035568765	19.0541134051932	14.2989308820318	-1.53579334900812	19.055416550021	14.24255345966
TGFBR3 TIMP3	-4.93697227657454	20.4214717268271	15.6150426976665	-3.94715229902461	19.9527565888321	14.6234684173279	-7.57244969337106	21.0121766569472	16.2519883636699	-4.90977369270107	20.3657738053413	15.4893721221081
TGFBR3 TK1	-6.45270948270512	20.3249745228535	15.5962702226568	-13.1685027611228	20.9448314982044	15.9873527049978	-9.90069489729822	21.3829086389712	16.4537846497662	-9.56196101816375	21.0588259728974	16.2257567078522
TGFBR3 TKT	-5.12002612188029	19.872839930309	15.394123618788	-3.71690416648741	20.2621988532127	14.9475373925565	-4.53345324871226	20.8908070608694	15.7317430128127	-4.9334466855886	20.3889014687607	15.5851663424843
TGFBR3 TLR2	-1.53396205398475	19.4549230907996	14.2571499880047	-9.23949764530099	21.0479035107129	15.2947962431253	-4.16311895286724	21.1003007828284	15.3755158206425	-3.73231340218987	20.5060516844062	15.3129052389529
TGFBR3 TLR4	-4.91881696046213	20.8459715456181	15.8284896835394	-8.17784258984145	21.2504894494917	15.8077225167847	-5.13517212942632	21.7540607912113	16.3016215236953	-6.72108001239343	21.523207070662	16.1530811139138
TGFBR3 TLR4.LY96	-5.22578048398229	20.3689069740176	15.8787658268933	-3.64202147884221	20.3720087069531	14.6227327149617	-5.04618184496313	20.9675158614251	15.8116621127392	-4.69889241051044	20.6790208520895	15.5620822590065
TGFBR3 TMPRSS15	-2.05516879080786	19.3027432514383	15.3794238052801	-2.86168344381255	19.1468413500502	14.7931191233349	-2.65674097574977	19.7197347424855	15.4428406360867	-2.67083940834437	19.5193674676363	15.3981925192975
TGFBR3 TNC	-3.74566036762102	21.1811537538131	15.3490143064612	-5.95915289389868	20.8271641637224	15.3959231585389	-4.34555134103195	21.2447623093536	16.0572530091536	-4.77865763204898	21.222410097848	15.8151175844323
TGFBR3 TNF	0.0794182408756559	15.9913849147471	12.5496186081118	-2.21237385638527	19.1539641854518	14.5294580971365	-0.789012147727141	18.6440956557593	14.1513029377166	-0.718214582564557	18.0776835255143	13.8964078898071
TGFBR3 TNFAIP6	-1.03626381764352	17.9463717567357	13.3437536205634	-4.43819822582561	20.1660693010271	14.6007217088825	-2.97738467204114	20.0891402241424	15.1323967891542	-2.24118017159616	19.2711630095511	14.3870793633448
TGFBR3 TNFRSF10A	-5.05914830731887	19.9860245500826	15.5473175951408	-16.6860488759764	21.1225493924942	16.0193191433489	-9.47117224230704	20.8243159039936	16.1494445206633	-7.64343640454941	20.9664830428847	16.1863832073538
TGFBR3 TNFRSF10B	-0.999766580110551	18.751353191935	14.1388641091596	-3.18036345403263	19.3835565100894	14.8417077274939	-2.01571120155487	19.619830465039	15.4770082047917	-1.87707394192678	19.2391465301817	14.9195641569244
TGFBR3 TNFRSF10D	-1.16640462369277	18.7518968220599	14.1999614582397	-4.53556514393696	19.5213546580582	15.3166714945217	-2.21019550721224	19.3428367968266	15.1798357867222	-1.89850570061318	19.3179925025673	15.0111562100722
TGFBR3 TNFRSF11A	-1.17650274452531	18.7734461032932	14.3568509380167	-3.39161793392736	19.1793955855244	15.2580013703994	-1.94215732049775	19.4028857496867	15.3291858064647	-2.41729216333667	19.2793995261526	15.1671375114208
TGFBR3 TNFRSF11B	-3.24075156054297	20.4012471086854	15.3783020845372	-12.4240835380526	20.3815865913328	15.4201969827386	-5.69249016116936	21.6144278380068	16.2583411225549	-8.95624315732542	21.0130843577578	16.1251549756043
TGFBR3 TNFRSF12A	-3.97875601805823	19.8782743204424	15.6980253635911	-8.82791350714311	21.4164785670957	15.7467975926511	-6.53608837211574	20.8484638861503	16.1212684021299	-5.71758901488082	20.8599999607052	16.0509100890391
TGFBR3 TNFRSF13B	-0.619393031265506	17.326145613031	13.1922682415168	-3.5581524147199	19.0457880932164	14.8258034493067	-1.37348152182963	18.6605380340626	14.4692686309386	-1.3852582006979	18.5042338967912	14.3316570078193
TGFBR3 TNFRSF13C	-2.23124352552448	18.8516374231779	14.5921766309056	-6.92859695217411	21.2309072540659	15.4264142732735	-3.49961878472616	20.5514244668177	15.3451813815258	-4.2364447782213	20.3831902788803	15.260934018593
