protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TGM3 THBS1	-1.44100237771941	19.2110862885351	14.7801820508402	-1.69908265842867	18.8082436707536	14.4239614673856	-3.72784444700056	20.3056925605713	16.1594965650947	-1.74439666295671	19.398744740753	14.9097493098564
TGM3 THBS2	-1.7595844481035	18.2476298145439	14.3357327250271	-2.570319291772	18.5866486132611	13.8777103316482	-2.01171156801379	18.9310666742576	14.5860786237957	-2.09517643696521	18.6390735798087	14.4426406637588
TGM3 THBS4	-0.15852283729139	15.4187289427901	11.8719723066663	-1.29645504809306	17.6900085530917	12.8134725217802	-0.683229240637451	16.8750014906587	12.8865388056309	-0.694244884820258	16.7462193401551	12.636074928736
TGM3 THPO	-1.14454321394268	18.3718025658413	14.475462355355	-6.6849519453023	20.8676678233431	15.7929552170101	-3.63194010411072	20.5590392968279	16.2200578728078	-3.07287465017327	19.970764279043	15.5058469608732
TGM3 TIE1	-2.0778037103698	20.0432738534346	15.4460509586894	-5.20482527348616	20.6501738971135	14.9184430627184	-6.25091598845115	21.0020715328046	16.343551833201	-4.18596020994591	20.5443443737512	15.5341332954655
TGM3 TIMP1	-0.242714554381241	15.8323683638975	12.5584519994317	-0.666370152086404	18.9176041502402	12.4834460471179	-0.338652476328989	17.2798360525476	12.8602627025376	-0.515909404220971	17.5749469729991	12.6878914362229
TGM3 TIMP2	-0.814215045563606	16.8939813391146	13.3967675422042	-1.71942001150465	19.6465531732994	14.1170939903059	-1.54958452171935	18.9776259070174	14.4504179730748	-1.46913651192473	18.5736676968432	14.0582262894126
TGM3 TIMP3	-4.03717504200891	20.4196711343811	15.7821712596176	-3.44141371503201	19.2659172240305	14.583152396001	-6.08238903497302	20.4037342308861	16.0114702276318	-4.0187791469346	20.2611502212368	15.6933467295247
TGM3 TK1	-2.85169474606495	19.9624515081905	15.5479820481213	-13.0937299311211	21.0102678098024	15.8436299998252	-7.39149878381117	20.7523665641755	16.0755124323631	-5.33759135962269	20.8338070878898	16.0420338562978
TGM3 TKT	-1.44571295952803	18.3148798852218	13.4376380530194	-4.12981907449035	19.9264764168606	14.8148518364141	-5.00239987386852	20.5791603531344	15.6038568772431	-3.14117634407039	19.7201982773557	14.8338688549093
TGM3 TLR2	-3.16077679405889	20.2537651634771	15.7948647577543	-4.70913127168767	20.1333169659285	15.0878801639455	-4.47225540003962	20.5829168975211	16.0223623953494	-3.60760625530014	20.3180898023864	15.6685968879376
TGM3 TLR4	-3.26926026663711	20.5673011755261	15.1976012455779	-9.00085542591697	21.0754624974392	15.9414209129006	-6.04774185048601	21.6021053363126	16.3628969741112	-6.18521594920633	21.1341638460671	15.9666012231609
TGM3 TLR4.LY96	-3.02653573966439	20.1511101576788	15.6516130534164	-3.51485809954174	19.8795949530198	14.4396693836177	-5.16200667025002	20.6461939300726	15.7666819494161	-3.65523868078748	20.2844225946948	15.4061621181737
TGM3 TMPRSS15	-0.532142009715131	18.2916357273804	14.3483982710108	-1.97417745031662	18.1656710408756	13.5338631283583	-2.06792617446329	19.209399043783	14.7768172950382	-1.05064356619855	18.4921852289117	14.4002826770285
TGM3 TNC	-2.57210199213025	19.4299284749441	15.5100429461277	-4.81864759098529	20.4943353720095	15.1203889568736	-5.54525248579033	20.8986914349876	16.4977860947176	-3.8783630287894	20.2550166481536	15.6781234727038
TGM3 TNF	-0.0257445853740204	15.2898087865146	12.046478532194	-2.75553837023654	18.6928214725132	14.035321564335	-1.13501525189237	17.9042652475099	14.2740584442005	-0.985996244964991	17.4259392527928	13.5884204049349
TGM3 TNFAIP6	-1.09541665374367	18.2056370605199	13.9827579656221	-4.70443832761343	20.2242211227922	14.5707737726448	-2.63809140352794	19.9742754981351	15.1927006777805	-2.29560319063544	19.4155058623306	14.6557936439241
TGM3 TNFRSF10A	-2.14407441770265	19.870943398946	15.390080817684	-6.80128419382711	20.3553300892785	15.2639779064768	-6.01148632501649	20.7920933053164	16.218815937866	-4.07037432036934	20.4366773404382	15.6884726097503
TGM3 TNFRSF10B	-1.15942293388009	18.2891569796785	13.9654636210687	-2.70720676848056	19.2584317799573	14.3074695726582	-1.95437602549002	19.1994093481863	15.1008613900169	-1.99460869448625	18.9021295833823	14.500107661135
TGM3 TNFRSF10D	-0.775913931348183	17.7625376545692	13.7450542133306	-2.2357967419207	18.1951182375126	14.543361857779	-2.13107093565214	19.0989923461901	15.2197054685705	-1.6740922639475	18.3462770995429	14.5435717721482
TGM3 TNFRSF11A	-1.282721279445	18.3328954793838	14.3401203274504	-2.28481385105321	18.68958409829	14.2656651935186	-2.35228569241013	19.3805566498969	15.4294014631788	-2.00684483987086	18.8459648941303	14.681762379819
TGM3 TNFRSF11B	-3.6628841559508	20.8365633189399	16.3648344557192	-12.263631329774	20.8800725465806	15.7149322837389	-8.5704010122335	21.1680553491442	16.5052059964972	-6.59067037506858	21.0844114560008	16.2730603428113
TGM3 TNFRSF12A	-1.58661257129968	18.2342372871189	14.0892231303362	-6.52617806554338	21.2807059754153	15.4749061972155	-4.70933292873387	20.6529919976539	15.9633813106609	-3.22090236259832	20.1265785269094	15.2234600845657
TGM3 TNFRSF13B	-0.633612781559612	17.0193624640293	13.3836709406735	-2.28478885043743	18.6634952409216	14.1156113729773	-1.69938568099608	18.2304637353443	14.5301773690603	-1.23131696597568	18.2172245921986	14.1368622246133
TGM3 TNFRSF13C	-1.31036929684709	18.2934648003146	13.6905053865074	-4.30156981479772	20.0892859416883	14.4986580464223	-2.9512110034926	19.7290688177659	14.9180914411107	-2.59316741357091	19.6207815048664	14.6770780732189
TGM3 TNFRSF14	-0.757174434309297	18.7256914465188	14.5301843878468	-5.61383487434079	20.1165277498249	15.1469084356987	-2.920044516103	19.7316194870126	15.6150357107507	-1.81139741506247	19.6655516931849	15.0805588828967
TGM3 TNFRSF17	-1.60520372149787	19.0229918300973	14.6727159752763	-3.51724738883129	20.4815725540166	15.1574016709398	-2.91735946151442	20.3699337745709	15.8799638323818	-2.68853869374069	19.8885000955337	15.269966012336
TGM3 TNFRSF18	-1.3033055179917	18.5780348197515	14.6689091772257	-8.03121511903138	20.8208535672884	15.6267388045845	-4.00772635631697	20.3318385777809	15.8684016337636	-3.32377258480089	20.0119753998018	15.4804699405849
TGM3 TNFRSF19	0.164777432784194	14.6435019962646	10.5559094451634	-0.867326278964184	17.6577474627258	12.7836435317732	-0.539805080381032	16.7916265466718	12.4486955925791	-0.318659125972274	16.5271017719004	12.0008100491114
TGM3 TNFRSF1A	0.384291655098226	13.3202879102626	9.64088057857219	-0.144822069938839	15.5832046806253	11.1588123017309	0.0536394084275978	14.7686500055789	10.8422648291926	0.198416934247825	14.5249960840849	10.5380571644863
TGM3 TNFRSF1B	-0.0558830809489657	15.5351848173702	11.2254670558582	-0.663043119846068	16.9083611488225	11.9772731873301	-0.287431509914482	16.408209979742	11.6868980604353	-0.331146619234784	16.4010656534811	11.8196902849266
TGM3 TNFRSF21	-0.804177282915285	17.2808095863731	13.0848928518997	-5.82748969546478	20.4086238997155	15.123215229739	-3.5481769996459	20.0619500823637	15.2565191675684	-2.50711718826872	19.2694152494842	14.4486104396511
TGM3 TNFRSF4	-0.109092649283921	16.1604421304128	12.5122287701886	-0.632579234796185	16.2927029443304	12.3471042595515	-0.290615250331824	16.6363860215914	12.9492314509779	-0.353513699431443	16.5343829450209	12.7682899442948
TGM3 TNFRSF6B	-1.05566276067396	18.1529300027994	14.3249125645616	-3.9363440501671	20.0418421645812	14.7773048841483	-2.14817375922767	19.5588714120483	15.5090921003456	-2.24933569043281	19.235074161013	14.8971432938692
TGM3 TNFRSF8	-2.87996521423437	20.6696280804364	15.4451490409453	-1.59866198662691	18.4632429500303	13.9047692707822	-2.04868451691716	20.4061007714394	15.106893538546	-2.11634834796811	19.9353401208358	14.9540670001826
TGM3 TNFRSF9	-1.10282979971264	17.8143043712081	13.9264525442596	-0.702469308644979	17.0630540537301	12.401287030192	-0.678467370062837	17.8796428703789	13.6764787501261	-0.971143219133836	17.7269745482628	13.4430241020283
TGM3 TNFSF11	-1.84716956224826	19.6835529499327	14.9588427643871	-18.937302648613	21.1487028961471	15.9676891053865	-6.10430636656951	21.0271976529077	16.3818105375094	-5.37367375629679	20.7525762332065	15.8611448899683
TGM3 TNFSF12	-1.91419400028777	19.2188067780085	14.657327165595	-6.15416300739563	20.1588678750736	15.5928866277557	-5.98153936769223	20.5252357015595	16.1478227045396	-3.92229393633523	20.0004986446104	15.480362476516
TGM3 TNFSF13B	-3.32965703412311	19.9437578603556	15.5513285296738	-9.84271709099766	21.2664907523523	15.9458858553117	-7.43997205354768	21.156570160694	16.4966950634008	-5.14996313401933	20.8498237577567	16.0531124054132
TGM3 TNFSF14	-1.29528995050672	19.6736303681471	15.0193532667292	-5.8634055358078	20.4049851691442	15.1626652997441	-6.55135881714888	20.7756149243384	16.3816628871778	-2.83044873388167	20.1435390599707	15.3604047844271
TGM3 TNFSF15	-1.55873154237024	19.3290542438608	14.4050489213697	-4.26885373032025	20.2186380467682	15.0860512081718	-2.98943949331973	20.2102004712981	15.1883745236975	-2.92871375370215	20.0819559753388	15.1361212634319
TGM3 TNFSF18	-1.38401469577197	19.3945962605918	15.003939043879	-11.4720765545537	21.0432657575041	15.8276200217432	-5.12048887744651	20.5739637107168	16.0499728561978	-3.72735897229676	20.441696335558	15.6223575185605
TGM3 TNFSF4	-2.29981076516572	20.0613028110809	15.3224955143814	-12.4270631022853	20.9372092012339	15.6551146916393	-10.5347419632438	21.2020156516738	16.5529949821092	-5.082318288431	20.771292204595	15.8688943660313
TGM3 TNFSF8	-2.57102269090433	19.1822959438134	14.7857886057906	-11.500466944962	20.8420453923363	15.9368796246685	-5.96402682559397	20.7344535044236	16.094590760447	-6.07854354664603	20.3780573738788	15.8127061106359
TGM3 TNFSF9	-2.46266987020665	19.7979204375348	15.5087742194645	-2.55810564004296	18.8319672055779	13.7769890261342	-5.25775601388215	20.5402154819602	15.8636059420098	-4.7331693824148	20.1420666309983	15.6223712504971
TGM3 TNNI2	-3.41686661535125	20.4837757898224	16.0052918976404	-8.73720951198239	21.1564234122102	15.5753942810758	-9.89789115747843	21.2754803861456	16.495894655746	-5.36661771524537	21.1444842384482	16.1464797046273
TGM3 TNNI3	-1.38251117568004	17.8600348438768	14.1020385427299	-5.55037138236655	20.2569960642479	15.3225622299171	-2.20168833985421	18.9958663108595	14.8961356972989	-2.43386403893434	18.9740360175952	14.8092712646313
TGM3 TNNT2	-0.360304134246876	16.8355138832474	12.3185105752183	-0.530264504949107	16.4782236296075	12.0212063057282	-1.05353505278586	17.6118015388643	13.101438092739	-0.446677257826743	16.8857371956097	12.3994295660316
TGM3 TOP1	-1.94307586538927	19.3546452930944	14.3393171518198	-9.57786544381536	20.8750437770329	15.8593173676144	-6.0610974647813	20.6822444111502	16.1014756723846	-4.25827872339708	20.3276965226034	15.3985840217211
TGM3 TP53	-0.985133493666373	18.2669415006933	14.2645923952449	-8.41502057522307	21.0132241711189	15.6563949182735	-5.50295030655613	20.5503875046469	15.937178873876	-4.12072959093264	20.3896712297175	15.7703810723686
TGM3 TPI1	-1.25320234429458	18.4019584774923	13.1987088042969	-3.51055720130108	20.0021987941099	14.7002426487895	-3.74297047469932	20.4660535574222	15.2842621202764	-2.38319034630473	19.6634139864872	14.58025227432
TGM3 TPM1	-3.05508363228597	20.333623317662	16.0222908034019	-10.2784352101381	20.6983406528259	15.5502760555577	-7.02483248600587	20.9636025191259	16.114867213763	-5.16689778176328	20.6887432369797	15.9625854348231
TGM3 TPM2	-2.67088927654018	20.0567776710674	15.8046952047314	-6.82102611266915	19.9072481463307	14.7461577206494	-5.49147517283684	20.377764227482	16.177080478675	-4.36015693121035	20.3628555523353	15.6623546079625
TGM3 TPM4	-1.47677698796603	18.8918883050807	14.5276260346613	-7.79471802614198	20.7114053886129	15.688206620408	-6.38020980404056	20.7878479594173	16.1592068168578	-3.63127275512616	20.324074016301	15.679581271022
TGM3 TPO	-1.51558941549038	19.3072916577306	15.194284151701	-3.81657238113366	19.6465955415432	15.2074518201855	-5.62054536680203	20.4556031881703	16.4827743571888	-3.74623878007926	20.0014538221296	15.7583251121107
TGM3 TPSB2	-2.22024581598473	19.4149023683711	15.3513167009506	-7.75130943540272	21.046438666222	15.5115318453821	-5.09518696617258	20.7053265763399	15.9639843227937	-5.01985778206358	20.3901774128675	15.6844741519272
TGM3 TPSG1	-2.56257135410164	19.7341364824219	15.4716108279534	-7.76329523965127	21.3423874294152	15.4597818163816	-5.75276926288652	20.9358895018119	16.2080967562446	-5.09085039409448	20.704150923633	15.9601737949482
TGM3 TPT1	-1.74446599262937	18.8181535672367	14.2814649505377	-3.67854829168526	20.0937784524036	14.6767214257903	-4.19074395656614	20.566929070265	15.7319881923253	-2.91667119628875	19.9339176920747	15.020668070854
TGM3 TSLP	-1.75315262913031	20.008928505819	15.4537334344227	-1.78924126067092	18.7180492800408	13.9449307681229	-3.28521258802184	20.0348018246766	15.6280098316988	-2.09334067875889	19.4701435053227	14.9874952416523
TGM3 TXNDC12	-3.19153087221208	19.5657973506	15.08959865119	-4.98749391613282	19.9858640076075	15.1448427150892	-5.6759417634681	20.7160323515962	16.0488192635653	-3.71627176667717	19.9934388672772	15.4121248296848
TGM3 TYK2	-3.17276083564669	19.6441226291504	15.2871574703941	-4.70287762045122	19.6756017519323	15.0935572313073	-5.29785146531184	20.3146006973884	15.8705400976786	-4.28963284203195	20.0786710428673	15.5754762480758
TGM3 TYMS	-1.50389118265984	19.1575666143974	14.5000507216035	-12.1179442478864	20.636937243875	15.6278062410533	-7.92877578208012	20.9416007804651	16.2925666158212	-3.73297092125652	20.1312762751117	15.2694256993135
TGM3 TYRO3	-2.37889447611732	19.5102583177841	15.2178129215416	-4.32265569548809	19.8025776869607	15.0709674473821	-3.31483661613647	20.3831261381409	15.8335733033687	-2.9310477839457	19.8748033883498	15.4498696759859
TGM3 UBB	-2.73775518252621	19.6231656160929	15.5253405633995	-9.77172630677419	20.9703629997065	15.8934141697114	-8.0476215267973	20.9450448043223	16.3275620538992	-6.05856627748508	20.6522463796448	16.1307572492339
TGM3 UBC	-1.90420563729685	18.8701754672892	14.6399593132028	-2.56490498462463	19.3350492436283	14.0033168528767	-2.97873422648191	19.5336764697105	14.9678309200478	-2.44267207250919	19.4025760647531	14.7093159573944
TGM3 UBE2G2	-2.86920036074855	19.3523096976157	15.1861324731516	-4.30490228880918	19.9888960667212	14.9759829099876	-5.09130540944151	20.2614057339073	15.9456739571889	-3.8622946394428	20.0320349577865	15.5099227555997
TGM3 UBE2I	-1.7010836155248	19.1348074965953	14.5830927869736	-2.40989571199507	19.1312475255542	14.008909514682	-3.66882164170349	20.0666401738002	15.4205237809783	-2.46327392729623	19.4737928822169	14.8778112822793
TGM3 UBE2L3	-2.28830720411948	19.293943240606	14.8718039999048	-2.52088820093122	19.4748050425523	14.6182879492634	-4.97633244828144	20.4703424750505	15.93318133441	-2.55825253596867	19.6882148553506	15.1470269943153
TGM3 UBE2N	-1.92694193744969	18.8959810444975	14.2092881890131	-3.27655997498747	19.8063152603358	14.6839446257246	-4.33041096276913	20.6108563810602	15.641817055159	-3.04805079395774	19.7139973436125	15.0303150274406
TGM3 UCHL1	-2.80570459042858	19.8506958719856	15.247449961481	-10.8633479056853	20.7971490887476	15.8818581322675	-6.95781800807971	21.0101337670487	16.4008778509987	-6.3915899971324	20.6886415834205	16.0989413218085
TGM3 UFC1	-1.42354111210159	19.3918913864951	14.8162043200805	-3.11403840820102	19.843071158673	14.1930350448645	-5.94841458111923	20.5846421804936	16.0205644189687	-2.78314777122472	19.9550268474439	14.960559178614
TGM3 UFM1	-1.21599768140778	18.6628320428376	14.1888112739957	-3.62575485714969	19.5949926561215	14.3958209692847	-3.77315663722215	20.7347731907527	16.0305902688244	-3.00576637592477	19.7465035775335	15.022665235318
TGM3 ULBP1	-1.76438256109279	18.7502622285228	14.5240348094089	-18.283356354215	21.3046846586252	16.4245295439129	-6.84136312531939	20.5274870177222	16.0174151516063	-5.16485409578605	20.2291780089427	15.6424502730524
TGM3 ULBP2	-3.4703116239086	20.7517674466057	16.2314208091016	-8.49420488751331	20.7868401483863	15.6065455370968	-9.29896169844358	21.4505986007877	16.865438153228	-5.39756978215851	21.1474699595904	16.3870822150961
TGM3 ULBP3	-2.41184712439187	19.4738454583582	15.2115123338927	-1.84122441566367	18.3640960229456	13.8660735828558	-2.78910155367163	19.8217048215402	15.4920224819612	-2.39559845551729	19.3488939832094	14.9567660440336
TGM3 UNC5C	0.0629179475221485	15.3630647243681	11.6068862674396	-0.672265868837302	16.751017580513	11.9148445876115	-0.208571985943765	16.3254013552805	12.1794834269691	-0.279813306967563	16.3389178767007	12.1190099300291
TGM3 UNC5D	-1.58192316512041	17.7964713094781	13.6966390224418	-7.6461161571423	20.8898587303118	15.6888782705931	-6.17781196398071	20.9772180076401	16.0445982203343	-3.93700718429449	19.9239658003389	15.2858358353874
TGM3 USP25	-2.18433477612435	19.7820701042832	14.9296485663397	-5.9394440137376	20.4239654026068	14.690227242816	-5.56560033113734	21.1446369249393	15.9871447779889	-4.41129713438389	20.3945510361977	15.2649204117773
TGM3 VAV1	-1.86023214721451	19.2700532574856	14.8013722224387	-3.14486585632499	19.7935175312028	14.2440146897002	-5.66702286267775	20.8519895779392	16.0912426843218	-3.36408629003861	20.0958048698399	15.2486806044029
TGM3 VCAM1	-0.713322768931072	17.1215545557801	13.1307289236085	-2.23041098154259	19.0702983060375	14.2322158440215	-1.21268196715276	18.2596522160569	13.9125588907186	-1.61934327730344	18.5447462333959	14.1892046073987
TGM3 VEGFA	-0.0833105512229495	15.680664891076	12.409051132649	-0.585326265617049	16.2222260479877	12.1914716580752	-0.284492250871387	16.1571201205774	12.6665949247015	-0.411845698415164	16.3454952167945	12.6618361361883
TGM3 VEGFA.1	-2.66615309976033	20.1497563846435	15.8060280206626	-2.8010968786125	19.430866688013	14.7404321650835	-3.60063065502543	20.3867036702662	16.046692560815	-3.09285475067209	19.9789106934931	15.5189025021284
TGM3 VEGFC	-1.38910413807102	18.8489110455505	14.7951533456292	-0.992465960779751	17.3655988273127	12.8316186611446	-1.82722668134	19.2890437894247	14.9371601957356	-1.58149906828463	18.5780853128084	14.2741127765794
TGM3 VIP	-2.11805863199316	20.3112954481851	15.5484996151424	-2.79426733346916	19.3688292059416	14.6860998702873	-3.17611595310962	20.4398877831188	15.9267813554874	-2.68593973224035	19.9306027966335	15.4165976557683
TGM3 VTA1	-1.19176526263473	18.468305935792	13.6959308961632	-4.40151238266453	19.9792406224497	14.8841148395916	-4.55003782619116	20.626352775214	15.7579693824517	-3.13763076961856	19.831691418363	14.9731925270825
TGM3 VTN	-1.44585849681489	18.6033267377752	13.7752946271658	-3.62498419941529	19.4266949721706	14.6124377035687	-2.53327394715331	19.9810789088868	14.8794545672639	-2.94864681993914	19.4142445530937	14.5923131794857
TGM3 VWF	-2.4371946207233	19.6541541364008	15.1378937442923	-6.94315257996471	21.0787954482589	15.6945661323048	-6.13992701276038	20.879335550484	15.9889340668837	-5.10709431696375	20.629916019416	15.8604763515834
TGM3 WFIKKN1	-2.14702549851226	20.0436576121319	15.1911448920023	-4.2827680669161	20.3569689482251	15.2671379902876	-3.49825519352104	20.7704144826069	15.8832170960111	-3.16399236215534	20.4883969317879	15.5748205794747
TGM3 WFIKKN2	-5.18626694549434	20.2829866895292	15.909640771209	-5.58844244067182	20.2507795654492	15.3352362791354	-8.31127714570731	20.9447184940443	16.440110300095	-6.35918535886447	20.5773184647237	15.9467259225011
TGM3 WIF1	-2.7872834650489	19.7486922400624	15.3291959363394	-7.1053822240984	21.2471732218872	15.7342236204445	-6.23851766372495	21.0145889005422	16.1787080826508	-4.94070627542833	20.6334728176438	15.8240916353397
TGM3 WISP1	-2.05476527911852	20.0835703249512	14.6539183839105	-5.87832546023861	20.4570630721979	15.0992333398931	-4.1679038063409	20.7695659802867	15.681623871876	-3.83943545429535	20.6057941893677	15.3107483663085
TGM3 WISP3	-1.38315628721526	18.9130726444773	14.6590601384082	-6.23792025536316	20.2431260644008	15.3462225954131	-5.93658794890035	20.1501880080362	16.1152654258375	-3.08342511199772	19.9559150653239	15.3478840603426
TGM3 WNK3	-2.18460814233659	19.2460283846764	15.1621739681252	-8.1795476228532	20.6313393129345	15.7052347114859	-5.23370588006583	20.8064008598929	16.4057165747843	-4.23701430270559	20.3538505492539	15.7931587377093
TGM3 WNT7A	-1.95147596701926	19.5324700569078	15.5418897434128	-5.68149835873473	20.3400079141153	14.934295062083	-5.45092197851824	20.7418446901807	15.9508963297629	-4.26830858268525	20.4336791114822	15.7577515955792
TGM3 XCL1	-0.836008634406584	18.9662273905664	14.2966186169021	-5.31585317241351	20.2081141027848	15.0773745866963	-2.72819835831335	19.7382478403058	15.3080225377462	-2.10283737956486	19.7180185668229	14.9085037575277
TGM3 XPNPEP1	-0.545893697882514	16.8817375640907	13.1206387931246	-5.79340213170548	20.1369397503702	14.9467065458662	-3.14676588420866	19.6606188795139	14.9013877786708	-2.55886290265993	19.0281538517642	14.6446942471763
TGM3 XRCC6	-3.97355615584062	20.3118577382216	15.4534335142122	-4.38840836721791	20.7802653162251	15.0847478915314	-8.70451657181258	21.1297911756473	16.4160401128712	-5.00270053821471	20.7332385515426	15.5820787308003
TGM3 YES1	-1.77186888986685	18.9229444251354	14.423873183184	-1.16666370342713	18.1837251033093	13.0953920897438	-2.60782825277787	19.5657694558033	14.9205046826769	-1.8746188755294	18.8801504541607	14.3295313809942
TGM3 YWHAB	-1.67261307021365	18.5668476640488	13.9616357017646	-6.09113807374263	20.6158185258815	15.5808385135481	-6.6053165425088	20.8958109462069	15.9004723691592	-4.28352165605856	20.0594640355331	15.414112137626
TGM3 YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-2.26832338222956	19.5320991080442	14.8221470825009	-4.39100169468032	20.1482019147303	15.1315412989886	-4.79718098060632	21.0195046977874	16.0067273758538	-3.58431918470264	20.2121588792513	15.4093533243979
TGM3 YWHAE	-2.9053618362797	20.0524424096149	15.6516761795294	-4.85643376787501	19.5362053547032	14.7397373503638	-3.64436453755678	20.1139670047479	15.685128261859	-4.10001636780771	19.8915984367129	15.4796816470788
TGM3 YWHAQ	-2.00836718164482	19.6476412764064	14.9505464365541	-7.63061944486843	20.7794301375751	15.5910064129535	-5.69000168416967	20.9453909131856	16.0984624792139	-4.53887315448416	20.5130384013118	15.6538152898995
