protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TIMP1 TIMP2	0.110826080455028	14.5811195345639	11.6356351125179	-0.535071104192696	17.5112788929197	12.0939912101498	-0.158783569825782	16.4146201612816	12.3400902853785	-0.202474874636004	16.3356576395156	12.07673383838
TIMP1 TIMP3	0.0242022558838404	15.5241421014392	12.2045441467747	-0.631112347184225	18.3139472171119	12.5482578567424	-0.175882189341236	17.3276352133439	12.724989644912	-0.375412192745568	17.4160411408892	12.6278254856217
TIMP1 TK1	0.15215111260338	15.0038919520825	11.6546615253651	-0.631873577071022	18.8610925487196	12.6840563961356	-0.342865345913754	17.4320097493163	12.7128528721024	-0.310988418769617	17.4681837827764	12.5236952089811
TIMP1 TKT	-0.0056887248017059	15.1149592655893	11.8545468189565	-0.554828759138515	17.7045616276821	11.8663047084818	-0.355603485082102	17.2192204325019	12.2239344136045	-0.292182413632942	16.8938952484819	12.1906569021386
TIMP1 TLR2	0.153081915200663	14.7367904029038	11.4896077508847	-0.585024036688674	18.7423484745573	12.2947151764783	-0.172484210782593	17.1799166930221	12.3556258947966	-0.170268754280248	17.1059203043435	12.2158267667519
TIMP1 TLR4	0.0657842698640401	15.609615786717	11.8709277938898	-0.748741272122018	18.1494425644025	12.2437913080165	-0.346649864673106	17.401705492148	12.4331432610081	-0.309838481227932	17.2383129901747	12.2980956467817
TIMP1 TLR4.LY96	0.152975822468781	15.4348478407464	11.4006892219323	-0.62267813858747	18.1917253799009	11.9943856753088	-0.195144384251622	17.0614722453208	12.1430415730571	-0.287262288575958	17.074450083364	12.0923512642442
TIMP1 TMPRSS15	0.333081387702529	14.756616845866	11.2039248833199	-0.331834616092504	16.7665625467517	11.5350657374428	-0.042313266317838	16.0674696134986	11.8670099236112	-0.0420856105178471	16.1136303039414	11.8465759711998
TIMP1 TNC	0.00365307956581495	15.578924867841	12.3997871217319	-0.346952331888945	17.5816871304568	11.8733276030611	-0.133345807880454	17.0159189966269	12.3102606151428	-0.306875296443	16.9913713322925	12.4023183913737
TIMP1 TNF	0.342821400193764	14.3558233737188	11.3283282523262	-0.189262895939654	17.2203514624409	11.6041564383599	0.0827293628928104	16.0797488966676	12.1007277250626	0.0888260724577712	15.97572312736	11.5949153904822
TIMP1 TNFAIP6	0.237416555438687	14.800341436232	11.621716453042	-0.557491320777761	18.1174228440338	11.8644753352465	-0.191904895913728	17.1424809253806	12.5525310573488	-0.165707817097525	16.7668006506783	12.0652358906492
TIMP1 TNFRSF10A	-0.0232927363947197	15.5972557355673	11.9878511165136	-0.454906672867213	16.5987772202222	11.537668760557	-0.217651999937843	16.3071731100315	12.1036777898688	-0.268154395315064	16.5831631011699	12.2283300939571
TIMP1 TNFRSF10B	-0.0256220091105894	15.6260943924017	12.0773034223313	-0.521296037777662	18.6076894308791	12.1860106136818	-0.0163589188385551	16.7492992784089	12.3075716906714	-0.231080222906541	17.3795358822378	12.4323060293313
TIMP1 TNFRSF10D	0.157287894898434	14.6440835970339	11.1918795336468	-0.559947408667081	17.6452077457714	12.5191579276468	-0.122375453795367	15.9424747238924	12.129450475205	-0.16822927493841	16.6289195118192	12.0169477075034
TIMP1 TNFRSF11A	0.236744003766528	14.4961544987233	11.063118481008	-0.0768564536168301	16.1230889433397	11.2810895768739	0.0789090686370588	15.5005210044977	11.6236000752188	0.0286650878518397	15.7405632068974	11.499501500572
TIMP1 TNFRSF11B	0.253740648445097	14.7950629505615	11.6913063120329	-0.466545931176081	18.0359950566945	11.945146208651	-0.247270888960201	17.0980119159358	12.4845650409345	-0.20490550227415	17.0195516192077	12.2528207142821
TIMP1 TNFRSF12A	0.178910166946507	14.9873716651803	11.7724145526546	-0.673781098670932	18.8891374356631	12.4592505035892	-0.197009497791091	17.11447336814	12.2659355131409	-0.24047520407788	17.2726867174365	12.2982658514539
TIMP1 TNFRSF13B	0.199157995854786	14.7384642659709	11.35565058508	-0.372077343488031	17.2765366834635	12.0712521133486	0.00882918813526234	16.0940943147357	11.8024111501495	-0.0630409579611333	16.5046077505712	12.0033310151727
TIMP1 TNFRSF13C	0.074087557867391	14.8144399954236	10.7763374060808	-0.649423004749074	17.8112938874114	12.1589155464096	-0.316463487896391	16.575350590172	11.9804868825015	-0.252905859460464	16.8809805482816	11.8473195744901
TIMP1 TNFRSF14	0.0373645319198739	15.2614802513788	12.414155810898	-0.500850775994462	18.3025931093737	12.3909148893631	-0.155025305087177	16.9131803411914	12.6073426415991	-0.203064084882907	17.0416209985104	12.5190081641548
TIMP1 TNFRSF17	0.104582840138787	14.8436221518015	11.4989659005889	-0.607289688836614	18.4047295614255	12.1630193928863	-0.193372624793654	16.6256971451035	12.230398103192	-0.312341591420565	17.1013379272691	12.1490806839154
TIMP1 TNFRSF18	0.217607832126161	14.4777190511906	11.6048845448009	-0.70019830477746	18.6102454105209	12.3284100941619	-0.184917358301642	17.0427425765138	12.3845738043823	-0.251937081027244	17.1365915138547	12.4974223963156
TIMP1 TNFRSF19	0.419368181292491	13.1822522838392	9.83200620357152	-0.297988436580171	15.982837170186	11.5422386108281	0.104007480638275	15.004891364503	11.1585406757912	0.103325066976235	14.8288027732975	10.9160780070292
TIMP1 TNFRSF1A	0.590958940872962	12.170881880316	9.19443427997817	-0.030502786814036	15.2217520338726	10.5423849461768	0.174986494694149	14.574042909068	10.7869894035389	0.329319989436811	13.9782503707925	10.1959285730855
TIMP1 TNFRSF1B	0.244923500246071	14.4013411989163	10.5929000216049	-0.438838682765817	16.7128829399976	11.9162009559744	-0.0112270356696922	15.5225157084979	11.5551351285077	-0.0470274060209603	15.772837477599	11.4398814305681
TIMP1 TNFRSF21	0.172440943471551	14.9701183880758	11.7001793113137	-0.62953867347234	18.4226311786442	12.3038432025647	-0.185296912448885	16.85757304007	12.3406045077297	-0.238302929373883	17.193431750722	12.3057316873313
