protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TMPRSS15 TNC	-1.12867847895925	18.1139361068941	14.3828918333116	-1.41382062743871	18.0956439952596	13.4688251040886	-1.31051710053747	18.6981387538825	14.6193592590456	-1.40126856964307	18.3206234589711	14.2702553323864
TMPRSS15 TNF	-0.121234292245761	15.8898876385054	12.5173218318534	-1.15705734518404	18.0091504057275	13.8500669364915	-0.719400026790025	18.9523931683583	14.398484853436	-0.571706195919812	17.2582516340206	13.5329168727892
TMPRSS15 TNFAIP6	-0.136833544560058	17.0200568275561	13.1624918559266	-0.360864464297356	16.7940933236153	12.0030233574233	-1.12402383087738	18.5454020730276	14.254814874094	-0.348871854236346	17.204058555471	13.0868538712189
TMPRSS15 TNFRSF10A	-2.6949445658512	19.695206556681	15.4995681265422	-2.44658837622149	18.8263792242295	14.3727804792282	-2.37289654384599	19.4992425722382	15.1114398844561	-3.00038051330594	19.5942764640056	15.4359160924308
TMPRSS15 TNFRSF10B	-1.58867342613074	18.8469405833727	15.150828514942	-2.86916961608716	18.8748708777204	14.4628094682741	-2.6258775122398	19.4162689357987	15.3715688341146	-2.42936804622392	19.0231929027389	15.1728633241566
TMPRSS15 TNFRSF10D	-0.755467643766316	19.0049299231782	14.7642955069369	-1.53692895159127	17.3983353704445	13.6124033130175	-1.25849349529068	18.9035197877988	14.9203354234496	-1.03064455728063	18.7925160599786	14.8911531730394
TMPRSS15 TNFRSF11A	-0.841002384607542	18.676748145762	15.1213957883699	-1.47138166433177	17.8909041687867	14.0779593383822	-1.55965062133028	18.7478382672891	14.9882706584314	-1.15954249341311	18.400878111144	14.9463833069918
TMPRSS15 TNFRSF11B	-3.26968544320128	19.9793478224163	16.246109118868	-1.60383218503216	18.9606903148956	13.7905157847824	-2.04704390313521	19.96059353569	15.2553639641627	-2.46703067350614	19.6956110560789	15.2837185002427
TMPRSS15 TNFRSF12A	-0.923104871388751	18.0652006971253	13.9924695561731	-4.29957330190419	19.5184402007009	15.1486318897534	-2.78104740713332	19.5955300136043	15.2789307538867	-2.95074495394218	19.1300233686768	15.0586846586845
TMPRSS15 TNFRSF13B	-0.55325788693793	17.5496530877371	14.0166436516277	-1.94637602388154	18.2249454352034	13.9280512751136	-1.35852817200672	18.28710947986	14.538880400466	-1.10664464802044	18.0612391950624	14.3645945725515
TMPRSS15 TNFRSF13C	-2.14267372856452	18.7919254086023	14.2732587720026	-1.35165814376786	18.5700938245129	13.7313966430951	-1.59329074462971	19.0722898955205	14.2771473218241	-1.88901655299853	18.875681399431	14.3459098881855
TMPRSS15 TNFRSF14	-1.94813510995753	19.0879100907227	15.4235513141211	-1.71263840979478	18.7669103899596	14.2210799232922	-2.11993062598486	19.1793418020322	15.2907036534102	-1.99672237675959	18.9860069136184	15.05434139353
TMPRSS15 TNFRSF17	-0.392043637606871	17.7248618236292	14.1985402869529	-1.673329794556	18.070057528211	13.7029873124888	-1.34814645081361	18.7966549285546	14.7940706016465	-0.87987991004504	17.9824465110003	14.3316834805768
TMPRSS15 TNFRSF18	-1.3984826447552	18.3091590510795	14.2097001315179	-1.31649874914918	17.7062933043548	14.2161166338698	-1.60233490174906	18.7931266473782	14.8811328357546	-1.67117333636205	18.3922675651761	14.7897010218027
TMPRSS15 TNFRSF19	0.192706337386658	14.6530973083804	10.6793441768288	-0.342420524927561	16.6487043677694	12.3646826729192	-0.0395098926947659	16.038363151149	11.6907613154292	-0.0332443456514513	15.7600255168648	11.6681671341885
TMPRSS15 TNFRSF1A	0.478233266966549	13.2277042797682	9.61384012747947	-0.00135630246804364	15.4965053049178	11.1369348910071	0.269680933394105	14.6902330581377	10.671764642594	0.271152387551677	14.5539304578149	10.5090373350823
TMPRSS15 TNFRSF1B	0.253063509204412	15.1237153833769	10.5371418990008	-0.292140013750437	15.9555786555312	11.8849748416525	0.0492396394293289	15.758400407525	11.4245672262977	0.022192923938126	15.7294305618202	11.496545291234
TMPRSS15 TNFRSF21	-0.466726376249053	17.5519538051435	13.8074155150791	-2.30234472290751	18.3446901755748	14.3317059710388	-1.24191393942558	18.5993056036233	14.8673158795861	-1.2157975242749	18.3328079762232	14.5142929018336
TMPRSS15 TNFRSF4	0.0854750692222047	16.0552176224454	12.0179313290631	-0.884017223300857	16.9711370965082	13.2288981710077	-0.136424620823564	16.6469026624543	12.8075916260742	-0.176860489180015	16.4633895001107	12.7421914732327
TMPRSS15 TNFRSF6B	-1.18788667150849	18.7946450015078	14.8163636899614	-2.25682495172408	18.6071379359907	14.5152246607651	-1.49201031802626	19.1475167159839	15.1442665882242	-1.44326208792833	18.6656795377274	14.9098783676088
TMPRSS15 TNFRSF8	-1.11900663711953	18.591197952706	13.9612521560265	-0.642857505249262	16.8152318905156	12.9326963091872	-0.741265727551985	18.3658361861848	13.9042997533734	-0.834285226693664	18.0508854604244	13.8155952351333
TMPRSS15 TNFRSF9	-0.33980353796738	17.2220338441884	13.5607408091527	-0.306273963121019	17.0607816850893	12.429876969216	-0.556415607292271	17.6588853706221	13.7194551532855	-0.368523676436464	17.4616558973058	13.3249721778079
TMPRSS15 TNFSF11	-2.94727099773402	19.1551892825057	15.5660612294993	-0.644413738580019	18.6037340238827	12.6138697141473	-1.32789215643052	18.9447282597692	14.3148525550368	-1.83849778116742	19.0490968391034	14.5504652329671
TMPRSS15 TNFSF12	-2.41553811055251	18.8009865637707	15.3067009205449	-2.88549193187652	18.9123256718199	14.8987633414371	-3.29342043943851	19.47972233316	15.478760661443	-3.16936928465666	19.0721758756406	15.4625691549996
TMPRSS15 TNFSF13B	-1.56642591367127	20.1913918142884	15.4017520963721	-1.67130100544615	18.2082443732074	14.171631526682	-2.80779628382064	19.641723184104	15.7247653145317	-2.11780787823576	19.1994360076577	15.2306746535161
TMPRSS15 TNFSF14	-4.8690886837601	19.6397629679103	16.6014043656697	-2.0421996943964	18.8222842553783	14.6504343975901	-3.65428517797834	19.7037056313784	15.6874789725232	-3.95514810053259	19.5837943542673	15.908460762366
TMPRSS15 TNFSF15	0.0181374224274593	16.1813933238038	11.6051678087907	-1.06333782324579	18.1347704095835	13.298309089022	-0.424491324168699	17.7517918789842	12.897308839974	-0.519790926575068	17.5592859236822	12.8544329421235
TMPRSS15 TNFSF18	-1.51023434714517	18.3183158520514	14.3090904360786	-0.876802690694789	17.8651708986248	13.1587171663616	-1.18034168682963	18.8947645932192	14.3834545864423	-1.51606817589541	18.4254958689722	14.3180800017435
TMPRSS15 TNFSF4	-3.43969244863122	20.104524119407	15.8930559221187	-3.40551845646947	18.9065297147268	14.597799185945	-3.64586251137738	19.8306760741828	15.8647894258384	-3.25719523378175	19.5780425622106	15.5699539006086
TMPRSS15 TNFSF8	-0.863657558350929	17.9860977045963	14.1679961186395	-2.87374687602017	18.8298114513653	14.5996022198895	-1.23600038404881	19.5089512310772	15.1423333576244	-1.63387906396297	18.7432848173231	14.7360325667253
TMPRSS15 TNFSF9	-1.83781364606179	18.3435947134803	15.3490940591172	-1.18612680875637	17.519434064826	13.1698514965384	-1.9162725561324	18.7491331533608	14.8597617088812	-1.6808980375541	18.5804736698456	14.8422814019682
TMPRSS15 TNNI2	-0.922366490210871	19.1818077968895	14.7393713673862	-2.865756885789	19.1639189834484	14.2991440446298	-2.06732034450916	19.5873572473293	15.0352191745518	-1.8100965537293	19.350388265478	14.8893521518017
TMPRSS15 TNNI3	-0.265966885735909	16.9075380801091	13.2431435219365	-1.05108453892379	18.1535958044966	13.464835352342	-0.789838028815555	17.9826329041673	13.7185761685716	-0.61710125440377	17.70863832382	13.6285767097516
TMPRSS15 TNNT2	-0.0635364257510203	16.3845267354864	11.7883506369465	-0.243480204815199	15.6031912852517	11.3680826751479	-0.448745298001095	16.8616496209811	12.2897669084716	-0.200625975210211	16.2070341811963	11.8745984037402
TMPRSS15 TOP1	-2.28565543433713	18.8695907502263	15.0986544009416	-0.487098153116933	17.4778836732463	12.9379831930591	-1.47337698089735	18.718922066537	14.7597474723617	-1.5366951287286	18.6076405904877	14.6679034461678
TMPRSS15 TP53	-2.16672861352263	19.0528276267539	15.2119367414547	-1.41892053426628	18.396111682987	13.6782068006305	-3.11169348737624	20.1232762394319	15.7029761435473	-3.1816863646268	19.0260029710886	15.2861603228103
TMPRSS15 TPI1	-1.22212253013309	17.4255675271917	13.4824288522003	-0.724431808353425	17.7156077432572	13.1799445612345	-1.63419985678376	18.8299428667384	14.6351371883845	-1.34428294912246	17.9670763285203	13.9404024626265
TMPRSS15 TPM1	-2.9382794397548	19.2217558365081	15.5670409130552	-0.831250082639382	16.8710330545821	12.8924243430935	-1.30529312643266	18.5097719370087	14.4395165403412	-1.6746763180746	18.3212867365714	14.5095501927837
TMPRSS15 TPM2	-3.42371380401097	19.6964908533444	16.5836831380264	-1.9561156817796	18.8193096856904	13.9216630335499	-2.58379993743365	19.7880806211291	15.4769246245977	-2.83265107373853	19.4981434790424	15.5391795804841
TMPRSS15 TPM4	-2.3496501099836	18.7930721237602	15.1356518913792	-0.794353651173117	17.8045289071338	13.4264349713193	-1.51904267664546	19.2410877889567	14.9424811993665	-1.54194199559264	18.5091270616101	14.5848291414685
TMPRSS15 TPO	-3.51897607055618	19.3726477246969	16.2995911952532	-1.93880879017402	19.0105560030412	14.5366204275405	-2.41227795221377	19.6036417224912	15.6006282601078	-3.00743076158032	19.360423344555	15.6407579012953
TMPRSS15 TPSB2	-0.774623706726644	17.9511519508161	14.4347835059069	-1.29283995691698	17.4484194459487	13.134591039188	-2.47304971232006	19.15286793151	15.3550198276979	-1.57026186186918	18.2434691866732	14.4132815342273
