protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TNFAIP6 TNFRSF10A	-0.533012140081744	17.1614852004852	13.1170868191749	-4.88606500406061	20.3137127564796	15.2684933365671	-2.56061564956496	19.7422318175157	15.1332346723666	-1.77759582142231	19.1740382927162	14.6562560696937
TNFAIP6 TNFRSF10B	-0.373087815841559	17.0181451766302	13.0179422554935	-2.14183083566419	19.2706042387522	14.8514687811759	-1.41101654156161	18.9223635654177	14.6963396770072	-1.02742888964897	18.3603456780396	14.1761493280619
TNFAIP6 TNFRSF10D	-0.128555894844083	16.8774327114013	12.4668243449811	-1.2457254573578	17.6463758311512	13.7723391249676	-1.43235709299721	18.3558587425387	14.3680054503106	-0.735672371259238	17.7000193550641	13.6623364270721
TNFAIP6 TNFRSF11A	-0.0909526204480275	17.1064854341604	12.7301534952592	-2.01831595671304	18.5231385429215	14.5431513000395	-0.76875009362557	18.5905084270679	14.5729767458421	-0.648044187881727	17.9869079857991	13.8790149364942
TNFAIP6 TNFRSF11B	-0.953507512460083	17.6126833434996	13.6268374806931	-7.04382537442275	20.9464873157067	15.2826283841324	-4.14722936954318	20.1947957954308	15.0966252700442	-2.70879149640269	19.6525431683433	14.72416297245
TNFAIP6 TNFRSF12A	-0.556551875133091	17.2888104046758	13.3442666423639	-6.40259494288002	20.9542998180717	15.4264901812013	-2.13515932536957	20.0225717432226	15.3007206564124	-1.88735798542352	19.3738321056548	14.6192685580739
TNFAIP6 TNFRSF13B	-0.0943181426106561	16.650056597426	12.7728646008724	-1.37884207066744	17.3722021506216	13.9047236634941	-1.06337662988745	18.159852846506	14.2351942418254	-0.700520306198336	17.6259571580344	13.8008840628409
TNFAIP6 TNFRSF13C	-0.488162990860256	17.0830431313409	12.435844583281	-2.72511110244617	19.7036571849951	13.9129158586488	-2.14816502863368	19.2482002930601	14.2876192309057	-1.43050755402277	18.5814768551698	13.4593794285011
TNFAIP6 TNFRSF14	-0.37824243852454	16.9191533624502	13.0990393674551	-2.03369220832007	18.6404778858788	14.2937290709302	-1.94640857409486	19.1191288965942	14.8978101355812	-1.25020644991478	18.094425465621	14.1176663860113
TNFAIP6 TNFRSF17	-0.332161674300305	16.7191987070865	12.9017614087662	-3.43861771410106	19.7556015157711	14.3771970103934	-1.8191076126966	19.2916508686221	14.5836796946062	-1.41972708092212	18.6531946128822	14.0102134179457
TNFAIP6 TNFRSF18	-0.163863067893873	16.1748084415035	12.3262191499868	-4.63395003265735	20.4192757139135	14.833428227843	-2.09367659427515	19.466471588956	14.8255298046416	-1.3522144664908	18.6298461015378	13.8789291801452
TNFAIP6 TNFRSF19	0.20401998093497	14.4976663092785	10.63061731273	-0.461315865608541	17.1511482016503	12.3529499272548	-0.28408885031291	16.4215478481011	12.1417167332327	-0.116301186465027	16.0939029692722	11.7133729861675
TNFAIP6 TNFRSF1A	0.457002622597489	13.2195983370889	9.97244993743757	-0.0402727106017067	15.6192654394543	11.2019907198277	0.145309932179846	14.9157378733224	11.0468579928954	0.231963054682242	14.5447001207242	10.7327779429968
TNFAIP6 TNFRSF1B	0.104700474183451	15.0584294987807	11.2213110450426	-0.236074065199075	15.8163142320198	11.6105780449166	-0.204304644552667	16.3741778274148	11.986270462767	-0.0996556257662917	15.7470950744678	11.6628299441649
TNFAIP6 TNFRSF21	-0.519777168852287	16.7436942973696	12.973117699444	-5.16611606485598	19.7319655025897	14.8683924951134	-2.10040859500181	19.3072975634786	14.8099836577984	-1.67615429600032	18.8081513320586	14.3163960727382
TNFAIP6 TNFRSF4	-0.0526636068379187	15.4489073603535	12.2050694557311	0.153717232741917	14.988252888168	11.6256506936287	-0.0603503214618855	16.4298066390615	12.7990453945455	0.0566761394855231	15.4874525125522	12.1266829178103
TNFAIP6 TNFRSF6B	-0.367738453439404	17.0222633107905	13.4531288985411	-4.73340341738362	19.849255307987	15.0241210165916	-2.17653892999152	19.2918213152647	14.9331205898367	-1.54364699954757	18.6723580408892	14.6126785828607
TNFAIP6 TNFRSF8	-0.742057453678649	17.6852475938165	13.1741805498586	-1.11270264674555	17.7991665289113	13.4371206238202	-1.77014442867038	19.6895271298747	14.650137022463	-0.916981553407536	17.9929202845225	13.5892369018942
TNFAIP6 TNFRSF9	-0.307397406717751	17.2040626136906	13.0487026113279	-0.438900313528461	16.7336093726671	12.3599034768256	-0.683708487983438	17.7816390604614	13.4947473810757	-0.371353335020157	17.2177071288333	12.9108629189728
TNFAIP6 TNFSF11	-0.556659284066745	17.4444260712684	12.39853121702	-5.43891284055664	20.7531931282069	14.7155763600023	-2.53121040866781	19.8492752841271	14.9374568655968	-2.12492837785556	19.4999477130581	13.9800035957031
TNFAIP6 TNFSF12	-0.442241963269179	17.1009954295055	12.8159865597521	-6.80352962128897	20.2213185321746	15.5118937368107	-2.23782764503005	19.5347843054883	14.8362253858388	-1.89881318001937	18.9521862095428	14.409034512157
TNFAIP6 TNFSF13B	-0.592221179914885	17.194175378325	12.941300424175	-4.8604164923804	20.4266398478435	14.7739887970743	-2.88390644681784	20.0846628714665	15.1202831964768	-1.92201429571129	19.125188347874	14.1841925114259
TNFAIP6 TNFSF14	-0.332152816269399	17.0672044263591	13.0809010742252	-6.75683925188842	20.2405502420072	15.090102656403	-2.57161176348653	19.9022086607419	15.1364960206081	-1.72370477506731	18.9299268108274	14.4256071939011
TNFAIP6 TNFSF15	-0.436131199992374	16.5093808603278	12.2612721012073	-2.24456898478924	19.9898323068786	14.4731821307022	-1.56620905175951	19.0264546192724	13.9980694740608	-1.28965242323364	18.5150967143708	13.5668412391252
TNFAIP6 TNFSF18	-0.715302650096926	17.1199900961192	13.1224104863829	-4.98483320245729	20.7839493434011	14.8499699149408	-2.81083998583649	20.0527814993585	15.1382495709777	-1.96357037249289	19.3201143835143	14.3574324163605
TNFAIP6 TNFSF4	-0.881142417935339	17.9850169937196	13.833697259659	-5.15540954826383	20.3630998899138	15.0968504913703	-3.08725280593601	20.2739515301582	15.5893213498081	-2.38556987949455	19.5718774780901	14.8753389196343
TNFAIP6 TNFSF8	-0.882650610917828	17.4859643865927	13.0637724256655	-4.21300205068226	20.5362250316436	14.9889122756466	-2.60813392259617	19.9608496312638	15.1275768456955	-2.15753094149801	19.2703425231771	14.3838461729228
TNFAIP6 TNFSF9	-0.754921681058046	17.5774093355701	13.7988561377803	-2.62811933716064	19.3097447409969	13.8330869296178	-2.1677037470126	19.4205106558063	14.6826893102293	-1.98230210435982	19.0350089975349	14.4981015066699
TNFAIP6 TNNI2	-0.38340248887652	17.2071936391986	12.6835110655376	-4.86021091516718	21.1767011424423	15.133509360601	-2.77909446088741	20.1803613380207	15.2619291496904	-1.87938053621722	19.5438314183559	14.3499558431195
TNFAIP6 TNNI3	-0.191317429778755	16.5051521916981	12.555126501869	-2.45193490754705	18.7560178778918	13.8694333774092	-1.05575576144435	18.4754763767505	14.1630988937335	-0.929871389861832	17.9229791630072	13.5615953559846
TNFAIP6 TNNT2	-0.00639278574763713	15.4585315154453	10.925773032578	-0.272469805856965	15.9371175189019	11.2828574360187	-0.475534576460913	16.8681242268533	12.1278545928636	-0.201532252268797	15.9460592639442	11.4011253329149
TNFAIP6 TOP1	-0.291232705121384	17.6172003805599	13.1115102361879	-6.06841539771191	20.2096214312563	15.096892073424	-2.68608270276625	19.9033525173392	15.1279554437348	-1.68997402019998	19.2119630101049	14.4092463797728
TNFAIP6 TP53	-0.231364874623075	17.0115615186129	12.8169414886941	-4.94011879996252	20.6527283642971	15.0494139056136	-2.28294758130583	19.8656401698112	15.2840691191106	-1.55457797239234	19.1763119069639	14.2197912456226
TNFAIP6 TPI1	-0.512905493946135	17.261957149298	13.0725688681513	-2.66335523404956	19.9507210812052	14.7927724213256	-2.03710141451525	19.6363578441681	14.9515573817577	-1.45169283086234	18.8880250362126	14.2901946860934
TNFAIP6 TPM1	-1.14661808662685	17.6922450997769	13.5025172037317	-5.36540333416065	19.9302794219177	14.9573312383824	-2.71080137961618	19.655347256587	14.7482326355645	-2.61416128541025	19.0180064252181	14.462559579282
TNFAIP6 TPM2	-0.41981515245894	17.3018621201171	13.1741515558733	-5.7843999891077	21.517299366725	15.0302664661963	-2.88123779101942	20.0879530850351	15.0170925912238	-1.95986110416535	19.7358378761693	14.5034718872443
TNFAIP6 TPM4	-0.972850649673154	17.6250563966233	13.549444495782	-5.53034547337649	21.2343506333859	15.0727087815843	-2.8850855138592	20.447887141131	15.4798043458889	-2.47371088412678	19.699788861851	14.5978015916733
TNFAIP6 TPO	-0.44147583435274	17.510095101014	13.4266912206368	-5.52240304087231	20.1241725815636	15.5500832040994	-2.06467021256206	19.9569181940609	15.0548870962647	-1.89319184984836	19.1186150194516	14.7072370176972
TNFAIP6 TPSB2	-0.597881655569642	17.2150894955651	13.375445831459	-4.06576847700456	20.2886768354903	14.6806572313495	-2.47920892748271	19.7585104461048	15.0759077655944	-1.75429726873062	19.0142839860553	14.2925409321727
TNFAIP6 TPSG1	-0.751951169156554	17.4240001485701	13.4277576984916	-5.47214159073161	20.8927300677358	15.136205793308	-2.69244359909172	19.8665608213347	15.1121714507863	-2.16484844209834	19.389178732291	14.6382799084419
TNFAIP6 TPT1	-0.969996966268541	17.4522723124222	13.5532775388747	-2.75256237493674	20.1737757219139	14.4862790469809	-2.51882643729373	20.0355001579636	15.1898802560014	-1.79379794029706	19.0765908202612	14.3193247141234
