protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TNFRSF13B TNFRSF13C	-0.563547386289928	17.0296845203918	12.6349412738817	-2.18707521687938	18.7589796085229	14.1675103419967	-1.01954777989311	18.158298970246	13.75591039166	-1.15431926752712	18.1109404926428	13.8144647151684
TNFRSF13B TNFRSF14	-0.484998378162716	16.7560070017887	13.4562002621633	-2.56668838034861	18.7933830566392	14.6196476372548	-1.92336225126274	18.4201330417618	14.7568318497609	-1.29118890375518	18.0892215610121	14.3642959450704
TNFRSF13B TNFRSF17	-0.365647633920309	15.9610460669678	12.2872344525308	-2.93591503705776	19.0937062092979	14.4810648627618	-1.21526901153719	18.0516197071477	14.1421341173801	-1.33881373253181	17.9808889485984	14.0294042347088
TNFRSF13B TNFRSF18	-0.165587952624897	16.591980199948	12.9988755786518	-3.86282345971409	18.7810659106129	14.5628443965646	-1.5558017646435	18.4672565976976	14.5346073331527	-1.08444458089111	18.0535451817496	14.2255690665727
TNFRSF13B TNFRSF19	0.322600044592483	13.6179043340231	10.4338232435164	-0.887098571145408	17.1832018342942	12.5459125248129	-0.0453250028614753	15.7293387395928	11.7402769777596	-0.041889843311737	15.7007473992344	11.6834102284466
TNFRSF13B TNFRSF1A	0.388414773360171	13.2360880902057	10.0469656906996	0.0870263119867033	15.565183080272	10.9072615866733	0.198509722343147	14.6021163591883	10.7241301191078	0.24543125019014	14.5911136011206	10.6441983085054
TNFRSF13B TNFRSF1B	0.153256840365971	14.9702484965177	11.0016537877735	-0.277858886232921	15.8598255306372	11.3278229414102	-0.0423045296414217	15.5420220540455	11.3826112440698	-0.0347699084469315	15.6385969755829	11.4261746670846
TNFRSF13B TNFRSF21	-0.230643571498007	16.7340794335793	12.8809268762913	-1.96149283040639	18.0901933120767	14.0581607678812	-0.95449402583947	17.9248374917847	14.1590175320726	-0.91603647128837	17.804625739156	13.8345561041843
TNFRSF13B TNFRSF4	0.0881394951851057	15.5192845655506	11.7589831620875	-0.320229565145513	16.1916529039983	12.7172385611051	-0.015046737128714	15.9315297089832	12.285156754218	-0.136005605286012	16.1784452536797	12.5106603782825
TNFRSF13B TNFRSF6B	-0.579730403343883	17.0255253930061	13.2798514722913	-2.77350452107071	18.8282002302892	14.4947745777789	-1.51456807195429	18.2114522659897	14.5240651658225	-1.30413974106734	18.0937270463	14.299595925833
TNFRSF13B TNFRSF8	-0.389097072766431	18.1943630441158	13.3907281881849	-0.872981195633052	16.9923503022914	13.0351847488973	-0.776277549509113	18.3985998111155	13.680742330092	-0.598154777446533	17.9593858889155	13.5284059970264
TNFRSF13B TNFRSF9	-0.511736612050002	16.5049404063756	13.0981853659645	-0.470819789255913	16.7885347422535	12.3786368119237	-0.516693536920944	17.1625480831818	13.3069060626543	-0.543929867699442	17.1523661102957	13.2246200334197
TNFRSF13B TNFSF11	-0.693311887083893	17.7601597311283	13.6840605963203	-1.52045933703007	18.2096436147366	13.6708371114205	-1.49721713171324	18.3214978106438	14.375797213672	-1.39091445929031	18.4180299001281	14.181513028187
TNFRSF13B TNFSF12	-0.314072690012696	17.1463172630122	13.2525528783192	-3.2994693496844	18.9462241534872	14.8542939736212	-1.24509122532621	18.4303014976213	14.6843463280618	-1.19043336869144	18.2755331387467	14.3956380855413
TNFRSF13B TNFSF13B	-0.240298275966599	17.3181855660492	13.1695971132606	-3.53113388282818	18.7605643352327	14.2828334578859	-1.54116243947082	18.6890024784557	14.8796994157136	-1.19903072019033	18.4198560554467	14.2393298290036
TNFRSF13B TNFSF14	-0.519132623581208	17.5117651987838	14.0846202205542	-2.34171139314147	18.5286684218731	14.329034359526	-1.86756890339035	18.4396550134511	14.6890589623549	-1.28773715556036	18.4667757163624	14.5902471434663
TNFRSF13B TNFSF15	-0.0492224303813562	15.5741663492182	11.1393428798037	-0.950171245056227	18.3966747785572	13.3213440275116	-0.351481266372713	17.0240244718182	12.6092827674815	-0.44455284857909	17.3921605302593	12.5774311745179
TNFRSF13B TNFSF18	-0.611914552202584	16.909641257346	13.6053811668753	-1.46719604441255	18.4939541506017	13.7343522489095	-1.1811791336906	18.2178112460532	14.4343186393039	-1.2016519934111	18.3120574549094	14.2453107092689
