protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TNFRSF18 TNFRSF19	0.252629607192713	14.1576588814263	10.5148548631533	-0.870770764099071	17.6736865609939	12.7568612178227	-0.283152681055246	16.6608315888833	12.307685377863	-0.267559469185797	16.4285017693858	12.0749683305292
TNFRSF18 TNFRSF1A	0.474146803716127	12.6128975977242	9.77689121238366	-0.158000914310285	15.9414467133002	11.2043336159475	0.112435333852527	14.7820865172004	10.9355901873597	0.140289363464024	14.6175284883316	10.7647766046367
TNFRSF18 TNFRSF1B	0.0881300892575974	14.5713691854839	10.810427698417	-0.42120477690337	16.2902003851324	11.5422598363436	-0.167624539111817	15.9541869939356	11.5062935143923	-0.139899268692282	15.8186323676586	11.4895653845663
TNFRSF18 TNFRSF21	-0.995695325160574	17.4240860149969	13.6100628425638	-4.4826491289327	19.9189263527942	14.8990526024755	-3.17612563288343	19.4512204958402	14.9038913659337	-2.52710174014531	19.0984484349577	14.7107064642505
TNFRSF18 TNFRSF4	-0.0669036956135924	15.9161371424263	12.0486669533962	-0.404936041783055	16.277491583158	12.6153710063611	-0.286511401673092	16.4088330153423	12.7366096112761	-0.206611577521411	16.3721542348302	12.6085811336904
TNFRSF18 TNFRSF6B	-0.614094062755858	17.7340754372601	13.3715120957606	-7.59510664887206	20.2640347946134	15.4882531715263	-2.26648678725078	19.5549600210783	15.0118586691974	-2.10786139986049	19.3533110472291	14.8202444034586
TNFRSF18 TNFRSF8	-1.68521497049004	19.1456289537803	14.1504358914835	-0.718167855993497	16.9625598716266	12.5997430661212	-1.19274599630252	19.4577062314685	14.0196234811159	-1.26622837085635	18.7421282685009	13.8436579151396
TNFRSF18 TNFRSF9	-0.55973851527757	16.8843055368199	13.4081808558938	-0.411912740333401	16.6027945821061	12.4877610074279	-0.555473312602017	17.4998995856417	13.5142815914698	-0.565332228380547	17.2771278847234	13.2908257208429
TNFRSF18 TNFSF11	-2.68408070191487	18.7057726895171	14.885459089658	-8.3801456154701	20.5659372662721	15.262541228676	-4.67265976208678	20.2449474452683	15.7586698865563	-6.24199828472447	20.1509715344431	15.6068994871357
TNFRSF18 TNFSF12	-2.58740655584223	18.9165635612112	14.587329389623	-13.3187575445652	21.0540390575314	16.1489156948554	-6.00148528894067	20.2754510141296	15.7465508582593	-6.86084709736545	20.2834955922994	15.8293144085277
