protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TNFSF15 TNFSF18	-2.42951017074665	19.3392114829406	13.8010347579493	-5.12117269028175	20.3315130221917	14.8768838691428	-3.75388216844114	20.194584785793	15.188224202165	-3.95071803660226	20.2064349744371	15.0140834938532
TNFSF15 TNFSF4	-2.91818832044375	19.8494524763754	14.8268838826276	-4.83755506691173	20.82078410779	15.323484230912	-3.49741704866772	20.7160946465106	15.4866291547425	-3.92205344747361	20.619077361552	15.417391788697
TNFSF15 TNFSF8	-1.33867701760635	19.7803201064298	14.2763914446619	-5.76407101207878	20.996601200676	15.4113928179041	-3.29359976482548	20.5249691140525	15.4770093194813	-2.87892328172126	20.7348215953958	15.2132369904198
TNFSF15 TNFSF9	-1.55887336112691	19.5444171372375	14.1224148395854	-1.80669581786165	18.8915710707792	13.3888176025143	-2.07656171568702	19.4241717928077	14.3880592265579	-2.5731116559747	19.6266925132224	14.4555793482632
TNFSF15 TNNI2	-2.82388709653303	19.7388302076508	14.9195472645615	-4.99954794460921	20.2402766542831	15.564331448394	-3.67672176409292	20.4106759102948	15.7016396600785	-3.83922179777162	20.209175492278	15.5627358495995
TNFSF15 TNNI3	-0.570383507459943	17.2216898892942	12.7592816302503	-2.44376346263788	19.8436878068752	14.625079362597	-1.23982583389051	18.8137306958517	13.9696764986562	-1.29486342512106	18.6705244093158	14.0435465226765
TNFSF15 TNNT2	-0.165514866690731	16.7738399613847	11.8887321603621	-0.124442845873736	15.6657432676844	10.863234132592	-0.521333486557609	17.1511769017794	12.3039972696807	-0.266103391069309	16.607025424779	11.8478788306318
TNFSF15 TOP1	-1.14050570824119	18.2120363066716	12.906780572204	-2.29498609220458	20.0960800013544	14.599988605453	-1.64455896872256	19.7136238908985	14.2417870442458	-1.65938350525334	19.613993227386	14.1063409107795
TNFSF15 TP53	-1.06223727374112	18.3849505939652	13.521596543285	-6.07418757230495	20.868179092853	15.6855769399637	-2.46021193247987	20.0744769076124	15.0662026595536	-2.57416539642566	19.7723556250429	14.7743024921392
TNFSF15 TPI1	-2.50967111556204	19.5427248353025	14.4634760753091	-1.51440290990457	18.820381866467	13.3913980779877	-1.92987554994042	19.5494896717131	14.4984777505333	-2.02534291541462	19.5022850970596	14.3296674340875
TNFSF15 TPM1	-3.06327466311926	19.9918837975343	15.0365454495172	-3.64184244568617	20.6670070488994	15.336294130721	-3.3047776285495	20.4180152946251	15.2741197935274	-3.42584711078223	20.4696631594627	15.3585703505828
TNFSF15 TPM2	-1.16516745756768	17.9583568506087	13.779811743838	-5.19391592763862	20.5582482405481	15.5629024571546	-3.11777810847167	19.9207116713595	15.2936505210548	-3.0426815454159	19.7725789329446	15.1134777749886
TNFSF15 TPM4	-2.32241660825988	18.9735665775619	14.4704979360129	-4.13861850913844	19.6978030005367	14.5938560652194	-2.57552733249305	19.9537920678816	15.0422911691432	-3.2523796977499	19.5927922761097	14.7928367373883
TNFSF15 TPO	-1.28555017142922	18.1118830390915	13.0469030813692	-2.41000656181375	19.3657425301359	14.8477759055813	-1.52757907429185	18.7877654967032	14.2662297969932	-1.91529398097483	19.3310554618947	14.3582066604259
TNFSF15 TPSB2	-2.08052062363107	18.8097079567061	14.5210146832664	-5.17029402378411	20.5689221993885	15.3253106763961	-4.24873285173821	20.4985439367314	15.6640050356267	-4.0927278942763	20.0736554107835	15.3154947882029
TNFSF15 TPSG1	-1.780565838745	19.4968683388483	14.4916348852357	-3.80494493608077	20.6152204601047	14.8022377925553	-2.34633047993606	20.0820357302485	14.9961188885831	-2.56675910944897	20.2165194668855	15.0382981165146
TNFSF15 TPT1	-3.32854280171052	19.5972406357929	15.1315316502616	-2.22839231923498	18.7518088693497	13.4014139356239	-2.91647693670392	19.6264963374767	14.7454230483611	-3.05707781609722	19.6309058635879	14.5974450844312
TNFSF15 TSLP	-1.39722784031152	19.0825771158673	13.555451261693	-0.924338608638214	17.9573306512872	12.6020164502179	-1.09290890194303	18.8210560457489	13.4976108799057	-1.10013523624722	18.6955522047105	13.3127291082193
TNFSF15 TXNDC12	-3.77999883666679	20.3468614398278	15.2929146879283	-2.64947928567583	19.0319907846108	14.3934892415384	-2.76868899450045	20.2511743204318	15.0641161020751	-3.25638027134083	20.0887977133509	15.0364989641149
